id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339114917618540545,2020-12-16 07:47:30,"@SteveSchmidtSES These are her people. They were committing acts of violence in my hometown of Washington, D.C. over the weekend in the name of a defeated president who refuses to concede.

https://t.co/hs3yez3oYu","b'@SteveSchmidtSES These are her people. They were committing acts of violence in my hometown of Washington, D.C. over the weekend in the name of a defeated president who refuses to concede.\n\nhttps://t.co/hs3yez3oYu'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SteveSchmidtSES', 'name': 'Steve Schmidt', 'id': 786309892990574592, 'id_str': '786309892990574592', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/hs3yez3oYu', 'expanded_url': 'https://www.maxnewstoday.com/post/proud-to-be-deplorable', 'display_url': 'maxnewstoday.com/post/proud-to-…', 'indices': [190, 213]}]}",,en
1339114641360736256,2020-12-16 07:46:24,"@GlennKesslerWP Democrats stand for free-and-fair elections. Republicans subvert democracy.

https://t.co/3EhBIx6CR8",b'@GlennKesslerWP Democrats stand for free-and-fair elections. Republicans subvert democracy.\n\nhttps://t.co/3EhBIx6CR8',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GlennKesslerWP', 'name': 'Glenn Kessler', 'id': 235196204, 'id_str': '235196204', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/3EhBIx6CR8', 'expanded_url': 'https://www.maxnewstoday.com/post/abolish-the-seditious-gop', 'display_url': 'maxnewstoday.com/post/abolish-t…', 'indices': [93, 116]}]}",,en
1339114501275205634,2020-12-16 07:45:51,"@DavidCornDC Democrats support democracy. Republicans subvert it.

https://t.co/drXjJFbLsC",b'@DavidCornDC Democrats support democracy. Republicans subvert it.\n\nhttps://t.co/drXjJFbLsC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DavidCornDC', 'name': 'David Corn', 'id': 15220768, 'id_str': '15220768', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/drXjJFbLsC', 'expanded_url': 'https://www.maxnewstoday.com/post/anti-democracy-party', 'display_url': 'maxnewstoday.com/post/anti-demo…', 'indices': [67, 90]}]}",,fr
1339114391929724928,2020-12-16 07:45:25,"@GlennKesslerWP Democrats support democracy. Republicans support sedition.

https://t.co/drXjJFbLsC",b'@GlennKesslerWP Democrats support democracy. Republicans support sedition.\n\nhttps://t.co/drXjJFbLsC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GlennKesslerWP', 'name': 'Glenn Kessler', 'id': 235196204, 'id_str': '235196204', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/drXjJFbLsC', 'expanded_url': 'https://www.maxnewstoday.com/post/anti-democracy-party', 'display_url': 'maxnewstoday.com/post/anti-demo…', 'indices': [76, 99]}]}",,fr
1339114167895126016,2020-12-16 07:44:31,"@DavidCornDC It certainly has.

https://t.co/3EhBIx6CR8",b'@DavidCornDC It certainly has.\n\nhttps://t.co/3EhBIx6CR8',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DavidCornDC', 'name': 'David Corn', 'id': 15220768, 'id_str': '15220768', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/3EhBIx6CR8', 'expanded_url': 'https://www.maxnewstoday.com/post/abolish-the-seditious-gop', 'display_url': 'maxnewstoday.com/post/abolish-t…', 'indices': [32, 55]}]}",,en
1339114037305516032,2020-12-16 07:44:00,"@SteveSchmidtSES Thank you, Steve Schmidt. A true American patriot.

https://t.co/for0fhxoYO","b'@SteveSchmidtSES Thank you, Steve Schmidt. A true American patriot.\n\nhttps://t.co/for0fhxoYO'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SteveSchmidtSES', 'name': 'Steve Schmidt', 'id': 786309892990574592, 'id_str': '786309892990574592', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/for0fhxoYO', 'expanded_url': 'https://www.maxnewstoday.com/schmidt-storm', 'display_url': 'maxnewstoday.com/schmidt-storm', 'indices': [69, 92]}]}",,en
1339112674689314817,2020-12-16 07:38:35,"@realDonaldTrump @OANN Thank you Lincoln Project for helping us get this man out of the White House.

https://t.co/oC9e9fLJc0",b'@realDonaldTrump @OANN Thank you Lincoln Project for helping us get this man out of the White House.\n\nhttps://t.co/oC9e9fLJc0',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}, {'screen_name': 'OANN', 'name': 'One America News', 'id': 1209936918, 'id_str': '1209936918', 'indices': [17, 22]}], 'urls': [{'url': 'https://t.co/oC9e9fLJc0', 'expanded_url': 'https://www.maxnewstoday.com/post/lincoln-project-will-continue-fight', 'display_url': 'maxnewstoday.com/post/lincoln-p…', 'indices': [102, 125]}]}",,en
1339112503117135872,2020-12-16 07:37:54,"@realDonaldTrump @OANN In just five short weeks, all this madness will come to an end.

https://t.co/hwBvQsgpdD","b'@realDonaldTrump @OANN In just five short weeks, all this madness will come to an end.\n\nhttps://t.co/hwBvQsgpdD'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}, {'screen_name': 'OANN', 'name': 'One America News', 'id': 1209936918, 'id_str': '1209936918', 'indices': [17, 22]}], 'urls': [{'url': 'https://t.co/hwBvQsgpdD', 'expanded_url': 'https://www.maxnewstoday.com/post/trump-s-last-gasp', 'display_url': 'maxnewstoday.com/post/trump-s-l…', 'indices': [88, 111]}]}",,en
1339112343356129283,2020-12-16 07:37:16,"@realDonaldTrump @OANN I'm trying to decide if Donald Trump is worse at overthrowing a government or running one.

https://t.co/gpssWey2bH","b""@realDonaldTrump @OANN I'm trying to decide if Donald Trump is worse at overthrowing a government or running one.\n\nhttps://t.co/gpssWey2bH""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}, {'screen_name': 'OANN', 'name': 'One America News', 'id': 1209936918, 'id_str': '1209936918', 'indices': [17, 22]}], 'urls': [{'url': 'https://t.co/gpssWey2bH', 'expanded_url': 'https://www.maxnewstoday.com/post/steve-schmidt-trump-coup-rolls-on', 'display_url': 'maxnewstoday.com/post/steve-sch…', 'indices': [115, 138]}]}",,en
1339112059368210432,2020-12-16 07:36:09,"@realDonaldTrump @OANN Donald Trump has a junk hand and no cards left to play. Call his bluff.

https://t.co/2Z85MUeGOb",b'@realDonaldTrump @OANN Donald Trump has a junk hand and no cards left to play. Call his bluff.\n\nhttps://t.co/2Z85MUeGOb',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}, {'screen_name': 'OANN', 'name': 'One America News', 'id': 1209936918, 'id_str': '1209936918', 'indices': [17, 22]}], 'urls': [{'url': 'https://t.co/2Z85MUeGOb', 'expanded_url': 'https://www.maxnewstoday.com/post/edward-norton-call-trump-s-bluff', 'display_url': 'maxnewstoday.com/post/edward-no…', 'indices': [96, 119]}]}",,en
