id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339041004389761024,2020-12-16 02:53:48,"RT @phasmoplasm: oh yeah also, piggybacking off my last tweet:

if someone has actual memory issues, chances are it's obliterating them emo…","b""RT @phasmoplasm: oh yeah also, piggybacking off my last tweet:\n\nif someone has actual memory issues, chances are it's obliterating them emo\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'phasmoplasm', 'name': 'simply a squirrel 🐿️', 'id': 1262823856819056641, 'id_str': '1262823856819056641', 'indices': [3, 15]}], 'urls': []}",,en
1339039144165560322,2020-12-16 02:46:24,@grandeppy @evil_lolitaa and the whole cursed gc,b'@grandeppy @evil_lolitaa and the whole cursed gc',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'grandeppy', 'name': 'angeli ⏎', 'id': 1152116503786872833, 'id_str': '1152116503786872833', 'indices': [0, 10]}, {'screen_name': 'evil_lolitaa', 'name': 'ฅlolitaฅ', 'id': 1160372651614806017, 'id_str': '1160372651614806017', 'indices': [11, 24]}], 'urls': []}",,en
1339020600744919041,2020-12-16 01:32:43,"why i love my oldest brother
1. he buys me suff 
2. he likes anime
3. he got me a gudetama plush
4. he likes sanrio
5. he respects pronouns
6. he isnt homophobic
7. hes funny",b'why i love my oldest brother\n1. he buys me suff \n2. he likes anime\n3. he got me a gudetama plush\n4. he likes sanrio\n5. he respects pronouns\n6. he isnt homophobic\n7. hes funny',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017676018962437,2020-12-16 01:21:06,@bateryacid @evil_lolitaa omg look,b'@bateryacid @evil_lolitaa omg look',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bateryacid', 'name': 'bateryacid ❆', 'id': 1225626781178200064, 'id_str': '1225626781178200064', 'indices': [0, 11]}, {'screen_name': 'evil_lolitaa', 'name': 'ฅlolitaฅ', 'id': 1160372651614806017, 'id_str': '1160372651614806017', 'indices': [12, 25]}], 'urls': []}",,en
1339017620398297088,2020-12-16 01:20:53,@bateryacid u see this @evil_lolitaa,b'@bateryacid u see this @evil_lolitaa',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bateryacid', 'name': 'bateryacid ❆', 'id': 1225626781178200064, 'id_str': '1225626781178200064', 'indices': [0, 11]}, {'screen_name': 'evil_lolitaa', 'name': 'ฅlolitaฅ', 'id': 1160372651614806017, 'id_str': '1160372651614806017', 'indices': [23, 36]}], 'urls': []}",,en
1339017193317564417,2020-12-16 01:19:11,@panda2767 lover is a day by cuco,b'@panda2767 lover is a day by cuco',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'panda2767', 'name': 'Panda~', 'id': 1105189039685160960, 'id_str': '1105189039685160960', 'indices': [0, 10]}], 'urls': []}",,en
1339016721731002370,2020-12-16 01:17:18,im this close to change my bio to he/him 17 so all my tweets will be bangers,b'im this close to change my bio to he/him 17 so all my tweets will be bangers',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338988560737730560,2020-12-15 23:25:24,HELP ME FIND THE FULL IMAGE PLEASE #hxh #hunterxhunter #anitwt #hxhtwt https://t.co/kjM42wmjtO,b'HELP ME FIND THE FULL IMAGE PLEASE #hxh #hunterxhunter #anitwt #hxhtwt https://t.co/kjM42wmjtO',"{'hashtags': [{'text': 'hxh', 'indices': [35, 39]}, {'text': 'hunterxhunter', 'indices': [40, 54]}, {'text': 'anitwt', 'indices': [55, 62]}, {'text': 'hxhtwt', 'indices': [63, 70]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338988549132062720, 'id_str': '1338988549132062720', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EpUK_b1VEAARjFu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUK_b1VEAARjFu.jpg', 'url': 'https://t.co/kjM42wmjtO', 'display_url': 'pic.twitter.com/kjM42wmjtO', 'expanded_url': 'https://twitter.com/notchainuser/status/1338988560737730560/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'small': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",,en
1338955592208011264,2020-12-15 21:14:24,@evil_lolitaa OMG,b'@evil_lolitaa OMG',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'evil_lolitaa', 'name': 'ฅlolitaฅ', 'id': 1160372651614806017, 'id_str': '1160372651614806017', 'indices': [0, 13]}], 'urls': []}",,und
1338944439616634880,2020-12-15 20:30:05,/summon moots https://t.co/R6RqkdtR1t,b'/summon moots https://t.co/R6RqkdtR1t',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338944374185418752, 'id_str': '1338944374185418752', 'indices': [14, 37], 'media_url': 'http://pbs.twimg.com/media/EpTi0HVUYAAJf58.png', 'media_url_https': 'https://pbs.twimg.com/media/EpTi0HVUYAAJf58.png', 'url': 'https://t.co/R6RqkdtR1t', 'display_url': 'pic.twitter.com/R6RqkdtR1t', 'expanded_url': 'https://twitter.com/notchainuser/status/1338944439616634880/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 527, 'h': 642, 'resize': 'fit'}, 'medium': {'w': 527, 'h': 642, 'resize': 'fit'}, 'small': {'w': 527, 'h': 642, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",,en
1338944233873403904,2020-12-15 20:29:16,"@haruhqueer they gave me: pan 
i’m:
they gave me: pieces   
i’m: 
they gave me: i bet ur single 
i’m:
they gave me: extrovert 
i’m: 

reply to this and i’ll give you based on your profile",b'@haruhqueer they gave me: pan \ni\xe2\x80\x99m:\nthey gave me: pieces   \ni\xe2\x80\x99m: \nthey gave me: i bet ur single \ni\xe2\x80\x99m:\nthey gave me: extrovert \ni\xe2\x80\x99m: \n\nreply to this and i\xe2\x80\x99ll give you based on your profile',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'haruhqueer', 'name': '; sofia', 'id': 1332794418932363264, 'id_str': '1332794418932363264', 'indices': [0, 11]}], 'urls': []}",,en
1338943697682014208,2020-12-15 20:27:08,@NEZEKOYU AHHAHAHAHAH,b'@NEZEKOYU AHHAHAHAHAH',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NEZEKOYU', 'name': 'YASMINE', 'id': 1332764782500470784, 'id_str': '1332764782500470784', 'indices': [0, 9]}], 'urls': []}",,it
1338943187470073857,2020-12-15 20:25:06,"they gave me: I feel like pan or bi no where straight
i’m: BI OMG
they gave me: libra 
i’m: aquarius eww
they gave me: taken
i’m: single hmu 
they gave me: introvert 
i’m:  amnivert idk how to speall it 

reply to this and i’ll give you based on your profile",b'they gave me: I feel like pan or bi no where straight\ni\xe2\x80\x99m: BI OMG\nthey gave me: libra \ni\xe2\x80\x99m: aquarius eww\nthey gave me: taken\ni\xe2\x80\x99m: single hmu \nthey gave me: introvert \ni\xe2\x80\x99m:  amnivert idk how to speall it \n\nreply to this and i\xe2\x80\x99ll give you based on your profile',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338941968970203136,2020-12-15 20:20:16,@NEZEKOYU heu,b'@NEZEKOYU heu',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NEZEKOYU', 'name': 'YASMINE', 'id': 1332764782500470784, 'id_str': '1332764782500470784', 'indices': [0, 9]}], 'urls': []}",,und
1338927155095322626,2020-12-15 19:21:24,pauin,b'pauin',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338926019361685504,2020-12-15 19:16:53,"""I don't have a clue what's going on here, but I'll act like I do!"" - naruto","b'""I don\'t have a clue what\'s going on here, but I\'ll act like I do!"" - naruto'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338781447448977417,2020-12-15 09:42:25,@evil_lolitaa hey bestie https://t.co/JDpoAQW3LP,b'@evil_lolitaa hey bestie https://t.co/JDpoAQW3LP',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'evil_lolitaa', 'name': 'ฅlolitaฅ', 'id': 1160372651614806017, 'id_str': '1160372651614806017', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/JDpoAQW3LP', 'expanded_url': 'https://twitter.com/BunnOfficial/status/1337982197656154113', 'display_url': 'twitter.com/BunnOfficial/s…', 'indices': [25, 48]}]}",,en
1338781344856358914,2020-12-15 09:42:00,idk https://t.co/8UEkD6jQfw,b'idk https://t.co/8UEkD6jQfw',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8UEkD6jQfw', 'expanded_url': 'https://twitter.com/BunnOfficial/status/1337981936317452289', 'display_url': 'twitter.com/BunnOfficial/s…', 'indices': [4, 27]}]}",,und
