id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339037291910557696,2020-12-16 02:39:03,@kylosnightmare :: baby 🥺,b'@kylosnightmare :: baby \xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kylosnightmare', 'name': '𝓣𝐇𝐄 𝓖𝐄𝐍𝐄𝐑𝐀𝐋. is not a simp.', 'id': 1097327722903363586, 'id_str': '1097327722903363586', 'indices': [0, 15]}], 'urls': []}",,en
1339037255013261312,2020-12-16 02:38:54,So far https://t.co/uhIsqPlb3N,b'So far https://t.co/uhIsqPlb3N',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uhIsqPlb3N', 'expanded_url': 'https://twitter.com/captainsordersx/status/1339037031066980354', 'display_url': 'twitter.com/captainsorders…', 'indices': [7, 30]}]}",,en
1339035431283773442,2020-12-16 02:31:39,"He is... uh, flattered? https://t.co/89A84sEGba","b'He is... uh, flattered? https://t.co/89A84sEGba'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/89A84sEGba', 'expanded_url': 'https://twitter.com/captainsordersx/status/1339033663758102534', 'display_url': 'twitter.com/captainsorders…', 'indices': [24, 47]}]}",,en
1339035347116642304,2020-12-16 02:31:19,"Very well.. 

Krei will settle for lingering https://t.co/GqYqZcrqop",b'Very well.. \n\nKrei will settle for lingering https://t.co/GqYqZcrqop',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GqYqZcrqop', 'expanded_url': 'https://twitter.com/kylosnightmare/status/1339035206473412610', 'display_url': 'twitter.com/kylosnightmare…', 'indices': [45, 68]}]}",,en
1339021216816852992,2020-12-16 01:35:10,Is he sure? https://t.co/YSWS1p2UrD,b'Is he sure? https://t.co/YSWS1p2UrD',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YSWS1p2UrD', 'expanded_url': 'https://twitter.com/kylosnightmare/status/1339021067915046912', 'display_url': 'twitter.com/kylosnightmare…', 'indices': [12, 35]}]}",,en
1339017854398525441,2020-12-16 01:21:48,:: The C/Krei’s and their obsession for Hux,b':: The C/Krei\xe2\x80\x99s and their obsession for Hux',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017675217911808,2020-12-16 01:21:06,Does he have to get shot again to get the Generals attention? Because he will.. https://t.co/8LpeDiIIfy,b'Does he have to get shot again to get the Generals attention? Because he will.. https://t.co/8LpeDiIIfy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8LpeDiIIfy', 'expanded_url': 'https://twitter.com/kylosnightmare/status/1339016606194819073', 'display_url': 'twitter.com/kylosnightmare…', 'indices': [80, 103]}]}",,en
1339008981084164096,2020-12-16 00:46:33,And what’s stopped him? https://t.co/4PLmYrTuBn,b'And what\xe2\x80\x99s stopped him? https://t.co/4PLmYrTuBn',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4PLmYrTuBn', 'expanded_url': 'https://twitter.com/kylosnightmare/status/1339008515764051968', 'display_url': 'twitter.com/kylosnightmare…', 'indices': [24, 47]}]}",,en
1339007314846654465,2020-12-16 00:39:56,Hux should think about spending some time with Krei.. not being red https://t.co/QQ1pLLxiTR,b'Hux should think about spending some time with Krei.. not being red https://t.co/QQ1pLLxiTR',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QQ1pLLxiTR', 'expanded_url': 'https://twitter.com/kylosnightmare/status/1339006467173703683', 'display_url': 'twitter.com/kylosnightmare…', 'indices': [68, 91]}]}",,en
1338995157073416192,2020-12-15 23:51:37,RT @kylosnightmare: 𝐏𝐒𝐀: THE RESISTANCE IS NOT SEXY. ANY FIRST ORDER EMPLOYEE THINKING OTHERWISE SHOULD REPORT TO CAPTAIN PHASMA FOR RECOND…,b'RT @kylosnightmare: \xf0\x9d\x90\x8f\xf0\x9d\x90\x92\xf0\x9d\x90\x80: THE RESISTANCE IS NOT SEXY. ANY FIRST ORDER EMPLOYEE THINKING OTHERWISE SHOULD REPORT TO CAPTAIN PHASMA FOR RECOND\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kylosnightmare', 'name': '𝓣𝐇𝐄 𝓖𝐄𝐍𝐄𝐑𝐀𝐋. is not a simp.', 'id': 1097327722903363586, 'id_str': '1097327722903363586', 'indices': [3, 18]}], 'urls': []}",,en
1338993237655056384,2020-12-15 23:43:59,"Red suits him. 

Krei likes Hux and Red https://t.co/Nhf4lDxr08",b'Red suits him. \n\nKrei likes Hux and Red https://t.co/Nhf4lDxr08',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Nhf4lDxr08', 'expanded_url': 'https://twitter.com/kylosnightmare/status/1338992808988905473', 'display_url': 'twitter.com/kylosnightmare…', 'indices': [40, 63]}]}",,en
