id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017666661670915,2020-12-16 01:21:04,"@TA_Recruiting @TexAgs 5 **** OL is a solid haul! 
Mix in the talent on the defensive side of the ball #FutureIsBright! @AggieFootball",b'@TA_Recruiting @TexAgs 5 **** OL is a solid haul! \nMix in the talent on the defensive side of the ball #FutureIsBright! @AggieFootball',"{'hashtags': [{'text': 'FutureIsBright', 'indices': [103, 118]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TA_Recruiting', 'name': 'TexAgs Recruiting', 'id': 3246312950, 'id_str': '3246312950', 'indices': [0, 14]}, {'screen_name': 'TexAgs', 'name': 'TexAgs', 'id': 24127368, 'id_str': '24127368', 'indices': [15, 22]}, {'screen_name': 'AggieFootball', 'name': 'Texas A&M Football', 'id': 57436774, 'id_str': '57436774', 'indices': [120, 134]}], 'urls': []}",,en
1338675917753815040,2020-12-15 02:43:04,"Modern #Atheism is inherently flawed: 
Each want to be their own god - deciding right from wrong as they see fit,
All the while, rejecting the One who created this internal moral code they adhere to.
All He desires is the heart’s #humible #submission to the cross of #Christ!","b'Modern #Atheism is inherently flawed: \nEach want to be their own god - deciding right from wrong as they see fit,\nAll the while, rejecting the One who created this internal moral code they adhere to.\nAll He desires is the heart\xe2\x80\x99s #humible #submission to the cross of #Christ!'","{'hashtags': [{'text': 'Atheism', 'indices': [7, 15]}, {'text': 'humible', 'indices': [230, 238]}, {'text': 'submission', 'indices': [239, 250]}, {'text': 'Christ', 'indices': [267, 274]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338487314159427591,2020-12-14 14:13:38,@TexAgsRadio We are entering the most important week in @AggieFootball history!! #CFBPlayoff,b'@TexAgsRadio We are entering the most important week in @AggieFootball history!! #CFBPlayoff',"{'hashtags': [{'text': 'CFBPlayoff', 'indices': [81, 92]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TexAgsRadio', 'name': 'TexAgs Radio', 'id': 345653910, 'id_str': '345653910', 'indices': [0, 12]}, {'screen_name': 'AggieFootball', 'name': 'Texas A&M Football', 'id': 57436774, 'id_str': '57436774', 'indices': [56, 70]}], 'urls': []}",,en
1338186248654041088,2020-12-13 18:17:18,"@HoustonSpurs @FA Never a #Penalty! That’s straight into the wall. 
#Liverpool bailed out again... #EPL #FA",b'@HoustonSpurs @FA Never a #Penalty! That\xe2\x80\x99s straight into the wall. \n#Liverpool bailed out again... #EPL #FA',"{'hashtags': [{'text': 'Penalty', 'indices': [26, 34]}, {'text': 'Liverpool', 'indices': [68, 78]}, {'text': 'EPL', 'indices': [99, 103]}, {'text': 'FA', 'indices': [104, 107]}], 'symbols': [], 'user_mentions': [{'screen_name': 'HoustonSpurs', 'name': 'Houston Spurs', 'id': 900150170, 'id_str': '900150170', 'indices': [0, 13]}, {'screen_name': 'FA', 'name': 'The FA', 'id': 39360648, 'id_str': '39360648', 'indices': [14, 17]}], 'urls': []}",,en
1338185736273731585,2020-12-13 18:15:16,@OU_Football All transfers...,b'@OU_Football All transfers...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OU_Football', 'name': 'Oklahoma Football', 'id': 407208905, 'id_str': '407208905', 'indices': [0, 12]}], 'urls': []}",,en
1338153852147818496,2020-12-13 16:08:34,"2 points dropped. 
Too defensive in 2nd half. #spurs #coys #jose",b'2 points dropped. \nToo defensive in 2nd half. #spurs #coys #jose',"{'hashtags': [{'text': 'spurs', 'indices': [46, 52]}, {'text': 'coys', 'indices': [53, 58]}, {'text': 'jose', 'indices': [59, 64]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338152437648125957,2020-12-13 16:02:57,"@natecancook He’s definitely made up for the error on the Kane goal.. 
he’s made some spectacular stops..",b'@natecancook He\xe2\x80\x99s definitely made up for the error on the Kane goal.. \nhe\xe2\x80\x99s made some spectacular stops..',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}], 'urls': []}",,en
1337917822245236736,2020-12-13 00:30:40,"@jck015 @ElCuchinero I married a half-Brit, who appreciates the world’s game! 🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽️","b'@jck015 @ElCuchinero I married a half-Brit, who appreciates the world\xe2\x80\x99s game! \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\xe2\x9a\xbd\xef\xb8\x8f'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jck015', 'name': 'Jenson Kerr', 'id': 185729579, 'id_str': '185729579', 'indices': [0, 7]}, {'screen_name': 'ElCuchinero', 'name': 'Juanito', 'id': 1062174385, 'id_str': '1062174385', 'indices': [8, 20]}], 'urls': []}",,en
1337215589312552963,2020-12-11 02:00:15,"@natecancook While I 100% agree that having a mask with a hole in it is stupid and completely disregards the need for a mask, I’m 1000% sure every other school in America does the same Thing for their band... #ftab","b'@natecancook While I 100% agree that having a mask with a hole in it is stupid and completely disregards the need for a mask, I\xe2\x80\x99m 1000% sure every other school in America does the same Thing for their band... #ftab'","{'hashtags': [{'text': 'ftab', 'indices': [209, 214]}], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}], 'urls': []}",,en
1337210698032672769,2020-12-11 01:40:49,"@natecancook No need to throw stones. 😁
We’re on the same team here! #spurs",b'@natecancook No need to throw stones. \xf0\x9f\x98\x81\nWe\xe2\x80\x99re on the same team here! #spurs',"{'hashtags': [{'text': 'spurs', 'indices': [69, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}], 'urls': []}",,en
1337209052846305282,2020-12-11 01:34:16,"@natecancook Well in this convo, I’d say #Dele ruined Dele, not #Poch","b'@natecancook Well in this convo, I\xe2\x80\x99d say #Dele ruined Dele, not #Poch'","{'hashtags': [{'text': 'Dele', 'indices': [41, 46]}, {'text': 'Poch', 'indices': [64, 69]}], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}], 'urls': []}",,en
1337208579036770309,2020-12-11 01:32:24,"@natecancook He’s capable of a moment of brilliance, and has that flair, but it’s all down to his attitude.","b'@natecancook He\xe2\x80\x99s capable of a moment of brilliance, and has that flair, but it\xe2\x80\x99s all down to his attitude.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}], 'urls': []}",,en
1337206755768619014,2020-12-11 01:25:09,@natecancook I think #Dele was too good too fast. Doesn’t want to work to improve. He’s been resting on his laurels for years now. #Icarus,b'@natecancook I think #Dele was too good too fast. Doesn\xe2\x80\x99t want to work to improve. He\xe2\x80\x99s been resting on his laurels for years now. #Icarus',"{'hashtags': [{'text': 'Dele', 'indices': [21, 26]}, {'text': 'Icarus', 'indices': [131, 138]}], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}], 'urls': []}",,en
1336534409013587969,2020-12-09 04:53:29,"@billyliucci @ESPNCFB @KirkHerbstreit Will the ND/Clemson game be a de facto play-in game? 
How does a 1 Loss #ND and a 1 Loss #A&amp;M teams compare?? 
#CFBPlayoff",b'@billyliucci @ESPNCFB @KirkHerbstreit Will the ND/Clemson game be a de facto play-in game? \nHow does a 1 Loss #ND and a 1 Loss #A&amp;M teams compare?? \n#CFBPlayoff',"{'hashtags': [{'text': 'ND', 'indices': [110, 113]}, {'text': 'A', 'indices': [127, 129]}, {'text': 'CFBPlayoff', 'indices': [153, 164]}], 'symbols': [], 'user_mentions': [{'screen_name': 'billyliucci', 'name': 'Billy Liucci', 'id': 70079259, 'id_str': '70079259', 'indices': [0, 12]}, {'screen_name': 'ESPNCFB', 'name': 'ESPN College Football', 'id': 57100687, 'id_str': '57100687', 'indices': [13, 21]}, {'screen_name': 'KirkHerbstreit', 'name': 'Kirk Herbstreit', 'id': 790136510, 'id_str': '790136510', 'indices': [22, 37]}], 'urls': []}",,en
1336101367606366208,2020-12-08 00:12:44,@mbpRivals Especially that OLine! #MaroonGoons #gigem 👍,b'@mbpRivals Especially that OLine! #MaroonGoons #gigem \xf0\x9f\x91\x8d',"{'hashtags': [{'text': 'MaroonGoons', 'indices': [34, 46]}, {'text': 'gigem', 'indices': [47, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mbpRivals', 'name': 'Mark Passwaters', 'id': 21835599, 'id_str': '21835599', 'indices': [0, 10]}], 'urls': []}",,en
1335740317220409344,2020-12-07 00:18:03,"@natecancook Come on You, top of the table, #SPURS!!!
@SpursOfficial","b'@natecancook Come on You, top of the table, #SPURS!!!\n@SpursOfficial'","{'hashtags': [{'text': 'SPURS', 'indices': [44, 50]}], 'symbols': [], 'user_mentions': [{'screen_name': 'natecancook', 'name': 'Sonny Daze', 'id': 132576056, 'id_str': '132576056', 'indices': [0, 12]}, {'screen_name': 'SpursOfficial', 'name': 'Tottenham Hotspur', 'id': 121402638, 'id_str': '121402638', 'indices': [54, 68]}], 'urls': []}",,en
1335315981246324747,2020-12-05 20:11:53,"@AggieFootball ”Just WIN, Baby!!”
#gigem","b'@AggieFootball \xe2\x80\x9dJust WIN, Baby!!\xe2\x80\x9d\n#gigem'","{'hashtags': [{'text': 'gigem', 'indices': [34, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AggieFootball', 'name': 'Texas A&M Football', 'id': 57436774, 'id_str': '57436774', 'indices': [0, 14]}], 'urls': []}",,en
1335310228770975744,2020-12-05 19:49:02,"@EseHombreLu @TexAgs Lane also wide open underneath.. 
why are we forcing it to Jalen?!",b'@EseHombreLu @TexAgs Lane also wide open underneath.. \nwhy are we forcing it to Jalen?!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EseHombreLu', 'name': 'President-Elect Lu✌️', 'id': 495573701, 'id_str': '495573701', 'indices': [0, 12]}, {'screen_name': 'TexAgs', 'name': 'TexAgs', 'id': 24127368, 'id_str': '24127368', 'indices': [13, 20]}], 'urls': []}",,en
1335297924885049345,2020-12-05 19:00:08,Make the adjustment Aggie D!! Cmon!,b'Make the adjustment Aggie D!! Cmon!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335276780677165057,2020-12-05 17:36:07,"Dual screens on a CFB Saturday. 
#DadLife https://t.co/ZUPm3yZ7xp",b'Dual screens on a CFB Saturday. \n#DadLife https://t.co/ZUPm3yZ7xp',"{'hashtags': [{'text': 'DadLife', 'indices': [33, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1335276773311983618, 'id_str': '1335276773311983618', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/EofbJpYXMAIxCzQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EofbJpYXMAIxCzQ.jpg', 'url': 'https://t.co/ZUPm3yZ7xp', 'display_url': 'pic.twitter.com/ZUPm3yZ7xp', 'expanded_url': 'https://twitter.com/seebond/status/1335276780677165057/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1335274264971390980,2020-12-05 17:26:07,@BarstoolTexasAM Just don’t stink out the ball on a QB sneak.... https://t.co/62iVaiZBzS,b'@BarstoolTexasAM Just don\xe2\x80\x99t stink out the ball on a QB sneak.... https://t.co/62iVaiZBzS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BarstoolTexasAM', 'name': 'Barstool Texas A&M', 'id': 2411307714, 'id_str': '2411307714', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1335274258960879618, 'id_str': '1335274258960879618', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EofY3SsWEAIQb42.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EofY3SsWEAIQb42.jpg', 'url': 'https://t.co/62iVaiZBzS', 'display_url': 'pic.twitter.com/62iVaiZBzS', 'expanded_url': 'https://twitter.com/seebond/status/1335274264971390980/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 320, 'h': 234, 'resize': 'fit'}, 'small': {'w': 320, 'h': 234, 'resize': 'fit'}, 'large': {'w': 320, 'h': 234, 'resize': 'fit'}}}]}",,en
1334585142099251201,2020-12-03 19:47:47,"Serves me right.... Typical. 
#Spurs #EuropaLeague",b'Serves me right.... Typical. \n#Spurs #EuropaLeague',"{'hashtags': [{'text': 'Spurs', 'indices': [30, 36]}, {'text': 'EuropaLeague', 'indices': [37, 50]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334583197540159492,2020-12-03 19:40:04,"Dele! 
Good for him to get the match winner! #EuropaLeague",b'Dele! \nGood for him to get the match winner! #EuropaLeague',"{'hashtags': [{'text': 'EuropaLeague', 'indices': [45, 58]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334340311464677382,2020-12-03 03:34:55,This group! 🔥🔥🔥👍 https://t.co/lLlboYsAAI,b'This group! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x91\x8d https://t.co/lLlboYsAAI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lLlboYsAAI', 'expanded_url': 'https://twitter.com/GabeBock/status/1334320287769358336', 'display_url': 'twitter.com/GabeBock/statu…', 'indices': [17, 40]}]}",,en
1334023317024624640,2020-12-02 06:35:18,"@TheSpursExpress @espnfc is an embarrassment to the Americans who ARE actually intelligent fans. 
They’re utterly oblivious and don’t have a pulse on the game. 
Don’t take a word they say seriously",b'@TheSpursExpress @espnfc is an embarrassment to the Americans who ARE actually intelligent fans. \nThey\xe2\x80\x99re utterly oblivious and don\xe2\x80\x99t have a pulse on the game. \nDon\xe2\x80\x99t take a word they say seriously',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheSpursExpress', 'name': 'The Spurs Express', 'id': 374224859, 'id_str': '374224859', 'indices': [0, 16]}, {'screen_name': 'ESPNFC', 'name': 'ESPN FC', 'id': 18091004, 'id_str': '18091004', 'indices': [17, 24]}], 'urls': []}",,en
