id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339023430121820165,2020-12-16 01:43:58,@taebtz_ i don’t know which fan site this is but i think the numbers in the little box is their stuff idk https://t.co/5dtrJMupIt,b'@taebtz_ i don\xe2\x80\x99t know which fan site this is but i think the numbers in the little box is their stuff idk https://t.co/5dtrJMupIt',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taebtz_', 'name': '𝐛𝐢𝐚⁷', 'id': 950807433533902849, 'id_str': '950807433533902849', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 1339023371313549313, 'id_str': '1339023371313549313', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/EpUqqWkXEAEoWB8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUqqWkXEAEoWB8.jpg', 'url': 'https://t.co/5dtrJMupIt', 'display_url': 'pic.twitter.com/5dtrJMupIt', 'expanded_url': 'https://twitter.com/skzIixie/status/1339023430121820165/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1352, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 449, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 792, 'h': 1200, 'resize': 'fit'}}}]}",,en
1339022979141935105,2020-12-16 01:42:10,chans hair is looking good again i’m gonna eat him https://t.co/MD5FwnGW0v,b'chans hair is looking good again i\xe2\x80\x99m gonna eat him https://t.co/MD5FwnGW0v',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339022943402209280, 'id_str': '1339022943402209280', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EpUqRceWMAAdyoU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUqRceWMAAdyoU.jpg', 'url': 'https://t.co/MD5FwnGW0v', 'display_url': 'pic.twitter.com/MD5FwnGW0v', 'expanded_url': 'https://twitter.com/skzIixie/status/1339022979141935105/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1208, 'h': 1208, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1339022840360820738,2020-12-16 01:41:37,but where is binnie,b'but where is binnie',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339022172635934721,2020-12-16 01:38:58,oomf how are you finding out felix and hyunjins hair is fake,b'oomf how are you finding out felix and hyunjins hair is fake',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339021021685407746,2020-12-16 01:34:24,@minchanner WHAT HOW THE HELL,b'@minchanner WHAT HOW THE HELL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minchanner', 'name': '🐈\u200d⬛', 'id': 1301688897328615424, 'id_str': '1301688897328615424', 'indices': [0, 11]}], 'urls': []}",,en
1339020698854023169,2020-12-16 01:33:07,@minchanner what is urs supposed to be besides cat and box,b'@minchanner what is urs supposed to be besides cat and box',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minchanner', 'name': '🐈\u200d⬛', 'id': 1301688897328615424, 'id_str': '1301688897328615424', 'indices': [0, 11]}], 'urls': []}",,en
1339020643031986177,2020-12-16 01:32:53,@minchanner damn 😔,b'@minchanner damn \xf0\x9f\x98\x94',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minchanner', 'name': '🐈\u200d⬛', 'id': 1301688897328615424, 'id_str': '1301688897328615424', 'indices': [0, 11]}], 'urls': []}",,en
1339020536551247878,2020-12-16 01:32:28,is ji drinking redbull he’s so sexy,b'is ji drinking redbull he\xe2\x80\x99s so sexy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339020441764163587,2020-12-16 01:32:05,@peachlix I FOUND JISUNG https://t.co/hVCH4JfbdC,b'@peachlix I FOUND JISUNG https://t.co/hVCH4JfbdC',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'peachlix', 'name': 'changbinator #13', 'id': 1024518190863396865, 'id_str': '1024518190863396865', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 1339020422839463936, 'id_str': '1339020422839463936', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/EpUn-upW8AAoJZv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUn-upW8AAoJZv.jpg', 'url': 'https://t.co/hVCH4JfbdC', 'display_url': 'pic.twitter.com/hVCH4JfbdC', 'expanded_url': 'https://twitter.com/skzIixie/status/1339020441764163587/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1348, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 448, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 790, 'h': 1200, 'resize': 'fit'}}}]}",,en
1339020292660846592,2020-12-16 01:31:30,@minchanner 🤩🏃‍♀️,b'@minchanner \xf0\x9f\xa4\xa9\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minchanner', 'name': '🐈\u200d⬛', 'id': 1301688897328615424, 'id_str': '1301688897328615424', 'indices': [0, 11]}], 'urls': []}",,und
1339020046446833664,2020-12-16 01:30:31,@minchanner it’s so sad 😭😭 https://t.co/lmISlM4CVh,b'@minchanner it\xe2\x80\x99s so sad \xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/lmISlM4CVh',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minchanner', 'name': '🐈\u200d⬛', 'id': 1301688897328615424, 'id_str': '1301688897328615424', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1339020039010332674, 'id_str': '1339020039010332674', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/EpUnoYxXMAIy5sN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUnoYxXMAIy5sN.jpg', 'url': 'https://t.co/lmISlM4CVh', 'display_url': 'pic.twitter.com/lmISlM4CVh', 'expanded_url': 'https://twitter.com/skzIixie/status/1339020046446833664/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 414, 'h': 166, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 414, 'h': 166, 'resize': 'fit'}, 'large': {'w': 414, 'h': 166, 'resize': 'fit'}}}]}",,en
1339019889059762177,2020-12-16 01:29:53,if i don’t see jisung in two seconds that’s IT,b'if i don\xe2\x80\x99t see jisung in two seconds that\xe2\x80\x99s IT',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339019837725696001,2020-12-16 01:29:41,@minchanner yes,b'@minchanner yes',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minchanner', 'name': '🐈\u200d⬛', 'id': 1301688897328615424, 'id_str': '1301688897328615424', 'indices': [0, 11]}], 'urls': []}",,und
1339019600974008322,2020-12-16 01:28:45,@peachlix THATS INSANE,b'@peachlix THATS INSANE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'peachlix', 'name': 'changbinator #13', 'id': 1024518190863396865, 'id_str': '1024518190863396865', 'indices': [0, 9]}], 'urls': []}",,en
1339019444866125825,2020-12-16 01:28:08,@peachlix ur kidding i’m gonna kick a wall,b'@peachlix ur kidding i\xe2\x80\x99m gonna kick a wall',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'peachlix', 'name': 'changbinator #13', 'id': 1024518190863396865, 'id_str': '1024518190863396865', 'indices': [0, 9]}], 'urls': []}",,en
1339018574363570178,2020-12-16 01:24:40,RT @skzzphoria: don’t spread glitterychan and unlock’s fansite pictures even if you want to spread pictures of the new hair colors. they bo…,b'RT @skzzphoria: don\xe2\x80\x99t spread glitterychan and unlock\xe2\x80\x99s fansite pictures even if you want to spread pictures of the new hair colors. they bo\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'skzzphoria', 'name': '♛ leah ♡', 'id': 1285946316770742272, 'id_str': '1285946316770742272', 'indices': [3, 14]}], 'urls': []}",,en
1339018244880003072,2020-12-16 01:23:21,WHERE is jisung,b'WHERE is jisung',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017680699994112,2020-12-16 01:21:07,the white boots are back i’m going to heaven,b'the white boots are back i\xe2\x80\x99m going to heaven',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017383504175105,2020-12-16 01:19:56,i will be exiled for the words i will say,b'i will be exiled for the words i will say',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
