id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339036938037325825,2020-12-16 02:37:38,@BestBuy I have 2 PS5.. My kids dont want PS5 anymore cause they friends didn’t get them... so I’m trying to sell them and buy Series X Xbox’s for them since there friends got Xbox’s.. Please DM me if you’re serious inquiries! Thank you,b'@BestBuy I have 2 PS5.. My kids dont want PS5 anymore cause they friends didn\xe2\x80\x99t get them... so I\xe2\x80\x99m trying to sell them and buy Series X Xbox\xe2\x80\x99s for them since there friends got Xbox\xe2\x80\x99s.. Please DM me if you\xe2\x80\x99re serious inquiries! Thank you',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BestBuy', 'name': 'Best Buy', 'id': 17475575, 'id_str': '17475575', 'indices': [0, 8]}], 'urls': []}",,en
1339017673808736262,2020-12-16 01:21:05,@BestBuy Got 2 PS5 for sale... since my kids changed there mind and want Xbox’s now since there friends couldn’t get the PS5,b'@BestBuy Got 2 PS5 for sale... since my kids changed there mind and want Xbox\xe2\x80\x99s now since there friends couldn\xe2\x80\x99t get the PS5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BestBuy', 'name': 'Best Buy', 'id': 17475575, 'id_str': '17475575', 'indices': [0, 8]}], 'urls': []}",,en
1339001921210896384,2020-12-16 00:18:30,"@BestBuy I got 2 PS5’s for sale , since my kids changed there mind and want Xbox’s now since there friends couldn’t get the PS5","b'@BestBuy I got 2 PS5\xe2\x80\x99s for sale , since my kids changed there mind and want Xbox\xe2\x80\x99s now since there friends couldn\xe2\x80\x99t get the PS5'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BestBuy', 'name': 'Best Buy', 'id': 17475575, 'id_str': '17475575', 'indices': [0, 8]}], 'urls': []}",,en
1334899329501368322,2020-12-04 16:36:16,I’m shy.. but I’m nasty as fuckkkkkk,b'I\xe2\x80\x99m shy.. but I\xe2\x80\x99m nasty as fuckkkkkk',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1329041621409820674,2020-11-18 12:39:49,RT @jaycritch: Chase Goals Not People,b'RT @jaycritch: Chase Goals Not People',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jaycritch', 'name': 'Jay Critch', 'id': 2231716329, 'id_str': '2231716329', 'indices': [3, 13]}], 'urls': []}",,en
1327303721932492802,2020-11-13 17:34:02,@zaiarevilla dm me,b'@zaiarevilla dm me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zaiarevilla', 'name': 'zaiaaaa 💅🏼🐉🌺', 'id': 826632661766696960, 'id_str': '826632661766696960', 'indices': [0, 12]}], 'urls': []}",,en
1321595722907717635,2020-10-28 23:32:29,i wanna be laid up getting my booty rubbed 😫,b'i wanna be laid up getting my booty rubbed \xf0\x9f\x98\xab',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1321589963587244037,2020-10-28 23:09:35,u move different when you’re tired of getting your feelings hurt,b'u move different when you\xe2\x80\x99re tired of getting your feelings hurt',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1321188333444386818,2020-10-27 20:33:39,"I’m an overthinker so if you don’t give me an answer, I’ll come up with one 🤕","b'I\xe2\x80\x99m an overthinker so if you don\xe2\x80\x99t give me an answer, I\xe2\x80\x99ll come up with one \xf0\x9f\xa4\x95'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1320586684761866240,2020-10-26 04:42:55,@Pameel98 literally than be fighting by the end of the first week  😭😭😭,b'@Pameel98 literally than be fighting by the end of the first week  \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pameel98', 'name': 'Pam B', 'id': 320984365, 'id_str': '320984365', 'indices': [0, 9]}], 'urls': []}",,en
1320581160410484737,2020-10-26 04:20:58,RT @PrincesaRonicaa: I hate texting 🙄 come live with me,b'RT @PrincesaRonicaa: I hate texting \xf0\x9f\x99\x84 come live with me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PrincesaRonicaa', 'name': 'mami 🤤', 'id': 1207202558386806785, 'id_str': '1207202558386806785', 'indices': [3, 19]}], 'urls': []}",,en
1320581103963525120,2020-10-26 04:20:45,I hate texting 🙄 come live with me,b'I hate texting \xf0\x9f\x99\x84 come live with me',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1320572443031986176,2020-10-26 03:46:20,RT @badmamiiiii: i can be in my bed and still be busy,b'RT @badmamiiiii: i can be in my bed and still be busy',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'badmamiiiii', 'name': 'Aiiko 💕🥀', 'id': 1134452258471653378, 'id_str': '1134452258471653378', 'indices': [3, 15]}], 'urls': []}",,en
1320442363127439363,2020-10-25 19:09:26,i owe myself an apology for the shit i let slide,b'i owe myself an apology for the shit i let slide',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1269283516682027011,2020-06-06 15:02:27,dating someone who pushes u to do better is important,b'dating someone who pushes u to do better is important',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1264283887322234880,2020-05-23 19:55:42,my toxic trait: i always assume the worst because that all i’ve ever experienced,b'my toxic trait: i always assume the worst because that all i\xe2\x80\x99ve ever experienced',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1263416579313799168,2020-05-21 10:29:20,RT @Polo_Capalot: U just gotta stay hungry &amp; humble🖤💯,b'RT @Polo_Capalot: U just gotta stay hungry &amp; humble\xf0\x9f\x96\xa4\xf0\x9f\x92\xaf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Polo_Capalot', 'name': 'Polo.G🐐', 'id': 772789437063368704, 'id_str': '772789437063368704', 'indices': [3, 16]}], 'urls': []}",,en
1263169922055770112,2020-05-20 18:09:12,"Its attractive when you get the same effort you give, effort is attractive.","b'Its attractive when you get the same effort you give, effort is attractive.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1262512046341488640,2020-05-18 22:35:02,how u gon b loyal to yo homies but not to yo girl that seems very gay to me,b'how u gon b loyal to yo homies but not to yo girl that seems very gay to me',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1262508998810533895,2020-05-18 22:22:56,hotel sex have you doing it 40 times in one night😭 gotta get ya money’s worth,b'hotel sex have you doing it 40 times in one night\xf0\x9f\x98\xad gotta get ya money\xe2\x80\x99s worth',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1262197603145572354,2020-05-18 01:45:33,"do NOT. I repeat, DO NOT call yourself my friend if you let people disrespect my name when im not around.","b'do NOT. I repeat, DO NOT call yourself my friend if you let people disrespect my name when im not around.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1260266140615524354,2020-05-12 17:50:37,"if i ever become an option, don’t choose me.","b'if i ever become an option, don\xe2\x80\x99t choose me.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1259889322775453696,2020-05-11 16:53:16,male friends that genuinely wanna be your friend and make sure you’re okay 🥺 &gt;&gt;&gt;&gt;,b'male friends that genuinely wanna be your friend and make sure you\xe2\x80\x99re okay \xf0\x9f\xa5\xba &gt;&gt;&gt;&gt;',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1259866772410433537,2020-05-11 15:23:40,l just drove for 30 mins in GTA  to cIear my mind.,b'l just drove for 30 mins in GTA  to cIear my mind.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
