id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339123728635060225,2020-12-16 08:22:31,RT @sosa_ttw: RETWEET THIS SO MY MUTUALS FIND ME 🥺🥺🥺,b'RT @sosa_ttw: RETWEET THIS SO MY MUTUALS FIND ME \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sosa_ttw', 'name': 'sosæ', 'id': 1338632970647822340, 'id_str': '1338632970647822340', 'indices': [3, 12]}], 'urls': []}",,en
1339122877031993346,2020-12-16 08:19:08,RT @JeeromeIII: +1❤🥀....got balloons today😂❤ https://t.co/60fAi1rBWq,b'RT @JeeromeIII: +1\xe2\x9d\xa4\xf0\x9f\xa5\x80....got balloons today\xf0\x9f\x98\x82\xe2\x9d\xa4 https://t.co/60fAi1rBWq',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JeeromeIII', 'name': 'Yummyulack', 'id': 1089440400593559553, 'id_str': '1089440400593559553', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1339111976946069505, 'id_str': '1339111976946069505', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/media/EpV7P4RXcAERpBT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpV7P4RXcAERpBT.jpg', 'url': 'https://t.co/60fAi1rBWq', 'display_url': 'pic.twitter.com/60fAi1rBWq', 'expanded_url': 'https://twitter.com/JeeromeIII/status/1339112059179556865/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 331, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 996, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 584, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1339112059179556865, 'source_status_id_str': '1339112059179556865', 'source_user_id': 1089440400593559553, 'source_user_id_str': '1089440400593559553'}]}",,en
1339122861383049216,2020-12-16 08:19:04,@JeeromeIII cheheheheyyyy 🤩,b'@JeeromeIII cheheheheyyyy \xf0\x9f\xa4\xa9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JeeromeIII', 'name': 'Yummyulack', 'id': 1089440400593559553, 'id_str': '1089440400593559553', 'indices': [0, 11]}], 'urls': []}",,tl
1339018409892323330,2020-12-16 01:24:01,RT @zYEchii: pray for your bros.,b'RT @zYEchii: pray for your bros.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zYEchii', 'name': 'guzman🛋🐐👑', 'id': 1018487102244257793, 'id_str': '1018487102244257793', 'indices': [3, 11]}], 'urls': []}",,en
1339017657157357568,2020-12-16 01:21:01,people on the internet are crazy 😹😹😭,b'people on the internet are crazy \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339017466912120832,2020-12-16 01:20:16,not enen no shouboutai 😭😭😭 https://t.co/wW3OJhZfbP,b'not enen no shouboutai \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/wW3OJhZfbP',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wW3OJhZfbP', 'expanded_url': 'https://twitter.com/KookieAwkward/status/1338719745550520321', 'display_url': 'twitter.com/KookieAwkward/…', 'indices': [27, 50]}]}",,en
1339003039554936833,2020-12-16 00:22:56,*deep heavy negro sigh*,b'*deep heavy negro sigh*',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339000342575521792,2020-12-16 00:12:13,@will__sho 😭😭😭,b'@will__sho \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'will__sho', 'name': '𝘱𝘦𝘳𝘦 𝘱𝘰𝘯𝘴〄', 'id': 2737170495, 'id_str': '2737170495', 'indices': [0, 10]}], 'urls': []}",,und
1338999578453012482,2020-12-16 00:09:11,@will__sho pere pons??,b'@will__sho pere pons??',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'will__sho', 'name': '𝘱𝘦𝘳𝘦 𝘱𝘰𝘯𝘴〄', 'id': 2737170495, 'id_str': '2737170495', 'indices': [0, 10]}], 'urls': []}",,en
1338998391922167810,2020-12-16 00:04:28,RT @YOghifo: Media update https://t.co/hgIfaQk9YY,b'RT @YOghifo: Media update https://t.co/hgIfaQk9YY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YOghifo', 'name': '_CERTIFIED LOVER BOY_', 'id': 764509367169323008, 'id_str': '764509367169323008', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338993661485477893, 'id_str': '1338993661485477893', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EpUPpA1XcAU9aRl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpUPpA1XcAU9aRl.jpg', 'url': 'https://t.co/hgIfaQk9YY', 'display_url': 'pic.twitter.com/hgIfaQk9YY', 'expanded_url': 'https://twitter.com/YOghifo/status/1338993681857130497/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338993681857130497, 'source_status_id_str': '1338993681857130497', 'source_user_id': 764509367169323008, 'source_user_id_str': '764509367169323008'}]}",,en
