id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339056428145754113,2020-12-16 03:55:05,@GeePersists @AllenLEllison @davidhogg111 (and thank you @AllenLEllison for listening in!!),b'@GeePersists @AllenLEllison @davidhogg111 (and thank you @AllenLEllison for listening in!!)',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeePersists', 'name': 'Gina Resists', 'id': 972596497429749760, 'id_str': '972596497429749760', 'indices': [0, 12]}, {'screen_name': 'AllenLEllison', 'name': 'Allen Ellison for Florida', 'id': 25919401, 'id_str': '25919401', 'indices': [13, 27]}, {'screen_name': 'davidhogg111', 'name': 'David Hogg 📢', 'id': 1915033663, 'id_str': '1915033663', 'indices': [28, 41]}, {'screen_name': 'AllenLEllison', 'name': 'Allen Ellison for Florida', 'id': 25919401, 'id_str': '25919401', 'indices': [57, 71]}], 'urls': []}",,en
1339053660194533377,2020-12-16 03:44:05,@RaindropTechniq could be that is a rare combination.,b'@RaindropTechniq could be that is a rare combination.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339053248829788161,2020-12-16 03:42:27,@RaindropTechniq sounds like a super human &amp; doctor,b'@RaindropTechniq sounds like a super human &amp; doctor',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339052481494433793,2020-12-16 03:39:24,@RaindropTechniq how kind of you!  i am sure if it is someone you know that i am honored :),b'@RaindropTechniq how kind of you!  i am sure if it is someone you know that i am honored :)',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339049818849648640,2020-12-16 03:28:49,@RaindropTechniq here is another of me at the iditarod map in hotel https://t.co/vOAzd9F9F1,b'@RaindropTechniq here is another of me at the iditarod map in hotel https://t.co/vOAzd9F9F1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1339049727984201728, 'id_str': '1339049727984201728', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/media/EpVCog0U8AA-FQ1.png', 'media_url_https': 'https://pbs.twimg.com/media/EpVCog0U8AA-FQ1.png', 'url': 'https://t.co/vOAzd9F9F1', 'display_url': 'pic.twitter.com/vOAzd9F9F1', 'expanded_url': 'https://twitter.com/twobluecats/status/1339049818849648640/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 640, 'h': 480, 'resize': 'fit'}, 'large': {'w': 640, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 640, 'h': 480, 'resize': 'fit'}}}]}",,en
1339048838426886154,2020-12-16 03:24:56,@RaindropTechniq and doggies always are good therapy!  i am a big dog myself!,b'@RaindropTechniq and doggies always are good therapy!  i am a big dog myself!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339048581366304770,2020-12-16 03:23:54,@RaindropTechniq his musher recognized his name.  i think he might have been one of the lead dogs.,b'@RaindropTechniq his musher recognized his name.  i think he might have been one of the lead dogs.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339047925473669121,2020-12-16 03:21:18,@RaindropTechniq :)  not sure about the other doggy names in the photo.  detroit had only a little time to eat his fish b4 the others tried to jump in.  detroit i think was allergic to meats poultry.,b'@RaindropTechniq :)  not sure about the other doggy names in the photo.  detroit had only a little time to eat his fish b4 the others tried to jump in.  detroit i think was allergic to meats poultry.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339047553560498176,2020-12-16 03:19:49,@RaindropTechniq the name of the doggy!!,b'@RaindropTechniq the name of the doggy!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
1339046892747980800,2020-12-16 03:17:12,@RaindropTechniq his name is detroit,b'@RaindropTechniq his name is detroit',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaindropTechniq', 'name': 'Raindrop Techniq', 'id': 4698822624, 'id_str': '4698822624', 'indices': [0, 16]}], 'urls': []}",,en
