id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
974669629409947650,2018-03-16 15:32:02,"RT @LiamPayne: This time next week I'll be on my way to Japan! I've got some amazing memories from Japan, can't wait to be back #TBT https:…","b""RT @LiamPayne: This time next week I'll be on my way to Japan! I've got some amazing memories from Japan, can't wait to be back #TBT https:\xe2\x80\xa6""","{'hashtags': [{'text': 'TBT', 'indices': [128, 132]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LiamPayne', 'name': 'Liam', 'id': 158314798, 'id_str': '158314798', 'indices': [3, 13]}], 'urls': []}",,en
959207963834683397,2018-02-01 23:32:54,RT @LiamPayne: @Harry_Styles happy birthday H! Enjoy your day 🎈 x,b'RT @LiamPayne: @Harry_Styles happy birthday H! Enjoy your day \xf0\x9f\x8e\x88 x',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LiamPayne', 'name': 'Liam', 'id': 158314798, 'id_str': '158314798', 'indices': [3, 13]}, {'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': 181561712, 'id_str': '181561712', 'indices': [15, 28]}], 'urls': []}",,en
924382142532128769,2017-10-28 21:07:31,@NiallOfficial HI👋🏽👋🏽👋🏽👋🏽,b'@NiallOfficial HI\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NiallOfficial', 'name': 'Niall Horan', 'id': 105119490, 'id_str': '105119490', 'indices': [0, 14]}], 'urls': []}",,und
902612783166087168,2017-08-29 19:23:51,@LiamPayne HAPPY BIRTHDAY!!👏🏽👋🏽👋🏽👋🏽🎂🎊🎉 #HappyBirthdayLiam #HOLYFUCK,b'@LiamPayne HAPPY BIRTHDAY!!\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd\xf0\x9f\x8e\x82\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x89 #HappyBirthdayLiam #HOLYFUCK',"{'hashtags': [{'text': 'HappyBirthdayLiam', 'indices': [39, 57]}, {'text': 'HOLYFUCK', 'indices': [58, 67]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LiamPayne', 'name': 'Liam', 'id': 158314798, 'id_str': '158314798', 'indices': [0, 10]}], 'urls': []}",,en
902611980686688256,2017-08-29 19:20:40,RT @LiamPayne: @NiallOfficial Thanks man 😎love to you and yours,b'RT @LiamPayne: @NiallOfficial Thanks man \xf0\x9f\x98\x8elove to you and yours',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LiamPayne', 'name': 'Liam', 'id': 158314798, 'id_str': '158314798', 'indices': [3, 13]}, {'screen_name': 'NiallOfficial', 'name': 'Niall Horan', 'id': 105119490, 'id_str': '105119490', 'indices': [15, 29]}], 'urls': []}",,en
902611974843924480,2017-08-29 19:20:39,"RT @NiallOfficial: @LiamPayne happy birthday mate. Miss ya bud , see ya soon","b'RT @NiallOfficial: @LiamPayne happy birthday mate. Miss ya bud , see ya soon'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NiallOfficial', 'name': 'Niall Horan', 'id': 105119490, 'id_str': '105119490', 'indices': [3, 17]}, {'screen_name': 'LiamPayne', 'name': 'Liam', 'id': 158314798, 'id_str': '158314798', 'indices': [19, 29]}], 'urls': []}",,en
882257153091932160,2017-07-04 15:17:51,RT @Lance210: 500k RETWEETS AND ILL SHAVE MY HEAD BALD AND POST IT TO MY YOUTUBE. https://t.co/XPvYzTxuoa,b'RT @Lance210: 500k RETWEETS AND ILL SHAVE MY HEAD BALD AND POST IT TO MY YOUTUBE. https://t.co/XPvYzTxuoa',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lance210', 'name': 'Lance Stewart', 'id': 41016696, 'id_str': '41016696', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/XPvYzTxuoa', 'expanded_url': 'http://Youtube.com/LanceStewartVlogs', 'display_url': 'Youtube.com/LanceStewartVl…', 'indices': [82, 105]}]}",,en
800484395358490624,2016-11-20 23:42:06,@sgarcia2334 wtf,b'@sgarcia2334 wtf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sgarcia2334', 'name': 'Stephanie Garcia', 'id': 1365593773, 'id_str': '1365593773', 'indices': [0, 12]}], 'urls': []}",,und
782852051680186368,2016-10-03 07:57:28,RT @harrylilbae: if your best friend has a baby it doesn't mean you need to get one GET IT💔😭 #CondomCampaignFor1D https://t.co/I1WhK3PIj8,"b""RT @harrylilbae: if your best friend has a baby it doesn't mean you need to get one GET IT\xf0\x9f\x92\x94\xf0\x9f\x98\xad #CondomCampaignFor1D https://t.co/I1WhK3PIj8""","{'hashtags': [{'text': 'CondomCampaignFor1D', 'indices': [93, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'harrylilbae', 'name': 'vale,,', 'id': 396237091, 'id_str': '396237091', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 782739686238265344, 'id_str': '782739686238265344', 'indices': [114, 137], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/CtzZmPXVIAAlKI7.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/CtzZmPXVIAAlKI7.jpg', 'url': 'https://t.co/I1WhK3PIj8', 'display_url': 'pic.twitter.com/I1WhK3PIj8', 'expanded_url': 'https://twitter.com/harrylilbae/status/782739693192437761/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 220, 'h': 122, 'resize': 'fit'}, 'small': {'w': 220, 'h': 122, 'resize': 'fit'}, 'large': {'w': 220, 'h': 122, 'resize': 'fit'}, 'thumb': {'w': 122, 'h': 122, 'resize': 'crop'}}, 'source_status_id': 782739693192437761, 'source_status_id_str': '782739693192437761', 'source_user_id': 396237091, 'source_user_id_str': '396237091'}]}",,en
782851760486395904,2016-10-03 07:56:19,"RT @drama_queen365: For the love of me surviving this hiatus, let this be a joke. #CondomCampaignFor1D https://t.co/K41tVYPaVS","b'RT @drama_queen365: For the love of me surviving this hiatus, let this be a joke. #CondomCampaignFor1D https://t.co/K41tVYPaVS'","{'hashtags': [{'text': 'CondomCampaignFor1D', 'indices': [82, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'drama_queen365', 'name': 'Live. Laugh. Deadly Class.', 'id': 2424425581, 'id_str': '2424425581', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 782743186779303936, 'id_str': '782743186779303936', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ctzcx_5WcAARZXc.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ctzcx_5WcAARZXc.jpg', 'url': 'https://t.co/K41tVYPaVS', 'display_url': 'pic.twitter.com/K41tVYPaVS', 'expanded_url': 'https://twitter.com/drama_queen365/status/782743223642927105/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 244, 'h': 200, 'resize': 'fit'}, 'large': {'w': 244, 'h': 200, 'resize': 'fit'}, 'medium': {'w': 244, 'h': 200, 'resize': 'fit'}}, 'source_status_id': 782743223642927105, 'source_status_id_str': '782743223642927105', 'source_user_id': 2424425581, 'source_user_id_str': '2424425581'}]}",,en
782851663115657216,2016-10-03 07:55:55,RT @Harrys_clouds_: #CondomCampaignFor1D me looking at Twitter scrolling through tweets https://t.co/URrD1f6nq2,b'RT @Harrys_clouds_: #CondomCampaignFor1D me looking at Twitter scrolling through tweets https://t.co/URrD1f6nq2',"{'hashtags': [{'text': 'CondomCampaignFor1D', 'indices': [20, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Harrys_clouds_', 'name': 'Harrys cloudzz', 'id': 765737253301739520, 'id_str': '765737253301739520', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 782745612961873925, 'id_str': '782745612961873925', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/Ctze_OIWgAUk7Ff.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ctze_OIWgAUk7Ff.jpg', 'url': 'https://t.co/URrD1f6nq2', 'display_url': 'pic.twitter.com/URrD1f6nq2', 'expanded_url': 'https://twitter.com/Harrys_clouds_/status/782745620658388992/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 782745620658388992, 'source_status_id_str': '782745620658388992', 'source_user_id': 765737253301739520, 'source_user_id_str': '765737253301739520'}]}",,en
