id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
831909362713108480,2017-02-15 16:53:42,"Do you and your partner celebrate Valentine's Day ? What if anything did you give or receive this year ?
*Asil*","b""Do you and your partner celebrate Valentine's Day ? What if anything did you give or receive this year ?\n*Asil*""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
831906094435926018,2017-02-15 16:40:43,"If you were one of the 7 dwarves , which one would you be ? 
Right now id be sleepy lol 
*Asil*","b'If you were one of the 7 dwarves , which one would you be ? \nRight now id be sleepy lol \n*Asil*'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
831905018785718275,2017-02-15 16:36:27,"Hi guys , how's this year treating you so far ? 
*Asil*","b""Hi guys , how's this year treating you so far ? \n*Asil*""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
815300426329374720,2016-12-31 20:55:43,"Have a happy and safe New Years eve everyone. If you go out and decide to drink please don't drive. 

Cheers to a... https://t.co/6gj68PVfMq","b""Have a happy and safe New Years eve everyone. If you go out and decide to drink please don't drive. \n\nCheers to a... https://t.co/6gj68PVfMq""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6gj68PVfMq', 'expanded_url': 'http://fb.me/1K6qXmWD8', 'display_url': 'fb.me/1K6qXmWD8', 'indices': [117, 140]}]}",,en
807880510173249536,2016-12-11 09:31:37,Melissa https://t.co/p02KKaxvZx,b'Melissa https://t.co/p02KKaxvZx',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/p02KKaxvZx', 'expanded_url': 'http://fb.me/QJw1v6Xx', 'display_url': 'fb.me/QJw1v6Xx', 'indices': [8, 31]}]}",,fi
806550847056441344,2016-12-07 17:28:01,Hi Everyone! So I have been missing. Like literally I was missing.... https://t.co/vd3qizogeU,b'Hi Everyone! So I have been missing. Like literally I was missing.... https://t.co/vd3qizogeU',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vd3qizogeU', 'expanded_url': 'http://fb.me/5Z8ucuqT6', 'display_url': 'fb.me/5Z8ucuqT6', 'indices': [70, 93]}]}",,en
805102161956900864,2016-12-03 17:31:28,Tomorrow morning I do my first half marathon. I am so excited. Once I cross the start line its 13.1 miles to the... https://t.co/v9xXZeqDy6,b'Tomorrow morning I do my first half marathon. I am so excited. Once I cross the start line its 13.1 miles to the... https://t.co/v9xXZeqDy6',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/v9xXZeqDy6', 'expanded_url': 'http://fb.me/17w5v7Hpk', 'display_url': 'fb.me/17w5v7Hpk', 'indices': [116, 139]}]}",,en
804824071456309254,2016-12-02 23:06:26,😂😂😂 https://t.co/HJVF3fy1Hi,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/HJVF3fy1Hi',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HJVF3fy1Hi', 'expanded_url': 'http://fb.me/5YCQ0WY3m', 'display_url': 'fb.me/5YCQ0WY3m', 'indices': [4, 27]}]}",,und
804010561839230976,2016-11-30 17:13:50,What are your favorite non-food smells? -melissa,b'What are your favorite non-food smells? -melissa',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
803985643391111168,2016-11-30 15:34:49,"In one word describe your day. 

-melissa",b'In one word describe your day. \n\n-melissa',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
