id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338680192433332224,2020-12-15 03:00:04,"RT @MikeCatSU: “Don’t focus your time on fan art when you could be creating original content” 

fan art, quite literally, helped me get a j…","b'RT @MikeCatSU: \xe2\x80\x9cDon\xe2\x80\x99t focus your time on fan art when you could be creating original content\xe2\x80\x9d \n\nfan art, quite literally, helped me get a j\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MikeCatSU', 'name': '✨mike✨', 'id': 1733006629, 'id_str': '1733006629', 'indices': [3, 13]}], 'urls': []}",,en
1338677311403683841,2020-12-15 02:48:37,RT @itsaaudraw: deviation from the norm is punishable unless it can be exploited 🦌 https://t.co/xAqRyJFFRF,b'RT @itsaaudraw: deviation from the norm is punishable unless it can be exploited \xf0\x9f\xa6\x8c https://t.co/xAqRyJFFRF',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'itsaaudraw', 'name': '✨👽 Audrameda Blizzard 🛸✨', 'id': 770316900534452224, 'id_str': '770316900534452224', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338641595781013505, 'id_str': '1338641595781013505', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/EpPPcF4W4AEZuOA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPPcF4W4AEZuOA.jpg', 'url': 'https://t.co/xAqRyJFFRF', 'display_url': 'pic.twitter.com/xAqRyJFFRF', 'expanded_url': 'https://twitter.com/itsaaudraw/status/1338641602080874498/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 612, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1851, 'h': 1666, 'resize': 'fit'}}, 'source_status_id': 1338641602080874498, 'source_status_id_str': '1338641602080874498', 'source_user_id': 770316900534452224, 'source_user_id_str': '770316900534452224'}]}",,en
1338675669446897666,2020-12-15 02:42:05,"RT @skykoffee: Fizzarolli! ✨

#HelluvaBoss #Fizzarolli #RoboFizz https://t.co/wISkcQ5fRU",b'RT @skykoffee: Fizzarolli! \xe2\x9c\xa8\n\n#HelluvaBoss #Fizzarolli #RoboFizz https://t.co/wISkcQ5fRU',"{'hashtags': [{'text': 'HelluvaBoss', 'indices': [30, 42]}, {'text': 'Fizzarolli', 'indices': [43, 54]}, {'text': 'RoboFizz', 'indices': [55, 64]}], 'symbols': [], 'user_mentions': [{'screen_name': 'skykoffee', 'name': '💫 Leslie 💫 Commission Closed', 'id': 1038676614224261120, 'id_str': '1038676614224261120', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1338674092325605377, 'id_str': '1338674092325605377', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EpPs_o8WEAEHbm0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPs_o8WEAEHbm0.jpg', 'url': 'https://t.co/wISkcQ5fRU', 'display_url': 'pic.twitter.com/wISkcQ5fRU', 'expanded_url': 'https://twitter.com/skykoffee/status/1338674996160450560/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 666, 'h': 680, 'resize': 'fit'}, 'large': {'w': 2005, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1175, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338674996160450560, 'source_status_id_str': '1338674996160450560', 'source_user_id': 1038676614224261120, 'source_user_id_str': '1038676614224261120'}]}",,en
1338646335906598914,2020-12-15 00:45:31,RT @HannaBarberaCap: Man.,b'RT @HannaBarberaCap: Man.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HannaBarberaCap', 'name': 'Hanna-Barbera ScreenCaps🎄', 'id': 1236722953817128961, 'id_str': '1236722953817128961', 'indices': [3, 19]}], 'urls': []}",,und
1338641919388381187,2020-12-15 00:27:59,"RT @gamesEnlisted: Every so often I'll remember ""Yoshi's Burrito"" and smile. https://t.co/Cb3v4GibOC","b'RT @gamesEnlisted: Every so often I\'ll remember ""Yoshi\'s Burrito"" and smile. https://t.co/Cb3v4GibOC'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gamesEnlisted', 'name': 'Stefan Bonomo', 'id': 270663148, 'id_str': '270663148', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1336896545980116992, 'id_str': '1336896545980116992', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1336896545980116992/pu/img/hxg9sqGPPBiw47VB.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1336896545980116992/pu/img/hxg9sqGPPBiw47VB.jpg', 'url': 'https://t.co/Cb3v4GibOC', 'display_url': 'pic.twitter.com/Cb3v4GibOC', 'expanded_url': 'https://twitter.com/gamesEnlisted/status/1336896810980421633/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1336896810980421633, 'source_status_id_str': '1336896810980421633', 'source_user_id': 270663148, 'source_user_id_str': '270663148'}]}",,en
1338639385055662089,2020-12-15 00:17:54,"RT @Fumi_chun: Nani.

That's it, that's the tweet. https://t.co/WrFPfFGITC","b""RT @Fumi_chun: Nani.\n\nThat's it, that's the tweet. https://t.co/WrFPfFGITC""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Fumi_chun', 'name': 'Pearl Low | 盧寶珠', 'id': 228607003, 'id_str': '228607003', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1338556570460803072, 'id_str': '1338556570460803072', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EpOCG94U0AANN35.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOCG94U0AANN35.jpg', 'url': 'https://t.co/WrFPfFGITC', 'display_url': 'pic.twitter.com/WrFPfFGITC', 'expanded_url': 'https://twitter.com/Fumi_chun/status/1338556707790712832/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 625, 'h': 370, 'resize': 'fit'}, 'large': {'w': 625, 'h': 370, 'resize': 'fit'}, 'small': {'w': 625, 'h': 370, 'resize': 'fit'}}, 'source_status_id': 1338556707790712832, 'source_status_id_str': '1338556707790712832', 'source_user_id': 228607003, 'source_user_id_str': '228607003'}]}",,en
1338637237089689601,2020-12-15 00:09:22,"RT @Eidolon_Night: While I love helping others who are looking to get into the animation industry, there's some things you should keep in m…","b""RT @Eidolon_Night: While I love helping others who are looking to get into the animation industry, there's some things you should keep in m\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Eidolon_Night', 'name': 'Jenny Calabro🌒🌕🌘', 'id': 215876317, 'id_str': '215876317', 'indices': [3, 17]}], 'urls': []}",,en
1338616802461573127,2020-12-14 22:48:10,RT @charamells: Some more fall pokemon https://t.co/XL2zI2MQIJ,b'RT @charamells: Some more fall pokemon https://t.co/XL2zI2MQIJ',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'charamells', 'name': 'charamells', 'id': 818632802560155649, 'id_str': '818632802560155649', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338553219027353600, 'id_str': '1338553219027353600', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EpN_D40UwAAKhmI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpN_D40UwAAKhmI.jpg', 'url': 'https://t.co/XL2zI2MQIJ', 'display_url': 'pic.twitter.com/XL2zI2MQIJ', 'expanded_url': 'https://twitter.com/charamells/status/1338553736780607488/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 650, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1147, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1588, 'h': 1661, 'resize': 'fit'}}, 'source_status_id': 1338553736780607488, 'source_status_id_str': '1338553736780607488', 'source_user_id': 818632802560155649, 'source_user_id_str': '818632802560155649'}]}",,en
1338616088301621254,2020-12-14 22:45:20,"RT @VhsHistory: Happy 50th anniversary, Santa Claus is Coming to Town. https://t.co/qQHswtOZCf","b'RT @VhsHistory: Happy 50th anniversary, Santa Claus is Coming to Town. https://t.co/qQHswtOZCf'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VhsHistory', 'name': '📼Home Video History🎄', 'id': 1195831564367736832, 'id_str': '1195831564367736832', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338614471883771904, 'id_str': '1338614471883771904', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EpO2xRfUUAAFKl9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpO2xRfUUAAFKl9.jpg', 'url': 'https://t.co/qQHswtOZCf', 'display_url': 'pic.twitter.com/qQHswtOZCf', 'expanded_url': 'https://twitter.com/VhsHistory/status/1338614775526248448/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 340, 'h': 608, 'resize': 'fit'}, 'large': {'w': 340, 'h': 608, 'resize': 'fit'}, 'small': {'w': 340, 'h': 608, 'resize': 'fit'}}, 'source_status_id': 1338614775526248448, 'source_status_id_str': '1338614775526248448', 'source_user_id': 1195831564367736832, 'source_user_id_str': '1195831564367736832'}]}",,en
1338612760763129856,2020-12-14 22:32:07,"RT @ScratchyDerose: “RRRRRRAHAHAH ADULT ANIMATION IS SO FUCKING AWFUL AND UGLY”

Also Adult Animation Part 1 https://t.co/GD6VIyzyf3",b'RT @ScratchyDerose: \xe2\x80\x9cRRRRRRAHAHAH ADULT ANIMATION IS SO FUCKING AWFUL AND UGLY\xe2\x80\x9d\n\nAlso Adult Animation Part 1 https://t.co/GD6VIyzyf3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ScratchyDerose', 'name': 'Chris DeRose is LOOKNG for WORK', 'id': 2890243246, 'id_str': '2890243246', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338588059399577600, 'id_str': '1338588059399577600', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/EpOev3UXYAAN6kG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOev3UXYAAN6kG.jpg', 'url': 'https://t.co/GD6VIyzyf3', 'display_url': 'pic.twitter.com/GD6VIyzyf3', 'expanded_url': 'https://twitter.com/ScratchyDerose/status/1338588064520744960/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 700, 'h': 300, 'resize': 'fit'}, 'small': {'w': 680, 'h': 291, 'resize': 'fit'}, 'medium': {'w': 700, 'h': 300, 'resize': 'fit'}}, 'source_status_id': 1338588064520744960, 'source_status_id_str': '1338588064520744960', 'source_user_id': 2890243246, 'source_user_id_str': '2890243246'}]}",,en
