id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338749125936861185,2020-12-15 07:33:59,RT @ABpluv: King Adam with his one and only Queen Behati 😎😊☺️❤️ https://t.co/R5gFu6wTXF,b'RT @ABpluv: King Adam with his one and only Queen Behati \xf0\x9f\x98\x8e\xf0\x9f\x98\x8a\xe2\x98\xba\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/R5gFu6wTXF',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ABpluv', 'name': 'BehadamLove', 'id': 1328580106596528129, 'id_str': '1328580106596528129', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1338748937847521284, 'id_str': '1338748937847521284', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EpQxEOPVQAQpHeS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQxEOPVQAQpHeS.jpg', 'url': 'https://t.co/R5gFu6wTXF', 'display_url': 'pic.twitter.com/R5gFu6wTXF', 'expanded_url': 'https://twitter.com/ABpluv/status/1338748946605215744/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 896, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1530, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 508, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338748946605215744, 'source_status_id_str': '1338748946605215744', 'source_user_id': 1328580106596528129, 'source_user_id_str': '1328580106596528129'}]}",,en
1338747763132022784,2020-12-15 07:28:34,Yo si fuera Behati lo agraria y le 💋ese pescuezo de el 😉😍❤️ https://t.co/WV0kKqgk6Q,b'Yo si fuera Behati lo agraria y le \xf0\x9f\x92\x8bese pescuezo de el \xf0\x9f\x98\x89\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/WV0kKqgk6Q',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338747750058356739, 'id_str': '1338747750058356739', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EpQv_FYU8AMwpVG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQv_FYU8AMwpVG.jpg', 'url': 'https://t.co/WV0kKqgk6Q', 'display_url': 'pic.twitter.com/WV0kKqgk6Q', 'expanded_url': 'https://twitter.com/EverydayShevine/status/1338747763132022784/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 896, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1530, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 508, 'h': 680, 'resize': 'fit'}}}]}",,es
1338737656256053249,2020-12-15 06:48:24,Ese tatuaje de rosa está chida le quedo rete bien a Adam 😎,b'Ese tatuaje de rosa est\xc3\xa1 chida le quedo rete bien a Adam \xf0\x9f\x98\x8e',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,es
1338708402176839680,2020-12-15 04:52:09,Lose My Number by James Blunt such a good song 😎 https://t.co/qDW8hmnapq,b'Lose My Number by James Blunt such a good song \xf0\x9f\x98\x8e https://t.co/qDW8hmnapq',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qDW8hmnapq', 'expanded_url': 'https://twitter.com/everydayshevine/status/1338706450516852737', 'display_url': 'twitter.com/everydayshevin…', 'indices': [49, 72]}]}",,en
1338706450516852737,2020-12-15 04:44:24,"“Did you forget to call me?
Oh baby, did you lose my number?
Don’t tell me that you’re sorry
Whose covers are you sleeping under?” 🎶","b'\xe2\x80\x9cDid you forget to call me?\nOh baby, did you lose my number?\nDon\xe2\x80\x99t tell me that you\xe2\x80\x99re sorry\nWhose covers are you sleeping under?\xe2\x80\x9d \xf0\x9f\x8e\xb6'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338700734036996097,2020-12-15 04:21:41,Me encanta este video ☺️😊❤️ https://t.co/KXbRZJeTtL,b'Me encanta este video \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x98\x8a\xe2\x9d\xa4\xef\xb8\x8f https://t.co/KXbRZJeTtL',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KXbRZJeTtL', 'expanded_url': 'https://twitter.com/xwereinvincible/status/1338646366256566275', 'display_url': 'twitter.com/xwereinvincibl…', 'indices': [28, 51]}]}",,es
1338569076763836416,2020-12-14 19:38:31,@Miss_JacksonxM5 De un video no se si era de Snapchat ya no me acuerdo,b'@Miss_JacksonxM5 De un video no se si era de Snapchat ya no me acuerdo',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Miss_JacksonxM5', 'name': '𝙼𝚊𝚛𝚒𝚊𝚗𝚊 𝙰.', 'id': 1222579268946927617, 'id_str': '1222579268946927617', 'indices': [0, 16]}], 'urls': []}",,es
1338558203576008706,2020-12-14 18:55:19,#ManCrushMonday from 4 years ago 😊☺️🥰😍❤️Made by Me https://t.co/7tjrsrj5Rq,b'#ManCrushMonday from 4 years ago \xf0\x9f\x98\x8a\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8fMade by Me https://t.co/7tjrsrj5Rq',"{'hashtags': [{'text': 'ManCrushMonday', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338558192729481216, 'id_str': '1338558192729481216', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EpODlZTUYAAdOxr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpODlZTUYAAdOxr.jpg', 'url': 'https://t.co/7tjrsrj5Rq', 'display_url': 'pic.twitter.com/7tjrsrj5Rq', 'expanded_url': 'https://twitter.com/EverydayShevine/status/1338558203576008706/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1536, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1338513882302705664,2020-12-14 15:59:12,"RT @Mr_BLaw: “However softly we speak, God is so close to us that he can hear us; nor do we need wings to go in search of him, but merely t…","b'RT @Mr_BLaw: \xe2\x80\x9cHowever softly we speak, God is so close to us that he can hear us; nor do we need wings to go in search of him, but merely t\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mr_BLaw', 'name': 'Brant Law', 'id': 2194802160, 'id_str': '2194802160', 'indices': [3, 11]}], 'urls': []}",,en
1338510723991756800,2020-12-14 15:46:39,"“No damsel in distress, don’t need to save me” 
I’m going to need a t-shirt that says that 😎🙌🏻","b'\xe2\x80\x9cNo damsel in distress, don\xe2\x80\x99t need to save me\xe2\x80\x9d \nI\xe2\x80\x99m going to need a t-shirt that says that \xf0\x9f\x98\x8e\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
