id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338715209821609985,2020-12-15 05:19:12,"@m0ody_blues sweet, now
a n i m a t e  i t","b'@m0ody_blues sweet, now\na n i m a t e  i t'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'm0ody_blues', 'name': '⚫dottie⚫', 'id': 1248435263254249473, 'id_str': '1248435263254249473', 'indices': [0, 12]}], 'urls': []}",,en
1338715031253368834,2020-12-15 05:18:30,"RT @yamichan29: Actually, I'm sorry about this. I'm not gonna do the previous prompt I posted. Instead, what kinda genre should I try that…","b""RT @yamichan29: Actually, I'm sorry about this. I'm not gonna do the previous prompt I posted. Instead, what kinda genre should I try that\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yamichan29', 'name': '🖤Milkyway 2🐱(commissions are not open)', 'id': 1252473546669948930, 'id_str': '1252473546669948930', 'indices': [3, 14]}], 'urls': []}",,en
1338713795783401474,2020-12-15 05:13:35,"RT @kattoccine: a commission piece for @Syfism !

ty for commissioning me! yr oc was really cute (reminded me of my old one :]) https://t.c…",b'RT @kattoccine: a commission piece for @Syfism !\n\nty for commissioning me! yr oc was really cute (reminded me of my old one :]) https://t.c\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kattoccine', 'name': 'kazagne (cumms open)', 'id': 1284484156601188354, 'id_str': '1284484156601188354', 'indices': [3, 14]}, {'screen_name': 'Syfism', 'name': 'CallMeTaffy (Snow)', 'id': 846146086947442692, 'id_str': '846146086947442692', 'indices': [39, 46]}], 'urls': []}",,en
1338712909954760707,2020-12-15 05:10:04,@Glass_Mug YESSS,b'@Glass_Mug YESSS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Glass_Mug', 'name': 'Glass Bauble', 'id': 1065430322689519617, 'id_str': '1065430322689519617', 'indices': [0, 10]}], 'urls': []}",,und
1338707965113556992,2020-12-15 04:50:25,@Glass_Mug I FUCKING LOVE HIM!!,b'@Glass_Mug I FUCKING LOVE HIM!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Glass_Mug', 'name': 'Glass Bauble', 'id': 1065430322689519617, 'id_str': '1065430322689519617', 'indices': [0, 10]}], 'urls': []}",,en
1338700417316745216,2020-12-15 04:20:25,@devil___dog love the oc bud!,b'@devil___dog love the oc bud!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'devil___dog', 'name': '🍑Peaches🍑', 'id': 1268355194569580551, 'id_str': '1268355194569580551', 'indices': [0, 12]}], 'urls': []}",,en
1338699376726667266,2020-12-15 04:16:17,moancraft https://t.co/L54kwGGlFH,b'moancraft https://t.co/L54kwGGlFH',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/L54kwGGlFH', 'expanded_url': 'https://twitter.com/MrTLexify/status/1338699107402059776', 'display_url': 'twitter.com/MrTLexify/stat…', 'indices': [10, 33]}]}",,en
1338695237103878145,2020-12-15 03:59:50,@ScarletWolfo thank you Sacrlet 🧡 much appreciated girl :3,b'@ScarletWolfo thank you Sacrlet \xf0\x9f\xa7\xa1 much appreciated girl :3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ScarletWolfo', 'name': '👑 Princess Jocelyn (Raffle in Pinned)', 'id': 1300619860452487169, 'id_str': '1300619860452487169', 'indices': [0, 13]}], 'urls': []}",,en
1338691784486998017,2020-12-15 03:46:07,@F0RB1DD3N_GXd im sorry to hear that sis,b'@F0RB1DD3N_GXd im sorry to hear that sis',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'F0RB1DD3N_GXd', 'name': 'X', 'id': 1332181374019792896, 'id_str': '1332181374019792896', 'indices': [0, 14]}], 'urls': []}",,en
1338688684548210688,2020-12-15 03:33:48,"@caramelyote @F0RB1DD3N_GXd I yes, dm?","b'@caramelyote @F0RB1DD3N_GXd I yes, dm?'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caramelyote', 'name': '🐾🍫Snicks!🍫🐾 (Comms open✏!)', 'id': 998564028065636354, 'id_str': '998564028065636354', 'indices': [0, 12]}, {'screen_name': 'F0RB1DD3N_GXd', 'name': 'X', 'id': 1332181374019792896, 'id_str': '1332181374019792896', 'indices': [13, 27]}], 'urls': []}",,en
1338687646281822208,2020-12-15 03:29:41,@F0RB1DD3N_GXd OOOH THAT LAST ONE!! I LOVE IT,b'@F0RB1DD3N_GXd OOOH THAT LAST ONE!! I LOVE IT',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'F0RB1DD3N_GXd', 'name': 'X', 'id': 1332181374019792896, 'id_str': '1332181374019792896', 'indices': [0, 14]}], 'urls': []}",,en
1338687504820498432,2020-12-15 03:29:07,"@caramelyote @Sadsnickersbar idk if ill be accepted cause im not a mutual, ill still send a request","b'@caramelyote @Sadsnickersbar idk if ill be accepted cause im not a mutual, ill still send a request'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caramelyote', 'name': '🐾🍫Snicks!🍫🐾 (Comms open✏!)', 'id': 998564028065636354, 'id_str': '998564028065636354', 'indices': [0, 12]}, {'screen_name': 'Sadsnickersbar', 'name': 'Sad snicks hours', 'id': 1253560222896885760, 'id_str': '1253560222896885760', 'indices': [13, 28]}], 'urls': []}",,en
1338686564218458114,2020-12-15 03:25:23,@F0RB1DD3N_GXd @caramelyote this talk reminds me of what I actually bought,b'@F0RB1DD3N_GXd @caramelyote this talk reminds me of what I actually bought',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'F0RB1DD3N_GXd', 'name': 'X', 'id': 1332181374019792896, 'id_str': '1332181374019792896', 'indices': [0, 14]}, {'screen_name': 'caramelyote', 'name': '🐾🍫Snicks!🍫🐾 (Comms open✏!)', 'id': 998564028065636354, 'id_str': '998564028065636354', 'indices': [15, 27]}], 'urls': []}",,en
1338681117335908355,2020-12-15 03:03:44,@patchfoxlol nice ass,b'@patchfoxlol nice ass',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'patchfoxlol', 'name': ""Patch's cove"", 'id': 1250997957006168064, 'id_str': '1250997957006168064', 'indices': [0, 12]}], 'urls': []}",,en
1338680735536836608,2020-12-15 03:02:13,@AmnuTheDragon MENACING CUTIE AAAAAAAA 🧡,b'@AmnuTheDragon MENACING CUTIE AAAAAAAA \xf0\x9f\xa7\xa1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmnuTheDragon', 'name': 'Leo❄️', 'id': 1045907801128792065, 'id_str': '1045907801128792065', 'indices': [0, 14]}], 'urls': []}",,es
1338680679849062401,2020-12-15 03:02:00,RT @AmnuTheDragon: @MLKWAAY *dies from menacingness* https://t.co/AQdolcANvL,b'RT @AmnuTheDragon: @MLKWAAY *dies from menacingness* https://t.co/AQdolcANvL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmnuTheDragon', 'name': 'Leo❄️', 'id': 1045907801128792065, 'id_str': '1045907801128792065', 'indices': [3, 17]}, {'screen_name': 'MLKWAAY', 'name': '💖 ʎɐʍʎʞlıW 🧡 (🎂 in 103 days)', 'id': 718901215543726080, 'id_str': '718901215543726080', 'indices': [19, 27]}], 'urls': [], 'media': [{'id': 1338680442623496197, 'id_str': '1338680442623496197', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EpPyxRpWEAUpybD.png', 'media_url_https': 'https://pbs.twimg.com/media/EpPyxRpWEAUpybD.png', 'url': 'https://t.co/AQdolcANvL', 'display_url': 'pic.twitter.com/AQdolcANvL', 'expanded_url': 'https://twitter.com/AmnuTheDragon/status/1338680480686870535/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 888, 'h': 582, 'resize': 'fit'}, 'large': {'w': 888, 'h': 582, 'resize': 'fit'}, 'small': {'w': 680, 'h': 446, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1338680480686870535, 'source_status_id_str': '1338680480686870535', 'source_user_id': 1045907801128792065, 'source_user_id_str': '1045907801128792065'}]}",,en
1338680495639388161,2020-12-15 03:01:16,@F0RB1DD3N_GXd @caramelyote the only dragons Ill express my horniness for is BD /gen,b'@F0RB1DD3N_GXd @caramelyote the only dragons Ill express my horniness for is BD /gen',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'F0RB1DD3N_GXd', 'name': 'X', 'id': 1332181374019792896, 'id_str': '1332181374019792896', 'indices': [0, 14]}, {'screen_name': 'caramelyote', 'name': '🐾🍫Snicks!🍫🐾 (Comms open✏!)', 'id': 998564028065636354, 'id_str': '998564028065636354', 'indices': [15, 27]}], 'urls': []}",,en
