id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338770511409668098,2020-12-15 08:58:57,Bebe looks so awkward when she poses for photos. Jesus Christ. https://t.co/QiJYOZqkbh,b'Bebe looks so awkward when she poses for photos. Jesus Christ. https://t.co/QiJYOZqkbh',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QiJYOZqkbh', 'expanded_url': 'https://twitter.com/neiiysnut/status/1338612176953741314', 'display_url': 'twitter.com/neiiysnut/stat…', 'indices': [63, 86]}]}",,en
1338764346835542017,2020-12-15 08:34:27,3:34 am and I’m still listening to this new @CupcakKe_rapper single. It’s fuckin fabulous.,b'3:34 am and I\xe2\x80\x99m still listening to this new @CupcakKe_rapper single. It\xe2\x80\x99s fuckin fabulous.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CupcakKe_rapper', 'name': 'CupcakKe', 'id': 736039267, 'id_str': '736039267', 'indices': [44, 60]}], 'urls': []}",,en
1338758851622023168,2020-12-15 08:12:37,@breathinngws Never,b'@breathinngws Never',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'breathinngws', 'name': 'ilka', 'id': 1199787146497781760, 'id_str': '1199787146497781760', 'indices': [0, 13]}], 'urls': []}",,en
1338758496838447105,2020-12-15 08:11:13,Pussy wetter than a watermelon ❤️,b'Pussy wetter than a watermelon \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338731553191583745,2020-12-15 06:24:09,Me too. https://t.co/QhxVS2eYUQ,b'Me too. https://t.co/QhxVS2eYUQ',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QhxVS2eYUQ', 'expanded_url': 'https://twitter.com/scruched/status/1338250021226098689', 'display_url': 'twitter.com/scruched/statu…', 'indices': [8, 31]}]}",,en
1338716903720804354,2020-12-15 05:25:56,@RecordingAcad Gum - CupcakKe,b'@RecordingAcad Gum - CupcakKe',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RecordingAcad', 'name': 'Recording Academy / GRAMMYs', 'id': 17243213, 'id_str': '17243213', 'indices': [0, 14]}], 'urls': []}",,nl
1338716790667538432,2020-12-15 05:25:29,RT @D_colvin46: u can always count on cupcakke to deliver shock value w/ them bars. She’s up there.,b'RT @D_colvin46: u can always count on cupcakke to deliver shock value w/ them bars. She\xe2\x80\x99s up there.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'D_colvin46', 'name': 'Dajon Colvin', 'id': 2372466368, 'id_str': '2372466368', 'indices': [3, 14]}], 'urls': []}",,en
1338714813082574849,2020-12-15 05:17:38,OMG I LOVE YOU @CupcakKe_rapper https://t.co/6NfXrVuo98,b'OMG I LOVE YOU @CupcakKe_rapper https://t.co/6NfXrVuo98',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CupcakKe_rapper', 'name': 'CupcakKe', 'id': 736039267, 'id_str': '736039267', 'indices': [15, 31]}], 'urls': [{'url': 'https://t.co/6NfXrVuo98', 'expanded_url': 'https://twitter.com/cupcakke_rapper/status/1338714728751882240', 'display_url': 'twitter.com/cupcakke_rappe…', 'indices': [32, 55]}]}",,en
1338714705985200128,2020-12-15 05:17:12,RT @paigestellamars: WOW what a moment!!! https://t.co/SQtsMkMwvW,b'RT @paigestellamars: WOW what a moment!!! https://t.co/SQtsMkMwvW',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'paigestellamars', 'name': 'venmo: paigestellamars ⚰️', 'id': 695073094688444417, 'id_str': '695073094688444417', 'indices': [3, 19]}], 'urls': [{'url': 'https://t.co/SQtsMkMwvW', 'expanded_url': 'https://open.spotify.com/track/6XrtxH8dZPSSDE9A1KmN6Q?si=MhH_z6nxQtubqMYcZWPK1Q', 'display_url': 'open.spotify.com/track/6XrtxH8d…', 'indices': [42, 65]}]}",,en
1338714403865325569,2020-12-15 05:16:00,"RT @Niickiana: “Good pus*y yeah who you telling
So big daddy got me yelling
D!ck crashed right through my walls
Sh’t looked like 9/11” oh w…",b'RT @Niickiana: \xe2\x80\x9cGood pus*y yeah who you telling\nSo big daddy got me yelling\nD!ck crashed right through my walls\nSh\xe2\x80\x99t looked like 9/11\xe2\x80\x9d oh w\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Niickiana', 'name': 'Demetrius', 'id': 1283945671494635526, 'id_str': '1283945671494635526', 'indices': [3, 13]}], 'urls': []}",,en
