id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338483667723714560,2020-12-14 13:59:08,"@HITCSevens Since in the worst signings video you mentioned that many players have gone seasons without scoring goals I wanted you to suggest the 7 best fwds who failed to score less than 5 goals all season. Also They can't be injured for extended periods of time, coz that's kinda cheating.","b""@HITCSevens Since in the worst signings video you mentioned that many players have gone seasons without scoring goals I wanted you to suggest the 7 best fwds who failed to score less than 5 goals all season. Also They can't be injured for extended periods of time, coz that's kinda cheating.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HITCSevens', 'name': 'HITC Sevens', 'id': 1002303599060422661, 'id_str': '1002303599060422661', 'indices': [0, 11]}], 'urls': []}",,en
1338421079342247939,2020-12-14 09:50:26,@urheadbwmythigh Pain,b'@urheadbwmythigh Pain',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'urheadbwmythigh', 'name': 'Fee 😽✌️🏽//ignore typos', 'id': 1266654529392537601, 'id_str': '1266654529392537601', 'indices': [0, 16]}], 'urls': []}",,en
1338395709842874368,2020-12-14 08:09:38,@sadtedtalk This sounds fun,b'@sadtedtalk This sounds fun',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sadtedtalk', 'name': 'meh', 'id': 1308461054859513856, 'id_str': '1308461054859513856', 'indices': [0, 11]}], 'urls': []}",,en
1338219782152318976,2020-12-13 20:30:33,@Carbsandkutti That's cause nobody suckin em,"b""@Carbsandkutti That's cause nobody suckin em""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Carbsandkutti', 'name': 'Jahnwhoo?', 'id': 978670173736509440, 'id_str': '978670173736509440', 'indices': [0, 14]}], 'urls': []}",,en
1338200771427524610,2020-12-13 19:15:01,@rudrapie Yes,b'@rudrapie Yes',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rudrapie', 'name': 'don rablo sincobar', 'id': 1302588127840735232, 'id_str': '1302588127840735232', 'indices': [0, 9]}], 'urls': []}",,und
1338199910005485568,2020-12-13 19:11:35,@CursedFootball Context: the duo of son and benteke ended up scoring a combined 207 goals,b'@CursedFootball Context: the duo of son and benteke ended up scoring a combined 207 goals',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CursedFootball', 'name': 'football images that precede unfortunate events', 'id': 1129767161063444481, 'id_str': '1129767161063444481', 'indices': [0, 15]}], 'urls': []}",,en
1338071201885904896,2020-12-13 10:40:09,@pragatisinngh Nah you cute tho,b'@pragatisinngh Nah you cute tho',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pragatisinngh', 'name': 'Prags 👀', 'id': 1248545371019571201, 'id_str': '1248545371019571201', 'indices': [0, 14]}], 'urls': []}",,en
1338070902223872005,2020-12-13 10:38:57,"@ineedpatches12 @urheadbwmythigh I put face wash in my hair once, doesn't mean I can't run a salon","b""@ineedpatches12 @urheadbwmythigh I put face wash in my hair once, doesn't mean I can't run a salon""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ineedpatches12', 'name': 'C a t b o i', 'id': 1310611848425660431, 'id_str': '1310611848425660431', 'indices': [0, 15]}, {'screen_name': 'urheadbwmythigh', 'name': 'Fee 😽✌️🏽//ignore typos', 'id': 1266654529392537601, 'id_str': '1266654529392537601', 'indices': [16, 32]}], 'urls': []}",,en
1338070610409361410,2020-12-13 10:37:48,@latexwh0re I see meee,b'@latexwh0re I see meee',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'latexwh0re', 'name': 'zella hates hadi \U0001f9a6', 'id': 1117497900253286409, 'id_str': '1117497900253286409', 'indices': [0, 11]}], 'urls': []}",,en
1338026160270274560,2020-12-13 07:41:10,I am *name redacted for privacy reasons* https://t.co/M6F7nbzhBb,b'I am *name redacted for privacy reasons* https://t.co/M6F7nbzhBb',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/M6F7nbzhBb', 'expanded_url': 'https://twitter.com/ineedpatches12/status/1338013101610844161', 'display_url': 'twitter.com/ineedpatches12…', 'indices': [41, 64]}]}",,en
