id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338827967817015299,2020-12-15 12:47:16,"RT @kneecuhhhh: MISSING PERSON!! RETWEET PLEASE ⚠️⚠️

My best friend, Eddie Ortega went missing yesterday. He lives in Riverside and his ca…","b'RT @kneecuhhhh: MISSING PERSON!! RETWEET PLEASE \xe2\x9a\xa0\xef\xb8\x8f\xe2\x9a\xa0\xef\xb8\x8f\n\nMy best friend, Eddie Ortega went missing yesterday. He lives in Riverside and his ca\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kneecuhhhh', 'name': 'Vero 🐮', 'id': 847683503110012928, 'id_str': '847683503110012928', 'indices': [3, 14]}], 'urls': []}",,en
1338662059261767680,2020-12-15 01:48:00,RT @Kazeem: “Why don’t you just stay inside?” Said everyone watching this movie...now look. Look!,b'RT @Kazeem: \xe2\x80\x9cWhy don\xe2\x80\x99t you just stay inside?\xe2\x80\x9d Said everyone watching this movie...now look. Look!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Kazeem', 'name': 'Kazeem Famuyide 🍎', 'id': 27528134, 'id_str': '27528134', 'indices': [3, 10]}], 'urls': []}",,en
1338661531601563650,2020-12-15 01:45:54,RT @chuntichino__: SHE THOUGHT THE BLUNT WAS A SLIM JIM LMFAOOOOOOOOOOO,b'RT @chuntichino__: SHE THOUGHT THE BLUNT WAS A SLIM JIM LMFAOOOOOOOOOOO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chuntichino__', 'name': '𝚃𝙾𝙽𝚈✞', 'id': 1096440478797418496, 'id_str': '1096440478797418496', 'indices': [3, 17]}], 'urls': []}",,en
1338661478178713601,2020-12-15 01:45:42,RT @LilNasX: i’m tired of being silent about this! it’s “Lil Nas the 10th” not “Lil Nas Ex”,b'RT @LilNasX: i\xe2\x80\x99m tired of being silent about this! it\xe2\x80\x99s \xe2\x80\x9cLil Nas the 10th\xe2\x80\x9d not \xe2\x80\x9cLil Nas Ex\xe2\x80\x9d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LilNasX', 'name': 'nope', 'id': 754006735468261376, 'id_str': '754006735468261376', 'indices': [3, 11]}], 'urls': []}",,en
1338606133209145347,2020-12-14 22:05:46,RT @thegentledyke: all 3 high school musicals was just troy being like wow I got 2 many bitches &amp; 2 many talents.,b'RT @thegentledyke: all 3 high school musicals was just troy being like wow I got 2 many bitches &amp; 2 many talents.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thegentledyke', 'name': 'sk888rboi!', 'id': 451567698, 'id_str': '451567698', 'indices': [3, 17]}], 'urls': []}",,en
1338599304940892174,2020-12-14 21:38:38,RT @VenomDeathNinja: Every Christmas for the last few years I've thought of this post. https://t.co/1xweKK1mrF,"b""RT @VenomDeathNinja: Every Christmas for the last few years I've thought of this post. https://t.co/1xweKK1mrF""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VenomDeathNinja', 'name': 'The Yakuza Guy @ Ghost of Tsushima / Gintama | BLM', 'id': 42575617, 'id_str': '42575617', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338087462472622081, 'id_str': '1338087462472622081', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EpHXdScVoAEBk_-.png', 'media_url_https': 'https://pbs.twimg.com/media/EpHXdScVoAEBk_-.png', 'url': 'https://t.co/1xweKK1mrF', 'display_url': 'pic.twitter.com/1xweKK1mrF', 'expanded_url': 'https://twitter.com/VenomDeathNinja/status/1338088063327641600/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 533, 'h': 598, 'resize': 'fit'}, 'large': {'w': 533, 'h': 598, 'resize': 'fit'}, 'medium': {'w': 533, 'h': 598, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1338088063327641600, 'source_status_id_str': '1338088063327641600', 'source_user_id': 42575617, 'source_user_id_str': '42575617'}]}",,en
1338565822357397504,2020-12-14 19:25:36,RT @ltpenguin_: The cast of the Brave Little Toaster as household appliances: a thread https://t.co/LZXSxGLuqs,b'RT @ltpenguin_: The cast of the Brave Little Toaster as household appliances: a thread https://t.co/LZXSxGLuqs',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ltpenguin_', 'name': 'jolly lieutenant penguin 🎄🐧', 'id': 1127789080459264005, 'id_str': '1127789080459264005', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1337991821503459329, 'id_str': '1337991821503459329', 'indices': [87, 110], 'media_url': 'http://pbs.twimg.com/media/EpGAeQEXcAENxzm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGAeQEXcAENxzm.jpg', 'url': 'https://t.co/LZXSxGLuqs', 'display_url': 'pic.twitter.com/LZXSxGLuqs', 'expanded_url': 'https://twitter.com/ltpenguin_/status/1337991831628476416/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'large': {'w': 1440, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1337991831628476416, 'source_status_id_str': '1337991831628476416', 'source_user_id': 1127789080459264005, 'source_user_id_str': '1127789080459264005'}]}",,en
1338565788966465537,2020-12-14 19:25:28,RT @AllTimeLow: .@AlexGaskarth https://t.co/wsflbc5MPY,b'RT @AllTimeLow: .@AlexGaskarth https://t.co/wsflbc5MPY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AllTimeLow', 'name': 'All Time Low', 'id': 122482029, 'id_str': '122482029', 'indices': [3, 14]}, {'screen_name': 'AlexGaskarth', 'name': 'Alex Gaskarth', 'id': 18734884, 'id_str': '18734884', 'indices': [17, 30]}], 'urls': [], 'media': [{'id': 1338554925379248128, 'id_str': '1338554925379248128', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/EpOAnNeUYAAC80T.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOAnNeUYAAC80T.jpg', 'url': 'https://t.co/wsflbc5MPY', 'display_url': 'pic.twitter.com/wsflbc5MPY', 'expanded_url': 'https://twitter.com/AllTimeLow/status/1338554937341427712/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1338554937341427712, 'source_status_id_str': '1338554937341427712', 'source_user_id': 122482029, 'source_user_id_str': '122482029'}]}",,und
1338515764614230021,2020-12-14 16:06:41,RT @Cudalla: aye bro remember to steal food from ur fast food job if they don’t give u free meals,b'RT @Cudalla: aye bro remember to steal food from ur fast food job if they don\xe2\x80\x99t give u free meals',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Cudalla', 'name': 'chris udalla', 'id': 752524026, 'id_str': '752524026', 'indices': [3, 11]}], 'urls': []}",,en
1338505066005868549,2020-12-14 15:24:10,I hated doing this 😭😂 https://t.co/L4OcVw9czt,b'I hated doing this \xf0\x9f\x98\xad\xf0\x9f\x98\x82 https://t.co/L4OcVw9czt',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/L4OcVw9czt', 'expanded_url': 'https://twitter.com/retrotimelady/status/1338226248988958720', 'display_url': 'twitter.com/retrotimelady/…', 'indices': [22, 45]}]}",,en
1338504010802851843,2020-12-14 15:19:59,RT @jasminericegirl: bella thorne is one of the top 10 villains of 2020 https://t.co/cT2GGUD3tr,b'RT @jasminericegirl: bella thorne is one of the top 10 villains of 2020 https://t.co/cT2GGUD3tr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jasminericegirl', 'name': 'jasmine rice 🍚', 'id': 1017156369747767296, 'id_str': '1017156369747767296', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338303998915383300, 'id_str': '1338303998915383300', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/EpKcZXjWEAQvyEC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpKcZXjWEAQvyEC.jpg', 'url': 'https://t.co/cT2GGUD3tr', 'display_url': 'pic.twitter.com/cT2GGUD3tr', 'expanded_url': 'https://twitter.com/jasminericegirl/status/1338304002723897349/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338304002723897349, 'source_status_id_str': '1338304002723897349', 'source_user_id': 1017156369747767296, 'source_user_id_str': '1017156369747767296'}]}",,en
1338481468167827456,2020-12-14 13:50:24,RT @FillWerrell: Never forget this iconic moment  https://t.co/F7YWpjuaw1,b'RT @FillWerrell: Never forget this iconic moment  https://t.co/F7YWpjuaw1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FillWerrell', 'name': 'Fill Werrell', 'id': 386189099, 'id_str': '386189099', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 983899421413814273, 'id_str': '983899421413814273', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/983899421413814273/pu/img/0peiUuFNhTIcfOqe.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/983899421413814273/pu/img/0peiUuFNhTIcfOqe.jpg', 'url': 'https://t.co/F7YWpjuaw1', 'display_url': 'pic.twitter.com/F7YWpjuaw1', 'expanded_url': 'https://twitter.com/MensPictures/status/983899723533770752/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 360, 'resize': 'fit'}, 'small': {'w': 480, 'h': 360, 'resize': 'fit'}}, 'source_status_id': 983899723533770752, 'source_status_id_str': '983899723533770752', 'source_user_id': 1135110380, 'source_user_id_str': '1135110380'}]}",,en
1338469621901512704,2020-12-14 13:03:20,RT @MattBinder: can you imagine the reaction from the right if literally any other group vandalized literally any other type of church,b'RT @MattBinder: can you imagine the reaction from the right if literally any other group vandalized literally any other type of church',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MattBinder', 'name': 'Matt Binder', 'id': 14931637, 'id_str': '14931637', 'indices': [3, 14]}], 'urls': []}",,en
1338293375057997825,2020-12-14 01:22:59,RT @_donnydrama: They decoded the zodiac killer’s message and I’m so scared omg wtf https://t.co/17lFy0t3a2,b'RT @_donnydrama: They decoded the zodiac killer\xe2\x80\x99s message and I\xe2\x80\x99m so scared omg wtf https://t.co/17lFy0t3a2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_donnydrama', 'name': 'donny', 'id': 351335161, 'id_str': '351335161', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337854282230620163, 'id_str': '1337854282230620163', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EpEDYaWXYAMyTht.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpEDYaWXYAMyTht.jpg', 'url': 'https://t.co/17lFy0t3a2', 'display_url': 'pic.twitter.com/17lFy0t3a2', 'expanded_url': 'https://twitter.com/_donnydrama/status/1337854285636395008/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1235, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 724, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 410, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1337854285636395008, 'source_status_id_str': '1337854285636395008', 'source_user_id': 351335161, 'source_user_id_str': '351335161'}]}",,en
1338246795609124864,2020-12-13 22:17:54,RT @Harry_Styles: Fine Line is one year old. I couldn’t be more grateful for you all continually finding new ways to change my life. Thank…,b'RT @Harry_Styles: Fine Line is one year old. I couldn\xe2\x80\x99t be more grateful for you all continually finding new ways to change my life. Thank\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': 181561712, 'id_str': '181561712', 'indices': [3, 16]}], 'urls': []}",,en
1338233270203539459,2020-12-13 21:24:09,@karahh21 Pls do it,b'@karahh21 Pls do it',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'karahh21', 'name': 'shakara', 'id': 1152757322009255936, 'id_str': '1152757322009255936', 'indices': [0, 9]}], 'urls': []}",,en
1338215160490708993,2020-12-13 20:12:11,RT @sowrongitsnat: No one will ever understand the amount of serotonin that Alex Gaskarth singing Jingle Bell Rock with a smile on his face…,b'RT @sowrongitsnat: No one will ever understand the amount of serotonin that Alex Gaskarth singing Jingle Bell Rock with a smile on his face\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sowrongitsnat', 'name': 'Natalie', 'id': 3016127442, 'id_str': '3016127442', 'indices': [3, 17]}], 'urls': []}",,en
1338204725804675076,2020-12-13 19:30:43,RT @lil4nge111: biggest fear https://t.co/yT6K7DELkW,b'RT @lil4nge111: biggest fear https://t.co/yT6K7DELkW',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lil4nge111', 'name': 'a', 'id': 992601629592604672, 'id_str': '992601629592604672', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1337849942682034185, 'id_str': '1337849942682034185', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EpD_b0RW4Ak2IA0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpD_b0RW4Ak2IA0.jpg', 'url': 'https://t.co/yT6K7DELkW', 'display_url': 'pic.twitter.com/yT6K7DELkW', 'expanded_url': 'https://twitter.com/lil4nge111/status/1337849946779815951/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 764, 'h': 765, 'resize': 'fit'}, 'small': {'w': 679, 'h': 680, 'resize': 'fit'}, 'large': {'w': 764, 'h': 765, 'resize': 'fit'}}, 'source_status_id': 1337849946779815951, 'source_status_id_str': '1337849946779815951', 'source_user_id': 992601629592604672, 'source_user_id_str': '992601629592604672'}]}",,en
1338203897433890818,2020-12-13 19:27:26,"RT @DeionHD: My fiancé just got made partner at her law firm yesterday, that means I’m one step closer to living my life long dream of bein…","b'RT @DeionHD: My fianc\xc3\xa9 just got made partner at her law firm yesterday, that means I\xe2\x80\x99m one step closer to living my life long dream of bein\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DeionHD', 'name': 'Hank', 'id': 559038976, 'id_str': '559038976', 'indices': [3, 11]}], 'urls': []}",,en
1338136793959555073,2020-12-13 15:00:47,RT @curlybeviie: I honestly believe Raven had some control in outfit choices on That’s So Raven because she was the only person on Disney c…,b'RT @curlybeviie: I honestly believe Raven had some control in outfit choices on That\xe2\x80\x99s So Raven because she was the only person on Disney c\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'curlybeviie', 'name': 'Auntie Bev, MS 🍷', 'id': 734143713421627392, 'id_str': '734143713421627392', 'indices': [3, 15]}], 'urls': []}",,en
1338110594604556288,2020-12-13 13:16:41,RT @Christianh_31: I Saw someone say Florida upside down look like the grinch and after i flipped my Phone i'm mad i can't unsee it😭😭😭 http…,"b""RT @Christianh_31: I Saw someone say Florida upside down look like the grinch and after i flipped my Phone i'm mad i can't unsee it\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad http\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Christianh_31', 'name': 'La Magia🇩🇴', 'id': 948912420, 'id_str': '948912420', 'indices': [3, 17]}], 'urls': []}",,en
1338085496975749122,2020-12-13 11:36:57,RT @oland_11: Indiana out here putting in work. We are #1 baby https://t.co/MpDs4SopWO,b'RT @oland_11: Indiana out here putting in work. We are #1 baby https://t.co/MpDs4SopWO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'oland_11', 'name': 'Owen land', 'id': 629873545, 'id_str': '629873545', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1337777486348873735, 'id_str': '1337777486348873735', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EpC9iTZW8ActLRL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpC9iTZW8ActLRL.jpg', 'url': 'https://t.co/MpDs4SopWO', 'display_url': 'pic.twitter.com/MpDs4SopWO', 'expanded_url': 'https://twitter.com/oland_11/status/1337777488781594626/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1201, 'resize': 'fit'}, 'small': {'w': 611, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1079, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1337777488781594626, 'source_status_id_str': '1337777488781594626', 'source_user_id': 629873545, 'source_user_id_str': '629873545'}]}",,en
1338085192158875648,2020-12-13 11:35:44,RT @bri2goth: I can officially say I’ve worn a mask more than a bra this year,b'RT @bri2goth: I can officially say I\xe2\x80\x99ve worn a mask more than a bra this year',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bri2goth', 'name': '𝕭𝖗𝖎 | ⒷⓁⓂ', 'id': 546172233, 'id_str': '546172233', 'indices': [3, 12]}], 'urls': []}",,en
1337971296458706945,2020-12-13 04:03:10,RT @lmaowth_: I just wanna sit in front of the ocean &amp; listen to the waves,b'RT @lmaowth_: I just wanna sit in front of the ocean &amp; listen to the waves',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lmaowth_', 'name': '🦋', 'id': 1323701055268540417, 'id_str': '1323701055268540417', 'indices': [3, 12]}], 'urls': []}",,en
1337970793293156354,2020-12-13 04:01:10,RT @QuillerKween: I am no longer a santa denier im a santa believer the christmas spirit is real 🙏🏼🙏🏼 https://t.co/XOJfaK8PlI,b'RT @QuillerKween: I am no longer a santa denier im a santa believer the christmas spirit is real \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/XOJfaK8PlI',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'QuillerKween', 'name': 'Art 🗿 Mae', 'id': 1024090824743772162, 'id_str': '1024090824743772162', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1337493561835724800, 'id_str': '1337493561835724800', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/Eo-7TuKXIAARGRb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo-7TuKXIAARGRb.jpg', 'url': 'https://t.co/XOJfaK8PlI', 'display_url': 'pic.twitter.com/XOJfaK8PlI', 'expanded_url': 'https://twitter.com/QuillerKween/status/1337493564905955328/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 324, 'h': 427, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 324, 'h': 427, 'resize': 'fit'}, 'small': {'w': 324, 'h': 427, 'resize': 'fit'}}, 'source_status_id': 1337493564905955328, 'source_status_id_str': '1337493564905955328', 'source_user_id': 1024090824743772162, 'source_user_id_str': '1024090824743772162'}]}",,en
1337970143809462276,2020-12-13 03:58:35,RT @zachsilberberg: i saw mommy kissing santa clause now they're going to bed and my stomach is sick and it's all in my head but she's touc…,"b""RT @zachsilberberg: i saw mommy kissing santa clause now they're going to bed and my stomach is sick and it's all in my head but she's touc\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zachsilberberg', 'name': 'zach silberberg (for hire)', 'id': 830387870, 'id_str': '830387870', 'indices': [3, 18]}], 'urls': []}",,en
1337959232352686081,2020-12-13 03:15:13,RT @mariisssaa____: I will never tell my kids to wait til marriage to have sex. It’s possible but not realistic. I’ll teach them safe sex n…,b'RT @mariisssaa____: I will never tell my kids to wait til marriage to have sex. It\xe2\x80\x99s possible but not realistic. I\xe2\x80\x99ll teach them safe sex n\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mariisssaa____', 'name': 'Marissa 🖤', 'id': 2366236976, 'id_str': '2366236976', 'indices': [3, 18]}], 'urls': []}",,en
1337958748942372864,2020-12-13 03:13:18,"RT @P_Walkerr2: 9 WARNING SIGNS
""You're mentally and  emotionally exhausted""

A Thread:","b'RT @P_Walkerr2: 9 WARNING SIGNS\n""You\'re mentally and  emotionally exhausted""\n\nA Thread:'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'P_Walkerr2', 'name': 'ᏔᎪᏞKᎬᎡR🌞', 'id': 1312368748108623872, 'id_str': '1312368748108623872', 'indices': [3, 14]}], 'urls': []}",,en
1337958305617031168,2020-12-13 03:11:32,RT @SLveki: I went to Twitter university class of 2020 . WBU? https://t.co/buObDkOAKc,b'RT @SLveki: I went to Twitter university class of 2020 . WBU? https://t.co/buObDkOAKc',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SLveki', 'name': '🥂StSauvage 🇭🇹', 'id': 713248970, 'id_str': '713248970', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1337434172827324416, 'id_str': '1337434172827324416', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/Eo-FS03XUAAhQ7M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo-FS03XUAAhQ7M.jpg', 'url': 'https://t.co/buObDkOAKc', 'display_url': 'pic.twitter.com/buObDkOAKc', 'expanded_url': 'https://twitter.com/SLveki/status/1337434176950300676/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 555, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'large': {'w': 947, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1337434176950300676, 'source_status_id_str': '1337434176950300676', 'source_user_id': 713248970, 'source_user_id_str': '713248970'}]}",,en
1337940553107992582,2020-12-13 02:01:00,RT @TheEpicDept: Checkmate libs 😎 https://t.co/GOpLB2idsp,b'RT @TheEpicDept: Checkmate libs \xf0\x9f\x98\x8e https://t.co/GOpLB2idsp',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheEpicDept', 'name': 'The Girl Reading This :)', 'id': 1261714013240668160, 'id_str': '1261714013240668160', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337593331480735744, 'id_str': '1337593331480735744', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EpAWDFDXMAArAmz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpAWDFDXMAArAmz.jpg', 'url': 'https://t.co/GOpLB2idsp', 'display_url': 'pic.twitter.com/GOpLB2idsp', 'expanded_url': 'https://twitter.com/TheEpicDept/status/1337593334567677952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 911, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 516, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1170, 'h': 1541, 'resize': 'fit'}}, 'source_status_id': 1337593334567677952, 'source_status_id_str': '1337593334567677952', 'source_user_id': 1261714013240668160, 'source_user_id_str': '1261714013240668160'}]}",,en
1337939892974792704,2020-12-13 01:58:22,RT @g3danny_: Tik tok comments be funnier than the tik toks,b'RT @g3danny_: Tik tok comments be funnier than the tik toks',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'g3danny_', 'name': 'Danny', 'id': 1020962991121096704, 'id_str': '1020962991121096704', 'indices': [3, 12]}], 'urls': []}",,en
1337927647704338432,2020-12-13 01:09:43,Fuck everyone I work with.,b'Fuck everyone I work with.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337847927067320322,2020-12-12 19:52:56,RT @Aleyvette: If you notice someone shoplifting food mind your own business or offer to pay. DONT tell security or staff just let people g…,b'RT @Aleyvette: If you notice someone shoplifting food mind your own business or offer to pay. DONT tell security or staff just let people g\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Aleyvette', 'name': 'Ashley Hernandez', 'id': 136810624, 'id_str': '136810624', 'indices': [3, 13]}], 'urls': []}",,en
1337504629580554240,2020-12-11 21:08:47,RT @TCChoco: When you rediscover one of your favourite songs from 5 years ago https://t.co/TRow97aU2W,b'RT @TCChoco: When you rediscover one of your favourite songs from 5 years ago https://t.co/TRow97aU2W',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TCChoco', 'name': 'T ♡', 'id': 632075507, 'id_str': '632075507', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1337081666951589896, 'id_str': '1337081666951589896', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/Eo5EsSJWMAgM15_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo5EsSJWMAgM15_.jpg', 'url': 'https://t.co/TRow97aU2W', 'display_url': 'pic.twitter.com/TRow97aU2W', 'expanded_url': 'https://twitter.com/TCChoco/status/1337081670940422151/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 748, 'h': 721, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 748, 'h': 721, 'resize': 'fit'}, 'small': {'w': 680, 'h': 655, 'resize': 'fit'}}, 'source_status_id': 1337081670940422151, 'source_status_id_str': '1337081670940422151', 'source_user_id': 632075507, 'source_user_id_str': '632075507'}]}",,en
