id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338568093552013314,2020-12-14 19:34:37,@katenuss @hartleylabnyu @cate_hartley @GailRosenbaum Awww these are too cuteeeeeee😍,b'@katenuss @hartleylabnyu @cate_hartley @GailRosenbaum Awww these are too cuteeeeeee\xf0\x9f\x98\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'katenuss', 'name': 'Kate Nussenbaum', 'id': 335076438, 'id_str': '335076438', 'indices': [0, 9]}, {'screen_name': 'hartleylabnyu', 'name': 'Hartley Lab', 'id': 1168995431281508352, 'id_str': '1168995431281508352', 'indices': [10, 24]}, {'screen_name': 'cate_hartley', 'name': 'Catherine Hartley', 'id': 785285613645918208, 'id_str': '785285613645918208', 'indices': [25, 38]}, {'screen_name': 'GailRosenbaum', 'name': 'Dr. Gail Rosenbaum', 'id': 773805655, 'id_str': '773805655', 'indices': [39, 53]}], 'urls': []}",,en
1338293067741343744,2020-12-14 01:21:46,"RT @ch_stier: What do you associate with the 'impostor syndrome'?
Thoughts from a #GrowingUpInScience-session @uniGoettingen. A big thanks…","b""RT @ch_stier: What do you associate with the 'impostor syndrome'?\nThoughts from a #GrowingUpInScience-session @uniGoettingen. A big thanks\xe2\x80\xa6""","{'hashtags': [{'text': 'GrowingUpInScience', 'indices': [82, 101]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ch_stier', 'name': 'Christina Stier', 'id': 1337063972873310226, 'id_str': '1337063972873310226', 'indices': [3, 12]}, {'screen_name': 'uniGoettingen', 'name': 'Uni Göttingen', 'id': 50638548, 'id_str': '50638548', 'indices': [110, 124]}], 'urls': []}",,en
1338177662972551170,2020-12-13 17:43:11,"What a neat study! @smfleming and colleagues showed that higher dogmatisms were associated with greater resistance to search information that refine or update beliefs under uncertainty, a potential cognitive mechanisms for the formation of dogmatic beliefs. https://t.co/8kU5oq9Vaj","b'What a neat study! @smfleming and colleagues showed that higher dogmatisms were associated with greater resistance to search information that refine or update beliefs under uncertainty, a potential cognitive mechanisms for the formation of dogmatic beliefs. https://t.co/8kU5oq9Vaj'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'smfleming', 'name': 'Steve Fleming', 'id': 245493776, 'id_str': '245493776', 'indices': [19, 29]}], 'urls': [{'url': 'https://t.co/8kU5oq9Vaj', 'expanded_url': 'https://twitter.com/jayvanbavel/status/1338168262090235904', 'display_url': 'twitter.com/jayvanbavel/st…', 'indices': [258, 281]}]}",,en
1338103291738255360,2020-12-13 12:47:40,This is how science should be: cooperative and inclusive! https://t.co/RIYr82kTpC,b'This is how science should be: cooperative and inclusive! https://t.co/RIYr82kTpC',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RIYr82kTpC', 'expanded_url': 'https://twitter.com/DeanMobbs/status/1337983655528951809', 'display_url': 'twitter.com/DeanMobbs/stat…', 'indices': [58, 81]}]}",,en
1337578073072562183,2020-12-12 02:00:38,"@lindseytepfer Awew that’s so sweet! Happy birthday, Lindsey!","b'@lindseytepfer Awew that\xe2\x80\x99s so sweet! Happy birthday, Lindsey!'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lindseytepfer', 'name': 'lindsey tepfer', 'id': 36988740, 'id_str': '36988740', 'indices': [0, 14]}], 'urls': []}",,en
1337055141246144518,2020-12-10 15:22:41,Check out these super interesting posters from @LakeBrenden’s lab! https://t.co/eJr1Y7zU1p,b'Check out these super interesting posters from @LakeBrenden\xe2\x80\x99s lab! https://t.co/eJr1Y7zU1p',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LakeBrenden', 'name': 'Brenden Lake @ NeurIPS2020', 'id': 1009799569390096384, 'id_str': '1009799569390096384', 'indices': [47, 59]}], 'urls': [{'url': 'https://t.co/eJr1Y7zU1p', 'expanded_url': 'https://twitter.com/lakebrenden/status/1337052658386014209', 'display_url': 'twitter.com/lakebrenden/st…', 'indices': [67, 90]}]}",,en
1336714198668218374,2020-12-09 16:47:54,"RT @LakeBrenden: Can we learn systematic rules with the speed and flexibility of neural inference? At #NeurIPS2020, @Maxwell_Nye's model co…","b""RT @LakeBrenden: Can we learn systematic rules with the speed and flexibility of neural inference? At #NeurIPS2020, @Maxwell_Nye's model co\xe2\x80\xa6""","{'hashtags': [{'text': 'NeurIPS2020', 'indices': [102, 114]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LakeBrenden', 'name': 'Brenden Lake @ NeurIPS2020', 'id': 1009799569390096384, 'id_str': '1009799569390096384', 'indices': [3, 15]}, {'screen_name': 'Maxwell_Nye', 'name': 'Maxwell Nye', 'id': 1591961539, 'id_str': '1591961539', 'indices': [116, 128]}], 'urls': []}",,en
1336685825539657729,2020-12-09 14:55:09,"Cool work showing standard memory effects (serial position effects and semantic clustering) were observed in preferential choice tasks. Further, decision-relevant features, such as item desirability, play a stronger role in guiding retrieval for choice than standard recall. https://t.co/rGh9Jvp6RO","b'Cool work showing standard memory effects (serial position effects and semantic clustering) were observed in preferential choice tasks. Further, decision-relevant features, such as item desirability, play a stronger role in guiding retrieval for choice than standard recall. https://t.co/rGh9Jvp6RO'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rGh9Jvp6RO', 'expanded_url': 'https://twitter.com/AdaAka18/status/1336659144812748800', 'display_url': 'twitter.com/AdaAka18/statu…', 'indices': [275, 298]}]}",,en
1336679966755401728,2020-12-09 14:31:53,It turns out that the Pfizer and Moderate trials were tracking the number of vaccinated people developed symptoms with covid. So it’s possible that some vaccinated people can still get infected with covid without showing symptoms https://t.co/eSGgP93FUh,b'It turns out that the Pfizer and Moderate trials were tracking the number of vaccinated people developed symptoms with covid. So it\xe2\x80\x99s possible that some vaccinated people can still get infected with covid without showing symptoms https://t.co/eSGgP93FUh',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eSGgP93FUh', 'expanded_url': 'https://www.nytimes.com/2020/12/08/health/covid-vaccine-mask.html', 'display_url': 'nytimes.com/2020/12/08/hea…', 'indices': [230, 253]}]}",,en
1336457881709850628,2020-12-08 23:49:23,Aww this is sooo cute🥰🥰🥰 https://t.co/AHHeOJM1ii,b'Aww this is sooo cute\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0 https://t.co/AHHeOJM1ii',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AHHeOJM1ii', 'expanded_url': 'https://twitter.com/damiancruse/status/1336401464961474573', 'display_url': 'twitter.com/damiancruse/st…', 'indices': [25, 48]}]}",,en
