id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338515274476228608,2020-12-14 16:04:44,"My first 1000 kms on the clock! 
#KiaSeltos 😍
@KiaMotorsSA https://t.co/2eMrcvsjT7",b'My first 1000 kms on the clock! \n#KiaSeltos \xf0\x9f\x98\x8d\n@KiaMotorsSA https://t.co/2eMrcvsjT7',"{'hashtags': [{'text': 'KiaSeltos', 'indices': [33, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KiaMotorsSA', 'name': 'Kia Motors SA', 'id': 145171164, 'id_str': '145171164', 'indices': [46, 58]}], 'urls': [], 'media': [{'id': 1338515265794035724, 'id_str': '1338515265794035724', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/EpNciuAXUAwjCun.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNciuAXUAwjCun.jpg', 'url': 'https://t.co/2eMrcvsjT7', 'display_url': 'pic.twitter.com/2eMrcvsjT7', 'expanded_url': 'https://twitter.com/SherlinBarends/status/1338515274476228608/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 529, 'resize': 'fit'}, 'medium': {'w': 1157, 'h': 900, 'resize': 'fit'}, 'large': {'w': 1157, 'h': 900, 'resize': 'fit'}}}]}",,en
1336031351422791682,2020-12-07 19:34:31,"RT @safashionweek: DECEMBER IS HERE - It's all smiles with @sherlinbarends in a Helon Melon garment.

Photographer: @rizqua_barnes 
MUA: @t…","b""RT @safashionweek: DECEMBER IS HERE - It's all smiles with @sherlinbarends in a Helon Melon garment.\n\nPhotographer: @rizqua_barnes \nMUA: @t\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'safashionweek', 'name': 'SA Fashion Week', 'id': 54203479, 'id_str': '54203479', 'indices': [3, 17]}, {'screen_name': 'SherlinBarends', 'name': 'SHERLIN BARENDS', 'id': 1369402327, 'id_str': '1369402327', 'indices': [59, 74]}], 'urls': []}",,en
1334413296405860353,2020-12-03 08:24:56,"@sboshmafu Love, light and good vibes sis ❤️ https://t.co/qEXAtOsduc","b'@sboshmafu Love, light and good vibes sis \xe2\x9d\xa4\xef\xb8\x8f https://t.co/qEXAtOsduc'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sboshmafu', 'name': 'Sibongile Mafu', 'id': 33191006, 'id_str': '33191006', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1334413287044354048, 'id_str': '1334413287044354048', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EoTJ0IXXEAAQeCk.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EoTJ0IXXEAAQeCk.jpg', 'url': 'https://t.co/qEXAtOsduc', 'display_url': 'pic.twitter.com/qEXAtOsduc', 'expanded_url': 'https://twitter.com/SherlinBarends/status/1334413296405860353/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 400, 'h': 222, 'resize': 'fit'}, 'small': {'w': 400, 'h': 222, 'resize': 'fit'}, 'large': {'w': 400, 'h': 222, 'resize': 'fit'}}}]}",,en
1333736226763968516,2020-12-01 11:34:30,"The ONLY thing I want this Christmas is a smol family lunch🙏🏽
This pandemic has forced me to reevaluate my priorities. Grateful to love and be loved ❤️",b'The ONLY thing I want this Christmas is a smol family lunch\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\nThis pandemic has forced me to reevaluate my priorities. Grateful to love and be loved \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333732645352648711,2020-12-01 11:20:16,@replicate861 In that order 🙏🏽,b'@replicate861 In that order \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'replicate861', 'name': 'Vince', 'id': 2609581906, 'id_str': '2609581906', 'indices': [0, 13]}], 'urls': []}",,en
1333729857583378433,2020-12-01 11:09:12,What’s your wish for December?💫,b'What\xe2\x80\x99s your wish for December?\xf0\x9f\x92\xab',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333728191983349763,2020-12-01 11:02:35,"RT @WHO: Today is #WorldAIDSDay!

Take a moment to thank community health workers, nurses, doctors, scientists &amp; everybody involved in the…","b'RT @WHO: Today is #WorldAIDSDay!\n\nTake a moment to thank community health workers, nurses, doctors, scientists &amp; everybody involved in the\xe2\x80\xa6'","{'hashtags': [{'text': 'WorldAIDSDay', 'indices': [18, 31]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}], 'urls': []}",,en
1333727012343734272,2020-12-01 10:57:53,"Jan-Nov: New month, new goals! 

Dec: Is f*kk*l is festive! 🎉 

End-of-year-burnout is real. 
Relax. Rest. Recharge. https://t.co/BnHn4i12qU","b'Jan-Nov: New month, new goals! \n\nDec: Is f*kk*l is festive! \xf0\x9f\x8e\x89 \n\nEnd-of-year-burnout is real. \nRelax. Rest. Recharge. https://t.co/BnHn4i12qU'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1333727001564286977, 'id_str': '1333727001564286977', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/EoJZpDuWEAEx_cK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoJZpDuWEAEx_cK.jpg', 'url': 'https://t.co/BnHn4i12qU', 'display_url': 'pic.twitter.com/BnHn4i12qU', 'expanded_url': 'https://twitter.com/SherlinBarends/status/1333727012343734272/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",,en
1333721257498603521,2020-12-01 10:35:01,Almost too scared to say that I was one of the people Sibs was sitting with... ALMOST 🤣 https://t.co/T3wUol16xT,b'Almost too scared to say that I was one of the people Sibs was sitting with... ALMOST \xf0\x9f\xa4\xa3 https://t.co/T3wUol16xT',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/T3wUol16xT', 'expanded_url': 'https://twitter.com/sboshmafu/status/1333662383311642625', 'display_url': 'twitter.com/sboshmafu/stat…', 'indices': [88, 111]}]}",,en
1333357093076803584,2020-11-30 10:27:58,"It’s December tomorrow. 
That’s it. That’s the tweet.",b'It\xe2\x80\x99s December tomorrow. \nThat\xe2\x80\x99s it. That\xe2\x80\x99s the tweet.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
