id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1336415598851420161,2020-12-08 21:01:22,Im slowly regretting this Starbucks line,b'Im slowly regretting this Starbucks line',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335739997522030592,2020-12-07 00:16:46,@ThaliaMLeBlanc You should make a YouTube channel. Would love to see your face!,b'@ThaliaMLeBlanc You should make a YouTube channel. Would love to see your face!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ThaliaMLeBlanc', 'name': 'Thalia LeBlanc', 'id': 592556973, 'id_str': '592556973', 'indices': [0, 15]}], 'urls': []}",,en
1335644138562150411,2020-12-06 17:55:52,Like baby Physician,b'Like baby Physician',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335644057314312192,2020-12-06 17:55:32,Can we change the name of Physician assistant to something out please lol,b'Can we change the name of Physician assistant to something out please lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335462159107571713,2020-12-06 05:52:45,I love Jesus,b'I love Jesus',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335379751360315392,2020-12-06 00:25:17,FINALLY GOT MY @onepeloton BIKE AND I AM IN LOVE. Now question is how am I gonna get this thing to Tennessee from Cali 😂,b'FINALLY GOT MY @onepeloton BIKE AND I AM IN LOVE. Now question is how am I gonna get this thing to Tennessee from Cali \xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'onepeloton', 'name': 'Peloton', 'id': 771833052, 'id_str': '771833052', 'indices': [15, 26]}], 'urls': []}",,en
1335283294846418947,2020-12-05 18:02:00,Free coffee for responders every month. Got mines and paid for the car  behind me! @Starbucks https://t.co/duo8iPu7V5,b'Free coffee for responders every month. Got mines and paid for the car  behind me! @Starbucks https://t.co/duo8iPu7V5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Starbucks', 'name': 'Starbucks Coffee', 'id': 30973, 'id_str': '30973', 'indices': [83, 93]}], 'urls': [], 'media': [{'id': 1335283288932401152, 'id_str': '1335283288932401152', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/media/EofhE59UwAAIoay.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EofhE59UwAAIoay.jpg', 'url': 'https://t.co/duo8iPu7V5', 'display_url': 'pic.twitter.com/duo8iPu7V5', 'expanded_url': 'https://twitter.com/SilverPhonasa/status/1335283294846418947/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}",,en
1335255832410255360,2020-12-05 16:12:52,RT @hishockeywife: STOP MAKING COMMERCIALS LOUDER THAN THE SHOW!,b'RT @hishockeywife: STOP MAKING COMMERCIALS LOUDER THAN THE SHOW!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hishockeywife', 'name': '• 𝙼𝚊𝚖𝚊 𝙲 • 🎄❄️', 'id': 803393875968741376, 'id_str': '803393875968741376', 'indices': [3, 17]}], 'urls': []}",,en
1335252308175679488,2020-12-05 15:58:52,"RT @Wynter_Nomad: My 30's will be the best years of my life, I'm speaking it into existence.","b""RT @Wynter_Nomad: My 30's will be the best years of my life, I'm speaking it into existence.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wynter_Nomad', 'name': 'Wynter_Nomad', 'id': 327173862, 'id_str': '327173862', 'indices': [3, 16]}], 'urls': []}",,en
1335252279792787457,2020-12-05 15:58:45,The lord works in amazing ways.,b'The lord works in amazing ways.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335115377253052417,2020-12-05 06:54:45,3 months.,b'3 months.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,fr
1335083081699524609,2020-12-05 04:46:25,Tesla CEO moving out of Cali. Lol who isn’t leaving? I can’t wait,b'Tesla CEO moving out of Cali. Lol who isn\xe2\x80\x99t leaving? I can\xe2\x80\x99t wait',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335081090512375809,2020-12-05 04:38:31,"RT @Pastor__West: God is saying to you tonight, “You’re going to make it. You and your family will be just fine. Just stand and let me figh…","b'RT @Pastor__West: God is saying to you tonight, \xe2\x80\x9cYou\xe2\x80\x99re going to make it. You and your family will be just fine. Just stand and let me figh\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pastor__West', 'name': 'Pastor West', 'id': 403443988, 'id_str': '403443988', 'indices': [3, 16]}], 'urls': []}",,en
1334509805839519745,2020-12-03 14:48:26,It’s been such a LONG week working in healthcare. Under this n95 mask and this shield my tears are real yal. I am tired. But I AM TRYING!,b'It\xe2\x80\x99s been such a LONG week working in healthcare. Under this n95 mask and this shield my tears are real yal. I am tired. But I AM TRYING!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334369673450676225,2020-12-03 05:31:36,"RT @Wynter_Nomad: Know your worth, even if it gets lonely.","b'RT @Wynter_Nomad: Know your worth, even if it gets lonely.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wynter_Nomad', 'name': 'Wynter_Nomad', 'id': 327173862, 'id_str': '327173862', 'indices': [3, 16]}], 'urls': []}",,en
1333927836122378243,2020-12-02 00:15:53,"RT @nicholswhitneyy: Stop overthinking. If it’s God’s will it’ll happen and nothing will stop it. If it’s not, He has a better plan. Have p…","b'RT @nicholswhitneyy: Stop overthinking. If it\xe2\x80\x99s God\xe2\x80\x99s will it\xe2\x80\x99ll happen and nothing will stop it. If it\xe2\x80\x99s not, He has a better plan. Have p\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nicholswhitneyy', 'name': 'Whitney Nichols', 'id': 1191802585348489217, 'id_str': '1191802585348489217', 'indices': [3, 19]}], 'urls': []}",,en
1333781984686923783,2020-12-01 14:36:20,RT @itsbrittanydawn: to the girl needing this tonight: God sees those tears and He feels every single heartbreak you’ve faced. I know it’s…,b'RT @itsbrittanydawn: to the girl needing this tonight: God sees those tears and He feels every single heartbreak you\xe2\x80\x99ve faced. I know it\xe2\x80\x99s\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'itsbrittanydawn', 'name': 'Brittany Dawn', 'id': 186155207, 'id_str': '186155207', 'indices': [3, 19]}], 'urls': []}",,en
1333493423806980097,2020-11-30 19:29:42,I am so stressed at work,b'I am so stressed at work',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333087353934495746,2020-11-29 16:36:07,"RT @Pastor__West: RT, if you’re trusting God.","b'RT @Pastor__West: RT, if you\xe2\x80\x99re trusting God.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pastor__West', 'name': 'Pastor West', 'id': 403443988, 'id_str': '403443988', 'indices': [3, 16]}], 'urls': []}",,en
1332877420467154945,2020-11-29 02:41:55,😂 https://t.co/j4SxIvI5Kn,b'\xf0\x9f\x98\x82 https://t.co/j4SxIvI5Kn',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/j4SxIvI5Kn', 'expanded_url': 'https://twitter.com/wavydrugs/status/1332390341790617606', 'display_url': 'twitter.com/wavydrugs/stat…', 'indices': [2, 25]}]}",,und
1332873162539692034,2020-11-29 02:25:00,RT @lululemon: It's okay to not be okay.,"b""RT @lululemon: It's okay to not be okay.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lululemon', 'name': 'lululemon', 'id': 16252784, 'id_str': '16252784', 'indices': [3, 13]}], 'urls': []}",,en
