id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1334986752252129281,2020-12-04 22:23:39,@guardian I feel better about having little chance of ever having a garden.,b'@guardian I feel better about having little chance of ever having a garden.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'guardian', 'name': 'The Guardian', 'id': 87818409, 'id_str': '87818409', 'indices': [0, 9]}], 'urls': []}",,en
1333865201347801091,2020-12-01 20:07:00,"@Femi_Sorry Hi Femi. I'm sure you're aware of HasanAbi, and the success/reach he has on Twitch. I've been hoping to see a UK-centric stream presented in a similar way but there's nothing. I think you'd be perfect. 🙏","b""@Femi_Sorry Hi Femi. I'm sure you're aware of HasanAbi, and the success/reach he has on Twitch. I've been hoping to see a UK-centric stream presented in a similar way but there's nothing. I think you'd be perfect. \xf0\x9f\x99\x8f""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Femi_Sorry', 'name': 'Femi😷', 'id': 234694571, 'id_str': '234694571', 'indices': [0, 11]}], 'urls': []}",,en
1332091484674383872,2020-11-26 22:38:53,@mikeysmith @carolecadwalla Deep fakes are scary. Imagine if he actually did that for real. What sad pit of desperation would he need to be in for 'are nige' to produce something like that?,"b""@mikeysmith @carolecadwalla Deep fakes are scary. Imagine if he actually did that for real. What sad pit of desperation would he need to be in for 'are nige' to produce something like that?""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mikeysmith', 'name': 'Mikey Smith', 'id': 18046301, 'id_str': '18046301', 'indices': [0, 11]}, {'screen_name': 'carolecadwalla', 'name': 'Carole Cadwalladr', 'id': 722242009, 'id_str': '722242009', 'indices': [12, 27]}], 'urls': []}",,en
1331721927828918276,2020-11-25 22:10:24,@V0RL0N @BBCBreaking Nah,b'@V0RL0N @BBCBreaking Nah',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'V0RL0N', 'name': 'Vorlon', 'id': 2194456534, 'id_str': '2194456534', 'indices': [0, 7]}, {'screen_name': 'BBCBreaking', 'name': 'BBC Breaking News', 'id': 5402612, 'id_str': '5402612', 'indices': [8, 20]}], 'urls': []}",,und
1331363630399578116,2020-11-24 22:26:39,@MiltonTPike1 A fuzzy photo? Compelling evidence of extraterrestrials is as good as zero tbh. I've lived through decades of people declaring the day of disclosure is near based on a Mulderesque belief in the value of extremely poor evidence.,"b""@MiltonTPike1 A fuzzy photo? Compelling evidence of extraterrestrials is as good as zero tbh. I've lived through decades of people declaring the day of disclosure is near based on a Mulderesque belief in the value of extremely poor evidence.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MiltonTPike1', 'name': 'MiltonTPike1', 'id': 863481139096199168, 'id_str': '863481139096199168', 'indices': [0, 13]}], 'urls': []}",,en
1329767101461123072,2020-11-20 12:42:37,@perryfarrell That could be a real banger if someone put a beat to it.,b'@perryfarrell That could be a real banger if someone put a beat to it.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'perryfarrell', 'name': 'Perry Farrell', 'id': 21271656, 'id_str': '21271656', 'indices': [0, 13]}], 'urls': []}",,en
1329149504336121857,2020-11-18 19:48:30,@Nigel_Farage Populist bollocks for non-thinkers,b'@Nigel_Farage Populist bollocks for non-thinkers',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nigel_Farage', 'name': 'Nigel Farage', 'id': 19017675, 'id_str': '19017675', 'indices': [0, 13]}], 'urls': []}",,en
1328474309690617859,2020-11-16 23:05:31,@Ali79596850 You're a poster child for how easily people can be manipulated,"b""@Ali79596850 You're a poster child for how easily people can be manipulated""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ali79596850', 'name': 'All sorts', 'id': 1237343095475355649, 'id_str': '1237343095475355649', 'indices': [0, 12]}], 'urls': []}",,en
1327998155414261761,2020-11-15 15:33:27,@Dexerto My favourite- Horizon Zero Dawn. A beautiful open world with joyous combat and a hard sci-fi story behind it all.,b'@Dexerto My favourite- Horizon Zero Dawn. A beautiful open world with joyous combat and a hard sci-fi story behind it all.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dexerto', 'name': 'DEXERTO.COM', 'id': 76766018, 'id_str': '76766018', 'indices': [0, 8]}], 'urls': []}",,en
1327336008594157568,2020-11-13 19:42:19,@julianardin Has it been confirmed guns are involved?,b'@julianardin Has it been confirmed guns are involved?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'julianardin', 'name': 'Julia Nardin', 'id': 1658664462, 'id_str': '1658664462', 'indices': [0, 12]}], 'urls': []}",,en
