id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1337996205620510721,2020-12-13 05:42:08,THIS FUCKIN FIGHT!!!!! #UFC256,b'THIS FUCKIN FIGHT!!!!! #UFC256',"{'hashtags': [{'text': 'UFC256', 'indices': [23, 30]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337989027681554433,2020-12-13 05:13:37,Charles Oliveira!!!! that armbar from round 1 still got me shooketh!!!! #UFC256,b'Charles Oliveira!!!! that armbar from round 1 still got me shooketh!!!! #UFC256',"{'hashtags': [{'text': 'UFC256', 'indices': [72, 79]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337969526957195265,2020-12-13 03:56:08,"Talk your shit, Holland. What a fuckin' fight!!! #UFC256","b""Talk your shit, Holland. What a fuckin' fight!!! #UFC256""","{'hashtags': [{'text': 'UFC256', 'indices': [49, 56]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337699478283796482,2020-12-12 10:03:03,"The only, and arguably the hardest, missions I have left in Ninja Gaiden Sigma 2 Team Missions are MN2, MN3, MN5 and UN1..... 

I won't get the platinum if I don't beat them....welp https://t.co/EQDGlZriJL","b""The only, and arguably the hardest, missions I have left in Ninja Gaiden Sigma 2 Team Missions are MN2, MN3, MN5 and UN1..... \n\nI won't get the platinum if I don't beat them....welp https://t.co/EQDGlZriJL""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337699096522473472, 'id_str': '1337699096522473472', 'indices': [182, 205], 'media_url': 'http://pbs.twimg.com/media/EpB2PaiVQAAeere.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpB2PaiVQAAeere.jpg', 'url': 'https://t.co/EQDGlZriJL', 'display_url': 'pic.twitter.com/EQDGlZriJL', 'expanded_url': 'https://twitter.com/Yasha_jinn/status/1337699478283796482/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",,en
1337160983115022337,2020-12-10 22:23:16,"RT @acmilan: Full-time! And we finish 🔝 of #UEL Group H

3 punti e finiamo il girone al primo posto. Bravissimi ragazzi! 🔴⚫

#SpartaMilan #…",b'RT @acmilan: Full-time! And we finish \xf0\x9f\x94\x9d of #UEL Group H\n\n3 punti e finiamo il girone al primo posto. Bravissimi ragazzi! \xf0\x9f\x94\xb4\xe2\x9a\xab\n\n#SpartaMilan #\xe2\x80\xa6',"{'hashtags': [{'text': 'UEL', 'indices': [43, 47]}, {'text': 'SpartaMilan', 'indices': [125, 137]}], 'symbols': [], 'user_mentions': [{'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [3, 11]}], 'urls': []}",,it
1337146004286521344,2020-12-10 21:23:45,"RT @acmilan: Jens Petter HauGOAL ⚽
#SpartaMilan #UEL #SempreMilan https://t.co/v6in3O0lx9",b'RT @acmilan: Jens Petter HauGOAL \xe2\x9a\xbd\n#SpartaMilan #UEL #SempreMilan https://t.co/v6in3O0lx9',"{'hashtags': [{'text': 'SpartaMilan', 'indices': [35, 47]}, {'text': 'UEL', 'indices': [48, 52]}, {'text': 'SempreMilan', 'indices': [53, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'acmilan', 'name': 'AC Milan', 'id': 186386857, 'id_str': '186386857', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1337134912743280650, 'id_str': '1337134912743280650', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/Eo51HmLWEAoek6_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo51HmLWEAoek6_.jpg', 'url': 'https://t.co/v6in3O0lx9', 'display_url': 'pic.twitter.com/v6in3O0lx9', 'expanded_url': 'https://twitter.com/acmilan/status/1337135135179894795/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 1000, 'resize': 'fit'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}}, 'source_status_id': 1337135135179894795, 'source_status_id_str': '1337135135179894795', 'source_user_id': 186386857, 'source_user_id_str': '186386857'}]}",,no
1336212872179769344,2020-12-08 07:35:49,"Path of the Coochie (aka mentor) is done, time to get my cheeks clapped offline while the team missions do the honors online... smh

This game will either break me for good or I dunno, I am scared........ https://t.co/PYDBqEqi6y","b'Path of the Coochie (aka mentor) is done, time to get my cheeks clapped offline while the team missions do the honors online... smh\n\nThis game will either break me for good or I dunno, I am scared........ https://t.co/PYDBqEqi6y'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1336212066516910080, 'id_str': '1336212066516910080', 'indices': [205, 228], 'media_url': 'http://pbs.twimg.com/media/Eosty4FUwAA21Qz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eosty4FUwAA21Qz.jpg', 'url': 'https://t.co/PYDBqEqi6y', 'display_url': 'pic.twitter.com/PYDBqEqi6y', 'expanded_url': 'https://twitter.com/Yasha_jinn/status/1336212872179769344/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}",,en
1335121557144752129,2020-12-05 07:19:19,"How doing Ninja Gaiden Sigma 2 missions be like.... 

@Reachie19 https://t.co/cigDTTME1i",b'How doing Ninja Gaiden Sigma 2 missions be like.... \n\n@Reachie19 https://t.co/cigDTTME1i',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Reachie19', 'name': 'Reachie', 'id': 391705496, 'id_str': '391705496', 'indices': [54, 64]}], 'urls': [], 'media': [{'id': 1335121448554299392, 'id_str': '1335121448554299392', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1335121448554299392/pu/img/P5vv5_W0MDEaIvZ2.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1335121448554299392/pu/img/P5vv5_W0MDEaIvZ2.jpg', 'url': 'https://t.co/cigDTTME1i', 'display_url': 'pic.twitter.com/cigDTTME1i', 'expanded_url': 'https://twitter.com/Yasha_jinn/status/1335121557144752129/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 540, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 960, 'h': 540, 'resize': 'fit'}}}]}",,en
1334597287037702144,2020-12-03 20:36:03,"Jens Petter Hauge....

That's the tweet #SempreMilan 🔴⚫️","b""Jens Petter Hauge....\n\nThat's the tweet #SempreMilan \xf0\x9f\x94\xb4\xe2\x9a\xab\xef\xb8\x8f""","{'hashtags': [{'text': 'SempreMilan', 'indices': [40, 52]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334330987036073985,2020-12-03 02:57:52,"Yea... I guess I like Ninja Gaiden... probably, I dunno (3 and 3 RE can still fuck off) https://t.co/DfChbpXB8e","b'Yea... I guess I like Ninja Gaiden... probably, I dunno (3 and 3 RE can still fuck off) https://t.co/DfChbpXB8e'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1334330794584621056, 'id_str': '1334330794584621056', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/media/EoR-ycAUwAAdKln.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoR-ycAUwAAdKln.jpg', 'url': 'https://t.co/DfChbpXB8e', 'display_url': 'pic.twitter.com/DfChbpXB8e', 'expanded_url': 'https://twitter.com/Yasha_jinn/status/1334330987036073985/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}}]}",,en
1333521564147404801,2020-11-30 21:21:31,"RT @SteveHofstetter: Somewhat lost in all of this election madness is that Ajit Pai, the piece of garbage FCC chairman that tried to destro…","b'RT @SteveHofstetter: Somewhat lost in all of this election madness is that Ajit Pai, the piece of garbage FCC chairman that tried to destro\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SteveHofstetter', 'name': 'Steve Hofstetter', 'id': 15978244, 'id_str': '15978244', 'indices': [3, 19]}], 'urls': []}",,en
