id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338698903202488321,2020-12-15 04:14:25,@simpinjimin Hoby 🥺 https://t.co/RTYQFHAWxR,b'@simpinjimin Hoby \xf0\x9f\xa5\xba https://t.co/RTYQFHAWxR',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'simpinjimin', 'name': 'ᴮᴱK开I 📌 BEST FANBOY IN KPOP', 'id': 47201336, 'id_str': '47201336', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1336028755274453004, 'id_str': '1336028755274453004', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1336028755274453004/pu/img/KAjUcaPXRzFKhez1.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1336028755274453004/pu/img/KAjUcaPXRzFKhez1.jpg', 'url': 'https://t.co/RTYQFHAWxR', 'display_url': 'pic.twitter.com/RTYQFHAWxR', 'expanded_url': 'https://twitter.com/ashtrayhopej/status/1336028774635286529/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 671, 'resize': 'fit'}, 'large': {'w': 730, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 730, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1336028774635286529, 'source_status_id_str': '1336028774635286529', 'source_user_id': 1226982622305378304, 'source_user_id_str': '1226982622305378304'}]}",,en
1338698182465908736,2020-12-15 04:11:33,This picture my friend took of me at an antique store gave me magic shop vibes. https://t.co/9A2F8s1Dnn,b'This picture my friend took of me at an antique store gave me magic shop vibes. https://t.co/9A2F8s1Dnn',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338698179072626694, 'id_str': '1338698179072626694', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EpQC5rEWEAYTqsg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQC5rEWEAYTqsg.jpg', 'url': 'https://t.co/9A2F8s1Dnn', 'display_url': 'pic.twitter.com/9A2F8s1Dnn', 'expanded_url': 'https://twitter.com/ashtrayhopej/status/1338698182465908736/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1440, 'h': 1440, 'resize': 'fit'}}}]}",,en
1338694688166064129,2020-12-15 03:57:40,If Dis-ease got a music video this light would be part of it. I just feel it. https://t.co/CeSaeCxPR1,b'If Dis-ease got a music video this light would be part of it. I just feel it. https://t.co/CeSaeCxPR1',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338694683149611008, 'id_str': '1338694683149611008', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EpP_uLvWMAA1H50.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpP_uLvWMAA1H50.jpg', 'url': 'https://t.co/CeSaeCxPR1', 'display_url': 'pic.twitter.com/CeSaeCxPR1', 'expanded_url': 'https://twitter.com/ashtrayhopej/status/1338694688166064129/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1388, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 461, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 813, 'h': 1200, 'resize': 'fit'}}}]}",,en
1338694525506772993,2020-12-15 03:57:01,"@RecordingAcad Dynamite, Dis-ease, life goes on.","b'@RecordingAcad Dynamite, Dis-ease, life goes on.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RecordingAcad', 'name': 'Recording Academy / GRAMMYs', 'id': 17243213, 'id_str': '17243213', 'indices': [0, 14]}], 'urls': []}",,en
1338518186845745160,2020-12-14 16:16:18,@svntrm Honestly the only thing I care ab rn is how his bonsai tree is looking.,b'@svntrm Honestly the only thing I care ab rn is how his bonsai tree is looking.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'svntrm', 'name': 'jojo⁷ ✰', 'id': 1291709552056872963, 'id_str': '1291709552056872963', 'indices': [0, 7]}], 'urls': []}",,en
1338499427783290881,2020-12-14 15:01:46,"*scratches ass*
Y’all hear somethin?🧍 

ima make sure I steer clear of whatever weverse “army’s” are on. https://t.co/bXDczsxhTY",b'*scratches ass*\nY\xe2\x80\x99all hear somethin?\xf0\x9f\xa7\x8d \n\nima make sure I steer clear of whatever weverse \xe2\x80\x9carmy\xe2\x80\x99s\xe2\x80\x9d are on. https://t.co/bXDczsxhTY',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bXDczsxhTY', 'expanded_url': 'https://twitter.com/ot7genre/status/1338344741340147712', 'display_url': 'twitter.com/ot7genre/statu…', 'indices': [105, 128]}]}",,en
1338499417708621824,2020-12-14 15:01:43,@flwsjmn Did y’all’s parents ever invite people over without tell you and you walk out of the shower naked/ in a towel/ not wearing a shirt/ not wearing pants/ and you just look at each other like this 👁👄👁 for a second before you dig your grave?,b'@flwsjmn Did y\xe2\x80\x99all\xe2\x80\x99s parents ever invite people over without tell you and you walk out of the shower naked/ in a towel/ not wearing a shirt/ not wearing pants/ and you just look at each other like this \xf0\x9f\x91\x81\xf0\x9f\x91\x84\xf0\x9f\x91\x81 for a second before you dig your grave?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flwsjmn', 'name': ""ً kyle ♡'s gab"", 'id': 1076908332517113856, 'id_str': '1076908332517113856', 'indices': [0, 8]}], 'urls': []}",,en
1338469164860792833,2020-12-14 13:01:31,@ot7genre *scratches ass* y’all hear somthin?,b'@ot7genre *scratches ass* y\xe2\x80\x99all hear somthin?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ot7genre', 'name': 'ًwhat do you think? ⁷', 'id': 1210971711232860160, 'id_str': '1210971711232860160', 'indices': [0, 9]}], 'urls': []}",,en
1338448007558262784,2020-12-14 11:37:26,@mygminaj Only on blackoutarmyselcaday. Im not gonna lie they are some of god’s favorites. Like I see some of them and I think “how tf can someone be so pretty”.,b'@mygminaj Only on blackoutarmyselcaday. Im not gonna lie they are some of god\xe2\x80\x99s favorites. Like I see some of them and I think \xe2\x80\x9chow tf can someone be so pretty\xe2\x80\x9d.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mygminaj', 'name': 'ᴮᴱShay⁷𖧵', 'id': 1300321061763010560, 'id_str': '1300321061763010560', 'indices': [0, 9]}], 'urls': []}",,en
1338447357533429760,2020-12-14 11:34:51,@Blue_n_Grey_BTS Exactly,b'@Blue_n_Grey_BTS Exactly',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Blue_n_Grey_BTS', 'name': 'blue and grey℗ ⁷SONG BY GRAMMY NOMINATED BTS', 'id': 1330113740038082564, 'id_str': '1330113740038082564', 'indices': [0, 16]}], 'urls': []}",,en
