id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338702777573208064,2020-12-15 04:29:48,Uy gagi sorry sumabog ako kagabi!,b'Uy gagi sorry sumabog ako kagabi!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338537364331745280,2020-12-14 17:32:31,@iamrzapndjto I love you 69k!,b'@iamrzapndjto I love you 69k!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamrzapndjto', 'name': 'sisang', 'id': 777904913917456384, 'id_str': '777904913917456384', 'indices': [0, 13]}], 'urls': []}",,en
1338537059078705152,2020-12-14 17:31:18,@iamrzapndjto Napatawa moko mahal. Thank youuuuuu.,b'@iamrzapndjto Napatawa moko mahal. Thank youuuuuu.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamrzapndjto', 'name': 'sisang', 'id': 777904913917456384, 'id_str': '777904913917456384', 'indices': [0, 13]}], 'urls': []}",,tl
1338536168590217222,2020-12-14 17:27:46,"most people told me not to face this kind of issue kase ikababagsak ko daw and i was like ""no, papatuloy kang babagsak kung papatakpan mo bibig mo sa kanila"" Kaso ito nakakalunod pala pero kase mali manahimik","b'most people told me not to face this kind of issue kase ikababagsak ko daw and i was like ""no, papatuloy kang babagsak kung papatakpan mo bibig mo sa kanila"" Kaso ito nakakalunod pala pero kase mali manahimik'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338535898770640896,2020-12-14 17:26:41,Subject matters lang to pero iniyakan ko na. Sorry nanlilimos daw kase ako ng grades,b'Subject matters lang to pero iniyakan ko na. Sorry nanlilimos daw kase ako ng grades',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338534482773565440,2020-12-14 17:21:04,Me rn. https://t.co/I6hA7eZspb,b'Me rn. https://t.co/I6hA7eZspb',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338534471771942912, 'id_str': '1338534471771942912', 'indices': [7, 30], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpNuAp2U8AAuIuS.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpNuAp2U8AAuIuS.jpg', 'url': 'https://t.co/I6hA7eZspb', 'display_url': 'pic.twitter.com/I6hA7eZspb', 'expanded_url': 'https://twitter.com/blamemenotakid/status/1338534482773565440/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}}]}",,en
1338525547903664129,2020-12-14 16:45:33,"Wait bigla akong nagbreakdown, biglang diko na kaya!","b'Wait bigla akong nagbreakdown, biglang diko na kaya!'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338512676121583616,2020-12-14 15:54:25,What a great night to be with you kahit mang aagaw ka ng asawa. @_notmacy  iinom pa tayo ah! https://t.co/5hJTUl3UuF,b'What a great night to be with you kahit mang aagaw ka ng asawa. @_notmacy  iinom pa tayo ah! https://t.co/5hJTUl3UuF',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_notmacy', 'name': 'Nanno', 'id': 858898920700649472, 'id_str': '858898920700649472', 'indices': [64, 73]}], 'urls': [], 'media': [{'id': 1338512640709074944, 'id_str': '1338512640709074944', 'indices': [93, 116], 'media_url': 'http://pbs.twimg.com/media/EpNaJ6zVoAATwXy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNaJ6zVoAATwXy.jpg', 'url': 'https://t.co/5hJTUl3UuF', 'display_url': 'pic.twitter.com/5hJTUl3UuF', 'expanded_url': 'https://twitter.com/blamemenotakid/status/1338512676121583616/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}",,tl
1338368851533172738,2020-12-14 06:22:54,"""Sir, palimos po!"" ganto ba pag karinig mo sir?","b'""Sir, palimos po!"" ganto ba pag karinig mo sir?'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338368087683342336,2020-12-14 06:19:52,"We have this prof na ang ginamit na term sa panghihingi ng alternative way ng mga scholars yung ""nanlilimos/panlilimos"" na hindi daw dapat.","b'We have this prof na ang ginamit na term sa panghihingi ng alternative way ng mga scholars yung ""nanlilimos/panlilimos"" na hindi daw dapat.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
