id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338506685506150400,2020-12-14 15:30:36,The dynamic flow of the day helps you interact with others wit... More for Aquarius https://t.co/hPpP9XE8FI,b'The dynamic flow of the day helps you interact with others wit... More for Aquarius https://t.co/hPpP9XE8FI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1338144294159351808,2020-12-13 15:30:35,There is an outgoing energy in you today and you are eager to ... More for Aquarius https://t.co/hPpP9XE8FI,b'There is an outgoing energy in you today and you are eager to ... More for Aquarius https://t.co/hPpP9XE8FI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1337781906511839235,2020-12-12 15:30:35,"Your perspective is everything and, today, you see things in a... More for Aquarius https://t.co/hPpP9XE8FI","b'Your perspective is everything and, today, you see things in a... More for Aquarius https://t.co/hPpP9XE8FI'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1337419521116622849,2020-12-11 15:30:36,It feels like things are slowly resolving themselves around yo... More for Aquarius https://t.co/hPpP9XE8FI,b'It feels like things are slowly resolving themselves around yo... More for Aquarius https://t.co/hPpP9XE8FI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1337057197944168451,2020-12-10 15:30:51,"Your mind seeks to cool your fiery temper today, brought on by... More for Aquarius https://t.co/hPpP9XmxOa","b'Your mind seeks to cool your fiery temper today, brought on by... More for Aquarius https://t.co/hPpP9XmxOa'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XmxOa', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1336694742487199745,2020-12-09 15:30:35,"As insights and prophecies come easily to you today, people ar... More for Aquarius https://t.co/hPpP9XE8FI","b'As insights and prophecies come easily to you today, people ar... More for Aquarius https://t.co/hPpP9XE8FI'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1336332369943400450,2020-12-08 15:30:39,You have both the brains and the soul to make a difference. Th... More for Aquarius https://t.co/hPpP9XE8FI,b'You have both the brains and the soul to make a difference. Th... More for Aquarius https://t.co/hPpP9XE8FI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1336039454641803264,2020-12-07 20:06:43,@joshuaansaldo Hahahaha work work ako nyan,b'@joshuaansaldo Hahahaha work work ako nyan',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'joshuaansaldo', 'name': 'ansaldo', 'id': 547410392, 'id_str': '547410392', 'indices': [0, 14]}], 'urls': []}",,tl
1335969968437915648,2020-12-07 15:30:36,You tread through the waters of consciousness very carefully t... More for Aquarius https://t.co/hPpP9XE8FI,b'You tread through the waters of consciousness very carefully t... More for Aquarius https://t.co/hPpP9XE8FI',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1335898646525616131,2020-12-07 10:47:11,It's so scary to think about where things are going right now. I'm finally at a place where I'm enjoying what I do and getting fair compensation for it. My 2019 self is so diff from 2020 gaelle. Finally looking forward to stuff.,"b""It's so scary to think about where things are going right now. I'm finally at a place where I'm enjoying what I do and getting fair compensation for it. My 2019 self is so diff from 2020 gaelle. Finally looking forward to stuff.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335897382047817728,2020-12-07 10:42:10,"I can't believe how different things are this year. Yes, there is a pandemic going on. Yes, I still get random lows. But for the first time in a while, I don't think I'll be spending the holidays/important stuff in bed, depressed.","b""I can't believe how different things are this year. Yes, there is a pandemic going on. Yes, I still get random lows. But for the first time in a while, I don't think I'll be spending the holidays/important stuff in bed, depressed.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335897379279499265,2020-12-07 10:42:09,"Not a month later, I left. It was a battle, though. I had to come to terms w the fact that I was diagnosed with depression w anxiety. I had to deal w looking for something to look forward to.","b'Not a month later, I left. It was a battle, though. I had to come to terms w the fact that I was diagnosed with depression w anxiety. I had to deal w looking for something to look forward to.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335897374019837952,2020-12-07 10:42:08,I spent Christmas and New Years' in bed. Trying to sleep but still failing. I was so disgusted by what was happening around me and it's when I realized I had to leave.,"b""I spent Christmas and New Years' in bed. Trying to sleep but still failing. I was so disgusted by what was happening around me and it's when I realized I had to leave.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335897371830435843,2020-12-07 10:42:07,"Because of the lack of integrity surrounding me, I became so depressed and anxious about every single day. I wasn't even sleeping.","b""Because of the lack of integrity surrounding me, I became so depressed and anxious about every single day. I wasn't even sleeping.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335897369989140480,2020-12-07 10:42:07,"About a year ago today, I wrote a letter about something I learned about someone which made me uncomfortable. What happened soon after sort of realize how much I value integrity. I'm definitely not perfect nor free from my own sins but integrity is something I won't compromise.","b""About a year ago today, I wrote a letter about something I learned about someone which made me uncomfortable. What happened soon after sort of realize how much I value integrity. I'm definitely not perfect nor free from my own sins but integrity is something I won't compromise.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335607584280100866,2020-12-06 15:30:37,"You're not afraid to face a challenge head-on right now, or ev... More for Aquarius https://t.co/hPpP9XE8FI","b""You're not afraid to face a challenge head-on right now, or ev... More for Aquarius https://t.co/hPpP9XE8FI""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
1335425405080125440,2020-12-06 03:26:42,Woke up to bistek and rice yayyyy,b'Woke up to bistek and rice yayyyy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335245196036960256,2020-12-05 15:30:37,"Wherever your day takes you, it is likely to be flavored with ... More for Aquarius https://t.co/hPpP9XE8FI","b'Wherever your day takes you, it is likely to be flavored with ... More for Aquarius https://t.co/hPpP9XE8FI'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hPpP9XE8FI', 'expanded_url': 'http://bit.ly/whBNNw', 'display_url': 'bit.ly/whBNNw', 'indices': [84, 107]}]}",,en
