id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338322514490044416,2020-12-14 03:18:46,@gh0stinggh0ulz FUCKING VALID,b'@gh0stinggh0ulz FUCKING VALID',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gh0stinggh0ulz', 'name': 'ghost˚ ༘✶ ⋆｡˚ ⁀➷', 'id': 1311136241803505665, 'id_str': '1311136241803505665', 'indices': [0, 15]}], 'urls': []}",,en
1338269814633209858,2020-12-13 23:49:22,Hey moots come join me in skribblio! https://t.co/JqNOOkyOFu,b'Hey moots come join me in skribblio! https://t.co/JqNOOkyOFu',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JqNOOkyOFu', 'expanded_url': 'https://skribbl.io/?YKP6iS8L1T25', 'display_url': 'skribbl.io/?YKP6iS8L1T25', 'indices': [37, 60]}]}",,en
1338269305193041921,2020-12-13 23:47:20,@honkcourtney 93,b'@honkcourtney 93',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'honkcourtney', 'name': 'Courtney is missing Karl', 'id': 1136986439390916609, 'id_str': '1136986439390916609', 'indices': [0, 13]}], 'urls': []}",,und
1338268730669867009,2020-12-13 23:45:03,"@ENDERGL0W // gunshots

i can't tell the difference between fireworks and gunshots","b""@ENDERGL0W // gunshots\n\ni can't tell the difference between fireworks and gunshots""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ENDERGL0W', 'name': 'carmen :)', 'id': 1293441804109361152, 'id_str': '1293441804109361152', 'indices': [0, 10]}], 'urls': []}",,en
1338258411180482564,2020-12-13 23:04:03,@fundysbeetles I'm down,"b""@fundysbeetles I'm down""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fundysbeetles', 'name': 'shelby!', 'id': 1205273468356481024, 'id_str': '1205273468356481024', 'indices': [0, 14]}], 'urls': []}",,en
1337997979547017217,2020-12-13 05:49:11,@yosidthekid oh shit,b'@yosidthekid oh shit',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yosidthekid', 'name': 'sids new bf', 'id': 1272996705865134080, 'id_str': '1272996705865134080', 'indices': [0, 12]}], 'urls': []}",,en
1337997440545337345,2020-12-13 05:47:03,@yosidthekid wait what I need proof/hj,b'@yosidthekid wait what I need proof/hj',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yosidthekid', 'name': 'sids new bf', 'id': 1272996705865134080, 'id_str': '1272996705865134080', 'indices': [0, 12]}], 'urls': []}",,en
1337392355838734336,2020-12-11 13:42:39,@DREAMC00KIE hello!,b'@DREAMC00KIE hello!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DREAMC00KIE', 'name': 'Paul/Cookie', 'id': 1294520154131496960, 'id_str': '1294520154131496960', 'indices': [0, 12]}], 'urls': []}",,en
1337231836473384962,2020-12-11 03:04:49,I know about everything going on right now but i wanted to say something small for d/eam hitting 14 mil please don't trend it /srs,"b""I know about everything going on right now but i wanted to say something small for d/eam hitting 14 mil please don't trend it /srs""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337225707748003844,2020-12-11 02:40:27,i am so sorry Brandon. Rest in Piece🖤🖤 https://t.co/MrK0ohxmW5,b'i am so sorry Brandon. Rest in Piece\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/MrK0ohxmW5',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MrK0ohxmW5', 'expanded_url': 'https://twitter.com/MikeBalsamo1/status/1337223394249613314', 'display_url': 'twitter.com/MikeBalsamo1/s…', 'indices': [39, 62]}]}",,en
