id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338680154831212544,2020-12-15 02:59:55,the best ending to any Star Wars film https://t.co/3dtibIkD5l,b'the best ending to any Star Wars film https://t.co/3dtibIkD5l',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3dtibIkD5l', 'expanded_url': 'https://twitter.com/william_jedi/status/1338182023983243264', 'display_url': 'twitter.com/william_jedi/s…', 'indices': [38, 61]}]}",,en
1338679409918660609,2020-12-15 02:56:57,RT @glittrreater: me rn https://t.co/rzNhB9oqXN,b'RT @glittrreater: me rn https://t.co/rzNhB9oqXN',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'glittrreater', 'name': 'grace 𖤐', 'id': 975781824189386757, 'id_str': '975781824189386757', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1338399944806457347, 'id_str': '1338399944806457347', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpLzqJ2XYAM8c81.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpLzqJ2XYAM8c81.jpg', 'url': 'https://t.co/rzNhB9oqXN', 'display_url': 'pic.twitter.com/rzNhB9oqXN', 'expanded_url': 'https://twitter.com/glittrreater/status/1338399949051076608/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 567, 'h': 334, 'resize': 'fit'}, 'large': {'w': 567, 'h': 334, 'resize': 'fit'}, 'medium': {'w': 567, 'h': 334, 'resize': 'fit'}}, 'source_status_id': 1338399949051076608, 'source_status_id_str': '1338399949051076608', 'source_user_id': 975781824189386757, 'source_user_id_str': '975781824189386757'}]}",,en
1338588516654014465,2020-12-14 20:55:46,@extrapillows You're welcome Nathan,"b""@extrapillows You're welcome Nathan""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'extrapillows', 'name': 'nathan', 'id': 1270446783584366592, 'id_str': '1270446783584366592', 'indices': [0, 13]}], 'urls': []}",,en
1338585619216285696,2020-12-14 20:44:15,"Porg’s got “speak” mostly down, but he’s cute af so enjoy https://t.co/BPvKII6rEN https://t.co/WFWxUOK9Sp","b'Porg\xe2\x80\x99s got \xe2\x80\x9cspeak\xe2\x80\x9d mostly down, but he\xe2\x80\x99s cute af so enjoy https://t.co/BPvKII6rEN https://t.co/WFWxUOK9Sp'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BPvKII6rEN', 'expanded_url': 'https://twitter.com/haloinagaystack/status/1338506786131693569', 'display_url': 'twitter.com/haloinagaystac…', 'indices': [58, 81]}], 'media': [{'id': 1338585130227572736, 'id_str': '1338585130227572736', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338585130227572736/pu/img/jFp00Afrwy-JF1CI.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338585130227572736/pu/img/jFp00Afrwy-JF1CI.jpg', 'url': 'https://t.co/WFWxUOK9Sp', 'display_url': 'pic.twitter.com/WFWxUOK9Sp', 'expanded_url': 'https://twitter.com/haloinagaystack/status/1338585619216285696/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",,en
1338568090951401472,2020-12-14 19:34:36,@starwarsiain dark trooper,b'@starwarsiain dark trooper',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'starwarsiain', 'name': 'The MandalorIain', 'id': 866908663654600704, 'id_str': '866908663654600704', 'indices': [0, 13]}], 'urls': []}",,en
1338549319247413249,2020-12-14 18:20:01,@starwarspassion that’s...kinda the point,b'@starwarspassion that\xe2\x80\x99s...kinda the point',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'starwarspassion', 'name': 'Star Wars Passion', 'id': 703609221225517056, 'id_str': '703609221225517056', 'indices': [0, 16]}], 'urls': []}",,en
1338542077391474691,2020-12-14 17:51:14,"RT @noechonet: X. Kubrick: Hardcore Musician Mines ‘90s Rap Influences on Debut Solo Offering 

Interview/music: https://t.co/0vOa2YZn6b…",b'RT @noechonet: X. Kubrick: Hardcore Musician Mines \xe2\x80\x9890s Rap Influences on Debut Solo Offering \n\nInterview/music: https://t.co/0vOa2YZn6b\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'noechonet', 'name': 'No Echo', 'id': 2366381786, 'id_str': '2366381786', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/0vOa2YZn6b', 'expanded_url': 'https://bit.ly/3nnLx0k', 'display_url': 'bit.ly/3nnLx0k', 'indices': [113, 136]}]}",,en
1338532497546604545,2020-12-14 17:13:10,"RT @NomeDaBarbarian: Well, I found a .gif of a swan correcting someone's mask wearing by force, and it may be the best thing I see all day.…","b""RT @NomeDaBarbarian: Well, I found a .gif of a swan correcting someone's mask wearing by force, and it may be the best thing I see all day.\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NomeDaBarbarian', 'name': 'nome', 'id': 1202110874, 'id_str': '1202110874', 'indices': [3, 19]}], 'urls': []}",,en
1338526095923060736,2020-12-14 16:47:44,wildly unfair i have to wait til Friday to use Sephiroth in Smash,b'wildly unfair i have to wait til Friday to use Sephiroth in Smash',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338507218379915265,2020-12-14 15:32:43,anybody have a Funimation plus or whatever subscription i can please use to watch Mobile Suit Gundam,b'anybody have a Funimation plus or whatever subscription i can please use to watch Mobile Suit Gundam',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338506786131693569,2020-12-14 15:31:00,speak command ✅ https://t.co/DbPB81UF6Y,b'speak command \xe2\x9c\x85 https://t.co/DbPB81UF6Y',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DbPB81UF6Y', 'expanded_url': 'https://twitter.com/haloinagaystack/status/1337910449979846656', 'display_url': 'twitter.com/haloinagaystac…', 'indices': [16, 39]}]}",,en
1338439419892695041,2020-12-14 11:03:19,"RT @veganeggma: You took me by the hand
Made me a man
That one night
You made everything alright https://t.co/ryTDBtUFCp",b'RT @veganeggma: You took me by the hand\nMade me a man\nThat one night\nYou made everything alright https://t.co/ryTDBtUFCp',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'veganeggma', 'name': 'hamsta with no wheel', 'id': 3236601577, 'id_str': '3236601577', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338368643088883712, 'id_str': '1338368643088883712', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EpLXMJ3VoAAuTPB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpLXMJ3VoAAuTPB.jpg', 'url': 'https://t.co/ryTDBtUFCp', 'display_url': 'pic.twitter.com/ryTDBtUFCp', 'expanded_url': 'https://twitter.com/veganeggma/status/1338368645332799488/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 436, 'h': 326, 'resize': 'fit'}, 'small': {'w': 436, 'h': 326, 'resize': 'fit'}, 'large': {'w': 436, 'h': 326, 'resize': 'fit'}}, 'source_status_id': 1338368645332799488, 'source_status_id_str': '1338368645332799488', 'source_user_id': 3236601577, 'source_user_id_str': '3236601577'}]}",,en
