id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338605390653583360,2020-12-14 22:02:49,did someone say #evermorealbum listening party @taylornation13?,b'did someone say #evermorealbum listening party @taylornation13?',"{'hashtags': [{'text': 'evermorealbum', 'indices': [16, 30]}], 'symbols': [], 'user_mentions': [{'screen_name': 'taylornation13', 'name': 'Taylor Nation', 'id': 80144576, 'id_str': '80144576', 'indices': [47, 62]}], 'urls': []}",,en
1337891334879727616,2020-12-12 22:45:25,@lauramarano it is such a precious music video🥺,b'@lauramarano it is such a precious music video\xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lauramarano', 'name': 'Laura Marano', 'id': 467048692, 'id_str': '467048692', 'indices': [0, 12]}], 'urls': []}",,en
1337806747667374081,2020-12-12 17:09:18,@VictoriaJustice https://t.co/8ARKNnWdPB,b'@VictoriaJustice https://t.co/8ARKNnWdPB',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaJustice', 'name': 'Victoria Justice', 'id': 50037051, 'id_str': '50037051', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/8ARKNnWdPB', 'expanded_url': 'https://twitter.com/hannah_language/status/1337192397923438592?s=21', 'display_url': 'twitter.com/hannah_languag…', 'indices': [17, 40]}]}",,und
1337230850237218817,2020-12-11 03:00:53,@VictoriaJustice https://t.co/XiVDJfOOpI,b'@VictoriaJustice https://t.co/XiVDJfOOpI',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaJustice', 'name': 'Victoria Justice', 'id': 50037051, 'id_str': '50037051', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/XiVDJfOOpI', 'expanded_url': 'https://twitter.com/hannah_language/status/1337192397923438592', 'display_url': 'twitter.com/hannah_languag…', 'indices': [17, 40]}]}",,und
1337192397923438592,2020-12-11 00:28:06,@VictoriaJustice thank you for this song. i was almost in tears when it first started playing. i am so proud of you. thank you for opening up your heart for us. i love you forever angel🥰 https://t.co/wVhkFbNRs1,b'@VictoriaJustice thank you for this song. i was almost in tears when it first started playing. i am so proud of you. thank you for opening up your heart for us. i love you forever angel\xf0\x9f\xa5\xb0 https://t.co/wVhkFbNRs1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaJustice', 'name': 'Victoria Justice', 'id': 50037051, 'id_str': '50037051', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1337192345029074947, 'id_str': '1337192345029074947', 'indices': [187, 210], 'media_url': 'http://pbs.twimg.com/media/Eo6pWmHUYAMNnsO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo6pWmHUYAMNnsO.jpg', 'url': 'https://t.co/wVhkFbNRs1', 'display_url': 'pic.twitter.com/wVhkFbNRs1', 'expanded_url': 'https://twitter.com/hannah_language/status/1337192397923438592/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 361, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 636, 'resize': 'fit'}, 'large': {'w': 1688, 'h': 895, 'resize': 'fit'}}}]}",,en
1337190547828613120,2020-12-11 00:20:45,@VictoriaJustice i am no words. #treatmyself is such a beautiful masterpiece and i am already in love with it. thank you for giving us this beautiful song🥰,b'@VictoriaJustice i am no words. #treatmyself is such a beautiful masterpiece and i am already in love with it. thank you for giving us this beautiful song\xf0\x9f\xa5\xb0',"{'hashtags': [{'text': 'treatmyself', 'indices': [32, 44]}], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaJustice', 'name': 'Victoria Justice', 'id': 50037051, 'id_str': '50037051', 'indices': [0, 16]}], 'urls': []}",,en
1337123253257572355,2020-12-10 19:53:20,@lauramarano i miss you way more🥺🥺,b'@lauramarano i miss you way more\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lauramarano', 'name': 'Laura Marano', 'id': 467048692, 'id_str': '467048692', 'indices': [0, 12]}], 'urls': []}",,en
1336777525964378112,2020-12-09 20:59:32,@VictoriaJustice can you tweet me something cute for my pinned?🥺🥺,b'@VictoriaJustice can you tweet me something cute for my pinned?\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaJustice', 'name': 'Victoria Justice', 'id': 50037051, 'id_str': '50037051', 'indices': [0, 16]}], 'urls': []}",,en
1336777264747302912,2020-12-09 20:58:30,"@VictoriaJustice victoria, i am so flipping proud of how far you have come in your music. i seriously feel like i have grown up with you and i am so grateful. i love you forever and a day🥺❤️ .","b'@VictoriaJustice victoria, i am so flipping proud of how far you have come in your music. i seriously feel like i have grown up with you and i am so grateful. i love you forever and a day\xf0\x9f\xa5\xba\xe2\x9d\xa4\xef\xb8\x8f .'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VictoriaJustice', 'name': 'Victoria Justice', 'id': 50037051, 'id_str': '50037051', 'indices': [0, 16]}], 'urls': []}",,en
1335759404415635458,2020-12-07 01:33:53,@shehxbit treat people with a lot more love,b'@shehxbit treat people with a lot more love',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shehxbit', 'name': 'ًnoa', 'id': 1285943299858104327, 'id_str': '1285943299858104327', 'indices': [0, 9]}], 'urls': []}",,en
