id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338619628671655940,2020-12-14 22:59:24,"@ChampagneDosser Yasss I love little mix and the 4 songs would be Women like me, Wasabi, Wings, Secret love song","b'@ChampagneDosser Yasss I love little mix and the 4 songs would be Women like me, Wasabi, Wings, Secret love song'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChampagneDosser', 'name': ""Corbyn's Jewish Cat 🐱🌹 #StopTheLeftPurge"", 'id': 3817855246, 'id_str': '3817855246', 'indices': [0, 16]}], 'urls': []}",,en
1338580372548935685,2020-12-14 20:23:25,@bp_dbitch I love her too she deserves all the awards she gets she’s amazing at acting!!,b'@bp_dbitch I love her too she deserves all the awards she gets she\xe2\x80\x99s amazing at acting!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338579616601157633,2020-12-14 20:20:24,@bp_dbitch She was so badass in killing eve I was obsessed with her assassination techniques don’t judge me she’s so badass😭😂I hated Jodie in doctor foster she irritated me so much,b'@bp_dbitch She was so badass in killing eve I was obsessed with her assassination techniques don\xe2\x80\x99t judge me she\xe2\x80\x99s so badass\xf0\x9f\x98\xad\xf0\x9f\x98\x82I hated Jodie in doctor foster she irritated me so much',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338579293375504384,2020-12-14 20:19:07,@bp_dbitch Thank you again!! ❤️,b'@bp_dbitch Thank you again!! \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338579250618769408,2020-12-14 20:18:57,"@bp_dbitch Yepp I will and I’ll tel you how it went!! You should watch killing eve if you haven’t watched it, it’s probably my favourite series alongside money heist and the vampire diaries","b'@bp_dbitch Yepp I will and I\xe2\x80\x99ll tel you how it went!! You should watch killing eve if you haven\xe2\x80\x99t watched it, it\xe2\x80\x99s probably my favourite series alongside money heist and the vampire diaries'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338578902843854849,2020-12-14 20:17:34,@bp_dbitch Thank you so much your an angel I’ve watched most of the ones you’ve recommended but I’ll watch the ones I haven’t!! I love the alienist so far,b'@bp_dbitch Thank you so much your an angel I\xe2\x80\x99ve watched most of the ones you\xe2\x80\x99ve recommended but I\xe2\x80\x99ll watch the ones I haven\xe2\x80\x99t!! I love the alienist so far',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338578753673449474,2020-12-14 20:16:59,@bp_dbitch I loved manhunt unabomber and stranger things. I watched a bit of mind hunter but didn’t enjoy it but I’ll give Sherlock a go and making a murderer too,b'@bp_dbitch I loved manhunt unabomber and stranger things. I watched a bit of mind hunter but didn\xe2\x80\x99t enjoy it but I\xe2\x80\x99ll give Sherlock a go and making a murderer too',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338578562652237831,2020-12-14 20:16:13,@bp_dbitch Omggg I’ve watched most of this but there’s a few I haven’t watched yet that I’ll definitely give a go. I’m currently watching the alienist and I’m obsessedddd,b'@bp_dbitch Omggg I\xe2\x80\x99ve watched most of this but there\xe2\x80\x99s a few I haven\xe2\x80\x99t watched yet that I\xe2\x80\x99ll definitely give a go. I\xe2\x80\x99m currently watching the alienist and I\xe2\x80\x99m obsessedddd',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bp_dbitch', 'name': 'ItsBPDbitch', 'id': 1335262175376650240, 'id_str': '1335262175376650240', 'indices': [0, 10]}], 'urls': []}",,en
1338577031311843331,2020-12-14 20:10:08,@AnxietySugar_ Such a kind and beautiful soul🥺🥺,b'@AnxietySugar_ Such a kind and beautiful soul\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnxietySugar_', 'name': 'Anxiety Sugar', 'id': 1336014572088602627, 'id_str': '1336014572088602627', 'indices': [0, 14]}], 'urls': []}",,en
1338576917704941569,2020-12-14 20:09:41,@AnxietySugar_ If you give me any more love I will literally explode😭😭❤️,b'@AnxietySugar_ If you give me any more love I will literally explode\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnxietySugar_', 'name': 'Anxiety Sugar', 'id': 1336014572088602627, 'id_str': '1336014572088602627', 'indices': [0, 14]}], 'urls': []}",,en
