id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338629194889256962,2020-12-14 23:37:25,"RT @AsifUllah22: *opens eyes at 7am*
Me: I can't wait to go bed tonight","b""RT @AsifUllah22: *opens eyes at 7am*\nMe: I can't wait to go bed tonight""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AsifUllah22', 'name': 'Asif Ullah', 'id': 1139702933099098113, 'id_str': '1139702933099098113', 'indices': [3, 15]}], 'urls': []}",,en
1338504148057272320,2020-12-14 15:20:31,im back on Apple Music 😔,b'im back on Apple Music \xf0\x9f\x98\x94',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338497285379026944,2020-12-14 14:53:15,RT @craigspoplife: 7 Years of Beyoncé &amp; my favorite piece of music criticism. https://t.co/YBq2fUj2yr,b'RT @craigspoplife: 7 Years of Beyonc\xc3\xa9 &amp; my favorite piece of music criticism. https://t.co/YBq2fUj2yr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'craigspoplife', 'name': 'Craig Seymour, Black gay music critic', 'id': 15443085, 'id_str': '15443085', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1338009328285065220, 'id_str': '1338009328285065220', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/EpGQZR6XIAQaIJ2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGQZR6XIAQaIJ2.jpg', 'url': 'https://t.co/YBq2fUj2yr', 'display_url': 'pic.twitter.com/YBq2fUj2yr', 'expanded_url': 'https://twitter.com/craigspoplife/status/1338009583235854347/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 338, 'h': 600, 'resize': 'fit'}, 'large': {'w': 338, 'h': 600, 'resize': 'fit'}, 'small': {'w': 338, 'h': 600, 'resize': 'fit'}}, 'source_status_id': 1338009583235854347, 'source_status_id_str': '1338009583235854347', 'source_user_id': 15443085, 'source_user_id_str': '15443085'}]}",,en
1338497094798241792,2020-12-14 14:52:30,RT @A5AMI5ATO: s(hes) bro(ken) https://t.co/x0gEMybr3y,b'RT @A5AMI5ATO: s(hes) bro(ken) https://t.co/x0gEMybr3y',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'A5AMI5ATO', 'name': 'isk ✮ EVERMORE', 'id': 1262215903782948865, 'id_str': '1262215903782948865', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1337888418039169024, 'id_str': '1337888418039169024', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/EpEibYJVgAAlAjM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpEibYJVgAAlAjM.jpg', 'url': 'https://t.co/x0gEMybr3y', 'display_url': 'pic.twitter.com/x0gEMybr3y', 'expanded_url': 'https://twitter.com/A5AMI5ATO/status/1337888420119470080/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 606, 'h': 640, 'resize': 'fit'}, 'medium': {'w': 606, 'h': 640, 'resize': 'fit'}, 'large': {'w': 606, 'h': 640, 'resize': 'fit'}}, 'source_status_id': 1337888420119470080, 'source_status_id_str': '1337888420119470080', 'source_user_id': 1262215903782948865, 'source_user_id_str': '1262215903782948865'}]}",,en
1338487456040161281,2020-12-14 14:14:12,RT @rebelleflowerr_: Adults seemed way adultier when I was a little,b'RT @rebelleflowerr_: Adults seemed way adultier when I was a little',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rebelleflowerr_', 'name': '𝐂𝐫𝐞𝐨𝐥𝐞 𝐌𝐮𝐯𝐚 ⚜️', 'id': 971911013586165760, 'id_str': '971911013586165760', 'indices': [3, 19]}], 'urls': []}",,en
1338322730589036544,2020-12-14 03:19:38,RT @DK8sam: Not everyone will get this https://t.co/AiIzXgDffL,b'RT @DK8sam: Not everyone will get this https://t.co/AiIzXgDffL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DK8sam', 'name': 'shes witty, shitty,and a little pretty🎨💡🧨🔫', 'id': 1250192620464132098, 'id_str': '1250192620464132098', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1338063759269457921, 'id_str': '1338063759269457921', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EpHB5lIUcAEDNYY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpHB5lIUcAEDNYY.jpg', 'url': 'https://t.co/AiIzXgDffL', 'display_url': 'pic.twitter.com/AiIzXgDffL', 'expanded_url': 'https://twitter.com/DK8sam/status/1338063762721394688/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 640, 'resize': 'fit'}, 'large': {'w': 640, 'h': 640, 'resize': 'fit'}, 'small': {'w': 640, 'h': 640, 'resize': 'fit'}}, 'source_status_id': 1338063762721394688, 'source_status_id_str': '1338063762721394688', 'source_user_id': 1250192620464132098, 'source_user_id_str': '1250192620464132098'}]}",,en
1338322706207559682,2020-12-14 03:19:32,RT @melixrc: tiktok lied to me 🧍🏽‍♀️they told me saturday was going to be the best day of my life 😐,b'RT @melixrc: tiktok lied to me \xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fthey told me saturday was going to be the best day of my life \xf0\x9f\x98\x90',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'melixrc', 'name': 'meli👒', 'id': 1246285234988920832, 'id_str': '1246285234988920832', 'indices': [3, 11]}], 'urls': []}",,en
1338322520571830276,2020-12-14 03:18:48,RT @workingoncrying: OMG SHUT UP https://t.co/ZCsr5xeQqP,b'RT @workingoncrying: OMG SHUT UP https://t.co/ZCsr5xeQqP',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'workingoncrying', 'name': 'ً', 'id': 957888747957350400, 'id_str': '957888747957350400', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338147435475038214, 'id_str': '1338147435475038214', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/EpIOALSW8AYFRyV.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpIOALSW8AYFRyV.jpg', 'url': 'https://t.co/ZCsr5xeQqP', 'display_url': 'pic.twitter.com/ZCsr5xeQqP', 'expanded_url': 'https://twitter.com/workingoncrying/status/1338147438318784514/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1284, 'h': 1245, 'resize': 'fit'}, 'small': {'w': 680, 'h': 659, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1164, 'resize': 'fit'}}, 'source_status_id': 1338147438318784514, 'source_status_id_str': '1338147438318784514', 'source_user_id': 957888747957350400, 'source_user_id_str': '957888747957350400'}]}",,en
1338321080327565314,2020-12-14 03:13:05,🤣🤣🤣🤣 https://t.co/RAETbZlkEk,b'\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/RAETbZlkEk',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RAETbZlkEk', 'expanded_url': 'https://twitter.com/dangelio13/status/1338032242350841858', 'display_url': 'twitter.com/dangelio13/sta…', 'indices': [5, 28]}]}",,und
1337983475413094401,2020-12-13 04:51:33,RT @fentyindy: i- https://t.co/JI4dg3LaJB,b'RT @fentyindy: i- https://t.co/JI4dg3LaJB',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fentyindy', 'name': 'indy', 'id': 1204246474562965504, 'id_str': '1204246474562965504', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1337797728743600137, 'id_str': '1337797728743600137', 'indices': [18, 41], 'media_url': 'http://pbs.twimg.com/media/EpDP8kMWMAk4L8Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpDP8kMWMAk4L8Z.jpg', 'url': 'https://t.co/JI4dg3LaJB', 'display_url': 'pic.twitter.com/JI4dg3LaJB', 'expanded_url': 'https://twitter.com/fentyindy/status/1337797732422004743/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1241, 'h': 1387, 'resize': 'fit'}, 'small': {'w': 608, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1074, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1337797732422004743, 'source_status_id_str': '1337797732422004743', 'source_user_id': 1204246474562965504, 'source_user_id_str': '1204246474562965504'}]}",,und
