id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338321832030707713,2020-12-14 03:16:04,@lunasofiiaa STOP TELLING HER TO EAT MCDONALDS,b'@lunasofiiaa STOP TELLING HER TO EAT MCDONALDS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lunasofiiaa', 'name': 'juls', 'id': 1301520301646372865, 'id_str': '1301520301646372865', 'indices': [0, 12]}], 'urls': []}",,en
1338321128155176960,2020-12-14 03:13:16,@lunasofiiaa Freddys,b'@lunasofiiaa Freddys',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lunasofiiaa', 'name': 'juls', 'id': 1301520301646372865, 'id_str': '1301520301646372865', 'indices': [0, 12]}], 'urls': []}",,en
1338176434456682496,2020-12-13 17:38:18,Yes bby. Always https://t.co/gmn39DSbXx,b'Yes bby. Always https://t.co/gmn39DSbXx',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gmn39DSbXx', 'expanded_url': 'https://twitter.com/imspeaking13/status/1337427968264724483', 'display_url': 'twitter.com/imspeaking13/s…', 'indices': [16, 39]}]}",,en
1338176343876440069,2020-12-13 17:37:57,RT @ActuallyJose: pain. https://t.co/3MtieuYSZu,b'RT @ActuallyJose: pain. https://t.co/3MtieuYSZu',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ActuallyJose', 'name': 'josee👀', 'id': 1321221566093430784, 'id_str': '1321221566093430784', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1337919171397517312, 'id_str': '1337919171397517312', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpE-ZdVVgAA3Efb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpE-ZdVVgAA3Efb.jpg', 'url': 'https://t.co/3MtieuYSZu', 'display_url': 'pic.twitter.com/3MtieuYSZu', 'expanded_url': 'https://twitter.com/ActuallyJose/status/1337919174471897091/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1337919174471897091, 'source_status_id_str': '1337919174471897091', 'source_user_id': 1321221566093430784, 'source_user_id_str': '1321221566093430784'}]}",,en
1338172495275446272,2020-12-13 17:22:39,Anyone wanna go on a sushi date?,b'Anyone wanna go on a sushi date?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337186892127891457,2020-12-11 00:06:13,I give up,b'I give up',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336483867092537345,2020-12-09 01:32:39,"RT @jazwrlld: u did what u did, i felt how i felt, and it is what it is.","b'RT @jazwrlld: u did what u did, i felt how i felt, and it is what it is.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jazwrlld', 'name': '6͓̽', 'id': 477061040, 'id_str': '477061040', 'indices': [3, 12]}], 'urls': []}",,en
1336483832846053376,2020-12-09 01:32:31,Yes,b'Yes',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,und
1335260661706854400,2020-12-05 16:32:04,RT @spicycasserole: if casual hook up no in love with me.... why forehead kiss??????,b'RT @spicycasserole: if casual hook up no in love with me.... why forehead kiss??????',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'spicycasserole', 'name': 'murdeezy', 'id': 3243633596, 'id_str': '3243633596', 'indices': [3, 18]}], 'urls': []}",,en
1333773352847237122,2020-12-01 14:02:02,I’m so hungry,b'I\xe2\x80\x99m so hungry',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
