id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338728165892616194,2020-12-15 06:10:41,I forgot everyone in my house was sleeping &amp; I yelled hi at destinys mom on FaceTime 💀,b'I forgot everyone in my house was sleeping &amp; I yelled hi at destinys mom on FaceTime \xf0\x9f\x92\x80',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338726788479000578,2020-12-15 06:05:13,RT @perlucidum: SIMP stands for She Is My Passion,b'RT @perlucidum: SIMP stands for She Is My Passion',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'perlucidum', 'name': '¨̮', 'id': 1044098345117995008, 'id_str': '1044098345117995008', 'indices': [3, 14]}], 'urls': []}",,en
1338681800802127874,2020-12-15 03:06:27,"RT @zach96brown: Date somebody that’s in school to work in the medical field. You don’t have to worry about them cheating, all they have ti…","b'RT @zach96brown: Date somebody that\xe2\x80\x99s in school to work in the medical field. You don\xe2\x80\x99t have to worry about them cheating, all they have ti\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zach96brown', 'name': 'Zach', 'id': 2643565567, 'id_str': '2643565567', 'indices': [3, 15]}], 'urls': []}",,en
1338674753289252865,2020-12-15 02:38:27,"RT @themilanjac: 4.0 or 2.0 congrats big dawg, regardless you made it thru. in a panaromic at that","b'RT @themilanjac: 4.0 or 2.0 congrats big dawg, regardless you made it thru. in a panaromic at that'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'themilanjac', 'name': '$', 'id': 2938583493, 'id_str': '2938583493', 'indices': [3, 15]}], 'urls': []}",,en
1338659531371515907,2020-12-15 01:37:58,RT @BasicallyKris: The only good thing about 2020 has been Tiptoe the 175 lb tortoise on TikTok,b'RT @BasicallyKris: The only good thing about 2020 has been Tiptoe the 175 lb tortoise on TikTok',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BasicallyKris', 'name': 'Kris... basically', 'id': 3308227895, 'id_str': '3308227895', 'indices': [3, 17]}], 'urls': []}",,en
1338656204139139073,2020-12-15 01:24:44,RT @caitlin_tiptoe: @karleecruz U too!!!!,b'RT @caitlin_tiptoe: @karleecruz U too!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caitlin_tiptoe', 'name': 'Caitlin and Tiptoe', 'id': 1338648670024081409, 'id_str': '1338648670024081409', 'indices': [3, 18]}, {'screen_name': 'karleecruz', 'name': 'Karls', 'id': 4845568615, 'id_str': '4845568615', 'indices': [20, 31]}], 'urls': []}",,en
1338655734482018304,2020-12-15 01:22:52,MY FAVE IS ON TWITTER NOW 💅🏼 https://t.co/Dj62OfpbF3,b'MY FAVE IS ON TWITTER NOW \xf0\x9f\x92\x85\xf0\x9f\x8f\xbc https://t.co/Dj62OfpbF3',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Dj62OfpbF3', 'expanded_url': 'https://twitter.com/caitlin_tiptoe/status/1338653228854984705', 'display_url': 'twitter.com/caitlin_tiptoe…', 'indices': [29, 52]}]}",,en
1338653602022350848,2020-12-15 01:14:24,RT @anatawaminikui: https://t.co/tIbyRCP0xy,b'RT @anatawaminikui: https://t.co/tIbyRCP0xy',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anatawaminikui', 'name': 'sasorisenpuwu', 'id': 339987544, 'id_str': '339987544', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338253038457397249, 'id_str': '1338253038457397249', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/media/EpJuDFDXIAENRfg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpJuDFDXIAENRfg.jpg', 'url': 'https://t.co/tIbyRCP0xy', 'display_url': 'pic.twitter.com/tIbyRCP0xy', 'expanded_url': 'https://twitter.com/anatawaminikui/status/1338253044329418754/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 374, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1206, 'h': 663, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 660, 'resize': 'fit'}}, 'source_status_id': 1338253044329418754, 'source_status_id_str': '1338253044329418754', 'source_user_id': 339987544, 'source_user_id_str': '339987544'}]}",,und
1338623163421388800,2020-12-14 23:13:27,@diegoruiz_5 Yes...,b'@diegoruiz_5 Yes...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'diegoruiz_5', 'name': 'Diego Ruiz', 'id': 4831705951, 'id_str': '4831705951', 'indices': [0, 12]}], 'urls': []}",,und
1338614558869622785,2020-12-14 22:39:15,My boss bought us a dozen tamales for Christmas 😇,b'My boss bought us a dozen tamales for Christmas \xf0\x9f\x98\x87',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
