id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338801424369557506,2020-12-15 11:01:47,"RT @tibakmagaaral: Tinatawag tayo sa lansangan, sa mga komunidad, sa mga bukid, sa kaparangan, sa kabundukan --- sa hanay ng masang nakikib…","b'RT @tibakmagaaral: Tinatawag tayo sa lansangan, sa mga komunidad, sa mga bukid, sa kaparangan, sa kabundukan --- sa hanay ng masang nakikib\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tibakmagaaral', 'name': 'kamag-aral mong aktibista', 'id': 1270752436894920705, 'id_str': '1270752436894920705', 'indices': [3, 17]}], 'urls': []}",,tl
1338469391382454272,2020-12-14 13:02:25,RT @AoTWiki: Ackerman's are scary https://t.co/NKYlViJpoF,"b""RT @AoTWiki: Ackerman's are scary https://t.co/NKYlViJpoF""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AoTWiki', 'name': 'Attack on Titan Wiki', 'id': 3119117773, 'id_str': '3119117773', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338404632247357440, 'id_str': '1338404632247357440', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EpL36_7XUAAyyWB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpL36_7XUAAyyWB.jpg', 'url': 'https://t.co/NKYlViJpoF', 'display_url': 'pic.twitter.com/NKYlViJpoF', 'expanded_url': 'https://twitter.com/AoTWiki/status/1338404635086876675/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}, 'source_status_id': 1338404635086876675, 'source_status_id_str': '1338404635086876675', 'source_user_id': 3119117773, 'source_user_id_str': '3119117773'}]}",,en
1338457267767631874,2020-12-14 12:14:14,"RT @xxaleihs: Model po ng lyritzy.clio 🤣

Bili na kayo scrunchie at headband https://t.co/7WGwvoGUnE ❤️ https://t.co/y8jKuz3xt1",b'RT @xxaleihs: Model po ng lyritzy.clio \xf0\x9f\xa4\xa3\n\nBili na kayo scrunchie at headband https://t.co/7WGwvoGUnE \xe2\x9d\xa4\xef\xb8\x8f https://t.co/y8jKuz3xt1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xxaleihs', 'name': '𝓢𝓱𝓲𝓮𝓵𝓪', 'id': 1069911819978866689, 'id_str': '1069911819978866689', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/7WGwvoGUnE', 'expanded_url': 'https://instagram.com/lyritzy.clio?igshid=1k5376y57pk62', 'display_url': 'instagram.com/lyritzy.clio?i…', 'indices': [77, 100]}], 'media': [{'id': 1338434450867113984, 'id_str': '1338434450867113984', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/media/EpMTCq8UUAAPt_J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpMTCq8UUAAPt_J.jpg', 'url': 'https://t.co/y8jKuz3xt1', 'display_url': 'pic.twitter.com/y8jKuz3xt1', 'expanded_url': 'https://twitter.com/xxaleihs/status/1338434464356024322/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 360, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 2040, 'resize': 'fit'}, 'medium': {'w': 635, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338434464356024322, 'source_status_id_str': '1338434464356024322', 'source_user_id': 1069911819978866689, 'source_user_id_str': '1069911819978866689'}]}",,tl
1338453891571060737,2020-12-14 12:00:49,"RT @ern_ygr: Falco:  You don't have to fight anymore

Eren in his head:  LMAOOOOO

#AoTSeason4NHK https://t.co/NmRrDbK4WG","b""RT @ern_ygr: Falco:  You don't have to fight anymore\n\nEren in his head:  LMAOOOOO\n\n#AoTSeason4NHK https://t.co/NmRrDbK4WG""","{'hashtags': [{'text': 'AoTSeason4NHK', 'indices': [83, 97]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ern_ygr', 'name': 'arwah 🦅 aot manga spoilers', 'id': 1150324109122740224, 'id_str': '1150324109122740224', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338160443089506309, 'id_str': '1338160443089506309', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EpIZ1UbUUAUqLyI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpIZ1UbUUAUqLyI.jpg', 'url': 'https://t.co/NmRrDbK4WG', 'display_url': 'pic.twitter.com/NmRrDbK4WG', 'expanded_url': 'https://twitter.com/ern_ygr/status/1338161251415777280/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1034, 'h': 577, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 379, 'resize': 'fit'}, 'large': {'w': 1034, 'h': 577, 'resize': 'fit'}}, 'source_status_id': 1338161251415777280, 'source_status_id_str': '1338161251415777280', 'source_user_id': 1150324109122740224, 'source_user_id_str': '1150324109122740224'}]}",,en
1338427478486872064,2020-12-14 10:15:52,RT @yeagermilk: rare that we get all three best girls in one episode https://t.co/WXGlQXCMjs,b'RT @yeagermilk: rare that we get all three best girls in one episode https://t.co/WXGlQXCMjs',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yeagermilk', 'name': 'alice 🍧', 'id': 1137189668552826880, 'id_str': '1137189668552826880', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1338150738250268672, 'id_str': '1338150738250268672', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/EpIRAbFVgAAEus5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpIRAbFVgAAEus5.jpg', 'url': 'https://t.co/WXGlQXCMjs', 'display_url': 'pic.twitter.com/WXGlQXCMjs', 'expanded_url': 'https://twitter.com/yeagermilk/status/1338150741966430211/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 392, 'resize': 'fit'}, 'large': {'w': 990, 'h': 571, 'resize': 'fit'}, 'medium': {'w': 990, 'h': 571, 'resize': 'fit'}}, 'source_status_id': 1338150741966430211, 'source_status_id_str': '1338150741966430211', 'source_user_id': 1137189668552826880, 'source_user_id_str': '1137189668552826880'}]}",,en
1338413019684999169,2020-12-14 09:18:25,"RT @AnakbayanMakati: Nagbubukas muli ang Pambansa Demokratikong Paaralan ng Makati para sa mga sumusunod na kurso.

Bukas para sa lahat! Ma…",b'RT @AnakbayanMakati: Nagbubukas muli ang Pambansa Demokratikong Paaralan ng Makati para sa mga sumusunod na kurso.\n\nBukas para sa lahat! Ma\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnakbayanMakati', 'name': 'Anakbayan Makati', 'id': 1214155514558308352, 'id_str': '1214155514558308352', 'indices': [3, 19]}], 'urls': []}",,tl
1338411265538977794,2020-12-14 09:11:26,"RT @kkkendiii: pls let me post this,,, confident ako today https://t.co/sulYSEUNnB","b'RT @kkkendiii: pls let me post this,,, confident ako today https://t.co/sulYSEUNnB'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kkkendiii', 'name': 'k.', 'id': 1020456612866093056, 'id_str': '1020456612866093056', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1338380056641511424, 'id_str': '1338380056641511424', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/EpLhkgqVoAAsfrI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpLhkgqVoAAsfrI.jpg', 'url': 'https://t.co/sulYSEUNnB', 'display_url': 'pic.twitter.com/sulYSEUNnB', 'expanded_url': 'https://twitter.com/kkkendiii/status/1338380079311638530/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1064, 'h': 664, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 424, 'resize': 'fit'}, 'medium': {'w': 1064, 'h': 664, 'resize': 'fit'}}, 'source_status_id': 1338380079311638530, 'source_status_id_str': '1338380079311638530', 'source_user_id': 1020456612866093056, 'source_user_id_str': '1020456612866093056'}]}",,en
1338411162224869376,2020-12-14 09:11:02,"@_rysclr kapwa humss student pa rin masarap magmahal, mhie HAHAHAHAHAHAH usap about social issues ganern, hanap ka na charet HAHAHAHAHAHAHAH","b'@_rysclr kapwa humss student pa rin masarap magmahal, mhie HAHAHAHAHAHAH usap about social issues ganern, hanap ka na charet HAHAHAHAHAHAHAH'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_rysclr', 'name': 'thea', 'id': 943706569014878209, 'id_str': '943706569014878209', 'indices': [0, 8]}], 'urls': []}",,tl
1338338432410480642,2020-12-14 04:22:02,"RT @jstanthrhooman_: awww, the warrior canidates receiving head pats from Reiner
#AttackonTitanFinalSeason https://t.co/tsLRVH2ok2","b'RT @jstanthrhooman_: awww, the warrior canidates receiving head pats from Reiner\n#AttackonTitanFinalSeason https://t.co/tsLRVH2ok2'","{'hashtags': [{'text': 'AttackonTitanFinalSeason', 'indices': [81, 106]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jstanthrhooman_', 'name': 'chocolate milk', 'id': 1300125278786682880, 'id_str': '1300125278786682880', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338147803118198784, 'id_str': '1338147803118198784', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/media/EpIOVk3UYAAsLHb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpIOVk3UYAAsLHb.jpg', 'url': 'https://t.co/tsLRVH2ok2', 'display_url': 'pic.twitter.com/tsLRVH2ok2', 'expanded_url': 'https://twitter.com/jstanthrhooman_/status/1338147822202306560/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1071, 'h': 603, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1071, 'h': 603, 'resize': 'fit'}}, 'source_status_id': 1338147822202306560, 'source_status_id_str': '1338147822202306560', 'source_user_id': 1300125278786682880, 'source_user_id_str': '1300125278786682880'}]}",,en
1338313280184410114,2020-12-14 02:42:05,"RT @sikhaymc: Tumuklas, makibahagi, at linangin ang kamulatan sa tunay na kalagayan ng lipunang ating ginagalawan!

Makilahok sa ikalawang…","b'RT @sikhaymc: Tumuklas, makibahagi, at linangin ang kamulatan sa tunay na kalagayan ng lipunang ating ginagalawan!\n\nMakilahok sa ikalawang\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sikhaymc', 'name': 'SIKHAY', 'id': 1178604425784389634, 'id_str': '1178604425784389634', 'indices': [3, 12]}], 'urls': []}",,tl
1338292637380403200,2020-12-14 01:20:03,RT @laumiserables: Hindi ang mga magsasaka na silang nagpapakain sa sambayanan ang dapat magmakaawa upang makapagtanim at mamuhay sa mga lu…,b'RT @laumiserables: Hindi ang mga magsasaka na silang nagpapakain sa sambayanan ang dapat magmakaawa upang makapagtanim at mamuhay sa mga lu\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laumiserables', 'name': 'lau 🌾', 'id': 1510262814, 'id_str': '1510262814', 'indices': [3, 17]}], 'urls': []}",,tl
1338292065768128513,2020-12-14 01:17:47,RT @krinkira: levi ackerman’s lines are always one of the best... 😁 https://t.co/iUpLXjYTsr,b'RT @krinkira: levi ackerman\xe2\x80\x99s lines are always one of the best... \xf0\x9f\x98\x81 https://t.co/iUpLXjYTsr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'krinkira', 'name': 'karma 🌱', 'id': 1275768333455900679, 'id_str': '1275768333455900679', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338018309204152321, 'id_str': '1338018309204152321', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/media/EpGYkCcVEAEv5ho.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGYkCcVEAEv5ho.jpg', 'url': 'https://t.co/iUpLXjYTsr', 'display_url': 'pic.twitter.com/iUpLXjYTsr', 'expanded_url': 'https://twitter.com/krinkira/status/1338018321287954433/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1365, 'h': 767, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}}, 'source_status_id': 1338018321287954433, 'source_status_id_str': '1338018321287954433', 'source_user_id': 1275768333455900679, 'source_user_id_str': '1275768333455900679'}]}",,en
1338144127146323970,2020-12-13 15:29:56,"RT @makimbaka: Sa daming kabalastugan ng Rehimeng US-Duterte hindi natin masisisí ang:

- mga kabataang tibák, na imbis na mag-aral ng mga…","b'RT @makimbaka: Sa daming kabalastugan ng Rehimeng US-Duterte hindi natin masisis\xc3\xad ang:\n\n- mga kabataang tib\xc3\xa1k, na imbis na mag-aral ng mga\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'makimbaka', 'name': 'Kim | #JoinAnakbayanBatangas', 'id': 1295964368237035520, 'id_str': '1295964368237035520', 'indices': [3, 13]}], 'urls': []}",,tl
1338137842766082048,2020-12-13 15:04:57,RT @kwentongmasa: #DefendLupangRamos https://t.co/AnCwix5sHg,b'RT @kwentongmasa: #DefendLupangRamos https://t.co/AnCwix5sHg',"{'hashtags': [{'text': 'DefendLupangRamos', 'indices': [18, 36]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kwentongmasa', 'name': 'indika', 'id': 1309528803983515650, 'id_str': '1309528803983515650', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1338112490144579584, 'id_str': '1338112490144579584', 'indices': [37, 60], 'media_url': 'http://pbs.twimg.com/media/EpHuOFyUwAAdhXw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpHuOFyUwAAdhXw.jpg', 'url': 'https://t.co/AnCwix5sHg', 'display_url': 'pic.twitter.com/AnCwix5sHg', 'expanded_url': 'https://twitter.com/kwentongmasa/status/1338112499854368772/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}, 'source_status_id': 1338112499854368772, 'source_status_id_str': '1338112499854368772', 'source_user_id': 1309528803983515650, 'source_user_id_str': '1309528803983515650'}]}",,und
1338093021749944321,2020-12-13 12:06:51,RT @AnakbayanCVT: WATCH: Mensahe ng tagapagsalita ng Anakbayan Lupang Rapos para sa malawak na hanay ng mamamayan. (1/3) https://t.co/vCMqL…,b'RT @AnakbayanCVT: WATCH: Mensahe ng tagapagsalita ng Anakbayan Lupang Rapos para sa malawak na hanay ng mamamayan. (1/3) https://t.co/vCMqL\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnakbayanCVT', 'name': 'Anakbayan Cavite', 'id': 1069596552711286786, 'id_str': '1069596552711286786', 'indices': [3, 16]}], 'urls': []}",,tl
