id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1334033426769457158,2020-12-02 07:15:28,ill have to stay here but i am really happy to be the one responsible for her happiness this holidays,b'ill have to stay here but i am really happy to be the one responsible for her happiness this holidays',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334033219424018438,2020-12-02 07:14:39,sooo... guess who's sending their mother on a trip to spend with her siblings,"b""sooo... guess who's sending their mother on a trip to spend with her siblings""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1334033006911221761,2020-12-02 07:13:48,"my mom and i have no family in tbe country so we travel to the us every year to spend the holidays with them, this year our financial situation has been bad and she was very sad so after 3 hours of crying I REMEMBERED I HAVE A SHIT TON OF MILES","b'my mom and i have no family in tbe country so we travel to the us every year to spend the holidays with them, this year our financial situation has been bad and she was very sad so after 3 hours of crying I REMEMBERED I HAVE A SHIT TON OF MILES'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1330395150137384960,2020-11-22 06:18:15,"AOC SHOPS SECOND HAND, AN ICON","b'AOC SHOPS SECOND HAND, AN ICON'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1328851343163920385,2020-11-18 00:03:43,"estudiosaaa, puesta pa' ser doctoraaa","b""estudiosaaa, puesta pa' ser doctoraaa""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,es
1328596502676205569,2020-11-17 07:11:05,RT @jxnnyway: I ain’t never seen 2 happy uni students. Always one of em gotta be contemplating dropping out,b'RT @jxnnyway: I ain\xe2\x80\x99t never seen 2 happy uni students. Always one of em gotta be contemplating dropping out',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jxnnyway', 'name': '𝘉𝘭𝘢𝘤𝘬𝘣𝘦𝘳𝘳𝘺 𝘣𝘢𝘣𝘦', 'id': 760157451975090176, 'id_str': '760157451975090176', 'indices': [3, 12]}], 'urls': []}",,en
1327858562836664320,2020-11-15 06:18:46,RT @tyler01010101: i can’t believe Twitter argues over PEMDAS once a month like what’s not clicking,b'RT @tyler01010101: i can\xe2\x80\x99t believe Twitter argues over PEMDAS once a month like what\xe2\x80\x99s not clicking',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tyler01010101', 'name': 'tyler', 'id': 1281078312157220864, 'id_str': '1281078312157220864', 'indices': [3, 17]}], 'urls': []}",,en
1326578600758349827,2020-11-11 17:32:39,"after all, a dream","b'after all, a dream'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1326578540914073600,2020-11-11 17:32:25,i had a dream and i was a lesbian A DOMESTIC LESBIAN AND MY ARTSY GIRLFRIEND,b'i had a dream and i was a lesbian A DOMESTIC LESBIAN AND MY ARTSY GIRLFRIEND',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1326363376449171457,2020-11-11 03:17:26,OKAY BUT AOC'S SPANISH?? HOLY CRAP,"b""OKAY BUT AOC'S SPANISH?? HOLY CRAP""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1325322998753210369,2020-11-08 06:23:20,"RT @AOC: Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election.

Every.👏🏽 S…",b'RT @AOC: Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election.\n\nEvery.\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd S\xe2\x80\xa6',"{'hashtags': [{'text': 'MedicareForAll', 'indices': [61, 76]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [3, 7]}], 'urls': []}",,en
1325125302415056896,2020-11-07 17:17:46,"i thought twitter had an age requierement, how does a 5 y/o own an account.. care to elaborate? @twitter https://t.co/D1yuoobxbm","b'i thought twitter had an age requierement, how does a 5 y/o own an account.. care to elaborate? @twitter https://t.co/D1yuoobxbm'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Twitter', 'name': 'Twitter', 'id': 783214, 'id_str': '783214', 'indices': [96, 104]}], 'urls': [{'url': 'https://t.co/D1yuoobxbm', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1325099845045071873', 'display_url': 'twitter.com/realDonaldTrum…', 'indices': [105, 128]}]}",,en
1325122578466353153,2020-11-07 17:06:56,RT @AOC: Congratulations to President-elect Joe Biden &amp; Vice President-elect Kamala Harris!,b'RT @AOC: Congratulations to President-elect Joe Biden &amp; Vice President-elect Kamala Harris!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [3, 7]}], 'urls': []}",,en
1325119187921100800,2020-11-07 16:53:28,"@JoeBiden Change that bio and let us see ""president"" in there","b'@JoeBiden Change that bio and let us see ""president"" in there'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [0, 9]}], 'urls': []}",,en
1325118999676420098,2020-11-07 16:52:43,"RT @BillieJeanKing: Kamala Harris has made history as the first Black woman to become VP. 

She is also the first person of South Asian des…",b'RT @BillieJeanKing: Kamala Harris has made history as the first Black woman to become VP. \n\nShe is also the first person of South Asian des\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BillieJeanKing', 'name': 'Billie Jean King', 'id': 35391464, 'id_str': '35391464', 'indices': [3, 18]}], 'urls': []}",,en
