id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338602454473191424,2020-12-14 21:51:09,RT @1nters: this is the one https://t.co/YSa57QYoNV,b'RT @1nters: this is the one https://t.co/YSa57QYoNV',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '1nters', 'name': 'Qais', 'id': 392825297, 'id_str': '392825297', 'indices': [3, 10]}], 'urls': [], 'media': [{'id': 1337459443164966915, 'id_str': '1337459443164966915', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/media/Eo-cRwNW8AMxBWh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo-cRwNW8AMxBWh.jpg', 'url': 'https://t.co/YSa57QYoNV', 'display_url': 'pic.twitter.com/YSa57QYoNV', 'expanded_url': 'https://twitter.com/1nters/status/1337459446734270474/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 643, 'resize': 'fit'}, 'large': {'w': 960, 'h': 908, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 908, 'resize': 'fit'}}, 'source_status_id': 1337459446734270474, 'source_status_id_str': '1337459446734270474', 'source_user_id': 392825297, 'source_user_id_str': '392825297'}]}",,en
1338602393873895425,2020-12-14 21:50:55,RT @k_littleton1: The mall is PACKED but dads can’t go to ultrasounds with their baby mama. Seems legit.,b'RT @k_littleton1: The mall is PACKED but dads can\xe2\x80\x99t go to ultrasounds with their baby mama. Seems legit.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'k_littleton1', 'name': 'Kelsey 📸', 'id': 846407000871317504, 'id_str': '846407000871317504', 'indices': [3, 16]}], 'urls': []}",,en
1338591698847485954,2020-12-14 21:08:25,RT @DrKittyGirl: I canceled my students' final and just gave them all 100 on it. And I structured my winter classes around not having a fin…,"b""RT @DrKittyGirl: I canceled my students' final and just gave them all 100 on it. And I structured my winter classes around not having a fin\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrKittyGirl', 'name': 'Dr. Brandon Andrew Robinson', 'id': 1149822889517965312, 'id_str': '1149822889517965312', 'indices': [3, 15]}], 'urls': []}",,en
1338591662734446592,2020-12-14 21:08:16,RT @ShawnMendes: Thank you so much for loving and supporting Wonder !!!❤️✨ https://t.co/1HGaVMFTDU,b'RT @ShawnMendes: Thank you so much for loving and supporting Wonder !!!\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9c\xa8 https://t.co/1HGaVMFTDU',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ShawnMendes', 'name': 'Shawn Mendes', 'id': 379408088, 'id_str': '379408088', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1338574746934341632, 'id_str': '1338574746934341632', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/EpOSo-hUcAA3Xsl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOSo-hUcAA3Xsl.jpg', 'url': 'https://t.co/1HGaVMFTDU', 'display_url': 'pic.twitter.com/1HGaVMFTDU', 'expanded_url': 'https://twitter.com/ShawnMendes/status/1338574752340869121/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 799, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1364, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 453, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338574752340869121, 'source_status_id_str': '1338574752340869121', 'source_user_id': 379408088, 'source_user_id_str': '379408088'}]}",,en
1338591616957898758,2020-12-14 21:08:05,RT @salmaaosman_: if u find timothee chalamet attractive do not worry about whats in the vaccine,b'RT @salmaaosman_: if u find timothee chalamet attractive do not worry about whats in the vaccine',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'salmaaosman_', 'name': 'ْ', 'id': 956565599026425856, 'id_str': '956565599026425856', 'indices': [3, 16]}], 'urls': []}",,en
1338508845086367750,2020-12-14 15:39:11,RT @jasminericegirl: bella thorne is one of the top 10 villains of 2020 https://t.co/cT2GGUD3tr,b'RT @jasminericegirl: bella thorne is one of the top 10 villains of 2020 https://t.co/cT2GGUD3tr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jasminericegirl', 'name': 'jasmine rice 🍚', 'id': 1017156369747767296, 'id_str': '1017156369747767296', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338303998915383300, 'id_str': '1338303998915383300', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/EpKcZXjWEAQvyEC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpKcZXjWEAQvyEC.jpg', 'url': 'https://t.co/cT2GGUD3tr', 'display_url': 'pic.twitter.com/cT2GGUD3tr', 'expanded_url': 'https://twitter.com/jasminericegirl/status/1338304002723897349/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 946, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338304002723897349, 'source_status_id_str': '1338304002723897349', 'source_user_id': 1017156369747767296, 'source_user_id_str': '1017156369747767296'}]}",,en
1338507719679102976,2020-12-14 15:34:43,"RT @drdevonprice: Therapy isn't for everyone. Or to put it more pointedly, *therapists* aren't for everyone. Most therapists are white, wel…","b""RT @drdevonprice: Therapy isn't for everyone. Or to put it more pointedly, *therapists* aren't for everyone. Most therapists are white, wel\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'drdevonprice', 'name': 'Devon Price', 'id': 409373977, 'id_str': '409373977', 'indices': [3, 16]}], 'urls': []}",,en
1338507640758996992,2020-12-14 15:34:24,RT @donut_mendussy: Shawn Mendes scrunching his nose :  a very painful thread https://t.co/nZeN4wmHO4,b'RT @donut_mendussy: Shawn Mendes scrunching his nose :  a very painful thread https://t.co/nZeN4wmHO4',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'donut_mendussy', 'name': 'kashu loves evermore', 'id': 1329717608988360704, 'id_str': '1329717608988360704', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338442128955883523, 'id_str': '1338442128955883523', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EpMaBmDVQAM4aSh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpMaBmDVQAM4aSh.jpg', 'url': 'https://t.co/nZeN4wmHO4', 'display_url': 'pic.twitter.com/nZeN4wmHO4', 'expanded_url': 'https://twitter.com/donut_mendussy/status/1338442134819536896/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 612, 'h': 612, 'resize': 'fit'}, 'small': {'w': 612, 'h': 612, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 612, 'h': 612, 'resize': 'fit'}}, 'source_status_id': 1338442134819536896, 'source_status_id_str': '1338442134819536896', 'source_user_id': 1329717608988360704, 'source_user_id_str': '1329717608988360704'}]}",,en
1338023615934189568,2020-12-13 07:31:03,"RT @mendesxhoran: i don't chase men but if he's 22 , 6'2 canadian, and named shawn mendes i might jog a lil","b""RT @mendesxhoran: i don't chase men but if he's 22 , 6'2 canadian, and named shawn mendes i might jog a lil""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mendesxhoran', 'name': 'shresta', 'id': 1107632058367655938, 'id_str': '1107632058367655938', 'indices': [3, 16]}], 'urls': []}",,en
1338023000118091777,2020-12-13 07:28:37,RT @shawncharts: .@ShawnMendes has surpassed Bad Bunny and is now the 8th artist with most monthly listeners on Spotify. https://t.co/OUxI9…,b'RT @shawncharts: .@ShawnMendes has surpassed Bad Bunny and is now the 8th artist with most monthly listeners on Spotify. https://t.co/OUxI9\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shawncharts', 'name': 'Shawn Mendes Charts', 'id': 4896467949, 'id_str': '4896467949', 'indices': [3, 15]}, {'screen_name': 'ShawnMendes', 'name': 'Shawn Mendes', 'id': 379408088, 'id_str': '379408088', 'indices': [18, 30]}], 'urls': []}",,en
1338022318866567168,2020-12-13 07:25:54,"RT @KaylarWill: Keyshia: I remember when my heart broke, I remember when I gave up loving you 
14 yr old me https://t.co/irQetkjsz6","b'RT @KaylarWill: Keyshia: I remember when my heart broke, I remember when I gave up loving you \n14 yr old me https://t.co/irQetkjsz6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KaylarWill', 'name': 'Kay', 'id': 30155974, 'id_str': '30155974', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1337826597097844737, 'id_str': '1337826597097844737', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/media/EpDqM7MWMAECCy2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpDqM7MWMAECCy2.jpg', 'url': 'https://t.co/irQetkjsz6', 'display_url': 'pic.twitter.com/irQetkjsz6', 'expanded_url': 'https://twitter.com/KaylarWill/status/1337826602219167745/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 547, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1124, 'h': 904, 'resize': 'fit'}, 'large': {'w': 1124, 'h': 904, 'resize': 'fit'}}, 'source_status_id': 1337826602219167745, 'source_status_id_str': '1337826602219167745', 'source_user_id': 30155974, 'source_user_id_str': '30155974'}]}",,en
1337927107842891776,2020-12-13 01:07:34,RT @dejarmani: yo who gon tell my sister the verzuz cancelled???? LMAO https://t.co/9jUJtDj3I2,b'RT @dejarmani: yo who gon tell my sister the verzuz cancelled???? LMAO https://t.co/9jUJtDj3I2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dejarmani', 'name': 'déjavu', 'id': 4884342987, 'id_str': '4884342987', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1337908497774592001, 'id_str': '1337908497774592001', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EpE0sK_UwAEgVH3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpE0sK_UwAEgVH3.jpg', 'url': 'https://t.co/9jUJtDj3I2', 'display_url': 'pic.twitter.com/9jUJtDj3I2', 'expanded_url': 'https://twitter.com/dejarmani/status/1337908516560850944/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1152, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1337908516560850944, 'source_status_id_str': '1337908516560850944', 'source_user_id': 4884342987, 'source_user_id_str': '4884342987'}]}",,en
1337659120653131777,2020-12-12 07:22:41,"RT @justinbaldoni: It’s coming! 
We just hired an amazing writer to adapt @colleenhoover ‘s beautiful novel. More to come!  #itendswithus",b'RT @justinbaldoni: It\xe2\x80\x99s coming! \nWe just hired an amazing writer to adapt @colleenhoover \xe2\x80\x98s beautiful novel. More to come!  #itendswithus',"{'hashtags': [{'text': 'itendswithus', 'indices': [124, 137]}], 'symbols': [], 'user_mentions': [{'screen_name': 'justinbaldoni', 'name': 'justin baldoni', 'id': 24665054, 'id_str': '24665054', 'indices': [3, 17]}, {'screen_name': 'colleenhoover', 'name': 'Colleen Hoover', 'id': 73283784, 'id_str': '73283784', 'indices': [74, 88]}], 'urls': []}",,en
1337659022669979649,2020-12-12 07:22:18,"RT @nytimes: Breaking News: FKA twigs has filed a lawsuit against Shia LaBeouf, her former boyfriend, accusing him of sexual battery, assau…","b'RT @nytimes: Breaking News: FKA twigs has filed a lawsuit against Shia LaBeouf, her former boyfriend, accusing him of sexual battery, assau\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [3, 11]}], 'urls': []}",,en
1337634953635524608,2020-12-12 05:46:39,RT @LilNasX: nevermind he texted back,b'RT @LilNasX: nevermind he texted back',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LilNasX', 'name': 'nope', 'id': 754006735468261376, 'id_str': '754006735468261376', 'indices': [3, 11]}], 'urls': []}",,en
1337599579060105218,2020-12-12 03:26:05,RT @ungodlyalexis: when will they get the death penalty???? https://t.co/XCPJTKGq6C,b'RT @ungodlyalexis: when will they get the death penalty???? https://t.co/XCPJTKGq6C',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ungodlyalexis', 'name': '𝙡𝙚𝙭\U0001fa90ˣ⁴', 'id': 926967412385308672, 'id_str': '926967412385308672', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1337217511008382978, 'id_str': '1337217511008382978', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/Eo7APcsWMAI0lxr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo7APcsWMAI0lxr.jpg', 'url': 'https://t.co/XCPJTKGq6C', 'display_url': 'pic.twitter.com/XCPJTKGq6C', 'expanded_url': 'https://twitter.com/ungodlyalexis/status/1337217515060080640/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 992, 'h': 558, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 992, 'h': 558, 'resize': 'fit'}}, 'source_status_id': 1337217515060080640, 'source_status_id_str': '1337217515060080640', 'source_user_id': 926967412385308672, 'source_user_id_str': '926967412385308672'}]}",,en
1337599466367545345,2020-12-12 03:25:38,RT @queerguayabin: And y’all been worried about undocumented immigrants?!? LMFAOOOOOO,b'RT @queerguayabin: And y\xe2\x80\x99all been worried about undocumented immigrants?!? LMFAOOOOOO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'queerguayabin', 'name': 'Marcie and PB’s Latino son', 'id': 981668003128295424, 'id_str': '981668003128295424', 'indices': [3, 17]}], 'urls': []}",,en
1337591557818642433,2020-12-12 02:54:13,RT @sanbenito: hoy cobré💲@SnoopDogg https://t.co/kQ7VNB3zPO,b'RT @sanbenito: hoy cobr\xc3\xa9\xf0\x9f\x92\xb2@SnoopDogg https://t.co/kQ7VNB3zPO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sanbenito', 'name': '\U0001f90d', 'id': 1059542139737128960, 'id_str': '1059542139737128960', 'indices': [3, 13]}, {'screen_name': 'SnoopDogg', 'name': 'Snoop Dogg', 'id': 3004231, 'id_str': '3004231', 'indices': [25, 35]}], 'urls': [], 'media': [{'id': 1337553248547303424, 'id_str': '1337553248547303424', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/Eo_xl8fU8AA3Yzb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo_xl8fU8AA3Yzb.jpg', 'url': 'https://t.co/kQ7VNB3zPO', 'display_url': 'pic.twitter.com/kQ7VNB3zPO', 'expanded_url': 'https://twitter.com/sanbenito/status/1337553257657368576/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1500, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 498, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 879, 'resize': 'fit'}}, 'source_status_id': 1337553257657368576, 'source_status_id_str': '1337553257657368576', 'source_user_id': 1059542139737128960, 'source_user_id_str': '1059542139737128960'}]}",,es
1337591528630398976,2020-12-12 02:54:06,RT @carlibybel: 🖤🤍all my mom wanted this year for her bday was a professional photo of me and my sister pregnant together 😫🥰 so we surprise…,b'RT @carlibybel: \xf0\x9f\x96\xa4\xf0\x9f\xa4\x8dall my mom wanted this year for her bday was a professional photo of me and my sister pregnant together \xf0\x9f\x98\xab\xf0\x9f\xa5\xb0 so we surprise\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'carlibybel', 'name': 'carli bybel', 'id': 158224477, 'id_str': '158224477', 'indices': [3, 14]}], 'urls': []}",,en
