id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338719833890942976,2020-12-15 05:37:35,i don’t trust anything taylor says ever,b'i don\xe2\x80\x99t trust anything taylor says ever',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338719241638436866,2020-12-15 05:35:14,RT @taylorswift13: Witches be like “Sometimes I just want to listen to music while pining away/sulking/staring out a window.” It’s me. I’m…,b'RT @taylorswift13: Witches be like \xe2\x80\x9cSometimes I just want to listen to music while pining away/sulking/staring out a window.\xe2\x80\x9d It\xe2\x80\x99s me. I\xe2\x80\x99m\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': 17919972, 'id_str': '17919972', 'indices': [3, 17]}], 'urls': []}",,en
1338557223224696835,2020-12-14 18:51:25,im not an active little mix stan but the news about jesy leaving is so fucking sad?? the fact that she made the decision to leave something she loved so much bc people are fucking terrible and hateful and just flat out mean makes me so sad,b'im not an active little mix stan but the news about jesy leaving is so fucking sad?? the fact that she made the decision to leave something she loved so much bc people are fucking terrible and hateful and just flat out mean makes me so sad',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338352504912875524,2020-12-14 05:17:57,@goldensbaby goodnight bestie i love u i hope u wake up and have a fantastic day tomorrow bc i deserve all happy days!!!,b'@goldensbaby goodnight bestie i love u i hope u wake up and have a fantastic day tomorrow bc i deserve all happy days!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'goldensbaby', 'name': 'myah 🌻', 'id': 2436344022, 'id_str': '2436344022', 'indices': [0, 12]}], 'urls': []}",,en
1338184626423083008,2020-12-13 18:10:51,RT @punishmorevol6: wasn’t gna do this but thank u so much for creating an album that means the world to me ... i luv u so big n cannot wai…,b'RT @punishmorevol6: wasn\xe2\x80\x99t gna do this but thank u so much for creating an album that means the world to me ... i luv u so big n cannot wai\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'punishmorevol6', 'name': 'luciᴴ', 'id': 331737243, 'id_str': '331737243', 'indices': [3, 18]}], 'urls': []}",,en
1338184183441747969,2020-12-13 18:09:06,fine line birth and taylor birth wtf,b'fine line birth and taylor birth wtf',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338183940079824897,2020-12-13 18:08:08,i was at work all day yesterday and missed doing this but whatever,b'i was at work all day yesterday and missed doing this but whatever',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338183812728188932,2020-12-13 18:07:37,RT @hardliqueur: happy one year to my favorite album in existence. pink is the only true rock &amp; roll color #OneYearofFineLine #fineline htt…,b'RT @hardliqueur: happy one year to my favorite album in existence. pink is the only true rock &amp; roll color #OneYearofFineLine #fineline htt\xe2\x80\xa6',"{'hashtags': [{'text': 'OneYearofFineLine', 'indices': [111, 129]}, {'text': 'fineline', 'indices': [130, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'hardliqueur', 'name': 'anna☃️ FINE LINE BDAY BASH🥳', 'id': 866563295817342976, 'id_str': '866563295817342976', 'indices': [3, 15]}], 'urls': []}",,en
1338183803001507842,2020-12-13 18:07:35,the prettiest ever 🥺😭 https://t.co/NIwYWhl3pQ,b'the prettiest ever \xf0\x9f\xa5\xba\xf0\x9f\x98\xad https://t.co/NIwYWhl3pQ',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NIwYWhl3pQ', 'expanded_url': 'https://twitter.com/hardliqueur/status/1338170384999280642', 'display_url': 'twitter.com/hardliqueur/st…', 'indices': [22, 45]}]}",,en
1338183618183766017,2020-12-13 18:06:51,"harry, you are incomparable. fine line is incomparable. i could go on and on about how much this album and you mean to me forever and ever. i love you, h. 💗💙 #OneYearofFineLine https://t.co/Z3fAaid0cz","b'harry, you are incomparable. fine line is incomparable. i could go on and on about how much this album and you mean to me forever and ever. i love you, h. \xf0\x9f\x92\x97\xf0\x9f\x92\x99 #OneYearofFineLine https://t.co/Z3fAaid0cz'","{'hashtags': [{'text': 'OneYearofFineLine', 'indices': [158, 176]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338183610432712706, 'id_str': '1338183610432712706', 'indices': [177, 200], 'media_url': 'http://pbs.twimg.com/media/EpIu51gXcAIaGde.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpIu51gXcAIaGde.jpg', 'url': 'https://t.co/Z3fAaid0cz', 'display_url': 'pic.twitter.com/Z3fAaid0cz', 'expanded_url': 'https://twitter.com/nashvillesuit/status/1338183618183766017/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 784, 'h': 788, 'resize': 'fit'}, 'medium': {'w': 784, 'h': 788, 'resize': 'fit'}, 'small': {'w': 677, 'h': 680, 'resize': 'fit'}}}]}",,en
1337846197093011459,2020-12-12 19:46:04,she knows at this point https://t.co/CezyM80iiv,b'she knows at this point https://t.co/CezyM80iiv',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337846193842507776, 'id_str': '1337846193842507776', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpD8BmwXUAAlGxE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpD8BmwXUAAlGxE.jpg', 'url': 'https://t.co/CezyM80iiv', 'display_url': 'pic.twitter.com/CezyM80iiv', 'expanded_url': 'https://twitter.com/nashvillesuit/status/1337846197093011459/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 414, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 730, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 827, 'h': 1359, 'resize': 'fit'}}}]}",,en
