id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338711269273169922,2020-12-15 05:03:33,RT @kemafili: you are the only thing that keeps me going https://t.co/YqBUFH1Kqj,b'RT @kemafili: you are the only thing that keeps me going https://t.co/YqBUFH1Kqj',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kemafili', 'name': 'poopinator', 'id': 791405326763307008, 'id_str': '791405326763307008', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1338503869119152128, 'id_str': '1338503869119152128', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EpNSLWFVQAAs7ln.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNSLWFVQAAs7ln.jpg', 'url': 'https://t.co/YqBUFH1Kqj', 'display_url': 'pic.twitter.com/YqBUFH1Kqj', 'expanded_url': 'https://twitter.com/kemafili/status/1338503917974376448/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 483, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 853, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1455, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1338503917974376448, 'source_status_id_str': '1338503917974376448', 'source_user_id': 791405326763307008, 'source_user_id_str': '791405326763307008'}]}",,en
1338710970148024321,2020-12-15 05:02:21,Leverage is such a good show,b'Leverage is such a good show',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338710584863371265,2020-12-15 05:00:50,"RT @caffeinecrawls: been drawing and actually enjoying it for the first time in ages, and i just remembered this obscure photoshop command…","b'RT @caffeinecrawls: been drawing and actually enjoying it for the first time in ages, and i just remembered this obscure photoshop command\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caffeinecrawls', 'name': 'cam', 'id': 3837897196, 'id_str': '3837897196', 'indices': [3, 18]}], 'urls': []}",,en
1338710464914747393,2020-12-15 05:00:21,@caffeinecrawls but... Why????,b'@caffeinecrawls but... Why????',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caffeinecrawls', 'name': 'cam', 'id': 3837897196, 'id_str': '3837897196', 'indices': [0, 15]}], 'urls': []}",,en
1338703533386960899,2020-12-15 04:32:48,@caffeinecrawls Using the WHAT????,b'@caffeinecrawls Using the WHAT????',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caffeinecrawls', 'name': 'cam', 'id': 3837897196, 'id_str': '3837897196', 'indices': [0, 15]}], 'urls': []}",,en
1338703392064106497,2020-12-15 04:32:15,"RT @shizuairi: cis and non black people please RETWEET. this is a thread for black trans supporting organizations, projects and fundraisers…","b'RT @shizuairi: cis and non black people please RETWEET. this is a thread for black trans supporting organizations, projects and fundraisers\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shizuairi', 'name': 'leon ✿ ACAB', 'id': 1226410054624174081, 'id_str': '1226410054624174081', 'indices': [3, 13]}], 'urls': []}",,en
1338673644239720449,2020-12-15 02:34:02,RT @CutTimeComic: the stars are part of his character design. He is a spirit I initially saw in my dreams as a starry silhouette of a man b…,b'RT @CutTimeComic: the stars are part of his character design. He is a spirit I initially saw in my dreams as a starry silhouette of a man b\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CutTimeComic', 'name': 'Juby 쥬비 🎻(･ิω･ิ )', 'id': 2183567575, 'id_str': '2183567575', 'indices': [3, 16]}], 'urls': []}",,en
1338672740690178048,2020-12-15 02:30:27,RT @neon_nuisance: https://t.co/5LFqNDOcjQ,b'RT @neon_nuisance: https://t.co/5LFqNDOcjQ',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'neon_nuisance', 'name': 'jude | 🌈 🌈 🌈 | art raffle pinned !', 'id': 862065615783198725, 'id_str': '862065615783198725', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1338605147774210050, 'id_str': '1338605147774210050', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/media/EpOuSieXUAIMNj8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOuSieXUAIMNj8.jpg', 'url': 'https://t.co/5LFqNDOcjQ', 'display_url': 'pic.twitter.com/5LFqNDOcjQ', 'expanded_url': 'https://twitter.com/neon_nuisance/status/1338605155185537025/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 629, 'h': 597, 'resize': 'fit'}, 'medium': {'w': 629, 'h': 597, 'resize': 'fit'}, 'small': {'w': 629, 'h': 597, 'resize': 'fit'}}, 'source_status_id': 1338605155185537025, 'source_status_id_str': '1338605155185537025', 'source_user_id': 862065615783198725, 'source_user_id_str': '862065615783198725'}]}",,und
1338672261205807104,2020-12-15 02:28:33,"RT @squishbun: Remember that WIP I posted years ago? Here she is finished! Opus, the first of my upcoming MYO species! 

I'm praying this d…","b""RT @squishbun: Remember that WIP I posted years ago? Here she is finished! Opus, the first of my upcoming MYO species! \n\nI'm praying this d\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'squishbun', 'name': 'jasmine: ART RAFFLE PINNED :)', 'id': 1108955158254243840, 'id_str': '1108955158254243840', 'indices': [3, 13]}], 'urls': []}",,en
1338616292958474241,2020-12-14 22:46:09,"RT @fakemanss_: Meet Dunsparce’s new Fairy/Dragon type evolution named Rainsparce, based on the rainbow serpent. To learn more about it, ma…","b'RT @fakemanss_: Meet Dunsparce\xe2\x80\x99s new Fairy/Dragon type evolution named Rainsparce, based on the rainbow serpent. To learn more about it, ma\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fakemanss_', 'name': 'fakemanss', 'id': 1264569255246409730, 'id_str': '1264569255246409730', 'indices': [3, 14]}], 'urls': []}",,en
