id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338671277935108103,2020-12-15 02:24:38,@CalamariTempura Omg no but if it’s your first time doing it by yourself it’s actually really fckn hard they use a tool to tighten it,b'@CalamariTempura Omg no but if it\xe2\x80\x99s your first time doing it by yourself it\xe2\x80\x99s actually really fckn hard they use a tool to tighten it',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CalamariTempura', 'name': 'zayn supremacist', 'id': 2553549230, 'id_str': '2553549230', 'indices': [0, 16]}], 'urls': []}",,en
1338670008549990401,2020-12-15 02:19:35,@lilram4 https://t.co/zapQnykOfu,b'@lilram4 https://t.co/zapQnykOfu',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lilram4', 'name': '𝔊𝔥𝔬𝔰𝔱', 'id': 1102205971, 'id_str': '1102205971', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 1338669997946773510, 'id_str': '1338669997946773510', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpPpRUMXIAYTrBQ.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpPpRUMXIAYTrBQ.jpg', 'url': 'https://t.co/zapQnykOfu', 'display_url': 'pic.twitter.com/zapQnykOfu', 'expanded_url': 'https://twitter.com/plastic_plants/status/1338670008549990401/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 498, 'h': 458, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 458, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 458, 'resize': 'fit'}}}]}",,und
1338668965585891329,2020-12-15 02:15:27,Ego is a disease n some of you don’t even know u sick,b'Ego is a disease n some of you don\xe2\x80\x99t even know u sick',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338305882216681473,2020-12-14 02:12:41,"Going crazy, but in a good way","b'Going crazy, but in a good way'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338254644590637059,2020-12-13 22:49:05,@hannahsuuuckks So happy for you,b'@hannahsuuuckks So happy for you',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hannahsuuuckks', 'name': 'ℌ𝔞𝔫𝔫𝔞ℌ 💌', 'id': 820842226246881281, 'id_str': '820842226246881281', 'indices': [0, 15]}], 'urls': []}",,en
1338248741166440454,2020-12-13 22:25:38,@killjoycali Bruh do people just not feel guilt for doing bad things to people? I don’t understand,b'@killjoycali Bruh do people just not feel guilt for doing bad things to people? I don\xe2\x80\x99t understand',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'killjoycali', 'name': 'cal', 'id': 1306354311518023680, 'id_str': '1306354311518023680', 'indices': [0, 12]}], 'urls': []}",,en
1338222675051876355,2020-12-13 20:42:03,I wish wizards of waverly place was on Netflix,b'I wish wizards of waverly place was on Netflix',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338214411304054785,2020-12-13 20:09:13,Wake up big sigh,b'Wake up big sigh',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338153028843659264,2020-12-13 16:05:18,Clowns &amp; angels,b'Clowns &amp; angels',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337969356521791488,2020-12-13 03:55:27,@TheMarkHerbst Omg....yeah,b'@TheMarkHerbst Omg....yeah',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMarkHerbst', 'name': 'mark mark mark', 'id': 3314010553, 'id_str': '3314010553', 'indices': [0, 14]}], 'urls': []}",,en
1337935913951916038,2020-12-13 01:42:34,POV They’re dating,b'POV They\xe2\x80\x99re dating',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337859084788371459,2020-12-12 20:37:16,RT @kingxworm: Unreal day in the Zodiac case as someone has solved the 340 cipher after 50 years https://t.co/jDuQWqNCo7,b'RT @kingxworm: Unreal day in the Zodiac case as someone has solved the 340 cipher after 50 years https://t.co/jDuQWqNCo7',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kingxworm', 'name': 'David', 'id': 1962007826, 'id_str': '1962007826', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1337567338787291137, 'id_str': '1337567338787291137', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/Eo_-aGuUwAExDkp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo_-aGuUwAExDkp.jpg', 'url': 'https://t.co/jDuQWqNCo7', 'display_url': 'pic.twitter.com/jDuQWqNCo7', 'expanded_url': 'https://twitter.com/kingxworm/status/1337567342029488129/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 540, 'h': 604, 'resize': 'fit'}, 'small': {'w': 540, 'h': 604, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 604, 'resize': 'fit'}}, 'source_status_id': 1337567342029488129, 'source_status_id_str': '1337567342029488129', 'source_user_id': 1962007826, 'source_user_id_str': '1962007826'}]}",,en
1337794968451239936,2020-12-12 16:22:30,@nastyevilhag I did that in high school and our school had a field trip to brazosport college and she was there giving a talk and I called her therapy dog by name then she asked me how I was and acted like I had no idea who she was,b'@nastyevilhag I did that in high school and our school had a field trip to brazosport college and she was there giving a talk and I called her therapy dog by name then she asked me how I was and acted like I had no idea who she was',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nastyevilhag', 'name': 'imp', 'id': 737182234533199873, 'id_str': '737182234533199873', 'indices': [0, 13]}], 'urls': []}",,en
1337772904902250498,2020-12-12 14:54:49,Wake up tweet,b'Wake up tweet',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337767268663615488,2020-12-12 14:32:26,@KaizerAllen @DrOtaku2 @Variety How do you just assume they don’t? Amber Heard is a piece of shit and so is Shia Labeouf😭,b'@KaizerAllen @DrOtaku2 @Variety How do you just assume they don\xe2\x80\x99t? Amber Heard is a piece of shit and so is Shia Labeouf\xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KaizerAllen', 'name': 'BRØBEΛNS', 'id': 40825004, 'id_str': '40825004', 'indices': [0, 12]}, {'screen_name': 'DrOtaku2', 'name': '\U0001f7e3Dr. OTAKU\U0001f7e2', 'id': 2380046271, 'id_str': '2380046271', 'indices': [13, 22]}, {'screen_name': 'Variety', 'name': 'Variety', 'id': 17525171, 'id_str': '17525171', 'indices': [23, 31]}], 'urls': []}",,en
1337765137072189440,2020-12-12 14:23:57,@nastyevilhag HAVE FUN,b'@nastyevilhag HAVE FUN',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nastyevilhag', 'name': 'imp', 'id': 737182234533199873, 'id_str': '737182234533199873', 'indices': [0, 13]}], 'urls': []}",,en
1337762266473750528,2020-12-12 14:12:33,@nastyevilhag RIGHTTTTT OMFG HAHA,b'@nastyevilhag RIGHTTTTT OMFG HAHA',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nastyevilhag', 'name': 'imp', 'id': 737182234533199873, 'id_str': '737182234533199873', 'indices': [0, 13]}], 'urls': []}",,en
1337601630779400192,2020-12-12 03:34:14,@killjoycali Jfc good that you’re away from that🤮,b'@killjoycali Jfc good that you\xe2\x80\x99re away from that\xf0\x9f\xa4\xae',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'killjoycali', 'name': 'cal', 'id': 1306354311518023680, 'id_str': '1306354311518023680', 'indices': [0, 12]}], 'urls': []}",,en
1337578901602758656,2020-12-12 02:03:55,Who up and got trauma from a Lake Jackson resident https://t.co/tzNZwxqqdZ,b'Who up and got trauma from a Lake Jackson resident https://t.co/tzNZwxqqdZ',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tzNZwxqqdZ', 'expanded_url': 'https://twitter.com/TheMarkHerbst/status/1337486233631662081', 'display_url': 'twitter.com/TheMarkHerbst/…', 'indices': [51, 74]}]}",,en
1337577845372104710,2020-12-12 01:59:43,@TheMarkHerbst No they are,b'@TheMarkHerbst No they are',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMarkHerbst', 'name': 'mark mark mark', 'id': 3314010553, 'id_str': '3314010553', 'indices': [0, 14]}], 'urls': []}",,en
1337577620683288582,2020-12-12 01:58:50,@DATBOIIHALO It sounds like u switched to boost mobile,b'@DATBOIIHALO It sounds like u switched to boost mobile',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DATBOIIHALO', 'name': 'JAMR', 'id': 832051937876992000, 'id_str': '832051937876992000', 'indices': [0, 12]}], 'urls': []}",,en
1337577249751638016,2020-12-12 01:57:21,https://t.co/zVg3ocgxTl,b'https://t.co/zVg3ocgxTl',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337577245959970817, 'id_str': '1337577245959970817', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpAHax0W4AEiQ-2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpAHax0W4AEiQ-2.jpg', 'url': 'https://t.co/zVg3ocgxTl', 'display_url': 'pic.twitter.com/zVg3ocgxTl', 'expanded_url': 'https://twitter.com/plastic_plants/status/1337577249751638016/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 215, 'resize': 'fit'}, 'large': {'w': 1207, 'h': 381, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 379, 'resize': 'fit'}}}]}",,und
1337445363356229633,2020-12-11 17:13:17,I can see u looking at the dent in my car,b'I can see u looking at the dent in my car',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337444078842208258,2020-12-11 17:08:11,@fuck_jromo U ate them with your feet,b'@fuck_jromo U ate them with your feet',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fuck_jromo', 'name': 'OUCH.', 'id': 1175169900731609088, 'id_str': '1175169900731609088', 'indices': [0, 11]}], 'urls': []}",,en
1337395210343632897,2020-12-11 13:54:00,Can’t think abt anything besides my sunflower plant starting to flower and how I’m gonna eat barbecue chips later,b'Can\xe2\x80\x99t think abt anything besides my sunflower plant starting to flower and how I\xe2\x80\x99m gonna eat barbecue chips later',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337375083917139969,2020-12-11 12:34:01,The nightly drool stains on my side of the bed,b'The nightly drool stains on my side of the bed',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337201498946744321,2020-12-11 01:04:16,@lilram4 No way,b'@lilram4 No way',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lilram4', 'name': '𝔊𝔥𝔬𝔰𝔱', 'id': 1102205971, 'id_str': '1102205971', 'indices': [0, 8]}], 'urls': []}",,en
1337097547479977985,2020-12-10 18:11:12,Oh my fucking god?? https://t.co/e0DJdJ87Vl,b'Oh my fucking god?? https://t.co/e0DJdJ87Vl',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337097479356116993, 'id_str': '1337097479356116993', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/media/Eo5TEr8XcAEK7Uo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo5TEr8XcAEK7Uo.jpg', 'url': 'https://t.co/e0DJdJ87Vl', 'display_url': 'pic.twitter.com/e0DJdJ87Vl', 'expanded_url': 'https://twitter.com/plastic_plants/status/1337097547479977985/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 310, 'resize': 'fit'}, 'large': {'w': 1242, 'h': 566, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 547, 'resize': 'fit'}}}]}",,en
1337093282220929025,2020-12-10 17:54:15,At a point in my life where if I ever saw a moose in real life I would likely react the same way one might if they were in the ocean surrounded by hungry sharks,b'At a point in my life where if I ever saw a moose in real life I would likely react the same way one might if they were in the ocean surrounded by hungry sharks',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337092066195730438,2020-12-10 17:49:25,I woke up from a nightmare that Ethan and I got attacked by a moose and it’s instilled so much more moose fear in me,b'I woke up from a nightmare that Ethan and I got attacked by a moose and it\xe2\x80\x99s instilled so much more moose fear in me',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337091394612158464,2020-12-10 17:46:45,Wait what was I gonna say again,b'Wait what was I gonna say again',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337091317000790020,2020-12-10 17:46:26,RT @DATBOIIHALO: I instinctivepy spelled Wednesday without looking at my keyboard and I will now be walking a tightrope across the Brazos R…,b'RT @DATBOIIHALO: I instinctivepy spelled Wednesday without looking at my keyboard and I will now be walking a tightrope across the Brazos R\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DATBOIIHALO', 'name': 'JAMR', 'id': 832051937876992000, 'id_str': '832051937876992000', 'indices': [3, 15]}], 'urls': []}",,en
1336833868662444034,2020-12-10 00:43:26,Jk I like him he’s cute,b'Jk I like him he\xe2\x80\x99s cute',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336833823527628803,2020-12-10 00:43:15,lil uzi is ok,b'lil uzi is ok',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,in
1336833765595820034,2020-12-10 00:43:01,I love barbecue chips,b'I love barbecue chips',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336833654564249604,2020-12-10 00:42:35,@nastyevilhag Omg when u get goosebumps and the skin under ur tattoo feels like /\/\/\/\,b'@nastyevilhag Omg when u get goosebumps and the skin under ur tattoo feels like /\\/\\/\\/\\',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nastyevilhag', 'name': 'imp', 'id': 737182234533199873, 'id_str': '737182234533199873', 'indices': [0, 13]}], 'urls': []}",,en
1336469610946826240,2020-12-09 00:36:00,@JosephWest666 I used to go this with finding nemo,b'@JosephWest666 I used to go this with finding nemo',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JosephWest666', 'name': 'Joseph West', 'id': 996785157137891328, 'id_str': '996785157137891328', 'indices': [0, 14]}], 'urls': []}",,en
1336368367754678273,2020-12-08 17:53:42,RT @jjjjjustis: @plastic_plants hi jeans,b'RT @jjjjjustis: @plastic_plants hi jeans',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jjjjjustis', 'name': '☆justis☆｡*ﾟ+♡', 'id': 1541727751, 'id_str': '1541727751', 'indices': [3, 14]}, {'screen_name': 'plastic_plants', 'name': 'Moth', 'id': 4864814308, 'id_str': '4864814308', 'indices': [16, 31]}], 'urls': []}",,fr
1336365296278532097,2020-12-08 17:41:29,@jjjjjustis Not anymore😌,b'@jjjjjustis Not anymore\xf0\x9f\x98\x8c',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jjjjjustis', 'name': '☆justis☆｡*ﾟ+♡', 'id': 1541727751, 'id_str': '1541727751', 'indices': [0, 11]}], 'urls': []}",,en
1336363809791938563,2020-12-08 17:35:35,If I Snapchat someone one time they get on my best friends list for a week,b'If I Snapchat someone one time they get on my best friends list for a week',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336114147961036801,2020-12-08 01:03:31,@CalamariTempura When ppl say “can’t wait til 2020 is over I can’t take this” like things stops happening because we passed a certain day that we just made up hahahah,b'@CalamariTempura When ppl say \xe2\x80\x9ccan\xe2\x80\x99t wait til 2020 is over I can\xe2\x80\x99t take this\xe2\x80\x9d like things stops happening because we passed a certain day that we just made up hahahah',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CalamariTempura', 'name': 'zayn supremacist', 'id': 2553549230, 'id_str': '2553549230', 'indices': [0, 16]}], 'urls': []}",,en
1335785698033623040,2020-12-07 03:18:22,@soggyemma candywife I almost fainted,b'@soggyemma candywife I almost fainted',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'soggyemma', 'name': 'M-Uh', 'id': 708884496716705792, 'id_str': '708884496716705792', 'indices': [0, 10]}], 'urls': []}",,en
1335781093472161799,2020-12-07 03:00:04,@jazminestar97 Yeah,b'@jazminestar97 Yeah',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jazminestar97', 'name': 'EarthAngel', 'id': 1120853143145852929, 'id_str': '1120853143145852929', 'indices': [0, 14]}], 'urls': []}",,en
1335780975524122624,2020-12-07 02:59:36,@whitexhocolate Good times I loved having u guys in my ig lives,b'@whitexhocolate Good times I loved having u guys in my ig lives',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'whitexhocolate', 'name': 'hunter', 'id': 1029564953517285376, 'id_str': '1029564953517285376', 'indices': [0, 15]}], 'urls': []}",,en
1335780822645940224,2020-12-07 02:59:00,@eightelevenpm 😌🤍🤍,b'@eightelevenpm \xf0\x9f\x98\x8c\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eightelevenpm', 'name': 'amanda', 'id': 3232099098, 'id_str': '3232099098', 'indices': [0, 14]}], 'urls': []}",,und
1335780693494951936,2020-12-07 02:58:29,@lilram4 Only if you verbally comfort me while I do it,b'@lilram4 Only if you verbally comfort me while I do it',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lilram4', 'name': '𝔊𝔥𝔬𝔰𝔱', 'id': 1102205971, 'id_str': '1102205971', 'indices': [0, 8]}], 'urls': []}",,en
1335633622192230405,2020-12-06 17:14:05,RT @bubby_post_up: Fish,b'RT @bubby_post_up: Fish',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bubby_post_up', 'name': 'Lost Loser👺', 'id': 2988497741, 'id_str': '2988497741', 'indices': [3, 17]}], 'urls': []}",,en
1335628573231767552,2020-12-06 16:54:01,This was the pic https://t.co/n8BdyONoPE,b'This was the pic https://t.co/n8BdyONoPE',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1335628569867923457, 'id_str': '1335628569867923457', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/EokbG5rXMAEh6Tp.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EokbG5rXMAEh6Tp.jpg', 'url': 'https://t.co/n8BdyONoPE', 'display_url': 'pic.twitter.com/n8BdyONoPE', 'expanded_url': 'https://twitter.com/plastic_plants/status/1335628573231767552/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 646, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1170, 'h': 1232, 'resize': 'fit'}, 'medium': {'w': 1140, 'h': 1200, 'resize': 'fit'}}}]}",,en
1335627869549113344,2020-12-06 16:51:13,One time I painted my face to look like Sonic the Hedgehog and posted it here but deleted it a few days later and then a month later I was scrolling thru the comments of some viral tweet and a random person used the picture of me painted like Sonic as a reaction pic,b'One time I painted my face to look like Sonic the Hedgehog and posted it here but deleted it a few days later and then a month later I was scrolling thru the comments of some viral tweet and a random person used the picture of me painted like Sonic as a reaction pic',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335438960277983234,2020-12-06 04:20:34,@KayreeLove I think you should keep seeing him,b'@KayreeLove I think you should keep seeing him',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KayreeLove', 'name': 'kayree love', 'id': 960744145420681217, 'id_str': '960744145420681217', 'indices': [0, 11]}], 'urls': []}",,en
1335417937201606662,2020-12-06 02:57:01,RT @cranny_boy: I eat a candy I found now I can't stop remembering something someone said to me 3 years ago,"b""RT @cranny_boy: I eat a candy I found now I can't stop remembering something someone said to me 3 years ago""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cranny_boy', 'name': 'cranny boy', 'id': 788752874343759873, 'id_str': '788752874343759873', 'indices': [3, 14]}], 'urls': []}",,en
1335392675789475841,2020-12-06 01:16:38,RT @loganlofgren: if you’re still waiting in line to vote DO NOT LEAVE,b'RT @loganlofgren: if you\xe2\x80\x99re still waiting in line to vote DO NOT LEAVE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'loganlofgren', 'name': 'a social media account on the world wide web', 'id': 178126274, 'id_str': '178126274', 'indices': [3, 16]}], 'urls': []}",,en
1335392613244022785,2020-12-06 01:16:24,I really hope our next apartment has no carpet just bc carpet is grossss u can never clean it good enough,b'I really hope our next apartment has no carpet just bc carpet is grossss u can never clean it good enough',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335314054043361280,2020-12-05 20:04:14,RT @tenderbabyteeth: 🫐 https://t.co/9pIHRJNrGB,b'RT @tenderbabyteeth: \xf0\x9f\xab\x90 https://t.co/9pIHRJNrGB',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tenderbabyteeth', 'name': 'ཀ ʖ̯ ཀ*☆', 'id': 1263509039402672128, 'id_str': '1263509039402672128', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1335313438621511681, 'id_str': '1335313438621511681', 'indices': [23, 46], 'media_url': 'http://pbs.twimg.com/media/Eof8f2TXMAEQbXD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eof8f2TXMAEQbXD.jpg', 'url': 'https://t.co/9pIHRJNrGB', 'display_url': 'pic.twitter.com/9pIHRJNrGB', 'expanded_url': 'https://twitter.com/tenderbabyteeth/status/1335313448155156480/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1440, 'h': 1440, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1335313448155156480, 'source_status_id_str': '1335313448155156480', 'source_user_id': 1263509039402672128, 'source_user_id_str': '1263509039402672128'}]}",,und
1335312512917581826,2020-12-05 19:58:06,Right here https://t.co/oPGGbZi7tV,b'Right here https://t.co/oPGGbZi7tV',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oPGGbZi7tV', 'expanded_url': 'https://twitter.com/makeupaguy/status/1335142500403736576', 'display_url': 'twitter.com/makeupaguy/sta…', 'indices': [11, 34]}]}",,en
1335242311236775936,2020-12-05 15:19:09,RT @GLlTTERTlMES: i can't believe we really used to share water at concerts,"b""RT @GLlTTERTlMES: i can't believe we really used to share water at concerts""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GLlTTERTlMES', 'name': 'reese 🌻', 'id': 1046449634032459776, 'id_str': '1046449634032459776', 'indices': [3, 16]}], 'urls': []}",,en
