id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338742356829478912,2020-12-15 07:07:05,@dirtboycals baking is fun and you can eat what u nade after!,b'@dirtboycals baking is fun and you can eat what u nade after!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dirtboycals', 'name': 'ur recovering (!) emo bf (elliot)', 'id': 1313803796175294464, 'id_str': '1313803796175294464', 'indices': [0, 12]}], 'urls': []}",,en
1338738333652983808,2020-12-15 06:51:05,@WOOKCALZ a magician cant reaveal their secrets /j,b'@WOOKCALZ a magician cant reaveal their secrets /j',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WOOKCALZ', 'name': 'juliet ♡︎’s hailey|like n rt pinned:)', 'id': 1327433623159582721, 'id_str': '1327433623159582721', 'indices': [0, 9]}], 'urls': []}",,en
1338736352213536770,2020-12-15 06:43:13,@WOOKCALZ + u probably like either stepping on the cracks of the sidewalk with the same foot or skipping them,b'@WOOKCALZ + u probably like either stepping on the cracks of the sidewalk with the same foot or skipping them',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WOOKCALZ', 'name': 'juliet ♡︎’s hailey|like n rt pinned:)', 'id': 1327433623159582721, 'id_str': '1327433623159582721', 'indices': [0, 9]}], 'urls': []}",,en
1338736109178802178,2020-12-15 06:42:15,@WOOKCALZ we just became moots but i assume you smell like eucalyptus and green tea,b'@WOOKCALZ we just became moots but i assume you smell like eucalyptus and green tea',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WOOKCALZ', 'name': 'juliet ♡︎’s hailey|like n rt pinned:)', 'id': 1327433623159582721, 'id_str': '1327433623159582721', 'indices': [0, 9]}], 'urls': []}",,en
1338734780914028550,2020-12-15 06:36:58,@GENDEREXIA hello 🐛,b'@GENDEREXIA hello \xf0\x9f\x90\x9b',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GENDEREXIA', 'name': 'ًkandi cane (VE/IT) 🦴', 'id': 1281507044483387392, 'id_str': '1281507044483387392', 'indices': [0, 11]}], 'urls': []}",,en
1338734705009684488,2020-12-15 06:36:40,which one should i post https://t.co/GUHCxPLTng,b'which one should i post https://t.co/GUHCxPLTng',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338734697032118272, 'id_str': '1338734697032118272', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpQkHTEW8AA8yWZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpQkHTEW8AA8yWZ.jpg', 'url': 'https://t.co/GUHCxPLTng', 'display_url': 'pic.twitter.com/GUHCxPLTng', 'expanded_url': 'https://twitter.com/shigrkg/status/1338734705009684488/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1098, 'h': 1098, 'resize': 'fit'}, 'large': {'w': 1098, 'h': 1098, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",,en
1338734107187175425,2020-12-15 06:34:18,39????? wtf i thought i had really bad eyesight https://t.co/HbaONRfSxH,b'39????? wtf i thought i had really bad eyesight https://t.co/HbaONRfSxH',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HbaONRfSxH', 'expanded_url': 'https://twitter.com/closuredean/status/1338281022287450119', 'display_url': 'twitter.com/closuredean/st…', 'indices': [48, 71]}]}",,en
1338728625647079424,2020-12-15 06:12:31,heeeeey if u are bored try this! https://t.co/OcjuZfViQ1,b'heeeeey if u are bored try this! https://t.co/OcjuZfViQ1',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OcjuZfViQ1', 'expanded_url': 'https://twitter.com/shigrkg/status/1338407324571099138', 'display_url': 'twitter.com/shigrkg/status…', 'indices': [33, 56]}]}",,en
1338728397309177856,2020-12-15 06:11:36,ate chicken and chocolate chip cake feeling like the worse anlrexic ever,b'ate chicken and chocolate chip cake feeling like the worse anlrexic ever',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338727946928992256,2020-12-15 06:09:49,i eat dirtcore,b'i eat dirtcore',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338727647552090113,2020-12-15 06:08:38,i feel called out https://t.co/bZ3RkNthtL,b'i feel called out https://t.co/bZ3RkNthtL',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bZ3RkNthtL', 'expanded_url': 'https://twitter.com/dietvvater/status/1338496813775589379', 'display_url': 'twitter.com/dietvvater/sta…', 'indices': [18, 41]}]}",,en
1338707344499367936,2020-12-15 04:47:57,i like how they couldn't say eat some grass bc this is ed twt after all https://t.co/berTgU5Ywx,"b""i like how they couldn't say eat some grass bc this is ed twt after all https://t.co/berTgU5Ywx""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/berTgU5Ywx', 'expanded_url': 'https://twitter.com/maltedsea/status/1338688393710952450', 'display_url': 'twitter.com/maltedsea/stat…', 'indices': [72, 95]}]}",,en
1338707090379071489,2020-12-15 04:46:56,timw to purge 🥰 brb going to out on my purge playlist,b'timw to purge \xf0\x9f\xa5\xb0 brb going to out on my purge playlist',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338656461338140678,2020-12-15 01:25:46,@cupidctrl HOW DID U KNOW???,b'@cupidctrl HOW DID U KNOW???',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cupidctrl', 'name': '嘉ੈ♡˳·˖✶ zzZ', 'id': 1042668688334176256, 'id_str': '1042668688334176256', 'indices': [0, 10]}], 'urls': []}",,en
1338656056830996480,2020-12-15 01:24:09,@cupidctrl heyy🐛🐛,b'@cupidctrl heyy\xf0\x9f\x90\x9b\xf0\x9f\x90\x9b',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cupidctrl', 'name': '嘉ੈ♡˳·˖✶ zzZ', 'id': 1042668688334176256, 'id_str': '1042668688334176256', 'indices': [0, 10]}], 'urls': []}",,en
1338650879826808833,2020-12-15 01:03:35,connie no :((((,b'connie no :((((',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,it
1338650646678036480,2020-12-15 01:02:39,sasha u mf I love u,b'sasha u mf I love u',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338644842449166341,2020-12-15 00:39:35,"uhmmm what the fuck did i come across
https://t.co/NMBB4rI7eH",b'uhmmm what the fuck did i come across\nhttps://t.co/NMBB4rI7eH',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NMBB4rI7eH', 'expanded_url': 'http://inbound.trilema.com/cutekittens/can-you-imagine-what-a-panorama-fartd-be/?cid=90000092856&sid=591818&cc=UY&os=Windows&dv=desktop&br=Chrome&bd=0.00031#select', 'display_url': 'inbound.trilema.com/cutekittens/ca…', 'indices': [38, 61]}]}",,en
1338643831621898252,2020-12-15 00:35:34,IT CAN TALK,b'IT CAN TALK',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338642539151241218,2020-12-15 00:30:26,SO TITANS INSIDE INSIDE THE WALL,b'SO TITANS INSIDE INSIDE THE WALL',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338642537809108994,2020-12-15 00:30:26,cool cool cool,b'cool cool cool',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338642536424992772,2020-12-15 00:30:26,so titans inside the wall,b'so titans inside the wall',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338642183713415174,2020-12-15 00:29:02,okay thats it for the first season,b'okay thats it for the first season',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338633248637906950,2020-12-14 23:53:31,@jisdiet https://t.co/CWqnUopIoG,b'@jisdiet https://t.co/CWqnUopIoG',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jisdiet', 'name': 'jamie LILI DAY', 'id': 1319110652045176832, 'id_str': '1319110652045176832', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 1338633245710282759, 'id_str': '1338633245710282759', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/media/EpPH2DcW8Ac1v62.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPH2DcW8Ac1v62.jpg', 'url': 'https://t.co/CWqnUopIoG', 'display_url': 'pic.twitter.com/CWqnUopIoG', 'expanded_url': 'https://twitter.com/shigrkg/status/1338633248637906950/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 540, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 306, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1600, 'resize': 'fit'}}}]}",,und
1338631611672309765,2020-12-14 23:47:01,"what is this shit???? ”youll only succeed if u leave your humanity and bonds aside"" ????","b'what is this shit???? \xe2\x80\x9dyoull only succeed if u leave your humanity and bonds aside"" ????'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338607248910798848,2020-12-14 22:10:12,"she just asked if i drink sweet tea and she just ""you need to stop thats pure sugar""","b'she just asked if i drink sweet tea and she just ""you need to stop thats pure sugar""'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338607247061028865,2020-12-14 22:10:12,she just did it again please let me she wont stop saying shit about my eating habits,b'she just did it again please let me she wont stop saying shit about my eating habits',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338605592689209344,2020-12-14 22:03:38,i need comfort please,b'i need comfort please',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338605591221186567,2020-12-14 22:03:37,can someone say something nice to rn? im among my family and my grandma just suggested i started skipping meals and im about to start sobbing,b'can someone say something nice to rn? im among my family and my grandma just suggested i started skipping meals and im about to start sobbing',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338604885135253505,2020-12-14 22:00:49,i want to cry i wsnt to cry please go away so you csn see me cry,b'i want to cry i wsnt to cry please go away so you csn see me cry',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338599595325190148,2020-12-14 21:39:48,not petras father,b'not petras father',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338598544459128833,2020-12-14 21:35:37,levi you slowly are becoming my fave character thst was really nice of you,b'levi you slowly are becoming my fave character thst was really nice of you',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338598285859311616,2020-12-14 21:34:35,god help me the corpse thing is distrubing as fuck,b'god help me the corpse thing is distrubing as fuck',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338596061343076357,2020-12-14 21:25:45,at this point mikasa is getting more snd more annoying i want to like her so bas,b'at this point mikasa is getting more snd more annoying i want to like her so bas',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338595941226590211,2020-12-14 21:25:16,no they sre not coming home,b'no they sre not coming home',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338589042330447872,2020-12-14 20:57:52,go stupid go feral eren,b'go stupid go feral eren',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338588576133550083,2020-12-14 20:56:00,IDK HOW THEY DONT RECOGNISE ANNIE,b'IDK HOW THEY DONT RECOGNISE ANNIE',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338588574678134786,2020-12-14 20:56:00,"spoilers

so petras dead",b'spoilers\n\nso petras dead',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338588573214396419,2020-12-14 20:56:00,yeah i forgot to twt for s while but im back,b'yeah i forgot to twt for s while but im back',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338588268728889353,2020-12-14 20:54:47,https://t.co/e2KE6KsLZ1,b'https://t.co/e2KE6KsLZ1',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e2KE6KsLZ1', 'expanded_url': 'https://twitter.com/shigrkg/status/1333165174979747844?s=19', 'display_url': 'twitter.com/shigrkg/status…', 'indices': [0, 23]}]}",,und
1338580812401430531,2020-12-14 20:25:09,its bullying zach on the putin horse girl gc hours!!,b'its bullying zach on the putin horse girl gc hours!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338576478049595398,2020-12-14 20:07:56,there's also the fact that my parents refuse to let me see a psychiatrist :) https://t.co/4RTjhhQAX8,"b""there's also the fact that my parents refuse to let me see a psychiatrist :) https://t.co/4RTjhhQAX8""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4RTjhhQAX8', 'expanded_url': 'https://twitter.com/hons69l/status/1337920341960757249', 'display_url': 'twitter.com/hons69l/status…', 'indices': [77, 100]}]}",,en
1338540700837818369,2020-12-14 17:45:46,@xiekgs https://t.co/XN1vK61r2D,b'@xiekgs https://t.co/XN1vK61r2D',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xiekgs', 'name': 'ً', 'id': 1285054953325842432, 'id_str': '1285054953325842432', 'indices': [0, 7]}], 'urls': [], 'media': [{'id': 1338540697964711937, 'id_str': '1338540697964711937', 'indices': [8, 31], 'media_url': 'http://pbs.twimg.com/media/EpNzrEOXEAEuxw5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNzrEOXEAEuxw5.jpg', 'url': 'https://t.co/XN1vK61r2D', 'display_url': 'pic.twitter.com/XN1vK61r2D', 'expanded_url': 'https://twitter.com/shigrkg/status/1338540700837818369/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 702, 'resize': 'fit'}, 'large': {'w': 640, 'h': 702, 'resize': 'fit'}, 'small': {'w': 620, 'h': 680, 'resize': 'fit'}}}]}",,und
1338534877084446723,2020-12-14 17:22:38,@BAG0FB0N3Z Kagamine? bc same,b'@BAG0FB0N3Z Kagamine? bc same',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BAG0FB0N3Z', 'name': 'Daichi', 'id': 1336663806538289159, 'id_str': '1336663806538289159', 'indices': [0, 11]}], 'urls': []}",,en
1338444100094332930,2020-12-14 11:21:55,me when i see my priv on my tl: oomf really annoying 🙄🙄,b'me when i see my priv on my tl: oomf really annoying \xf0\x9f\x99\x84\xf0\x9f\x99\x84',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338443531191529474,2020-12-14 11:19:39,"""we should explore it together"" you suggest.

you enter the tunnel.","b'""we should explore it together"" you suggest.\n\nyou enter the tunnel.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338443051853901825,2020-12-14 11:17:45,@ninisidiz https://t.co/jInaAaMuPN,b'@ninisidiz https://t.co/jInaAaMuPN',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ninisidiz', 'name': 'kass is commie scum', 'id': 955987522710130688, 'id_str': '955987522710130688', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/jInaAaMuPN', 'expanded_url': 'https://twitter.com/shigrkg/status/1338411387664601089?s=19', 'display_url': 'twitter.com/shigrkg/status…', 'indices': [11, 34]}]}",,und
1338441771961999366,2020-12-14 11:12:40,@obesefaggot gn bam! i hope you have a good night of sleep so you can have s great day tomorrow! ily 💕,b'@obesefaggot gn bam! i hope you have a good night of sleep so you can have s great day tomorrow! ily \xf0\x9f\x92\x95',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'obesefaggot', 'name': 'bam.‘ ★ 💥', 'id': 1313935340944547840, 'id_str': '1313935340944547840', 'indices': [0, 12]}], 'urls': []}",,en
1338440902797357056,2020-12-14 11:09:12,@doofinschmirtzz you knew the day would come https://t.co/fHKMryudnR,b'@doofinschmirtzz you knew the day would come https://t.co/fHKMryudnR',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'doofinschmirtzz', 'name': 'Ren squilliam era', 'id': 1023375405967966208, 'id_str': '1023375405967966208', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/fHKMryudnR', 'expanded_url': 'https://twitter.com/nowaists/status/1338263719432900610', 'display_url': 'twitter.com/nowaists/statu…', 'indices': [45, 68]}]}",,en
1338440692222349313,2020-12-14 11:08:22,im the funniest mf in this earth i carry this app,b'im the funniest mf in this earth i carry this app',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
