id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338645730878234627,2020-12-15 00:43:07,My data reached 100% and now I must die,b'My data reached 100% and now I must die',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338402232694435841,2020-12-14 08:35:33,I get so much joy from watching YouTube videos of people wrapping Christmas gifts lmfao,b'I get so much joy from watching YouTube videos of people wrapping Christmas gifts lmfao',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338396426632638466,2020-12-14 08:12:28,do it for you,b'do it for you',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338289381975711745,2020-12-14 01:07:07,Did like.. everyone in the soo go to an alpaca farm today? Ive seen about 5 insta posts LOL,b'Did like.. everyone in the soo go to an alpaca farm today? Ive seen about 5 insta posts LOL',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338164703646920704,2020-12-13 16:51:41,@stokelythots I never say no,b'@stokelythots I never say no',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stokelythots', 'name': 'prison daddy', 'id': 295870307, 'id_str': '295870307', 'indices': [0, 13]}], 'urls': []}",,en
1337664093839372288,2020-12-12 07:42:27,@cassandramichhh Ur lucky if I pour it into a glass to start with,b'@cassandramichhh Ur lucky if I pour it into a glass to start with',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cassandramichhh', 'name': '✨ cass ✨', 'id': 1675066994, 'id_str': '1675066994', 'indices': [0, 16]}], 'urls': []}",,en
1337619374602145793,2020-12-12 04:44:45,Can’t wait for christmasssss,b'Can\xe2\x80\x99t wait for christmasssss',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337531876714688521,2020-12-11 22:57:04,RT @deathstuds: “santa isn’t real” ok? i literally saw him at the mall,b'RT @deathstuds: \xe2\x80\x9csanta isn\xe2\x80\x99t real\xe2\x80\x9d ok? i literally saw him at the mall',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'deathstuds', 'name': 'kirby𖤐', 'id': 4013887269, 'id_str': '4013887269', 'indices': [3, 14]}], 'urls': []}",,en
1337531851200720897,2020-12-11 22:56:58,⭐️⭐️⭐️⭐️⭐️ https://t.co/XpkkHTM21d,b'\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f https://t.co/XpkkHTM21d',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XpkkHTM21d', 'expanded_url': 'https://twitter.com/pi4ygirl/status/1337194405015392268', 'display_url': 'twitter.com/pi4ygirl/statu…', 'indices': [11, 34]}]}",,und
1337100275010695169,2020-12-10 18:22:02,RT @deadr1ngr: https://t.co/0ffm4cyOi2,b'RT @deadr1ngr: https://t.co/0ffm4cyOi2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'deadr1ngr', 'name': '𝔫𝔦𝔠𝔬𝔩𝔢 🤡♡✧*̣̩˚̣̣⁺̣‧.', 'id': 954786326, 'id_str': '954786326', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1336891639676215297, 'id_str': '1336891639676215297', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/media/Eo2X3PYXIAE5XAJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo2X3PYXIAE5XAJ.jpg', 'url': 'https://t.co/0ffm4cyOi2', 'display_url': 'pic.twitter.com/0ffm4cyOi2', 'expanded_url': 'https://twitter.com/deadr1ngr/status/1336891642515759104/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 960, 'h': 504, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 504, 'resize': 'fit'}}, 'source_status_id': 1336891642515759104, 'source_status_id_str': '1336891642515759104', 'source_user_id': 954786326, 'source_user_id_str': '954786326'}]}",,und
