id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1336794624183164930,2020-12-09 22:07:29,"@lmgriffjohnson @lmgriffjohnson, I need you to upload content with @mads_lewis , please","b'@lmgriffjohnson @lmgriffjohnson, I need you to upload content with @mads_lewis , please'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lmgriffjohnson', 'name': 'Griffin Johnson', 'id': 3292263371, 'id_str': '3292263371', 'indices': [0, 15]}, {'screen_name': 'lmgriffjohnson', 'name': 'Griffin Johnson', 'id': 3292263371, 'id_str': '3292263371', 'indices': [16, 31]}, {'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [67, 78]}], 'urls': []}",,en
1336794161077432328,2020-12-09 22:05:39,"@jadenhossler jads forever, happy one year to my favorite soulmates","b'@jadenhossler jads forever, happy one year to my favorite soulmates'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jadenhossler', 'name': 'jxdn', 'id': 1522823412, 'id_str': '1522823412', 'indices': [0, 13]}], 'urls': []}",,en
1336792349356257280,2020-12-09 21:58:27,RT @jadsnewsss: @jadenhossler Just flying w my girlfriend 🥺 https://t.co/opMp1iTFSx,b'RT @jadsnewsss: @jadenhossler Just flying w my girlfriend \xf0\x9f\xa5\xba https://t.co/opMp1iTFSx',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jadsnewsss', 'name': 'lucy', 'id': 1229472414771372032, 'id_str': '1229472414771372032', 'indices': [3, 14]}, {'screen_name': 'jadenhossler', 'name': 'jxdn', 'id': 1522823412, 'id_str': '1522823412', 'indices': [16, 29]}], 'urls': [], 'media': [{'id': 1336780394457423877, 'id_str': '1336780394457423877', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1336780394457423877/pu/img/N16wqUJOChGFDBPX.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1336780394457423877/pu/img/N16wqUJOChGFDBPX.jpg', 'url': 'https://t.co/opMp1iTFSx', 'display_url': 'pic.twitter.com/opMp1iTFSx', 'expanded_url': 'https://twitter.com/jadsnewsss/status/1336780421263200256/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1336780421263200256, 'source_status_id_str': '1336780421263200256', 'source_user_id': 1229472414771372032, 'source_user_id_str': '1229472414771372032'}]}",,en
1334593201307594767,2020-12-03 20:19:49,"@BryceHall bryce, we need a video on your youtube channel, from braddison and jads🥺 https://t.co/FslQfHzxLH","b'@BryceHall bryce, we need a video on your youtube channel, from braddison and jads\xf0\x9f\xa5\xba https://t.co/FslQfHzxLH'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BryceHall', 'name': 'Bryce Hall', 'id': 2523637615, 'id_str': '2523637615', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1334593191497134081, 'id_str': '1334593191497134081', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EoVtb8rXcAEUTba.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EoVtb8rXcAEUTba.jpg', 'url': 'https://t.co/FslQfHzxLH', 'display_url': 'pic.twitter.com/FslQfHzxLH', 'expanded_url': 'https://twitter.com/whoisrupee/status/1334593201307594767/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 264, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 264, 'resize': 'fit'}, 'small': {'w': 400, 'h': 264, 'resize': 'fit'}}}]}",,en
1334270822299656194,2020-12-02 22:58:48,@jadenhossler 🎸🦋,b'@jadenhossler \xf0\x9f\x8e\xb8\xf0\x9f\xa6\x8b',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jadenhossler', 'name': 'jxdn', 'id': 1522823412, 'id_str': '1522823412', 'indices': [0, 13]}], 'urls': []}",,und
1332266896889159680,2020-11-27 10:15:55,@mads_lewis I love u Mads 🦋💟,b'@mads_lewis I love u Mads \xf0\x9f\xa6\x8b\xf0\x9f\x92\x9f',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [0, 11]}], 'urls': []}",,en
1329552074057666563,2020-11-19 22:28:10,"@mads_lewis It's sad to see fans become increasingly toxic and believe they have a right to criticize the lives of influencers, be it because of what they eat, who they are dating or who they hang out with.","b""@mads_lewis It's sad to see fans become increasingly toxic and believe they have a right to criticize the lives of influencers, be it because of what they eat, who they are dating or who they hang out with.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [0, 11]}], 'urls': []}",,en
1329551332278214668,2020-11-19 22:25:14,@mads_lewis you are a wonderful person who does not deserve to be hated for anything you do,b'@mads_lewis you are a wonderful person who does not deserve to be hated for anything you do',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [0, 11]}], 'urls': []}",,en
1329198285584785408,2020-11-18 23:02:21,@motdraw1 @mads_lewis @mads_lewis yes pls,b'@motdraw1 @mads_lewis @mads_lewis yes pls',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'motdraw1', 'name': 'Tom Ward', 'id': 2811769316, 'id_str': '2811769316', 'indices': [0, 9]}, {'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [10, 21]}, {'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [22, 33]}], 'urls': []}",,en
1329198162054180869,2020-11-18 23:01:51,@motdraw1 @mads_lewis @mads_lewis,b'@motdraw1 @mads_lewis @mads_lewis',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'motdraw1', 'name': 'Tom Ward', 'id': 2811769316, 'id_str': '2811769316', 'indices': [0, 9]}, {'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [10, 21]}, {'screen_name': 'mads_lewis', 'name': 'Mads Lewis', 'id': 722849699984752640, 'id_str': '722849699984752640', 'indices': [22, 33]}], 'urls': []}",,und
