id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338822311659581441,2020-12-15 12:24:47,https://t.co/6eHYz6L5H5 https://t.co/6yvRk4LFCs,b'https://t.co/6eHYz6L5H5 https://t.co/6yvRk4LFCs',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6eHYz6L5H5', 'expanded_url': 'https://twitter.com/ashlynanarchy/status/1338603463970840578', 'display_url': 'twitter.com/ashlynanarchy/…', 'indices': [0, 23]}], 'media': [{'id': 1338822308430012416, 'id_str': '1338822308430012416', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EpRzy89W4AAJfe1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpRzy89W4AAJfe1.jpg', 'url': 'https://t.co/6yvRk4LFCs', 'display_url': 'pic.twitter.com/6yvRk4LFCs', 'expanded_url': 'https://twitter.com/wickedbitchin_/status/1338822311659581441/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 566, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1042, 'h': 1251, 'resize': 'fit'}, 'medium': {'w': 1000, 'h': 1200, 'resize': 'fit'}}}]}",,und
1338676121601269763,2020-12-15 02:43:53,@KelgoreTrout twin peaks &amp; always sunny,b'@KelgoreTrout twin peaks &amp; always sunny',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KelgoreTrout', 'name': 'KELGORE / kandi richter', 'id': 1190008497481498624, 'id_str': '1190008497481498624', 'indices': [0, 13]}], 'urls': []}",,en
1338650852110852105,2020-12-15 01:03:28,@livs123_ never,b'@livs123_ never',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'livs123_', 'name': 'this is a dianna and erin fanpage', 'id': 360682674, 'id_str': '360682674', 'indices': [0, 9]}], 'urls': []}",,en
1338650823082078210,2020-12-15 01:03:21,@SouichiroJuken :0,b'@SouichiroJuken :0',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SouichiroJuken', 'name': 'XB1 KingHavocDraigo or PS4 HavocKingDraigo', 'id': 1175163199953547265, 'id_str': '1175163199953547265', 'indices': [0, 15]}], 'urls': []}",,und
1338647477268992000,2020-12-15 00:50:04,just stRted using the mute button &amp; its addicting,b'just stRted using the mute button &amp; its addicting',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338645354720399360,2020-12-15 00:41:38,@mirastweets oh my gosh... let me know if theres anything i can do to help. if you have a venmo or something u wanna post i can share it,b'@mirastweets oh my gosh... let me know if theres anything i can do to help. if you have a venmo or something u wanna post i can share it',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mirastweets', 'name': 'mira', 'id': 3174857154, 'id_str': '3174857154', 'indices': [0, 12]}], 'urls': []}",,en
1338638213460750336,2020-12-15 00:13:15,"RT @shantilly_t: Folks love to talk about the lack-of-punishment part of restorative justice, but not the accountability part.","b'RT @shantilly_t: Folks love to talk about the lack-of-punishment part of restorative justice, but not the accountability part.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shantilly_t', 'name': 'shantilly', 'id': 1295171601474793473, 'id_str': '1295171601474793473', 'indices': [3, 15]}], 'urls': []}",,en
1338632895523598339,2020-12-14 23:52:07,@livs123_ 😘😘😘,b'@livs123_ \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'livs123_', 'name': 'this is a dianna and erin fanpage', 'id': 360682674, 'id_str': '360682674', 'indices': [0, 9]}], 'urls': []}",,und
1338627120323551239,2020-12-14 23:29:10,everyone go like my pinned i feel like it was a flop originally,b'everyone go like my pinned i feel like it was a flop originally',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338621294649217024,2020-12-14 23:06:01,"RT @mukimelinoe: hey so i’m still raising money for an apartment if you could share or donate !! anything helps, this link should work http…","b'RT @mukimelinoe: hey so i\xe2\x80\x99m still raising money for an apartment if you could share or donate !! anything helps, this link should work http\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mukimelinoe', 'name': 'muki😠', 'id': 1079250587118649344, 'id_str': '1079250587118649344', 'indices': [3, 15]}], 'urls': []}",,en
