id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338204411311443968,2020-12-13 19:29:28,In 2021 I’m committed to watching every single movie Steve Buscemi has ever been in. Hold me to this.,b'In 2021 I\xe2\x80\x99m committed to watching every single movie Steve Buscemi has ever been in. Hold me to this.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337503761539862529,2020-12-11 21:05:21,I've been sitting on this idea for 3 days https://t.co/KqrVbBBLpY,"b""I've been sitting on this idea for 3 days https://t.co/KqrVbBBLpY""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337503705294274561, 'id_str': '1337503705294274561', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/Eo_EiJfVgAEiihB.png', 'media_url_https': 'https://pbs.twimg.com/media/Eo_EiJfVgAEiihB.png', 'url': 'https://t.co/KqrVbBBLpY', 'display_url': 'pic.twitter.com/KqrVbBBLpY', 'expanded_url': 'https://twitter.com/willeatsoranges/status/1337503761539862529/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 680, 'h': 359, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 680, 'h': 359, 'resize': 'fit'}, 'small': {'w': 680, 'h': 359, 'resize': 'fit'}}}]}",,en
1337491022801039361,2020-12-11 20:14:43,RT @coolabedflms: bitches for nathan fielder https://t.co/XoiYVJIv6V,b'RT @coolabedflms: bitches for nathan fielder https://t.co/XoiYVJIv6V',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'coolabedflms', 'name': 'community survivor yağmur', 'id': 3030904606, 'id_str': '3030904606', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1337454635137851393, 'id_str': '1337454635137851393', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337454635137851393/pu/img/Mf40VFpUFk5l1vfG.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337454635137851393/pu/img/Mf40VFpUFk5l1vfG.jpg', 'url': 'https://t.co/XoiYVJIv6V', 'display_url': 'pic.twitter.com/XoiYVJIv6V', 'expanded_url': 'https://twitter.com/coolabedflms/status/1337454729262211072/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 601, 'resize': 'fit'}, 'medium': {'w': 814, 'h': 720, 'resize': 'fit'}, 'large': {'w': 814, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1337454729262211072, 'source_status_id_str': '1337454729262211072', 'source_user_id': 3030904606, 'source_user_id_str': '3030904606'}]}",,en
1337416807494270978,2020-12-11 15:19:49,Anthony Fauci was one of the nominees and didn’t win 🤡 https://t.co/Qsr6bD3Yx2,b'Anthony Fauci was one of the nominees and didn\xe2\x80\x99t win \xf0\x9f\xa4\xa1 https://t.co/Qsr6bD3Yx2',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Qsr6bD3Yx2', 'expanded_url': 'https://twitter.com/TIME/status/1337243797466603522', 'display_url': 'twitter.com/TIME/status/13…', 'indices': [55, 78]}]}",,en
1337148644072439808,2020-12-10 21:34:14,@torilyn28 Allergies won’t stop me from eating shit https://t.co/r29UDYFjaI,b'@torilyn28 Allergies won\xe2\x80\x99t stop me from eating shit https://t.co/r29UDYFjaI',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'torilyn28', 'name': 'tori', 'id': 2183133204, 'id_str': '2183133204', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1337148641446830080, 'id_str': '1337148641446830080', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/Eo6BmtlVoAARkDd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo6BmtlVoAARkDd.jpg', 'url': 'https://t.co/r29UDYFjaI', 'display_url': 'pic.twitter.com/r29UDYFjaI', 'expanded_url': 'https://twitter.com/willeatsoranges/status/1337148644072439808/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 749, 'h': 735, 'resize': 'fit'}, 'small': {'w': 680, 'h': 667, 'resize': 'fit'}, 'large': {'w': 749, 'h': 735, 'resize': 'fit'}}}]}",,en
1337138210456006656,2020-12-10 20:52:46,Honey walnut shrimp ❤️,b'Honey walnut shrimp \xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336762787758927872,2020-12-09 20:00:59,@CheyNastyy No he’s definitely one ugly motherfucker https://t.co/CzSRaSnU8Q,b'@CheyNastyy No he\xe2\x80\x99s definitely one ugly motherfucker https://t.co/CzSRaSnU8Q',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CheyNastyy', 'name': 'chey', 'id': 2388231739, 'id_str': '2388231739', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1336762782595784705, 'id_str': '1336762782595784705', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/Eo0iqxWVoAEWzX5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0iqxWVoAEWzX5.jpg', 'url': 'https://t.co/CzSRaSnU8Q', 'display_url': 'pic.twitter.com/CzSRaSnU8Q', 'expanded_url': 'https://twitter.com/willeatsoranges/status/1336762787758927872/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 515, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 909, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1515, 'h': 2000, 'resize': 'fit'}}}]}",,en
1336749849685807104,2020-12-09 19:09:34,Why do we still give Elon Musk attention? Dude has literally nothing interesting to say ever.,b'Why do we still give Elon Musk attention? Dude has literally nothing interesting to say ever.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336681618866544641,2020-12-09 14:38:26,RT @Andreb717: Highlights https://t.co/gyyqhoEwe9,b'RT @Andreb717: Highlights https://t.co/gyyqhoEwe9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Andreb717', 'name': '𝔊𝔥𝔬𝔰𝔱 𝔬𝔣 𝔄𝔫𝔡𝔯𝔢 𝔣𝔲𝔱𝔲𝔯𝔢 💀', 'id': 742101419331702785, 'id_str': '742101419331702785', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1336556756604837889, 'id_str': '1336556756604837889', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EoxnSeuUYAEXJ78.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoxnSeuUYAEXJ78.jpg', 'url': 'https://t.co/gyyqhoEwe9', 'display_url': 'pic.twitter.com/gyyqhoEwe9', 'expanded_url': 'https://twitter.com/Andreb717/status/1336556774258855936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}}, 'source_status_id': 1336556774258855936, 'source_status_id_str': '1336556774258855936', 'source_user_id': 742101419331702785, 'source_user_id_str': '742101419331702785'}]}",,en
1336455303164903424,2020-12-08 23:39:09,RT @MommyBigDick: https://t.co/PTUcuYKMD1,b'RT @MommyBigDick: https://t.co/PTUcuYKMD1',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MommyBigDick', 'name': '𝐖𝐢𝐥𝐥𝐨𝐰🎄', 'id': 1168674355645165568, 'id_str': '1168674355645165568', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1336094635773501441, 'id_str': '1336094635773501441', 'indices': [18, 41], 'media_url': 'http://pbs.twimg.com/media/EorC_geVoAENcZh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EorC_geVoAENcZh.jpg', 'url': 'https://t.co/PTUcuYKMD1', 'display_url': 'pic.twitter.com/PTUcuYKMD1', 'expanded_url': 'https://twitter.com/MommyBigDick/status/1336094649123971073/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 765, 'h': 430, 'resize': 'fit'}, 'medium': {'w': 765, 'h': 430, 'resize': 'fit'}}, 'source_status_id': 1336094649123971073, 'source_status_id_str': '1336094649123971073', 'source_user_id': 1168674355645165568, 'source_user_id_str': '1168674355645165568'}]}",,und
1336033337018785792,2020-12-07 19:42:24,My biggest achievement this far in my life is making a lasagna that turned out good,b'My biggest achievement this far in my life is making a lasagna that turned out good',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336019105946562565,2020-12-07 18:45:51,@TheCompanyMan YOOOOOOO!!!!!!,b'@TheCompanyMan YOOOOOOO!!!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheCompanyMan', 'name': 'Justin L. Hunte 🇺🇸🇺🇸🇺🇸', 'id': 17975490, 'id_str': '17975490', 'indices': [0, 14]}], 'urls': []}",,und
