id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1337861336550830087,2020-12-12 20:46:13,Getting tattoos for Christmas 😌😌,b'Getting tattoos for Christmas \xf0\x9f\x98\x8c\xf0\x9f\x98\x8c',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337855389732401152,2020-12-12 20:22:35,"RT @xiumingsalt: 지금 이순간 코시국 원망 최대치...
ㅠㅠㅠㅠㅠ 아 귀여워 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ https://t.co/KZttkqLMfS",b'RT @xiumingsalt: \xec\xa7\x80\xea\xb8\x88 \xec\x9d\xb4\xec\x88\x9c\xea\xb0\x84 \xec\xbd\x94\xec\x8b\x9c\xea\xb5\xad \xec\x9b\x90\xeb\xa7\x9d \xec\xb5\x9c\xeb\x8c\x80\xec\xb9\x98...\n\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0 \xec\x95\x84 \xea\xb7\x80\xec\x97\xac\xec\x9b\x8c \xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0 https://t.co/KZttkqLMfS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xiumingsalt', 'name': 'SALT BOY', 'id': 2537570472, 'id_str': '2537570472', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337717617214124033, 'id_str': '1337717617214124033', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EpCHFdfUcAEGTVt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpCHFdfUcAEGTVt.jpg', 'url': 'https://t.co/KZttkqLMfS', 'display_url': 'pic.twitter.com/KZttkqLMfS', 'expanded_url': 'https://twitter.com/xiumingsalt/status/1337717625359503361/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 844, 'h': 1170, 'resize': 'fit'}, 'small': {'w': 491, 'h': 680, 'resize': 'fit'}, 'large': {'w': 844, 'h': 1170, 'resize': 'fit'}}, 'source_status_id': 1337717625359503361, 'source_status_id_str': '1337717625359503361', 'source_user_id': 2537570472, 'source_user_id_str': '2537570472'}]}",,ko
1337772471412543488,2020-12-12 14:53:06,MY HEART https://t.co/k2zw3OvOl0,b'MY HEART https://t.co/k2zw3OvOl0',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/k2zw3OvOl0', 'expanded_url': 'https://twitter.com/minseokpics/status/1337402227766534144', 'display_url': 'twitter.com/minseokpics/st…', 'indices': [9, 32]}]}",,en
1337772417876430850,2020-12-12 14:52:53,RT @minseokpics: https://t.co/30KIHP8jxP,b'RT @minseokpics: https://t.co/30KIHP8jxP',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337399099482488834, 'id_str': '1337399099482488834', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337399099482488834/pu/img/4NHJ0gjHRZC_56sO.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337399099482488834/pu/img/4NHJ0gjHRZC_56sO.jpg', 'url': 'https://t.co/30KIHP8jxP', 'display_url': 'pic.twitter.com/30KIHP8jxP', 'expanded_url': 'https://twitter.com/xiuxiu326bot/status/1337399120219103235/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 592, 'h': 592, 'resize': 'fit'}, 'medium': {'w': 592, 'h': 592, 'resize': 'fit'}, 'large': {'w': 592, 'h': 592, 'resize': 'fit'}}, 'source_status_id': 1337399120219103235, 'source_status_id_str': '1337399120219103235', 'source_user_id': 2758644216, 'source_user_id_str': '2758644216'}]}",,und
1337772383684452354,2020-12-12 14:52:45,"RT @minseokpics: SO CUTE GOD IM NOT ONE OF YOUR STRONGEST SOLDIERS 
https://t.co/QAOdnaqi2K",b'RT @minseokpics: SO CUTE GOD IM NOT ONE OF YOUR STRONGEST SOLDIERS \nhttps://t.co/QAOdnaqi2K',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337399364235345920, 'id_str': '1337399364235345920', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337399364235345920/pu/img/rDaV2vB_r-wh0zYR.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337399364235345920/pu/img/rDaV2vB_r-wh0zYR.jpg', 'url': 'https://t.co/QAOdnaqi2K', 'display_url': 'pic.twitter.com/QAOdnaqi2K', 'expanded_url': 'https://twitter.com/dear_my_ms/status/1337399376667262977/video/1', 'type': 'photo', 'sizes': {'large': {'w': 390, 'h': 390, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 390, 'h': 390, 'resize': 'fit'}, 'medium': {'w': 390, 'h': 390, 'resize': 'fit'}}, 'source_status_id': 1337399376667262977, 'source_status_id_str': '1337399376667262977', 'source_user_id': 1060339107757314048, 'source_user_id_str': '1060339107757314048'}]}",,en
1337772316856553472,2020-12-12 14:52:29,RT @knockknock0408: https://t.co/pPhOcCDMXY,b'RT @knockknock0408: https://t.co/pPhOcCDMXY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'knockknock0408', 'name': ""'KNOCK KNOCK!'"", 'id': 1627921021, 'id_str': '1627921021', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1337713990428807169, 'id_str': '1337713990428807169', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337713990428807169/pu/img/bTwOA1UMKLM2-BuU.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337713990428807169/pu/img/bTwOA1UMKLM2-BuU.jpg', 'url': 'https://t.co/pPhOcCDMXY', 'display_url': 'pic.twitter.com/pPhOcCDMXY', 'expanded_url': 'https://twitter.com/knockknock0408/status/1337714085991837697/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1184, 'h': 720, 'resize': 'fit'}, 'large': {'w': 1184, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 414, 'resize': 'fit'}}, 'source_status_id': 1337714085991837697, 'source_status_id_str': '1337714085991837697', 'source_user_id': 1627921021, 'source_user_id_str': '1627921021'}]}",,und
1337772300674998272,2020-12-12 14:52:25,RT @minseokpics: Once Fairy always Fairy 🥺🧚🏼‍♂️ #XIUMIN https://t.co/QFRSk879yG,b'RT @minseokpics: Once Fairy always Fairy \xf0\x9f\xa5\xba\xf0\x9f\xa7\x9a\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #XIUMIN https://t.co/QFRSk879yG',"{'hashtags': [{'text': 'XIUMIN', 'indices': [48, 55]}], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337715556397371392, 'id_str': '1337715556397371392', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337715556397371392/pu/img/8e1uZVhuURxtc-HM.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337715556397371392/pu/img/8e1uZVhuURxtc-HM.jpg', 'url': 'https://t.co/QFRSk879yG', 'display_url': 'pic.twitter.com/QFRSk879yG', 'expanded_url': 'https://twitter.com/knockknock0408/status/1337715654204346376/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1184, 'h': 720, 'resize': 'fit'}, 'large': {'w': 1184, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 414, 'resize': 'fit'}}, 'source_status_id': 1337715654204346376, 'source_status_id_str': '1337715654204346376', 'source_user_id': 1627921021, 'source_user_id_str': '1627921021'}]}",,en
1337772262427070466,2020-12-12 14:52:16,RT @minseokpics: 👸 https://t.co/ch3Hylh9Lr,b'RT @minseokpics: \xf0\x9f\x91\xb8 https://t.co/ch3Hylh9Lr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337743543108956161, 'id_str': '1337743543108956161', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpCeqi-U8AETse5.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpCeqi-U8AETse5.jpg', 'url': 'https://t.co/ch3Hylh9Lr', 'display_url': 'pic.twitter.com/ch3Hylh9Lr', 'expanded_url': 'https://twitter.com/326_archive/status/1337743805139701760/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 460, 'resize': 'fit'}, 'medium': {'w': 718, 'h': 486, 'resize': 'fit'}, 'large': {'w': 718, 'h': 486, 'resize': 'fit'}}, 'source_status_id': 1337743805139701760, 'source_status_id_str': '1337743805139701760', 'source_user_id': 1064877798563561472, 'source_user_id_str': '1064877798563561472'}]}",,und
1337772233683574790,2020-12-12 14:52:09,RT @minseokpics: 201212 #시우민 #XIUMIN with KAI https://t.co/WDCct1UhWi,b'RT @minseokpics: 201212 #\xec\x8b\x9c\xec\x9a\xb0\xeb\xaf\xbc #XIUMIN with KAI https://t.co/WDCct1UhWi',"{'hashtags': [{'text': '시우민', 'indices': [24, 28]}, {'text': 'XIUMIN', 'indices': [29, 36]}], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337754685919334404, 'id_str': '1337754685919334404', 'indices': [46, 69], 'media_url': 'http://pbs.twimg.com/media/EpCozJLWEAQFa4x.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpCozJLWEAQFa4x.jpg', 'url': 'https://t.co/WDCct1UhWi', 'display_url': 'pic.twitter.com/WDCct1UhWi', 'expanded_url': 'https://twitter.com/minseokpics/status/1337754731247185920/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 960, 'h': 1280, 'resize': 'fit'}}, 'source_status_id': 1337754731247185920, 'source_status_id_str': '1337754731247185920', 'source_user_id': 2983259684, 'source_user_id_str': '2983259684'}]}",,hi
1337772211470553092,2020-12-12 14:52:04,RT @minseokpics: https://t.co/Lt4bpJ02cL,b'RT @minseokpics: https://t.co/Lt4bpJ02cL',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'minseokpics', 'name': 'xiumin pics', 'id': 2983259684, 'id_str': '2983259684', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1337757235775119366, 'id_str': '1337757235775119366', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpCrHkIVoAYRzSj.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpCrHkIVoAYRzSj.jpg', 'url': 'https://t.co/Lt4bpJ02cL', 'display_url': 'pic.twitter.com/Lt4bpJ02cL', 'expanded_url': 'https://twitter.com/ming99x/status/1337757298740011008/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 800, 'h': 654, 'resize': 'fit'}, 'small': {'w': 680, 'h': 556, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 654, 'resize': 'fit'}}, 'source_status_id': 1337757298740011008, 'source_status_id_str': '1337757298740011008', 'source_user_id': 886930729057124352, 'source_user_id_str': '886930729057124352'}]}",,und
