id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1336441147569414148,2020-12-08 22:42:54,Bro why the school be taking off the good days they do be taking off wensday like that’s the only day we have recess right after lunch why can’t you take off Monday 💀,b'Bro why the school be taking off the good days they do be taking off wensday like that\xe2\x80\x99s the only day we have recess right after lunch why can\xe2\x80\x99t you take off Monday \xf0\x9f\x92\x80',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336440916643618817,2020-12-08 22:41:59,You know what hurts the most is one your one friend is jealous of begin bestfriends with her bestfriend and she pushes you away,b'You know what hurts the most is one your one friend is jealous of begin bestfriends with her bestfriend and she pushes you away',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333170804100636681,2020-11-29 22:07:43,Do you ever just write a long text and say”eh their not gonna car”,b'Do you ever just write a long text and say\xe2\x80\x9deh their not gonna car\xe2\x80\x9d',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333097568985886721,2020-11-29 17:16:42,A lot of people don’t fucking understand that I was diagnosed with depression at fucking 4 years old I haven’t ever been happy since and people still attend to make sure I cry at night yea thanks,b'A lot of people don\xe2\x80\x99t fucking understand that I was diagnosed with depression at fucking 4 years old I haven\xe2\x80\x99t ever been happy since and people still attend to make sure I cry at night yea thanks',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1333096971956068353,2020-11-29 17:14:20,I wish I never stayed up at 2am on ft with this one girl,b'I wish I never stayed up at 2am on ft with this one girl',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332839858545553409,2020-11-29 00:12:39,"The bitch signs:gemini,cancer,pices  the bad bitch signs aries,libra the always badass signs:𝙻𝚎𝚘,𝚂𝚌𝚘𝚛𝚙𝚒𝚘,𝙲𝚊𝚙𝚒𝚛𝚌𝚘𝚛𝚗,𝚅𝚒𝚛𝚐𝚘,𝚃𝚊𝚞𝚛𝚞𝚜,𝚂𝚊𝚐𝚒𝚝𝚝𝚊𝚛𝚒𝚞𝚜,𝙰𝚞𝚚𝚊𝚞𝚛𝚒𝚞𝚜.","b'The bitch signs:gemini,cancer,pices  the bad bitch signs aries,libra the always badass signs:\xf0\x9d\x99\xbb\xf0\x9d\x9a\x8e\xf0\x9d\x9a\x98,\xf0\x9d\x9a\x82\xf0\x9d\x9a\x8c\xf0\x9d\x9a\x98\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x99\xf0\x9d\x9a\x92\xf0\x9d\x9a\x98,\xf0\x9d\x99\xb2\xf0\x9d\x9a\x8a\xf0\x9d\x9a\x99\xf0\x9d\x9a\x92\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x8c\xf0\x9d\x9a\x98\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x97,\xf0\x9d\x9a\x85\xf0\x9d\x9a\x92\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x90\xf0\x9d\x9a\x98,\xf0\x9d\x9a\x83\xf0\x9d\x9a\x8a\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x9c,\xf0\x9d\x9a\x82\xf0\x9d\x9a\x8a\xf0\x9d\x9a\x90\xf0\x9d\x9a\x92\xf0\x9d\x9a\x9d\xf0\x9d\x9a\x9d\xf0\x9d\x9a\x8a\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x92\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x9c,\xf0\x9d\x99\xb0\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x9a\xf0\x9d\x9a\x8a\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x9b\xf0\x9d\x9a\x92\xf0\x9d\x9a\x9e\xf0\x9d\x9a\x9c.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332836571100422146,2020-11-28 23:59:36,Hello guy switching to sad lately night  tweets and zodiacs,b'Hello guy switching to sad lately night  tweets and zodiacs',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332101498046722048,2020-11-26 23:18:41,"Non of my friends really get that I fake smile every fucking day I’m with them off it’s call ,text,face to face. I’m still fake smiling.","b'Non of my friends really get that I fake smile every fucking day I\xe2\x80\x99m with them off it\xe2\x80\x99s call ,text,face to face. I\xe2\x80\x99m still fake smiling.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1332101270577012736,2020-11-26 23:17:46,It may be thanks giving but I still feel lonely,b'It may be thanks giving but I still feel lonely',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1331740347035230211,2020-11-25 23:23:35,Nvm bro she’s messed up twice I forgot she’s at a now -,b'Nvm bro she\xe2\x80\x99s messed up twice I forgot she\xe2\x80\x99s at a now -',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1331739416805711874,2020-11-25 23:19:54,If you have a bestfriend remove a letter of their name when they mess up if they get to the end their shit my bestfriends ace she’s at ac it’s ok :) we all mess up once no big deal I love that rat ass,b'If you have a bestfriend remove a letter of their name when they mess up if they get to the end their shit my bestfriends ace she\xe2\x80\x99s at ac it\xe2\x80\x99s ok :) we all mess up once no big deal I love that rat ass',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1331058505923653634,2020-11-24 02:14:12,"If I’m gone by tmrw 

Tell my bestfriend I love her 
No one dare be touching my phone
Put my led lights up in my room I’ll be vibing in my room dead

Love y’all❤️",b'If I\xe2\x80\x99m gone by tmrw \n\nTell my bestfriend I love her \nNo one dare be touching my phone\nPut my led lights up in my room I\xe2\x80\x99ll be vibing in my room dead\n\nLove y\xe2\x80\x99all\xe2\x9d\xa4\xef\xb8\x8f',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1331058065324584967,2020-11-24 02:12:27,Hey guys ❤️ this will most likely be my last tweet because rn I’ve been feeling suicidal I’ll give tmrw if I get bullied or something then that’s why I won’t be tweeting 😙 bye I love all y’all Biden 2020 people!,b'Hey guys \xe2\x9d\xa4\xef\xb8\x8f this will most likely be my last tweet because rn I\xe2\x80\x99ve been feeling suicidal I\xe2\x80\x99ll give tmrw if I get bullied or something then that\xe2\x80\x99s why I won\xe2\x80\x99t be tweeting \xf0\x9f\x98\x99 bye I love all y\xe2\x80\x99all Biden 2020 people!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1325552930611744775,2020-11-08 21:37:00,@FLOTUS @shutyotrump2020assup,b'@FLOTUS @shutyotrump2020assup',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FLOTUS', 'name': 'Melania Trump', 'id': 818876014390603776, 'id_str': '818876014390603776', 'indices': [0, 7]}], 'urls': []}",,und
1325205376363458562,2020-11-07 22:35:57,@Cinnamo17132757 SO EXCITED,b'@Cinnamo17132757 SO EXCITED',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Cinnamo17132757', 'name': 'ace', 'id': 1315098847283228672, 'id_str': '1315098847283228672', 'indices': [0, 16]}], 'urls': []}",,en
1325125134064128002,2020-11-07 17:17:06,Biden has been elected for president in January !,b'Biden has been elected for president in January !',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
