id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1335039406550478849,2020-12-05 01:52:53,RT @fluffyguy: RT or tweet “Hey #MrIglesias I need a signed Fluffy FUNKO in my life” 4 ur chance to WIN one from https://t.co/Anmui7TJv3 😁…,b'RT @fluffyguy: RT or tweet \xe2\x80\x9cHey #MrIglesias I need a signed Fluffy FUNKO in my life\xe2\x80\x9d 4 ur chance to WIN one from https://t.co/Anmui7TJv3 \xf0\x9f\x98\x81\xe2\x80\xa6',"{'hashtags': [{'text': 'MrIglesias', 'indices': [32, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'fluffyguy', 'name': 'G a b r i e l - I g l e s i a s', 'id': 28245852, 'id_str': '28245852', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/Anmui7TJv3', 'expanded_url': 'http://FluffyGuy.com', 'display_url': 'FluffyGuy.com', 'indices': [113, 136]}]}",,en
1324676027768049664,2020-11-06 11:32:30,"RT @bigbangtheory: Amy is back, #TBBT fans! Check out @MissMayim as she joins Sheldon as a surprise narrator on tonight’s @YoungSheldon pre…","b'RT @bigbangtheory: Amy is back, #TBBT fans! Check out @MissMayim as she joins Sheldon as a surprise narrator on tonight\xe2\x80\x99s @YoungSheldon pre\xe2\x80\xa6'","{'hashtags': [{'text': 'TBBT', 'indices': [32, 37]}], 'symbols': [], 'user_mentions': [{'screen_name': 'bigbangtheory', 'name': 'The Big Bang Theory', 'id': 72644483, 'id_str': '72644483', 'indices': [3, 17]}, {'screen_name': 'missmayim', 'name': 'Mayim Bialik', 'id': 113560280, 'id_str': '113560280', 'indices': [54, 64]}, {'screen_name': 'YoungSheldon', 'name': 'Young Sheldon', 'id': 845037522157617152, 'id_str': '845037522157617152', 'indices': [122, 135]}], 'urls': []}",,en
1317292703894302720,2020-10-17 02:33:49,RT @fluffyguy: RT or tweet “I’m a REAL #FluffyFan Can I please have the signed #FluffyFunkoPop 😁” for ur chance to WIN this one. https://t.…,b'RT @fluffyguy: RT or tweet \xe2\x80\x9cI\xe2\x80\x99m a REAL #FluffyFan Can I please have the signed #FluffyFunkoPop \xf0\x9f\x98\x81\xe2\x80\x9d for ur chance to WIN this one. https://t.\xe2\x80\xa6',"{'hashtags': [{'text': 'FluffyFan', 'indices': [39, 49]}, {'text': 'FluffyFunkoPop', 'indices': [79, 94]}], 'symbols': [], 'user_mentions': [{'screen_name': 'fluffyguy', 'name': 'G a b r i e l - I g l e s i a s', 'id': 28245852, 'id_str': '28245852', 'indices': [3, 13]}], 'urls': []}",,en
1317170397117403136,2020-10-16 18:27:49,"RT @SunmanEl: 🥚Annual Egg Drop 🥚

4th Grade TIGERS worked through the Engineering &amp; Design process to create a lander that protects a raw e…",b'RT @SunmanEl: \xf0\x9f\xa5\x9aAnnual Egg Drop \xf0\x9f\xa5\x9a\n\n4th Grade TIGERS worked through the Engineering &amp; Design process to create a lander that protects a raw e\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SunmanEl', 'name': 'Sunman Elementary', 'id': 850315268484198401, 'id_str': '850315268484198401', 'indices': [3, 12]}], 'urls': []}",,en
1317170343358902272,2020-10-16 18:27:36,@SunmanEl Yay!!!! Her egg survived!,b'@SunmanEl Yay!!!! Her egg survived!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SunmanEl', 'name': 'Sunman Elementary', 'id': 850315268484198401, 'id_str': '850315268484198401', 'indices': [0, 9]}], 'urls': []}",,en
1311476517311053830,2020-10-01 01:22:22,@MelissaWynn1 @SunmanEl Cheyenne talked all about this as soon as she came home!!,b'@MelissaWynn1 @SunmanEl Cheyenne talked all about this as soon as she came home!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MelissaWynn1', 'name': 'Melissa Wynn', 'id': 331218966, 'id_str': '331218966', 'indices': [0, 13]}, {'screen_name': 'SunmanEl', 'name': 'Sunman Elementary', 'id': 850315268484198401, 'id_str': '850315268484198401', 'indices': [14, 23]}], 'urls': []}",,en
1304505004720611330,2020-09-11 19:40:04,My stickers from @aalexandriabish came today!!!! LOVE when I get mail from her shop!! Go check out her awesome work! https://t.co/7RDlDCp6Yt,b'My stickers from @aalexandriabish came today!!!! LOVE when I get mail from her shop!! Go check out her awesome work! https://t.co/7RDlDCp6Yt',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aalexandriabish', 'name': '♝ 𝐀𝐥𝐞𝐱𝐚𝐧𝐝𝐫𝐢𝐚 𝐁𝐢𝐬𝐡𝐨𝐩 ♝', 'id': 2777923719, 'id_str': '2777923719', 'indices': [17, 33]}], 'urls': [], 'media': [{'id': 1304505000408813568, 'id_str': '1304505000408813568', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/EhqIYuUWkAA-3t8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EhqIYuUWkAA-3t8.jpg', 'url': 'https://t.co/7RDlDCp6Yt', 'display_url': 'pic.twitter.com/7RDlDCp6Yt', 'expanded_url': 'https://twitter.com/CrissyMcMahan/status/1304505004720611330/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1295215592861990912,2020-08-17 04:27:15,@MatthewLillard https://t.co/lv3k3zuIf3,b'@MatthewLillard https://t.co/lv3k3zuIf3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MatthewLillard', 'name': 'matthew lillard —Will block. 0-F’s-given', 'id': 174534924, 'id_str': '174534924', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1295215587736670214, 'id_str': '1295215587736670214', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EfmHtvaX0AYxYxr.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EfmHtvaX0AYxYxr.jpg', 'url': 'https://t.co/lv3k3zuIf3', 'display_url': 'pic.twitter.com/lv3k3zuIf3', 'expanded_url': 'https://twitter.com/CrissyMcMahan/status/1295215592861990912/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 400, 'h': 224, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 224, 'resize': 'fit'}, 'large': {'w': 400, 'h': 224, 'resize': 'fit'}}}]}",,und
1291445605722726409,2020-08-06 18:46:40,"RT @S_DCSC: Sunman Elementary School buses will be running a little late today, Thursday, August 6th, due to applying chip and sealing on S…","b'RT @S_DCSC: Sunman Elementary School buses will be running a little late today, Thursday, August 6th, due to applying chip and sealing on S\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'S_DCSC', 'name': 'Sunman-Dearborn Community Schools', 'id': 850292759663718401, 'id_str': '850292759663718401', 'indices': [3, 10]}], 'urls': []}",,en
1291189720559616001,2020-08-06 01:49:53,@ItsGaryTime Mine started today in Southeast Indiana. They told me they washed a lot and was so glad to see other kids again. Hope your girls have a great day!,b'@ItsGaryTime Mine started today in Southeast Indiana. They told me they washed a lot and was so glad to see other kids again. Hope your girls have a great day!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsGaryTime', 'name': 'Gary Shirley', 'id': 243098820, 'id_str': '243098820', 'indices': [0, 12]}], 'urls': []}",,en
