id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338609666717343747,2020-12-14 22:19:49,It has just not been my day.,b'It has just not been my day.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338606518770536450,2020-12-14 22:07:18,Tell me why TWO teachers at our school just tested positive but we’re not closing the school tomorrow so everyone can get tested??,b'Tell me why TWO teachers at our school just tested positive but we\xe2\x80\x99re not closing the school tomorrow so everyone can get tested??',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338218676101795841,2020-12-13 20:26:09,"RT @porcelainfruit: this is money cat, he only comes once every 150 years, retweet to get 7 years of good luck and good fortune. https://t.…","b'RT @porcelainfruit: this is money cat, he only comes once every 150 years, retweet to get 7 years of good luck and good fortune. https://t.\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'porcelainfruit', 'name': 'crunch', 'id': 1057331037729185793, 'id_str': '1057331037729185793', 'indices': [3, 18]}], 'urls': []}",,en
1337597602871865344,2020-12-12 03:18:14,Someone tell me not to start re-reading the twilight series just because I’m bored 😬,b'Someone tell me not to start re-reading the twilight series just because I\xe2\x80\x99m bored \xf0\x9f\x98\xac',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337558552253173762,2020-12-12 00:43:04,RT @kyIehendricks: never chasing a man but if he likes the cubs and taylor swift then maybe i’ll jog a little bit,b'RT @kyIehendricks: never chasing a man but if he likes the cubs and taylor swift then maybe i\xe2\x80\x99ll jog a little bit',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kyIehendricks', 'name': 'holly jolly maddie 🎄', 'id': 741552495613222912, 'id_str': '741552495613222912', 'indices': [3, 17]}], 'urls': []}",,en
1336839589621870592,2020-12-10 01:06:10,@obvious_shirts @Cubs Cookie Monster,b'@obvious_shirts @Cubs Cookie Monster',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'obvious_shirts', 'name': 'OBVIOUS SHIRTS®', 'id': 732644690386915329, 'id_str': '732644690386915329', 'indices': [0, 15]}, {'screen_name': 'Cubs', 'name': 'Chicago Cubs', 'id': 41144996, 'id_str': '41144996', 'indices': [16, 21]}], 'urls': []}",,en
1336815957046652928,2020-12-09 23:32:15,@XianJaneway I’m an infant teacher in GA and our infant room is $1195 a month and it stays that price until they’re potty trained. Imagine having two under two and needing childcare.,b'@XianJaneway I\xe2\x80\x99m an infant teacher in GA and our infant room is $1195 a month and it stays that price until they\xe2\x80\x99re potty trained. Imagine having two under two and needing childcare.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'XianJaneway', 'name': '🖖 Christian Janeway 🖖', 'id': 2577116172, 'id_str': '2577116172', 'indices': [0, 12]}], 'urls': []}",,en
1336454148863221761,2020-12-08 23:34:33,RT @Public_Citizen: https://t.co/YllJdmH3Fz,b'RT @Public_Citizen: https://t.co/YllJdmH3Fz',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Public_Citizen', 'name': 'Public Citizen', 'id': 14335586, 'id_str': '14335586', 'indices': [3, 18]}], 'urls': []}",,und
1336451139030708224,2020-12-08 23:22:36,When I don’t see cute neighbor’s car and I’m cooking something that smells good I will purposely open my window so that he might smell it walking to his apartment 😬🤷🏻‍♀️ #ihavenoshame,b'When I don\xe2\x80\x99t see cute neighbor\xe2\x80\x99s car and I\xe2\x80\x99m cooking something that smells good I will purposely open my window so that he might smell it walking to his apartment \xf0\x9f\x98\xac\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #ihavenoshame',"{'hashtags': [{'text': 'ihavenoshame', 'indices': [170, 183]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336414931185520644,2020-12-08 20:58:43,@BewareOfWriter Oh nooo!,b'@BewareOfWriter Oh nooo!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BewareOfWriter', 'name': 'Daphne Crane', 'id': 150493711, 'id_str': '150493711', 'indices': [0, 15]}], 'urls': []}",,en
