id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338766157763936262,2020-12-15 08:41:39,RT @yofavebaddie: literally has a book dedicated to about it 😭,b'RT @yofavebaddie: literally has a book dedicated to about it \xf0\x9f\x98\xad',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yofavebaddie', 'name': 'blue ivy’s auntie ✭', 'id': 1146860550850146304, 'id_str': '1146860550850146304', 'indices': [3, 16]}], 'urls': []}",,en
1338766125677441028,2020-12-15 08:41:32,RT @psx_96: that’s why it blows me when cishet black men talk derisively abt her 😭😭😭 she loves niggas,b'RT @psx_96: that\xe2\x80\x99s why it blows me when cishet black men talk derisively abt her \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad she loves niggas',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'psx_96', 'name': 'afro-elektro', 'id': 1321977486914293760, 'id_str': '1321977486914293760', 'indices': [3, 10]}], 'urls': []}",,en
1338766070274920450,2020-12-15 08:41:18,@notawethang I was reading her yesterday and was like wow,b'@notawethang I was reading her yesterday and was like wow',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'notawethang', 'name': 'n. ✨', 'id': 973769026311806977, 'id_str': '973769026311806977', 'indices': [0, 12]}], 'urls': []}",,en
1338766020245254145,2020-12-15 08:41:06,RT @notawethang: bell hooks extends so much space and grace to men/boys for mfs to not acknowledge how Black feminists have cared about eve…,b'RT @notawethang: bell hooks extends so much space and grace to men/boys for mfs to not acknowledge how Black feminists have cared about eve\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'notawethang', 'name': 'n. ✨', 'id': 973769026311806977, 'id_str': '973769026311806977', 'indices': [3, 15]}], 'urls': []}",,en
1338765370690170886,2020-12-15 08:38:32,@oatmilksupreme @AYANLAVANZANT Russians,b'@oatmilksupreme @AYANLAVANZANT Russians',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'oatmilksupreme', 'name': 'chris', 'id': 4465210096, 'id_str': '4465210096', 'indices': [0, 15]}, {'screen_name': 'AYANLAVANZANT', 'name': 'ebenigga scrooge 🎄', 'id': 2276882732, 'id_str': '2276882732', 'indices': [16, 30]}], 'urls': []}",,en
1338765195397582848,2020-12-15 08:37:50,"Right, leave that baby alone! He seems happy https://t.co/hMXGsmYVyE","b'Right, leave that baby alone! He seems happy https://t.co/hMXGsmYVyE'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hMXGsmYVyE', 'expanded_url': 'https://twitter.com/thagreenblu/status/1338688283036016641', 'display_url': 'twitter.com/thagreenblu/st…', 'indices': [45, 68]}]}",,en
1338764937645047808,2020-12-15 08:36:48,@thagreenblu @AYANLAVANZANT It’s like they want to eat him. Commodify him,b'@thagreenblu @AYANLAVANZANT It\xe2\x80\x99s like they want to eat him. Commodify him',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thagreenblu', 'name': '👰🏾\u200d♀️', 'id': 1226678661186834432, 'id_str': '1226678661186834432', 'indices': [0, 12]}, {'screen_name': 'AYANLAVANZANT', 'name': 'ebenigga scrooge 🎄', 'id': 2276882732, 'id_str': '2276882732', 'indices': [13, 27]}], 'urls': []}",,en
1338764573797543937,2020-12-15 08:35:22,RT @LondonArilieber: @Fiyasohollywood @AYANLAVANZANT I want white people to stay one million feet from Africa from now on,b'RT @LondonArilieber: @Fiyasohollywood @AYANLAVANZANT I want white people to stay one million feet from Africa from now on',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LondonArilieber', 'name': 'London💚 WWE ERA!', 'id': 1313898458470928384, 'id_str': '1313898458470928384', 'indices': [3, 19]}, {'screen_name': 'Fiyasohollywood', 'name': 'I put sugar on my grits', 'id': 1312197414904709123, 'id_str': '1312197414904709123', 'indices': [21, 37]}, {'screen_name': 'AYANLAVANZANT', 'name': 'ebenigga scrooge 🎄', 'id': 2276882732, 'id_str': '2276882732', 'indices': [38, 52]}], 'urls': []}",,en
1338762251302420481,2020-12-15 08:26:08,"RT @Fiyasohollywood: @enbyshawty yea, it's some strange shit. Like she's trying to get sympathy for not being able to profit off Black Afri…","b""RT @Fiyasohollywood: @enbyshawty yea, it's some strange shit. Like she's trying to get sympathy for not being able to profit off Black Afri\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Fiyasohollywood', 'name': 'I put sugar on my grits', 'id': 1312197414904709123, 'id_str': '1312197414904709123', 'indices': [3, 19]}, {'screen_name': 'enbyshawty', 'name': 'tai is feeling: annoyed', 'id': 1149419259698798597, 'id_str': '1149419259698798597', 'indices': [21, 32]}], 'urls': []}",,en
1338762197527273479,2020-12-15 08:25:55,RT @Br00klynBabyKay: I couldn’t even finish this...so she’s mad she couldn’t capitalize off this young black boy &amp; that someone else posted…,b'RT @Br00klynBabyKay: I couldn\xe2\x80\x99t even finish this...so she\xe2\x80\x99s mad she couldn\xe2\x80\x99t capitalize off this young black boy &amp; that someone else posted\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Br00klynBabyKay', 'name': '👑 Brooklyn Baby 🧡🌞', 'id': 1236422950569627648, 'id_str': '1236422950569627648', 'indices': [3, 19]}], 'urls': []}",,en
