id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1336019055044653060,2020-12-07 18:45:39,RT @JonahMarais: just followed you both! #LotusInnVideo,b'RT @JonahMarais: just followed you both! #LotusInnVideo',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [41, 55]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JonahMarais', 'name': 'Jonah • WHY DON’T WE', 'id': 2329626888, 'id_str': '2329626888', 'indices': [3, 15]}], 'urls': []}",,en
1336016077852119041,2020-12-07 18:33:49,RT @blazingcrawf: yeah i got it in sync with all 3 my devices🙏🏻 #LotusInnVideo https://t.co/0dxLn3mtHC,b'RT @blazingcrawf: yeah i got it in sync with all 3 my devices\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb #LotusInnVideo https://t.co/0dxLn3mtHC',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [64, 78]}], 'symbols': [], 'user_mentions': [{'screen_name': 'blazingcrawf', 'name': 'rach⁷ᵛ ̽ irrelevent era', 'id': 961035827059900416, 'id_str': '961035827059900416', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1336010796661317632, 'id_str': '1336010796661317632', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1336010796661317632/pu/img/mQAgf9FCf9BfbBiu.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1336010796661317632/pu/img/mQAgf9FCf9BfbBiu.jpg', 'url': 'https://t.co/0dxLn3mtHC', 'display_url': 'pic.twitter.com/0dxLn3mtHC', 'expanded_url': 'https://twitter.com/blazingcrawf/status/1336010855461265408/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 362, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 639, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 656, 'h': 1232, 'resize': 'fit'}}, 'source_status_id': 1336010855461265408, 'source_status_id_str': '1336010855461265408', 'source_user_id': 961035827059900416, 'source_user_id_str': '961035827059900416'}]}",,en
1336016035707834369,2020-12-07 18:33:39,RT @OTOMARAIS: stream the lotus inn music video #lotusinnvideo https://t.co/cl8crupKiz,b'RT @OTOMARAIS: stream the lotus inn music video #lotusinnvideo https://t.co/cl8crupKiz',"{'hashtags': [{'text': 'lotusinnvideo', 'indices': [48, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'OTOMARAIS', 'name': 'Madi', 'id': 961275051541651456, 'id_str': '961275051541651456', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1336010410735116296, 'id_str': '1336010410735116296', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/Eop2Y9wXIAgCF5T.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eop2Y9wXIAgCF5T.jpg', 'url': 'https://t.co/cl8crupKiz', 'display_url': 'pic.twitter.com/cl8crupKiz', 'expanded_url': 'https://twitter.com/OTOMARAIS/status/1336010414119919625/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1336010414119919625, 'source_status_id_str': '1336010414119919625', 'source_user_id': 961275051541651456, 'source_user_id_str': '961275051541651456'}]}",,en
1336015969895014406,2020-12-07 18:33:23,"RT @skyfullofseavey: Stream now!❤️

https://t.co/hDYI6oZ1ox

#LotusInnVideo https://t.co/Ljub94DFjX",b'RT @skyfullofseavey: Stream now!\xe2\x9d\xa4\xef\xb8\x8f\n\nhttps://t.co/hDYI6oZ1ox\n\n#LotusInnVideo https://t.co/Ljub94DFjX',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [61, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'skyfullofseavey', 'name': 'S', 'id': 1306630059403489280, 'id_str': '1306630059403489280', 'indices': [3, 19]}], 'urls': [{'url': 'https://t.co/hDYI6oZ1ox', 'expanded_url': 'https://youtu.be/VLq4_qYT3Gg', 'display_url': 'youtu.be/VLq4_qYT3Gg', 'indices': [36, 59]}], 'media': [{'id': 1336007283575316481, 'id_str': '1336007283575316481', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/Eopzi8LXYAExC9G.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eopzi8LXYAExC9G.jpg', 'url': 'https://t.co/Ljub94DFjX', 'display_url': 'pic.twitter.com/Ljub94DFjX', 'expanded_url': 'https://twitter.com/skyfullofseavey/status/1336007293234798592/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}, 'source_status_id': 1336007293234798592, 'source_status_id_str': '1336007293234798592', 'source_user_id': 1306630059403489280, 'source_user_id_str': '1306630059403489280'}]}",,en
1336015930132979712,2020-12-07 18:33:14,"RT @dazebesson: no thoughts, just this #LotusInnVideo https://t.co/lABRSch63H","b'RT @dazebesson: no thoughts, just this #LotusInnVideo https://t.co/lABRSch63H'","{'hashtags': [{'text': 'LotusInnVideo', 'indices': [39, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'dazebesson', 'name': 'emma :D', 'id': 928989269296738305, 'id_str': '928989269296738305', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1336008081411608577, 'id_str': '1336008081411608577', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1336008081411608577/pu/img/_Mc2h7zS86OcQUzg.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1336008081411608577/pu/img/_Mc2h7zS86OcQUzg.jpg', 'url': 'https://t.co/lABRSch63H', 'display_url': 'pic.twitter.com/lABRSch63H', 'expanded_url': 'https://twitter.com/dazebesson/status/1336008101456191488/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 490, 'h': 564, 'resize': 'fit'}, 'large': {'w': 490, 'h': 564, 'resize': 'fit'}, 'small': {'w': 490, 'h': 564, 'resize': 'fit'}}, 'source_status_id': 1336008101456191488, 'source_status_id_str': '1336008101456191488', 'source_user_id': 928989269296738305, 'source_user_id_str': '928989269296738305'}]}",,en
1336015906145771520,2020-12-07 18:33:08,RT @JonahMarais: yeah that wasn’t the best move #LotusInnVideo,b'RT @JonahMarais: yeah that wasn\xe2\x80\x99t the best move #LotusInnVideo',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [48, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JonahMarais', 'name': 'Jonah • WHY DON’T WE', 'id': 2329626888, 'id_str': '2329626888', 'indices': [3, 15]}], 'urls': []}",,en
1336015807869030406,2020-12-07 18:32:45,RT @JonahMarais: yes! just followed you ♥️ #LotusInnVideo,b'RT @JonahMarais: yes! just followed you \xe2\x99\xa5\xef\xb8\x8f #LotusInnVideo',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [43, 57]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JonahMarais', 'name': 'Jonah • WHY DON’T WE', 'id': 2329626888, 'id_str': '2329626888', 'indices': [3, 15]}], 'urls': []}",,en
1336015782908715008,2020-12-07 18:32:39,RT @corbynbesson: yes very much #LotusInnVideo,b'RT @corbynbesson: yes very much #LotusInnVideo',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [32, 46]}], 'symbols': [], 'user_mentions': [{'screen_name': 'corbynbesson', 'name': 'Corbyn • WHY DON’T WE', 'id': 1056126391, 'id_str': '1056126391', 'indices': [3, 16]}], 'urls': []}",,en
1336015728458289153,2020-12-07 18:32:26,RT @DailyUpdatesWDW: Daniel and Jonah trends following the release of the #LotusInnVideo !! https://t.co/yZw70s9pdn,b'RT @DailyUpdatesWDW: Daniel and Jonah trends following the release of the #LotusInnVideo !! https://t.co/yZw70s9pdn',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [74, 88]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DailyUpdatesWDW', 'name': 'Why Don’t We Updates: 39', 'id': 911257773043736577, 'id_str': '911257773043736577', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1336012578426777601, 'id_str': '1336012578426777601', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/Eop4XJCU8AEMSCh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eop4XJCU8AEMSCh.jpg', 'url': 'https://t.co/yZw70s9pdn', 'display_url': 'pic.twitter.com/yZw70s9pdn', 'expanded_url': 'https://twitter.com/DailyUpdatesWDW/status/1336012580200976385/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1076, 'h': 276, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1076, 'h': 276, 'resize': 'fit'}, 'small': {'w': 680, 'h': 174, 'resize': 'fit'}}, 'source_status_id': 1336012580200976385, 'source_status_id_str': '1336012580200976385', 'source_user_id': 911257773043736577, 'source_user_id_str': '911257773043736577'}]}",,en
1336015673999437827,2020-12-07 18:32:13,RT @SeaveyDaniel: Following y’all under #LotusInnVideo 💙,b'RT @SeaveyDaniel: Following y\xe2\x80\x99all under #LotusInnVideo \xf0\x9f\x92\x99',"{'hashtags': [{'text': 'LotusInnVideo', 'indices': [40, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SeaveyDaniel', 'name': 'Daniel • WHY DON’T WE', 'id': 1102932595, 'id_str': '1102932595', 'indices': [3, 16]}], 'urls': []}",,en
