id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338800752001736704,2020-12-15 10:59:07,Genuinely so excited to finally see a Showdance from @JManrara 🤩,b'Genuinely so excited to finally see a Showdance from @JManrara \xf0\x9f\xa4\xa9',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JManrara', 'name': 'Janette Manrara', 'id': 46686031, 'id_str': '46686031', 'indices': [53, 62]}], 'urls': []}",,en
1338800317819969536,2020-12-15 10:57:24,"RT @PleaseBeGneiss: brain: did we get anything done this weekend?

me: no

brain: ok then at least we relaxed

me: somehow also no",b'RT @PleaseBeGneiss: brain: did we get anything done this weekend?\n\nme: no\n\nbrain: ok then at least we relaxed\n\nme: somehow also no',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PleaseBeGneiss', 'name': 'slate', 'id': 830468488967843840, 'id_str': '830468488967843840', 'indices': [3, 18]}], 'urls': []}",,en
1338642640749867009,2020-12-15 00:30:50,So I can go to a packed out supermarket full of No Mask Eejits but not a socially distanced and clean theatre? https://t.co/4dpFMuXD0p,b'So I can go to a packed out supermarket full of No Mask Eejits but not a socially distanced and clean theatre? https://t.co/4dpFMuXD0p',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338642633296666626, 'id_str': '1338642633296666626', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpPQYe7XYAIBgun.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpPQYe7XYAIBgun.jpg', 'url': 'https://t.co/4dpFMuXD0p', 'display_url': 'pic.twitter.com/4dpFMuXD0p', 'expanded_url': 'https://twitter.com/Megmac1987/status/1338642640749867009/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 498, 'h': 374, 'resize': 'fit'}, 'large': {'w': 498, 'h': 374, 'resize': 'fit'}, 'small': {'w': 498, 'h': 374, 'resize': 'fit'}}}]}",,en
1338243275564732416,2020-12-13 22:03:54,@asexuality When you tell a therapist you're asexual and they start frantically making notes: https://t.co/n3hMpms2GA,"b""@asexuality When you tell a therapist you're asexual and they start frantically making notes: https://t.co/n3hMpms2GA""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'asexuality', 'name': 'AVEN - Asexual Visibility & Education Network', 'id': 34101768, 'id_str': '34101768', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1338243268069502977, 'id_str': '1338243268069502977', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpJlKXhXMAEnoCK.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpJlKXhXMAEnoCK.jpg', 'url': 'https://t.co/n3hMpms2GA', 'display_url': 'pic.twitter.com/n3hMpms2GA', 'expanded_url': 'https://twitter.com/Megmac1987/status/1338243275564732416/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 244, 'h': 150, 'resize': 'fit'}, 'small': {'w': 244, 'h': 150, 'resize': 'fit'}, 'medium': {'w': 244, 'h': 150, 'resize': 'fit'}}}]}",,en
1338214361211547651,2020-12-13 20:09:01,ARE YOU SERIOUS?? @bbcstrictly 😔,b'ARE YOU SERIOUS?? @bbcstrictly \xf0\x9f\x98\x94',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bbcstrictly', 'name': 'BBC Strictly ✨', 'id': 59145346, 'id_str': '59145346', 'indices': [18, 30]}], 'urls': []}",,en
1338028277420724225,2020-12-13 07:49:35,@CountryMusic So the awards were 12 November and Charley Pride was admitted to hospital at the end of November?  No wonder you lawyered up.,b'@CountryMusic So the awards were 12 November and Charley Pride was admitted to hospital at the end of November?  No wonder you lawyered up.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CountryMusic', 'name': 'CMA Country Music', 'id': 9636292, 'id_str': '9636292', 'indices': [0, 13]}], 'urls': []}",,en
1337716961871081472,2020-12-12 11:12:31,"RT @davidschneider: ▪️Most Covid deaths in Europe
▪️Greatest economic hit
▪️Failed on Brexit deal
▪️£22bn on failed Test &amp; Trace
▪️Billions…",b'RT @davidschneider: \xe2\x96\xaa\xef\xb8\x8fMost Covid deaths in Europe\n\xe2\x96\xaa\xef\xb8\x8fGreatest economic hit\n\xe2\x96\xaa\xef\xb8\x8fFailed on Brexit deal\n\xe2\x96\xaa\xef\xb8\x8f\xc2\xa322bn on failed Test &amp; Trace\n\xe2\x96\xaa\xef\xb8\x8fBillions\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'davidschneider', 'name': 'David Schneider', 'id': 20098015, 'id_str': '20098015', 'indices': [3, 18]}], 'urls': []}",,en
1337510917823754240,2020-12-11 21:33:47,"The only time I've seen Johnson challenged on this today.  Thank you, @GreggEastealITV https://t.co/uAsHlp522o","b""The only time I've seen Johnson challenged on this today.  Thank you, @GreggEastealITV https://t.co/uAsHlp522o""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GreggEastealITV', 'name': 'Gregg Easteal', 'id': 196992093, 'id_str': '196992093', 'indices': [70, 86]}], 'urls': [{'url': 'https://t.co/uAsHlp522o', 'expanded_url': 'https://twitter.com/itvtynetees/status/1337391925633167360', 'display_url': 'twitter.com/itvtynetees/st…', 'indices': [87, 110]}]}",,en
1337402834405482498,2020-12-11 14:24:18,"RT @DrFrancesRyan: Disabled people are 4x more likely to be experiencing depression, new ONS figs show. Last month, 4 in 10 disabled adults…","b'RT @DrFrancesRyan: Disabled people are 4x more likely to be experiencing depression, new ONS figs show. Last month, 4 in 10 disabled adults\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrFrancesRyan', 'name': 'Frances Ryan', 'id': 294668347, 'id_str': '294668347', 'indices': [3, 17]}], 'urls': []}",,en
1337158225821638656,2020-12-10 22:12:18,"@emmagannon So much of this is awful but the word ""When"" is particularly grim","b'@emmagannon So much of this is awful but the word ""When"" is particularly grim'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'emmagannon', 'name': 'Emma Gannon', 'id': 529845393, 'id_str': '529845393', 'indices': [0, 11]}], 'urls': []}",,en
