id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1337893138774548482,2020-12-12 22:52:35,@DenisDailyYT Yes lemon,b'@DenisDailyYT Yes lemon',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DenisDailyYT', 'name': 'Denis', 'id': 708002939479019520, 'id_str': '708002939479019520', 'indices': [0, 13]}], 'urls': []}",,en
1329549680632606721,2020-11-19 22:18:40,laggy muffinz SMP wile my friends speed run the SMP https://t.co/LQcM3tUZ8A,b'laggy muffinz SMP wile my friends speed run the SMP https://t.co/LQcM3tUZ8A',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LQcM3tUZ8A', 'expanded_url': 'https://twitch.tv/muffinz_playz', 'display_url': 'twitch.tv/muffinz_playz', 'indices': [52, 75]}]}",,en
1327562976027701248,2020-11-14 10:44:13,#NewProfilePic https://t.co/b9L6Tvg87L,b'#NewProfilePic https://t.co/b9L6Tvg87L',"{'hashtags': [{'text': 'NewProfilePic', 'indices': [0, 14]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1327562972013748225, 'id_str': '1327562972013748225', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/media/EmxzfUPXYAEnw1n.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmxzfUPXYAEnw1n.jpg', 'url': 'https://t.co/b9L6Tvg87L', 'display_url': 'pic.twitter.com/b9L6Tvg87L', 'expanded_url': 'https://twitter.com/MuffinDrawz/status/1327562976027701248/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 400, 'h': 400, 'resize': 'fit'}, 'large': {'w': 400, 'h': 400, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 400, 'h': 400, 'resize': 'fit'}}}]}",,und
1327562053184352257,2020-11-14 10:40:33,"@CrankGameplays Memento Mori EEF, your probly not gonna see this but 2019 I was diagnosed with depression, Unus Annus changed everything, and here I am a year later mostly recovering but in tears because what was one reality is now only memories. But thank you for being there for me. &lt;3","b'@CrankGameplays Memento Mori EEF, your probly not gonna see this but 2019 I was diagnosed with depression, Unus Annus changed everything, and here I am a year later mostly recovering but in tears because what was one reality is now only memories. But thank you for being there for me. &lt;3'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrankGameplays', 'name': 'ethan', 'id': 891391903, 'id_str': '891391903', 'indices': [0, 15]}], 'urls': []}",,en
1327561430749630464,2020-11-14 10:38:04,"@markiplier Memento Mori Mark, your probly not gonna see this but 2019 I was diagnosed with depression, Unus Annus changed everything, and here I am a year later mostly recovering but in tears because what was one reality is now only memories. But thank you for being there for me. &lt;3","b'@markiplier Memento Mori Mark, your probly not gonna see this but 2019 I was diagnosed with depression, Unus Annus changed everything, and here I am a year later mostly recovering but in tears because what was one reality is now only memories. But thank you for being there for me. &lt;3'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'markiplier', 'name': 'Mark', 'id': 517077573, 'id_str': '517077573', 'indices': [0, 11]}], 'urls': []}",,en
1327549827970961408,2020-11-14 09:51:58,@CallMeCarsonYT Memento Mori,b'@CallMeCarsonYT Memento Mori',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CallMeCarsonYT', 'name': 'Carson', 'id': 2349536690, 'id_str': '2349536690', 'indices': [0, 15]}], 'urls': []}",,en
1327548364628561921,2020-11-14 09:46:09,"#MementoMori I will miss Unus Annus, we all will. Memento Mori, life isn’t forever. https://t.co/3YWt8pACx5","b'#MementoMori I will miss Unus Annus, we all will. Memento Mori, life isn\xe2\x80\x99t forever. https://t.co/3YWt8pACx5'","{'hashtags': [{'text': 'MementoMori', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1327548341031481349, 'id_str': '1327548341031481349', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1327548341031481349/pu/img/LRswjDjU2YAlydgt.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1327548341031481349/pu/img/LRswjDjU2YAlydgt.jpg', 'url': 'https://t.co/3YWt8pACx5', 'display_url': 'pic.twitter.com/3YWt8pACx5', 'expanded_url': 'https://twitter.com/MuffinDrawz/status/1327548364628561921/video/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 816, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 816, 'resize': 'fit'}, 'small': {'w': 680, 'h': 514, 'resize': 'fit'}}}]}",,en
1327532235239657473,2020-11-14 08:42:03,#MementoMori see you on the other side https://t.co/DhLTRTnqFr,b'#MementoMori see you on the other side https://t.co/DhLTRTnqFr',"{'hashtags': [{'text': 'MementoMori', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1327532230688854017, 'id_str': '1327532230688854017', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EmxXh74XUAExlTq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmxXh74XUAExlTq.jpg', 'url': 'https://t.co/DhLTRTnqFr', 'display_url': 'pic.twitter.com/DhLTRTnqFr', 'expanded_url': 'https://twitter.com/MuffinDrawz/status/1327532235239657473/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}",,en
1327523009574412294,2020-11-14 08:05:24,#MementoMori https://t.co/Yhbfp5gUSk,b'#MementoMori https://t.co/Yhbfp5gUSk',"{'hashtags': [{'text': 'MementoMori', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1327523004990025728, 'id_str': '1327523004990025728', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EmxPI7eW8AAv9Qq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EmxPI7eW8AAv9Qq.jpg', 'url': 'https://t.co/Yhbfp5gUSk', 'display_url': 'pic.twitter.com/Yhbfp5gUSk', 'expanded_url': 'https://twitter.com/MuffinDrawz/status/1327523009574412294/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}",,und
1327510431989174272,2020-11-14 07:15:25,"We have had the best time with you @markiplier and @CrankGameplays all your fans you have gained over the past year, Memento Mori, death is inevitable we can’t avoid it, including this YouTube channel. Take my one last goodbye, you will truly be missed by millions of people.","b'We have had the best time with you @markiplier and @CrankGameplays all your fans you have gained over the past year, Memento Mori, death is inevitable we can\xe2\x80\x99t avoid it, including this YouTube channel. Take my one last goodbye, you will truly be missed by millions of people.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'markiplier', 'name': 'Mark', 'id': 517077573, 'id_str': '517077573', 'indices': [35, 46]}, {'screen_name': 'CrankGameplays', 'name': 'ethan', 'id': 891391903, 'id_str': '891391903', 'indices': [51, 66]}], 'urls': []}",,en
