id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338754216857382915,2020-12-15 07:54:12,"@SadbirdSmythe @sequinmicrokini I learned the hard way a few times, but I followed SWers that talked about this shit so I could start to smell scams before I encountered them. I NEVERRR engaged or talked down to the more senior workers, I fucking owe my life (literally) to them.","b'@SadbirdSmythe @sequinmicrokini I learned the hard way a few times, but I followed SWers that talked about this shit so I could start to smell scams before I encountered them. I NEVERRR engaged or talked down to the more senior workers, I fucking owe my life (literally) to them.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SadbirdSmythe', 'name': 'Lamentation Smythe', 'id': 3273795541, 'id_str': '3273795541', 'indices': [0, 14]}, {'screen_name': 'sequinmicrokini', 'name': 'obvious manhater', 'id': 789517025395740672, 'id_str': '789517025395740672', 'indices': [15, 31]}], 'urls': []}",,en
1338717502780616704,2020-12-15 05:28:19,@BimboFurby @AzaleasInApril @ashes2asscheeks $20 says it’s cause he doesn’t have one,b'@BimboFurby @AzaleasInApril @ashes2asscheeks $20 says it\xe2\x80\x99s cause he doesn\xe2\x80\x99t have one',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BimboFurby', 'name': 'Furby Thee Stallion', 'id': 125815448, 'id_str': '125815448', 'indices': [0, 11]}, {'screen_name': 'AzaleasInApril', 'name': '𝘈𝘱𝘳𝘪𝘭 𝘈 -𝔹𝕚𝕣𝕥𝕙𝕕𝕒𝕪 𝕞𝕠𝕟𝕥𝕙-🎠', 'id': 1037519964167528448, 'id_str': '1037519964167528448', 'indices': [12, 27]}, {'screen_name': 'ashes2asscheeks', 'name': 'bëspøke whøré phœnix grëêne', 'id': 37250550, 'id_str': '37250550', 'indices': [28, 44]}], 'urls': []}",,en
1338630040469299203,2020-12-14 23:40:46,@craziemamarose @AWuornosFan And cishet men HATE protection,b'@craziemamarose @AWuornosFan And cishet men HATE protection',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'craziemamarose', 'name': 'Rose Wildfyre', 'id': 878748112290021376, 'id_str': '878748112290021376', 'indices': [0, 15]}, {'screen_name': 'AWuornosFan', 'name': 'ig: rosequartzphoto', 'id': 947700830983081984, 'id_str': '947700830983081984', 'indices': [16, 28]}], 'urls': []}",,en
1338603373029888002,2020-12-14 21:54:48,@strqmul_iskwist Omg what is that lip color?! 🔥🔥🔥,b'@strqmul_iskwist Omg what is that lip color?! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'strqmul_iskwist', 'name': 'Be Not Afraid 👁\u200d🗨👄👁\u200d🗨', 'id': 2847763210, 'id_str': '2847763210', 'indices': [0, 16]}], 'urls': []}",,en
1338602437419134983,2020-12-14 21:51:05,"RT @christycroft: In other forms of labor, we don't try to end exploitation by destroying the industry altogether. We work to create &amp; norm…","b""RT @christycroft: In other forms of labor, we don't try to end exploitation by destroying the industry altogether. We work to create &amp; norm\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'christycroft', 'name': 'Christy Croft 🌈🔥❤️', 'id': 2757378726, 'id_str': '2757378726', 'indices': [3, 16]}], 'urls': []}",,en
1338602373065936898,2020-12-14 21:50:50,RT @christycroft: I do not support sex worker rights because I don't value trafficking survivors; I support sex worker rights because I val…,"b""RT @christycroft: I do not support sex worker rights because I don't value trafficking survivors; I support sex worker rights because I val\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'christycroft', 'name': 'Christy Croft 🌈🔥❤️', 'id': 2757378726, 'id_str': '2757378726', 'indices': [3, 16]}], 'urls': []}",,en
1338602177833668612,2020-12-14 21:50:03,@whorpinions I think about this so often. So many posts about “checking in” or “being there” when I know I’m not safe to go to 90% of those people. But they’d for sure write a eulogy post about how much they miss me,b'@whorpinions I think about this so often. So many posts about \xe2\x80\x9cchecking in\xe2\x80\x9d or \xe2\x80\x9cbeing there\xe2\x80\x9d when I know I\xe2\x80\x99m not safe to go to 90% of those people. But they\xe2\x80\x99d for sure write a eulogy post about how much they miss me',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'whorpinions', 'name': 'eat ASS, suck a DICK, and sell DRUGS', 'id': 1136321447511511040, 'id_str': '1136321447511511040', 'indices': [0, 12]}], 'urls': []}",,en
1338595287561015296,2020-12-14 21:22:41,"@ashes2asscheeks Like they really say that to try and take advantage of younger girls. There’s 0% chance any of those are real, and most certainly not long-term","b'@ashes2asscheeks Like they really say that to try and take advantage of younger girls. There\xe2\x80\x99s 0% chance any of those are real, and most certainly not long-term'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ashes2asscheeks', 'name': 'bëspøke whøré phœnix grëêne', 'id': 37250550, 'id_str': '37250550', 'indices': [0, 16]}], 'urls': []}",,en
1338594735901044737,2020-12-14 21:20:29,@ashes2asscheeks Omggggggg he can’t be serious,b'@ashes2asscheeks Omggggggg he can\xe2\x80\x99t be serious',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ashes2asscheeks', 'name': 'bëspøke whøré phœnix grëêne', 'id': 37250550, 'id_str': '37250550', 'indices': [0, 16]}], 'urls': []}",,en
1338574230464684040,2020-12-14 19:59:00,@AWuornosFan Oooooo bahahahahaha that’s even better,b'@AWuornosFan Oooooo bahahahahaha that\xe2\x80\x99s even better',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AWuornosFan', 'name': 'ig: rosequartzphoto', 'id': 947700830983081984, 'id_str': '947700830983081984', 'indices': [0, 12]}], 'urls': []}",,nl
1338572414473670656,2020-12-14 19:51:47,@AWuornosFan Omg I remember that tweet and loved it 😂 I had noo idea it was about that!! I was like ptsd jokes!!!,b'@AWuornosFan Omg I remember that tweet and loved it \xf0\x9f\x98\x82 I had noo idea it was about that!! I was like ptsd jokes!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AWuornosFan', 'name': 'ig: rosequartzphoto', 'id': 947700830983081984, 'id_str': '947700830983081984', 'indices': [0, 12]}], 'urls': []}",,en
1338570489564901379,2020-12-14 19:44:08,Little graphic liner look for the day https://t.co/PG80MeIbEB,b'Little graphic liner look for the day https://t.co/PG80MeIbEB',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338570482308816897, 'id_str': '1338570482308816897', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EpOOwvjXIAEC9OQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOOwvjXIAEC9OQ.jpg', 'url': 'https://t.co/PG80MeIbEB', 'display_url': 'pic.twitter.com/PG80MeIbEB', 'expanded_url': 'https://twitter.com/PTSDoneWithMen/status/1338570489564901379/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 770, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 511, 'h': 680, 'resize': 'fit'}, 'large': {'w': 770, 'h': 1024, 'resize': 'fit'}}}]}",,en
1338296251562029059,2020-12-14 01:34:25,It screm https://t.co/c5QTSXEUy7,b'It screm https://t.co/c5QTSXEUy7',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338296244112863232, 'id_str': '1338296244112863232', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/media/EpKVV-qWMAAfq3L.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpKVV-qWMAAfq3L.jpg', 'url': 'https://t.co/c5QTSXEUy7', 'display_url': 'pic.twitter.com/c5QTSXEUy7', 'expanded_url': 'https://twitter.com/PTSDoneWithMen/status/1338296251562029059/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1338237847543885825,2020-12-13 21:42:20,"RT @radiantbutch: what trauma bonding IS: 
a psychological manipulation tactic used by abusers to create a bond with their victim, alternat…","b'RT @radiantbutch: what trauma bonding IS: \na psychological manipulation tactic used by abusers to create a bond with their victim, alternat\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'radiantbutch', 'name': 'jules rylan ✡︎', 'id': 1022046197446410240, 'id_str': '1022046197446410240', 'indices': [3, 16]}], 'urls': []}",,en
1338235535924600834,2020-12-13 21:33:09,"I’m hitting so many traumaversaries this month, I live alone and haven’t seen a single person not through a screen since March with no end in sight. This is so fucking hard, no one is meant to live like this","b'I\xe2\x80\x99m hitting so many traumaversaries this month, I live alone and haven\xe2\x80\x99t seen a single person not through a screen since March with no end in sight. This is so fucking hard, no one is meant to live like this'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338010857175994370,2020-12-13 06:40:22,RT @angry_blk_ntv: the fact that trauma can be triggered at any given moment is so stressful,b'RT @angry_blk_ntv: the fact that trauma can be triggered at any given moment is so stressful',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'angry_blk_ntv', 'name': 'new account', 'id': 1331142161031696386, 'id_str': '1331142161031696386', 'indices': [3, 17]}], 'urls': []}",,en
