id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338728930618998785,2020-12-15 06:13:44,@flowerillusion i agree cql bichen is so fancy and pretty!,b'@flowerillusion i agree cql bichen is so fancy and pretty!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flowerillusion', 'name': 'tila', 'id': 425428511, 'id_str': '425428511', 'indices': [0, 15]}], 'urls': []}",,en
1338723843943239681,2020-12-15 05:53:31,@flowerillusion i want a full size replica so badly! they should make one!!!,b'@flowerillusion i want a full size replica so badly! they should make one!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flowerillusion', 'name': 'tila', 'id': 425428511, 'id_str': '425428511', 'indices': [0, 15]}], 'urls': []}",,en
1338723698014969857,2020-12-15 05:52:56,@nevlongbottom3 @chirpydragon GENIUS,b'@nevlongbottom3 @chirpydragon GENIUS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nevlongbottom3', 'name': 'nev', 'id': 1295440548988243968, 'id_str': '1295440548988243968', 'indices': [0, 15]}, {'screen_name': 'chirpydragon', 'name': 'all nut, all dairy', 'id': 2957067871, 'id_str': '2957067871', 'indices': [16, 29]}], 'urls': []}",,lt
1338717829042851840,2020-12-15 05:29:37,@gay_lazer HAHA i hope the penis is safe,b'@gay_lazer HAHA i hope the penis is safe',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gay_lazer', 'name': 'StillAMagicLesbianLazerOwl🐌', 'id': 1331070499066097667, 'id_str': '1331070499066097667', 'indices': [0, 10]}], 'urls': []}",,en
1338715803751837697,2020-12-15 05:21:34,@aapicula HAHHA,b'@aapicula HAHHA',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aapicula', 'name': 'lisa 💚💙', 'id': 62653951, 'id_str': '62653951', 'indices': [0, 9]}], 'urls': []}",,tl
1338715709493284865,2020-12-15 05:21:11,@weiwuxiansnose it is!!,b'@weiwuxiansnose it is!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'weiwuxiansnose', 'name': 'Sugar 🍊 threadfics temporarily on hiatus', 'id': 4487941872, 'id_str': '4487941872', 'indices': [0, 15]}], 'urls': []}",,en
1338711902369640448,2020-12-15 05:06:04,RT @laazulink: It’s so sexy and valid of wwx to be aroused by angry lwj,b'RT @laazulink: It\xe2\x80\x99s so sexy and valid of wwx to be aroused by angry lwj',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laazulink', 'name': 'Trisha 🍌 comms open!', 'id': 432823228, 'id_str': '432823228', 'indices': [3, 13]}], 'urls': []}",,en
1338711811382673410,2020-12-15 05:05:42,@nevlongbottom3 it simply needs to happen,b'@nevlongbottom3 it simply needs to happen',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nevlongbottom3', 'name': 'nev', 'id': 1295440548988243968, 'id_str': '1295440548988243968', 'indices': [0, 15]}], 'urls': []}",,en
1338710376016347136,2020-12-15 05:00:00,@laazulink fuck yeah!!!!,b'@laazulink fuck yeah!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laazulink', 'name': 'Trisha 🍌 comms open!', 'id': 432823228, 'id_str': '432823228', 'indices': [0, 10]}], 'urls': []}",,en
1338710288342810630,2020-12-15 04:59:39,"RT @laazulink: a love that only grows 

⚡️power bottom wwx
⚡️edging
⚡️post (novel) canon

1k, explicit, complete 
Link below https://t.co/8…","b'RT @laazulink: a love that only grows \n\n\xe2\x9a\xa1\xef\xb8\x8fpower bottom wwx\n\xe2\x9a\xa1\xef\xb8\x8fedging\n\xe2\x9a\xa1\xef\xb8\x8fpost (novel) canon\n\n1k, explicit, complete \nLink below https://t.co/8\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laazulink', 'name': 'Trisha 🍌 comms open!', 'id': 432823228, 'id_str': '432823228', 'indices': [3, 13]}], 'urls': []}",,en
1338710151230935043,2020-12-15 04:59:06,@longmicrowave exactly,b'@longmicrowave exactly',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'longmicrowave', 'name': 'things knower', 'id': 1286545789183918080, 'id_str': '1286545789183918080', 'indices': [0, 14]}], 'urls': []}",,en
1338701239287074816,2020-12-15 04:23:41,@xiaozhansbi they should make a whole collection!,b'@xiaozhansbi they should make a whole collection!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xiaozhansbi', 'name': 'lil golden nugget 💜', 'id': 732311448706121729, 'id_str': '732311448706121729', 'indices': [0, 12]}], 'urls': []}",,en
1338697507170181120,2020-12-15 04:08:52,"@weiwuxiansnose BABy let YOUR HAIR DOWN LET ME RUN MY PENIS THROUGH IT AHAHHAHA

also that last one reminds me of “my favorite flavor of popsicle is DICK”",b'@weiwuxiansnose BABy let YOUR HAIR DOWN LET ME RUN MY PENIS THROUGH IT AHAHHAHA\n\nalso that last one reminds me of \xe2\x80\x9cmy favorite flavor of popsicle is DICK\xe2\x80\x9d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'weiwuxiansnose', 'name': 'Sugar 🍊 threadfics temporarily on hiatus', 'id': 4487941872, 'id_str': '4487941872', 'indices': [0, 15]}], 'urls': []}",,en
1338696870948814849,2020-12-15 04:06:20,@lotus_prince_ i’m taking this to shark tank,b'@lotus_prince_ i\xe2\x80\x99m taking this to shark tank',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lotus_prince_', 'name': 'matthias🎄constant panik🙃', 'id': 1288192433864417280, 'id_str': '1288192433864417280', 'indices': [0, 14]}], 'urls': []}",,en
1338695773031055360,2020-12-15 04:01:58,@yongslips CANT WAIT FOR MORE NOEL YESSS THIS IS SO GOOD,b'@yongslips CANT WAIT FOR MORE NOEL YESSS THIS IS SO GOOD',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yongslips', 'name': 'noel⁷🦊🐉', 'id': 1250489620934152196, 'id_str': '1250489620934152196', 'indices': [0, 10]}], 'urls': []}",,en
1338693016442179587,2020-12-15 03:51:01,@leafimochi true! he can’t lose that argument,b'@leafimochi true! he can\xe2\x80\x99t lose that argument',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leafimochi', 'name': 'brie ❄️', 'id': 1248336552113115139, 'id_str': '1248336552113115139', 'indices': [0, 11]}], 'urls': []}",,en
1338687337878863873,2020-12-15 03:28:27,"RT @occultings: happy late monday evening! i have new fic!
 
🌌 a tide in two seas
🌌 wangxian, rated M (subject to change)
🌌 first two chapt…","b'RT @occultings: happy late monday evening! i have new fic!\n \n\xf0\x9f\x8c\x8c a tide in two seas\n\xf0\x9f\x8c\x8c wangxian, rated M (subject to change)\n\xf0\x9f\x8c\x8c first two chapt\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'occultings', 'name': '🍂 𝔠𝔩𝔞𝔦𝔯𝔢 𝔴𝔦𝔱𝔠𝔥 𝔭𝔯𝔬𝔧𝔢𝔠𝔱 🍂', 'id': 950055551475617792, 'id_str': '950055551475617792', 'indices': [3, 14]}], 'urls': []}",,en
1338685811345092608,2020-12-15 03:22:23,@YunmengLotus i couldn’t resist,b'@YunmengLotus i couldn\xe2\x80\x99t resist',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YunmengLotus', 'name': 'Nix 🎋🍌 Kidfic Ch3!', 'id': 1284568407787155464, 'id_str': '1284568407787155464', 'indices': [0, 13]}], 'urls': []}",,en
1338685240726880257,2020-12-15 03:20:07,@p3achbae i love that weird lil baby 💕,b'@p3achbae i love that weird lil baby \xf0\x9f\x92\x95',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'p3achbae', 'name': 'peach bae🍑✨the ho ho ho 🎄🍆', 'id': 1288032638079586305, 'id_str': '1288032638079586305', 'indices': [0, 9]}], 'urls': []}",,en
1338685120203509762,2020-12-15 03:19:38,@YunmengLotus goldicocks,b'@YunmengLotus goldicocks',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YunmengLotus', 'name': 'Nix 🎋🍌 Kidfic Ch3!', 'id': 1284568407787155464, 'id_str': '1284568407787155464', 'indices': [0, 13]}], 'urls': []}",,en
1338684690543169537,2020-12-15 03:17:56,@crieswangxian meh they could just end it at the hilt guard!,b'@crieswangxian meh they could just end it at the hilt guard!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [0, 14]}], 'urls': []}",,en
1338684573350154240,2020-12-15 03:17:28,"@p3achbae omg hole training for sure. and whoever has the milk is the mother!!! 

...dire owl 🔥",b'@p3achbae omg hole training for sure. and whoever has the milk is the mother!!! \n\n...dire owl \xf0\x9f\x94\xa5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'p3achbae', 'name': 'peach bae🍑✨the ho ho ho 🎄🍆', 'id': 1288032638079586305, 'id_str': '1288032638079586305', 'indices': [0, 9]}], 'urls': []}",,en
1338683287758245888,2020-12-15 03:12:21,@YunmengLotus unrealistic i don’t think that can even happen,b'@YunmengLotus unrealistic i don\xe2\x80\x99t think that can even happen',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YunmengLotus', 'name': 'Nix 🎋🍌 Kidfic Ch3!', 'id': 1284568407787155464, 'id_str': '1284568407787155464', 'indices': [0, 13]}], 'urls': []}",,en
1338683161425801219,2020-12-15 03:11:51,@crieswangxian honestly! swords are directly related to dragons! swords are very fantasy!,b'@crieswangxian honestly! swords are directly related to dragons! swords are very fantasy!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [0, 14]}], 'urls': []}",,en
1338682357004439558,2020-12-15 03:08:40,@crieswangxian hey bad dragon are you looking to expand into weapon dildo territory anytime soon,b'@crieswangxian hey bad dragon are you looking to expand into weapon dildo territory anytime soon',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [0, 14]}], 'urls': []}",,en
1338682242495725572,2020-12-15 03:08:12,@crieswangxian ahdjfkg 😂,b'@crieswangxian ahdjfkg \xf0\x9f\x98\x82',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [0, 14]}], 'urls': []}",,tr
1338682157493993473,2020-12-15 03:07:52,@sian22reduxx 🔥🔥🔥 MAAAAARK,b'@sian22reduxx \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 MAAAAARK',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sian22reduxx', 'name': 'Sian', 'id': 1313239613000110085, 'id_str': '1313239613000110085', 'indices': [0, 13]}], 'urls': []}",,en
1338680787596574721,2020-12-15 03:02:25,@crieswangxian i’m just saying what we’re all thinking!!,b'@crieswangxian i\xe2\x80\x99m just saying what we\xe2\x80\x99re all thinking!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [0, 14]}], 'urls': []}",,en
1338680664539815938,2020-12-15 03:01:56,@sian22reduxx YES THIS WAS ABT MARK,b'@sian22reduxx YES THIS WAS ABT MARK',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sian22reduxx', 'name': 'Sian', 'id': 1313239613000110085, 'id_str': '1313239613000110085', 'indices': [0, 13]}], 'urls': []}",,en
1338680375162195968,2020-12-15 03:00:47,@laazulink OH MY GOD OKAY I GOT SCARED,b'@laazulink OH MY GOD OKAY I GOT SCARED',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laazulink', 'name': 'Trisha 🍌 comms open!', 'id': 432823228, 'id_str': '432823228', 'indices': [0, 10]}], 'urls': []}",,en
1338680330790739970,2020-12-15 03:00:36,@laazulink listen. it should exist.,b'@laazulink listen. it should exist.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laazulink', 'name': 'Trisha 🍌 comms open!', 'id': 432823228, 'id_str': '432823228', 'indices': [0, 10]}], 'urls': []}",,en
1338680244509704192,2020-12-15 03:00:16,@laazulink YOU’VE WRITTEN HET PORN!?!?!?!?,b'@laazulink YOU\xe2\x80\x99VE WRITTEN HET PORN!?!?!?!?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'laazulink', 'name': 'Trisha 🍌 comms open!', 'id': 432823228, 'id_str': '432823228', 'indices': [0, 10]}], 'urls': []}",,en
1338680110778486786,2020-12-15 02:59:44,i want a bichen replica but in body safe silicone. for no specific reason of course.,b'i want a bichen replica but in body safe silicone. for no specific reason of course.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338679805315751936,2020-12-15 02:58:31,@gay_lazer HAHA,b'@gay_lazer HAHA',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gay_lazer', 'name': 'StillAMagicLesbianLazerOwl🐌', 'id': 1331070499066097667, 'id_str': '1331070499066097667', 'indices': [0, 10]}], 'urls': []}",,tl
1338679593335582721,2020-12-15 02:57:41,@noodleyspice @crieswangxian gotta keep to my brand,b'@noodleyspice @crieswangxian gotta keep to my brand',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'noodleyspice', 'name': 'WWX Core 🎋 kink gege', 'id': 1290025540607520773, 'id_str': '1290025540607520773', 'indices': [0, 13]}, {'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [14, 28]}], 'urls': []}",,en
1338679203311439872,2020-12-15 02:56:08,@crieswangxian @noodleyspice *haunts hornily*,b'@crieswangxian @noodleyspice *haunts hornily*',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'crieswangxian', 'name': 'rie🌲', 'id': 1279881937117732865, 'id_str': '1279881937117732865', 'indices': [0, 14]}, {'screen_name': 'noodleyspice', 'name': 'WWX Core 🎋 kink gege', 'id': 1290025540607520773, 'id_str': '1290025540607520773', 'indices': [15, 28]}], 'urls': []}",,en
1338679025452032000,2020-12-15 02:55:25,@noodleyspice i’m gonna mcfreakin lose it,b'@noodleyspice i\xe2\x80\x99m gonna mcfreakin lose it',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'noodleyspice', 'name': 'WWX Core 🎋 kink gege', 'id': 1290025540607520773, 'id_str': '1290025540607520773', 'indices': [0, 13]}], 'urls': []}",,en
1338678939036778498,2020-12-15 02:55:05,@YunmengLotus okay OUCH,b'@YunmengLotus okay OUCH',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YunmengLotus', 'name': 'Nix 🎋🍌 Kidfic Ch3!', 'id': 1284568407787155464, 'id_str': '1284568407787155464', 'indices': [0, 13]}], 'urls': []}",,en
