id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338794113962012672,2020-12-15 10:32:45,Ion even ask. https://t.co/tcmfbo9xfl,b'Ion even ask. https://t.co/tcmfbo9xfl',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tcmfbo9xfl', 'expanded_url': 'https://twitter.com/clippedmesmh/status/1338793405804142594', 'display_url': 'twitter.com/clippedmesmh/s…', 'indices': [14, 37]}]}",,en
1338793997054193664,2020-12-15 10:32:17,I went on this girl profile and seen she’s a sex worker so her pinned tweet was a sexual intercourse video clip and the man had a horse. 🍆😳 Whew. I ain’t never seen nothing like that. Smh.,b'I went on this girl profile and seen she\xe2\x80\x99s a sex worker so her pinned tweet was a sexual intercourse video clip and the man had a horse. \xf0\x9f\x8d\x86\xf0\x9f\x98\xb3 Whew. I ain\xe2\x80\x99t never seen nothing like that. Smh.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338793524481957890,2020-12-15 10:30:24,@__kingkittyy I been saying this but you worded this all so well. https://t.co/fLRmbChOeT,b'@__kingkittyy I been saying this but you worded this all so well. https://t.co/fLRmbChOeT',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__kingkittyy', 'name': 'Miss MURDER 💋 ¯\\_(ツ)_/¯', 'id': 1202838046397349888, 'id_str': '1202838046397349888', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1338793518609948672, 'id_str': '1338793518609948672', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpRZnKhXYAASuhL.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpRZnKhXYAASuhL.jpg', 'url': 'https://t.co/fLRmbChOeT', 'display_url': 'pic.twitter.com/fLRmbChOeT', 'expanded_url': 'https://twitter.com/Shawdaaaa/status/1338793524481957890/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 250, 'resize': 'fit'}, 'small': {'w': 500, 'h': 250, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 250, 'resize': 'fit'}}}]}",,en
1338793431578136576,2020-12-15 10:30:02,"RT @__kingkittyy: You’ll feel disgust every time you look at them or you step into that place of work &amp; then unfortunately, they’ll suffer…","b'RT @__kingkittyy: You\xe2\x80\x99ll feel disgust every time you look at them or you step into that place of work &amp; then unfortunately, they\xe2\x80\x99ll suffer\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__kingkittyy', 'name': 'Miss MURDER 💋 ¯\\_(ツ)_/¯', 'id': 1202838046397349888, 'id_str': '1202838046397349888', 'indices': [3, 16]}], 'urls': []}",,en
1338793392189415424,2020-12-15 10:29:52,"RT @__kingkittyy: Not worth it &amp; the person or object only becomes the subject of your disdain for years to come! 😂 

Just don’t do it! Pls…",b'RT @__kingkittyy: Not worth it &amp; the person or object only becomes the subject of your disdain for years to come! \xf0\x9f\x98\x82 \n\nJust don\xe2\x80\x99t do it! Pls\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__kingkittyy', 'name': 'Miss MURDER 💋 ¯\\_(ツ)_/¯', 'id': 1202838046397349888, 'id_str': '1202838046397349888', 'indices': [3, 16]}], 'urls': []}",,en
1338793374380417024,2020-12-15 10:29:48,"RT @__kingkittyy: Women get hung up and tricked into being “humble” &amp; “settling” and that only turns into resentment over time! Like, imagi…","b'RT @__kingkittyy: Women get hung up and tricked into being \xe2\x80\x9chumble\xe2\x80\x9d &amp; \xe2\x80\x9csettling\xe2\x80\x9d and that only turns into resentment over time! Like, imagi\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__kingkittyy', 'name': 'Miss MURDER 💋 ¯\\_(ツ)_/¯', 'id': 1202838046397349888, 'id_str': '1202838046397349888', 'indices': [3, 16]}], 'urls': []}",,en
1338793348514058241,2020-12-15 10:29:42,"RT @__kingkittyy: I strongly dislike when people say, “oh you might not have gotten this...but still be grateful because x...or he may not…","b'RT @__kingkittyy: I strongly dislike when people say, \xe2\x80\x9coh you might not have gotten this...but still be grateful because x...or he may not\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__kingkittyy', 'name': 'Miss MURDER 💋 ¯\\_(ツ)_/¯', 'id': 1202838046397349888, 'id_str': '1202838046397349888', 'indices': [3, 16]}], 'urls': []}",,en
1338793309943328770,2020-12-15 10:29:33,RT @__kingkittyy: Stop settling in every area of your life.  From your job to your partner...just DON’T!,b'RT @__kingkittyy: Stop settling in every area of your life.  From your job to your partner...just DON\xe2\x80\x99T!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__kingkittyy', 'name': 'Miss MURDER 💋 ¯\\_(ツ)_/¯', 'id': 1202838046397349888, 'id_str': '1202838046397349888', 'indices': [3, 16]}], 'urls': []}",,en
1338792504162914304,2020-12-15 10:26:21,4:25 AM 💔 Jesus bring this child back home and keep them safe.🙏🏽 https://t.co/8Ri2WU7ZhY,b'4:25 AM \xf0\x9f\x92\x94 Jesus bring this child back home and keep them safe.\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd https://t.co/8Ri2WU7ZhY',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338792500862066690, 'id_str': '1338792500862066690', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EpRYr7HXIAIDwgo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpRYr7HXIAIDwgo.jpg', 'url': 'https://t.co/8Ri2WU7ZhY', 'display_url': 'pic.twitter.com/8Ri2WU7ZhY', 'expanded_url': 'https://twitter.com/Shawdaaaa/status/1338792504162914304/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 484, 'resize': 'fit'}, 'large': {'w': 1242, 'h': 884, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 854, 'resize': 'fit'}}}]}",,en
1338790065091260417,2020-12-15 10:16:39,@_accentsbya Lol. 🤣,b'@_accentsbya Lol. \xf0\x9f\xa4\xa3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_accentsbya', 'name': '🍁Hoodoo heaux 🍁', 'id': 1292268995572375553, 'id_str': '1292268995572375553', 'indices': [0, 12]}], 'urls': []}",,und
