id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338520270236045331,2020-12-14 16:24:35,So I’m 0% Hobi 100% Yoongi. Shocking. https://t.co/B0FOJqyegP,b'So I\xe2\x80\x99m 0% Hobi 100% Yoongi. Shocking. https://t.co/B0FOJqyegP',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338520265932693504, 'id_str': '1338520265932693504', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EpNhFw-UYAA9yBL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNhFw-UYAA9yBL.jpg', 'url': 'https://t.co/B0FOJqyegP', 'display_url': 'pic.twitter.com/B0FOJqyegP', 'expanded_url': 'https://twitter.com/diggityddaeng/status/1338520270236045331/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 576, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 576, 'h': 1024, 'resize': 'fit'}}}]}",,en
1338519393991499776,2020-12-14 16:21:06,Literally didn’t sleep at all last night. I feel like 💩 today. Think I’ll call in.,b'Literally didn\xe2\x80\x99t sleep at all last night. I feel like \xf0\x9f\x92\xa9 today. Think I\xe2\x80\x99ll call in.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338306785577324547,2020-12-14 02:16:16,Guess I have to learn how to golf 🤷‍♀️ https://t.co/s1FcmmNSsb,b'Guess I have to learn how to golf \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/s1FcmmNSsb',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/s1FcmmNSsb', 'expanded_url': 'https://twitter.com/bt21_/status/1338303901884272642', 'display_url': 'twitter.com/bt21_/status/1…', 'indices': [39, 62]}]}",,en
1337470805123321858,2020-12-11 18:54:23,@mini_koya22 Thank you!!!!!,b'@mini_koya22 Thank you!!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mini_koya22', 'name': 'StrawberryFlavorGirl', 'id': 1164656663204421634, 'id_str': '1164656663204421634', 'indices': [0, 12]}], 'urls': []}",,en
1337470758306508800,2020-12-11 18:54:12,@katekatekate85 Thank you!!!!,b'@katekatekate85 Thank you!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'katekatekate85', 'name': 'ᴮᴱKate⁷', 'id': 1182102085434630144, 'id_str': '1182102085434630144', 'indices': [0, 15]}], 'urls': []}",,en
1337470721690279939,2020-12-11 18:54:03,@lunachild___ Thank you!,b'@lunachild___ Thank you!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lunachild___', 'name': 'jess✌🏻', 'id': 1049046770083229696, 'id_str': '1049046770083229696', 'indices': [0, 13]}], 'urls': []}",,en
1337425037754712064,2020-12-11 15:52:31,@sleepinginflame Thank you!!!!,b'@sleepinginflame Thank you!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sleepinginflame', 'name': 'ᴮᴱAmber⁷ ⟭⟬ 💜 ⟬⟭ 🌌', 'id': 14902293, 'id_str': '14902293', 'indices': [0, 16]}], 'urls': []}",,en
1337424978447192064,2020-12-11 15:52:17,It’s my birthday and the end of the semester woot woot. Good vibes today only!,b'It\xe2\x80\x99s my birthday and the end of the semester woot woot. Good vibes today only!',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337424028986851328,2020-12-11 15:48:31,Awww I don’t have balloons on my twt. I don’t think I added my birthday on my account. Booooo! Oh well. Happy birthday to me! https://t.co/BVBrRCiZZt,b'Awww I don\xe2\x80\x99t have balloons on my twt. I don\xe2\x80\x99t think I added my birthday on my account. Booooo! Oh well. Happy birthday to me! https://t.co/BVBrRCiZZt',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337424023181914112, 'id_str': '1337424023181914112', 'indices': [126, 149], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Eo98ECfU8AA0Yld.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Eo98ECfU8AA0Yld.jpg', 'url': 'https://t.co/BVBrRCiZZt', 'display_url': 'pic.twitter.com/BVBrRCiZZt', 'expanded_url': 'https://twitter.com/diggityddaeng/status/1337424028986851328/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 400, 'resize': 'fit'}, 'small': {'w': 400, 'h': 400, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 400, 'resize': 'fit'}}}]}",,en
1337178428131315713,2020-12-10 23:32:35,"Again, sorry I’m so inactive. It’s finals week so hopefully I’ll be back to normal after tonight. I still love all my moots and miss reading all your HILARIOUS tweets.","b'Again, sorry I\xe2\x80\x99m so inactive. It\xe2\x80\x99s finals week so hopefully I\xe2\x80\x99ll be back to normal after tonight. I still love all my moots and miss reading all your HILARIOUS tweets.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
