id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338684393511010304,2020-12-15 03:16:45,"ipad freezing up! Maybe it’s overwhelmed,because it Was playing Tequila Shots by Kid Cudi ! non stop ! https://t.co/ESFO0leASQ","b'ipad freezing up! Maybe it\xe2\x80\x99s overwhelmed,because it Was playing Tequila Shots by Kid Cudi ! non stop ! https://t.co/ESFO0leASQ'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ESFO0leASQ', 'expanded_url': 'https://twitter.com/cher/status/309554705925828609', 'display_url': 'twitter.com/cher/status/30…', 'indices': [103, 126]}]}",,en
1338682924770631682,2020-12-15 03:10:55,can't actually express the hatred i have for this gif...there's so much wrong that we need to unpack... https://t.co/Z7VwYB6jpr,"b""can't actually express the hatred i have for this gif...there's so much wrong that we need to unpack... https://t.co/Z7VwYB6jpr""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338682915362750464, 'id_str': '1338682915362750464', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpP1BNUUwAAYYUO.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpP1BNUUwAAYYUO.jpg', 'url': 'https://t.co/Z7VwYB6jpr', 'display_url': 'pic.twitter.com/Z7VwYB6jpr', 'expanded_url': 'https://twitter.com/filmrelics/status/1338682924770631682/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 626, 'h': 342, 'resize': 'fit'}, 'medium': {'w': 626, 'h': 342, 'resize': 'fit'}, 'large': {'w': 626, 'h': 342, 'resize': 'fit'}}}]}",,en
1338682493797498881,2020-12-15 03:09:12,@devpvtels UR EYELINER?? UR HAIR?? IT'S SERVING https://t.co/CtXtTdLT9K,"b""@devpvtels UR EYELINER?? UR HAIR?? IT'S SERVING https://t.co/CtXtTdLT9K""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'devpvtels', 'name': 'amb 🎄', 'id': 1120569798549700608, 'id_str': '1120569798549700608', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1338682484423229440, 'id_str': '1338682484423229440', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpP0oH8VgAAUitx.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpP0oH8VgAAUitx.jpg', 'url': 'https://t.co/CtXtTdLT9K', 'display_url': 'pic.twitter.com/CtXtTdLT9K', 'expanded_url': 'https://twitter.com/filmrelics/status/1338682493797498881/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 250, 'h': 162, 'resize': 'fit'}, 'medium': {'w': 250, 'h': 162, 'resize': 'fit'}, 'small': {'w': 250, 'h': 162, 'resize': 'fit'}}}]}",,en
1338681828576620546,2020-12-15 03:06:34,the fancy dress party part in rebecca (1940) y'all already know https://t.co/zGb4ZRBoPU,"b""the fancy dress party part in rebecca (1940) y'all already know https://t.co/zGb4ZRBoPU""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zGb4ZRBoPU', 'expanded_url': 'https://twitter.com/girIfriendism/status/1338215164546592769', 'display_url': 'twitter.com/girIfriendism/…', 'indices': [64, 87]}]}",,en
1338676034309222401,2020-12-15 02:43:32,@lauriesloves this is so funny...trust tiktok to completely miss the point,b'@lauriesloves this is so funny...trust tiktok to completely miss the point',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lauriesloves', 'name': 'bri', 'id': 1141082289528627202, 'id_str': '1141082289528627202', 'indices': [0, 13]}], 'urls': []}",,en
1338673836930154496,2020-12-15 02:34:48,@jervisletterbox like sea salt i assume https://t.co/hAwj3tV3oe,b'@jervisletterbox like sea salt i assume https://t.co/hAwj3tV3oe',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jervisletterbox', 'name': 'Jervis', 'id': 1228770686786772995, 'id_str': '1228770686786772995', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1338673828835196928, 'id_str': '1338673828835196928', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpPswTXVgAAjwZ2.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpPswTXVgAAjwZ2.jpg', 'url': 'https://t.co/hAwj3tV3oe', 'display_url': 'pic.twitter.com/hAwj3tV3oe', 'expanded_url': 'https://twitter.com/filmrelics/status/1338673836930154496/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 200, 'h': 120, 'resize': 'fit'}, 'medium': {'w': 200, 'h': 120, 'resize': 'fit'}, 'large': {'w': 200, 'h': 120, 'resize': 'fit'}, 'thumb': {'w': 120, 'h': 120, 'resize': 'crop'}}}]}",,en
1338658068700176386,2020-12-15 01:32:09,@exactliyah no you're not being annoying!! sending love and positivity for the situation 💕💕,"b""@exactliyah no you're not being annoying!! sending love and positivity for the situation \xf0\x9f\x92\x95\xf0\x9f\x92\x95""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'exactliyah', 'name': 'aliyah', 'id': 1177757899373740032, 'id_str': '1177757899373740032', 'indices': [0, 11]}], 'urls': []}",,en
1338657402242002946,2020-12-15 01:29:30,"hijabi women, how do y'all always have the coolest outfits and the most gorgeous makeup...i think about this a lot muah muah 😘😚","b""hijabi women, how do y'all always have the coolest outfits and the most gorgeous makeup...i think about this a lot muah muah \xf0\x9f\x98\x98\xf0\x9f\x98\x9a""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338655420378796032,2020-12-15 01:21:37,this joke is dead i'm so sick of it https://t.co/i7pqtMwbN5,"b""this joke is dead i'm so sick of it https://t.co/i7pqtMwbN5""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i7pqtMwbN5', 'expanded_url': 'https://twitter.com/chaoticcduccy/status/1338368680057597952', 'display_url': 'twitter.com/chaoticcduccy/…', 'indices': [36, 59]}]}",,en
1338655155764350976,2020-12-15 01:20:34,"@paulduneo 'let me show you what i learned in nutrition"" proceeds to eat red meat","b'@paulduneo \'let me show you what i learned in nutrition"" proceeds to eat red meat'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'paulduneo', 'name': 'amanda', 'id': 1153858288758300672, 'id_str': '1153858288758300672', 'indices': [0, 10]}], 'urls': []}",,en
1338653876744949760,2020-12-15 01:15:29,@PRIDEPREJUDlCE TOORAK 🤢🤢🤢🤢,b'@PRIDEPREJUDlCE TOORAK \xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PRIDEPREJUDlCE', 'name': 'abby ✿', 'id': 1219402812141924352, 'id_str': '1219402812141924352', 'indices': [0, 15]}], 'urls': []}",,nl
1338653835896651777,2020-12-15 01:15:20,@butterflierer i accept no other conclusion,b'@butterflierer i accept no other conclusion',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'butterflierer', 'name': 'alice 😤🛸☄️🚀', 'id': 884800571710078977, 'id_str': '884800571710078977', 'indices': [0, 14]}], 'urls': []}",,en
1338652103393198080,2020-12-15 01:08:27,@SFTLYDAISY SERVING AS ALWAYS YOU'RE GORGEOUS,"b""@SFTLYDAISY SERVING AS ALWAYS YOU'RE GORGEOUS""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SFTLYDAISY', 'name': 'sarah', 'id': 1217928673010970624, 'id_str': '1217928673010970624', 'indices': [0, 11]}], 'urls': []}",,en
1338628727572365312,2020-12-14 23:35:33,@dreameronsunset omg this happened to me a while ago and a massive blood bruise formed underneath my thumbnail and my whole thumbnail had to come off to release the blood (there was a lot of blood idk how that all fit underneath my nail),b'@dreameronsunset omg this happened to me a while ago and a massive blood bruise formed underneath my thumbnail and my whole thumbnail had to come off to release the blood (there was a lot of blood idk how that all fit underneath my nail)',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dreameronsunset', 'name': '🎄𝐉𝐚𝐦𝐞𝐬🎄', 'id': 1146973521597337600, 'id_str': '1146973521597337600', 'indices': [0, 16]}], 'urls': []}",,en
1338626789388636160,2020-12-14 23:27:51,just give it to me already i'm so tired https://t.co/egheh1WUc0,"b""just give it to me already i'm so tired https://t.co/egheh1WUc0""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/egheh1WUc0', 'expanded_url': 'https://twitter.com/itsdougjam/status/1338592959483154432', 'display_url': 'twitter.com/itsdougjam/sta…', 'indices': [40, 63]}]}",,en
