id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1330987961203060736,2020-11-23 21:33:53,@yungblud i’m poor don’t do this to meeeee,b'@yungblud i\xe2\x80\x99m poor don\xe2\x80\x99t do this to meeeee',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yungblud', 'name': 'YUNGBLUD’s on mars', 'id': 1693633363, 'id_str': '1693633363', 'indices': [0, 9]}], 'urls': []}",,en
1330987650073825281,2020-11-23 21:32:38,"RT @yungblud: AUSTRALIA IM COMING BACK!!! 🇦🇺 
i can’t believe im announcing these shows. our biggest shows yet. this is gonna be madness!!!…",b'RT @yungblud: AUSTRALIA IM COMING BACK!!! \xf0\x9f\x87\xa6\xf0\x9f\x87\xba \ni can\xe2\x80\x99t believe im announcing these shows. our biggest shows yet. this is gonna be madness!!!\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yungblud', 'name': 'YUNGBLUD’s on mars', 'id': 1693633363, 'id_str': '1693633363', 'indices': [3, 12]}], 'urls': []}",,en
1320448412492255232,2020-10-25 19:33:28,not all my mutuals unfollowing me 🤣🤣🤣 that’s aftuwlly@so sad,b'not all my mutuals unfollowing me \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 that\xe2\x80\x99s aftuwlly@so sad',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1320447751251881984,2020-10-25 19:30:51,might fuck around and come back to stan twitter,b'might fuck around and come back to stan twitter',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1314415908262014977,2020-10-09 04:02:27,RT @yungblud: COTTON CANDY OUT NOW 🖤💋 https://t.co/UMFUzXB6dP https://t.co/gu8ySfOibg,b'RT @yungblud: COTTON CANDY OUT NOW \xf0\x9f\x96\xa4\xf0\x9f\x92\x8b https://t.co/UMFUzXB6dP https://t.co/gu8ySfOibg',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yungblud', 'name': 'YUNGBLUD’s on mars', 'id': 1693633363, 'id_str': '1693633363', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/UMFUzXB6dP', 'expanded_url': 'https://yungblud.lnk.to/cottoncandy', 'display_url': 'yungblud.lnk.to/cottoncandy', 'indices': [38, 61]}], 'media': [{'id': 1314415822094258177, 'id_str': '1314415822094258177', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1314415822094258177/pu/img/bYynkSYotEnwEVf5.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1314415822094258177/pu/img/bYynkSYotEnwEVf5.jpg', 'url': 'https://t.co/gu8ySfOibg', 'display_url': 'pic.twitter.com/gu8ySfOibg', 'expanded_url': 'https://twitter.com/yungblud/status/1314415870764969985/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1314415870764969985, 'source_status_id_str': '1314415870764969985', 'source_user_id': 1693633363, 'source_user_id_str': '1693633363'}]}",,en
1311025930152734720,2020-09-29 19:31:54,"RT @Lilpeep: HELLBOY OFFICIAL VIDEO

https://t.co/Z5a0yVuGuF

Video by @thepauljohn https://t.co/mkdgB5R4zl",b'RT @Lilpeep: HELLBOY OFFICIAL VIDEO\n\nhttps://t.co/Z5a0yVuGuF\n\nVideo by @thepauljohn https://t.co/mkdgB5R4zl',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lilpeep', 'name': 'GOTH ANGEL SINNER', 'id': 2586341939, 'id_str': '2586341939', 'indices': [3, 11]}, {'screen_name': 'THEPAULJOHN', 'name': 'Paul John', 'id': 1390959822, 'id_str': '1390959822', 'indices': [71, 83]}], 'urls': [{'url': 'https://t.co/Z5a0yVuGuF', 'expanded_url': 'https://youtu.be/s9t1ZfMZfH4', 'display_url': 'youtu.be/s9t1ZfMZfH4', 'indices': [37, 60]}], 'media': [{'id': 1310997243231637505, 'id_str': '1310997243231637505', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310997243231637505/pu/img/eyREcHp-ch8iw7H1.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310997243231637505/pu/img/eyREcHp-ch8iw7H1.jpg', 'url': 'https://t.co/mkdgB5R4zl', 'display_url': 'pic.twitter.com/mkdgB5R4zl', 'expanded_url': 'https://twitter.com/Lilpeep/status/1310997689300066305/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1310997689300066305, 'source_status_id_str': '1310997689300066305', 'source_user_id': 2586341939, 'source_user_id_str': '2586341939'}]}",,en
1310662431396356096,2020-09-28 19:27:29,"RT @Lilpeep: HELLBOY STORIES: NO RULES

https://t.co/6b6bASnBEF

Edited by @getmezzy https://t.co/bmoxDiRTG7",b'RT @Lilpeep: HELLBOY STORIES: NO RULES\n\nhttps://t.co/6b6bASnBEF\n\nEdited by @getmezzy https://t.co/bmoxDiRTG7',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lilpeep', 'name': 'GOTH ANGEL SINNER', 'id': 2586341939, 'id_str': '2586341939', 'indices': [3, 11]}, {'screen_name': 'getmezzy', 'name': '𝕸𝖊𝖟𝖟𝖞', 'id': 99476718, 'id_str': '99476718', 'indices': [75, 84]}], 'urls': [{'url': 'https://t.co/6b6bASnBEF', 'expanded_url': 'https://youtu.be/GWb7GwpYR-A', 'display_url': 'youtu.be/GWb7GwpYR-A', 'indices': [40, 63]}], 'media': [{'id': 1310662118874787840, 'id_str': '1310662118874787840', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310662118874787840/pu/img/Q8e0haQ6rra6rkhX.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310662118874787840/pu/img/Q8e0haQ6rra6rkhX.jpg', 'url': 'https://t.co/bmoxDiRTG7', 'display_url': 'pic.twitter.com/bmoxDiRTG7', 'expanded_url': 'https://twitter.com/Lilpeep/status/1310662391399682048/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1310662391399682048, 'source_status_id_str': '1310662391399682048', 'source_user_id': 2586341939, 'source_user_id_str': '2586341939'}]}",,en
1309512068836372480,2020-09-25 15:16:21,RT @Lilpeep: HELLBOY Merchandise Capsule now available at https://t.co/Z76Tve85As https://t.co/aQsbdZCTD5,b'RT @Lilpeep: HELLBOY Merchandise Capsule now available at https://t.co/Z76Tve85As https://t.co/aQsbdZCTD5',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lilpeep', 'name': 'GOTH ANGEL SINNER', 'id': 2586341939, 'id_str': '2586341939', 'indices': [3, 11]}], 'urls': [{'url': 'https://t.co/Z76Tve85As', 'expanded_url': 'http://lilpeep.com', 'display_url': 'lilpeep.com', 'indices': [58, 81]}], 'media': [{'id': 1309509139425615875, 'id_str': '1309509139425615875', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/EixPn82XYAMRHV6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EixPn82XYAMRHV6.jpg', 'url': 'https://t.co/aQsbdZCTD5', 'display_url': 'pic.twitter.com/aQsbdZCTD5', 'expanded_url': 'https://twitter.com/Lilpeep/status/1309512038121648128/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1309512038121648128, 'source_status_id_str': '1309512038121648128', 'source_user_id': 2586341939, 'source_user_id_str': '2586341939'}]}",,en
1302690685720510464,2020-09-06 19:30:36,"RT @tylerrjoseph: today is the start of suicide prevention awareness week.

i encourage you to reach out to three people in your contacts a…",b'RT @tylerrjoseph: today is the start of suicide prevention awareness week.\n\ni encourage you to reach out to three people in your contacts a\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tylerrjoseph', 'name': 'tyler jøseph', 'id': 221412285, 'id_str': '221412285', 'indices': [3, 16]}], 'urls': []}",,en
1301315222733348865,2020-09-03 00:25:01,"RT @tylerrjoseph: you don’t know what someone else is going through.
what other invisible weights they may be struggling to carry.
keep tha…",b'RT @tylerrjoseph: you don\xe2\x80\x99t know what someone else is going through.\nwhat other invisible weights they may be struggling to carry.\nkeep tha\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tylerrjoseph', 'name': 'tyler jøseph', 'id': 221412285, 'id_str': '221412285', 'indices': [3, 16]}], 'urls': []}",,en
