id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338712732577783813,2020-12-15 05:09:22,@im_optimus_lime @knives_cakie hell yeah!!! party time party t,b'@im_optimus_lime @knives_cakie hell yeah!!! party time party t',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'im_optimus_lime', 'name': 'Milla but festive', 'id': 1120624208776552448, 'id_str': '1120624208776552448', 'indices': [0, 16]}, {'screen_name': 'knives_cakie', 'name': '🌿 Cakie ✨ Mila 🌱', 'id': 1242706024303398913, 'id_str': '1242706024303398913', 'indices': [17, 30]}], 'urls': []}",,en
1338702739887493120,2020-12-15 04:29:39,@im_optimus_lime ME!!!! 🥺,b'@im_optimus_lime ME!!!! \xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'im_optimus_lime', 'name': 'Milla but festive', 'id': 1120624208776552448, 'id_str': '1120624208776552448', 'indices': [0, 16]}], 'urls': []}",,und
1338673001974394881,2020-12-15 02:31:29,@CoolioCrocodude perish,b'@CoolioCrocodude perish',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CoolioCrocodude', 'name': 'AJ', 'id': 853392084635725827, 'id_str': '853392084635725827', 'indices': [0, 16]}], 'urls': []}",,en
1338643033450012674,2020-12-15 00:32:24,@twolikerz 😫🤪,b'@twolikerz \xf0\x9f\x98\xab\xf0\x9f\xa4\xaa',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'twolikerz', 'name': 'Lolly!!!!!!!', 'id': 1269363706300899329, 'id_str': '1269363706300899329', 'indices': [0, 10]}], 'urls': []}",,und
1338642224821788672,2020-12-15 00:29:11,@Y0YLECAKEZ https://t.co/BQGiG9YWAg,b'@Y0YLECAKEZ https://t.co/BQGiG9YWAg',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Y0YLECAKEZ', 'name': '⛄ merry lambmas🎄 ᓚOᗢ', 'id': 1224802992190296064, 'id_str': '1224802992190296064', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1338642221386633220, 'id_str': '1338642221386633220', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/media/EpPQAgcXEAQj7QB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPQAgcXEAQj7QB.jpg', 'url': 'https://t.co/BQGiG9YWAg', 'display_url': 'pic.twitter.com/BQGiG9YWAg', 'expanded_url': 'https://twitter.com/gltolo/status/1338642224821788672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1091, 'resize': 'fit'}, 'small': {'w': 680, 'h': 618, 'resize': 'fit'}, 'large': {'w': 1242, 'h': 1129, 'resize': 'fit'}}}]}",,und
1338641827663138824,2020-12-15 00:27:37,new username lol,b'new username lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337954222847963137,2020-12-13 02:55:19,RT @FourtkyOoC: Don’t you just love sitting in jello? https://t.co/tBDG0N6hr3,b'RT @FourtkyOoC: Don\xe2\x80\x99t you just love sitting in jello? https://t.co/tBDG0N6hr3',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FourtkyOoC', 'name': 'Infi', 'id': 1303394228991602690, 'id_str': '1303394228991602690', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1337819508451504132, 'id_str': '1337819508451504132', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337819508451504132/pu/img/ShtF8KIprZ8jFVya.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337819508451504132/pu/img/ShtF8KIprZ8jFVya.jpg', 'url': 'https://t.co/tBDG0N6hr3', 'display_url': 'pic.twitter.com/tBDG0N6hr3', 'expanded_url': 'https://twitter.com/FourtkyOoC/status/1337819745958191110/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 540, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 960, 'h': 540, 'resize': 'fit'}}, 'source_status_id': 1337819745958191110, 'source_status_id_str': '1337819745958191110', 'source_user_id': 1303394228991602690, 'source_user_id_str': '1303394228991602690'}]}",,en
1337595767473786884,2020-12-12 03:10:56,@twolikerz @oceanratVEVO WHAT DOES THIS MEA,b'@twolikerz @oceanratVEVO WHAT DOES THIS MEA',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'twolikerz', 'name': 'Lolly!!!!!!!', 'id': 1269363706300899329, 'id_str': '1269363706300899329', 'indices': [0, 10]}, {'screen_name': 'oceanratVEVO', 'name': 'Rat ☎️🕹 Gibby from iCarly', 'id': 1150956284679741441, 'id_str': '1150956284679741441', 'indices': [11, 24]}], 'urls': []}",,en
1337503643088658433,2020-12-11 21:04:52,@CoolioCrocodude nap,b'@CoolioCrocodude nap',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CoolioCrocodude', 'name': 'AJ', 'id': 853392084635725827, 'id_str': '853392084635725827', 'indices': [0, 16]}], 'urls': []}",,und
1337494711318220803,2020-12-11 20:29:23,"@CoolioCrocodude IM NOT
goodnight.",b'@CoolioCrocodude IM NOT\ngoodnight.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CoolioCrocodude', 'name': 'AJ', 'id': 853392084635725827, 'id_str': '853392084635725827', 'indices': [0, 16]}], 'urls': []}",,en
1337494404534157312,2020-12-11 20:28:10,@CoolioCrocodude wait- ROBOX??? goodnight aj,b'@CoolioCrocodude wait- ROBOX??? goodnight aj',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CoolioCrocodude', 'name': 'AJ', 'id': 853392084635725827, 'id_str': '853392084635725827', 'indices': [0, 16]}], 'urls': []}",,en
1337494322460110849,2020-12-11 20:27:50,@CoolioCrocodude 😍 yes,b'@CoolioCrocodude \xf0\x9f\x98\x8d yes',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CoolioCrocodude', 'name': 'AJ', 'id': 853392084635725827, 'id_str': '853392084635725827', 'indices': [0, 16]}], 'urls': []}",,und
1337494199827128320,2020-12-11 20:27:21,@CoolioCrocodude https://t.co/I9T9W7SIse,b'@CoolioCrocodude https://t.co/I9T9W7SIse',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CoolioCrocodude', 'name': 'AJ', 'id': 853392084635725827, 'id_str': '853392084635725827', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1337494196882710530, 'id_str': '1337494196882710530', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/Eo-74r5XIAItz6F.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo-74r5XIAItz6F.jpg', 'url': 'https://t.co/I9T9W7SIse', 'display_url': 'pic.twitter.com/I9T9W7SIse', 'expanded_url': 'https://twitter.com/GLTTRRZ/status/1337494199827128320/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",,und
