id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338662891352956931,2020-12-15 01:51:19,RT @harryguccidoll: “I wish I lived in the same era as young Harry Styles” a thread; https://t.co/Dqop2LL09G,b'RT @harryguccidoll: \xe2\x80\x9cI wish I lived in the same era as young Harry Styles\xe2\x80\x9d a thread; https://t.co/Dqop2LL09G',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'harryguccidoll', 'name': 'Nur ♡ kate', 'id': 4656648209, 'id_str': '4656648209', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1338551811897257986, 'id_str': '1338551811897257986', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EpN9x-2XcAIHOyu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpN9x-2XcAIHOyu.jpg', 'url': 'https://t.co/Dqop2LL09G', 'display_url': 'pic.twitter.com/Dqop2LL09G', 'expanded_url': 'https://twitter.com/harryguccidoll/status/1338551824555634694/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 750, 'h': 1108, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 1108, 'resize': 'fit'}, 'small': {'w': 460, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1338551824555634694, 'source_status_id_str': '1338551824555634694', 'source_user_id': 4656648209, 'source_user_id_str': '4656648209'}]}",,en
1338662832523653121,2020-12-15 01:51:05,RT @PetsArts: https://t.co/ONDID0xCJ6,b'RT @PetsArts: https://t.co/ONDID0xCJ6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PetsArts', 'name': 'PetsArts', 'id': 1284092676460158976, 'id_str': '1284092676460158976', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1329913374860333056, 'id_str': '1329913374860333056', 'indices': [14, 37], 'media_url': 'http://pbs.twimg.com/media/EnTNKxKXUAAUhw2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EnTNKxKXUAAUhw2.jpg', 'url': 'https://t.co/ONDID0xCJ6', 'display_url': 'pic.twitter.com/ONDID0xCJ6', 'expanded_url': 'https://twitter.com/PetsArts/status/1338551832281399297/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 543, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1636, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 959, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1338551832281399297, 'source_status_id_str': '1338551832281399297', 'source_user_id': 1284092676460158976, 'source_user_id_str': '1284092676460158976'}]}",,und
1338236681389043717,2020-12-13 21:37:42,Y’all I would risk it all for this man pls I love him and I’m so grateful for the album that helped get through one of the worst years in my life I will forever be grateful 🥺 https://t.co/vAAFhJgOJC,b'Y\xe2\x80\x99all I would risk it all for this man pls I love him and I\xe2\x80\x99m so grateful for the album that helped get through one of the worst years in my life I will forever be grateful \xf0\x9f\xa5\xba https://t.co/vAAFhJgOJC',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vAAFhJgOJC', 'expanded_url': 'https://twitter.com/harry_styles/status/1338236105657749504', 'display_url': 'twitter.com/harry_styles/s…', 'indices': [175, 198]}]}",,en
1338236401691799552,2020-12-13 21:36:36,RT @Harry_Styles: Fine Line is one year old. I couldn’t be more grateful for you all continually finding new ways to change my life. Thank…,b'RT @Harry_Styles: Fine Line is one year old. I couldn\xe2\x80\x99t be more grateful for you all continually finding new ways to change my life. Thank\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': 181561712, 'id_str': '181561712', 'indices': [3, 16]}], 'urls': []}",,en
1337911504058916865,2020-12-13 00:05:34,"RT @hsdaily: 🎂FINE LINE STREAMING PARTY🎂

TODAY // 7 PM ET / 4 PM PT // 12 AM GMT

To celebrate Fine Line’s first birthday, we are hosting…","b'RT @hsdaily: \xf0\x9f\x8e\x82FINE LINE STREAMING PARTY\xf0\x9f\x8e\x82\n\nTODAY // 7 PM ET / 4 PM PT // 12 AM GMT\n\nTo celebrate Fine Line\xe2\x80\x99s first birthday, we are hosting\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hsdaily', 'name': 'HSD', 'id': 1561975297, 'id_str': '1561975297', 'indices': [3, 11]}], 'urls': []}",,en
1337910873810145282,2020-12-13 00:03:04,"RT @hsdaily: TRACK 1 ✨#FineLineEve 

What was your first impression listening to the first song of Fine Line? https://t.co/vu0BzAlWse",b'RT @hsdaily: TRACK 1 \xe2\x9c\xa8#FineLineEve \n\nWhat was your first impression listening to the first song of Fine Line? https://t.co/vu0BzAlWse',"{'hashtags': [{'text': 'FineLineEve', 'indices': [22, 34]}], 'symbols': [], 'user_mentions': [{'screen_name': 'hsdaily', 'name': 'HSD', 'id': 1561975297, 'id_str': '1561975297', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1337910109498904576, 'id_str': '1337910109498904576', 'indices': [110, 133], 'media_url': 'http://pbs.twimg.com/media/EpE2J_IWEAALXVL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpE2J_IWEAALXVL.jpg', 'url': 'https://t.co/vu0BzAlWse', 'display_url': 'pic.twitter.com/vu0BzAlWse', 'expanded_url': 'https://twitter.com/hsdaily/status/1337910112720195585/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 612, 'h': 348, 'resize': 'fit'}, 'medium': {'w': 612, 'h': 348, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 612, 'h': 348, 'resize': 'fit'}}, 'source_status_id': 1337910112720195585, 'source_status_id_str': '1337910112720195585', 'source_user_id': 1561975297, 'source_user_id_str': '1561975297'}]}",,en
1337908736099299337,2020-12-12 23:54:34,RT @hesgoldenvibes: THIS IS STILL THE FUNNIEST INTERACTION ON HARRIE TWITTER NOTHING CAN TOP THIS https://t.co/RC4Es4XD9Y,b'RT @hesgoldenvibes: THIS IS STILL THE FUNNIEST INTERACTION ON HARRIE TWITTER NOTHING CAN TOP THIS https://t.co/RC4Es4XD9Y',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hesgoldenvibes', 'name': 'jannah', 'id': 868613217341161472, 'id_str': '868613217341161472', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1337818166320230400, 'id_str': '1337818166320230400', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EpDiiMGU8AAJXS3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpDiiMGU8AAJXS3.jpg', 'url': 'https://t.co/RC4Es4XD9Y', 'display_url': 'pic.twitter.com/RC4Es4XD9Y', 'expanded_url': 'https://twitter.com/hesgoldenvibes/status/1337818180148850688/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 432, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 749, 'h': 1180, 'resize': 'fit'}, 'large': {'w': 749, 'h': 1180, 'resize': 'fit'}}, 'source_status_id': 1337818180148850688, 'source_status_id_str': '1337818180148850688', 'source_user_id': 868613217341161472, 'source_user_id_str': '868613217341161472'}]}",,en
1337887051069464576,2020-12-12 22:28:24,This is not the first time she pulls shit like this like is she has a platform and won’t use it properly all she does is use emojis when human rights crisis occurs can she pls grow up and educate herself she would be powerful if she was smart or had a brain cell https://t.co/Jwk7eqIzXA,b'This is not the first time she pulls shit like this like is she has a platform and won\xe2\x80\x99t use it properly all she does is use emojis when human rights crisis occurs can she pls grow up and educate herself she would be powerful if she was smart or had a brain cell https://t.co/Jwk7eqIzXA',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Jwk7eqIzXA', 'expanded_url': 'https://twitter.com/inthafineline/status/1337430840624766977', 'display_url': 'twitter.com/inthafineline/…', 'indices': [263, 286]}]}",,en
1337885874948874242,2020-12-12 22:23:43,"RT @didharrystyles: he did not, but the one year anniversary of fine line is tomorrow so i’m wondering what @HSHQ has up their sleeves","b'RT @didharrystyles: he did not, but the one year anniversary of fine line is tomorrow so i\xe2\x80\x99m wondering what @HSHQ has up their sleeves'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'didharrystyles', 'name': 'did harry styles release a new album today', 'id': 1059149857833865219, 'id_str': '1059149857833865219', 'indices': [3, 18]}, {'screen_name': 'HSHQ', 'name': 'HSHQ', 'id': 938507887713718272, 'id_str': '938507887713718272', 'indices': [108, 113]}], 'urls': []}",,en
1337885833345572872,2020-12-12 22:23:34,"RT @didharrystyles: unlike taylor swift, harry styles did not release a new album today","b'RT @didharrystyles: unlike taylor swift, harry styles did not release a new album today'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'didharrystyles', 'name': 'did harry styles release a new album today', 'id': 1059149857833865219, 'id_str': '1059149857833865219', 'indices': [3, 18]}], 'urls': []}",,en
1337885201620406276,2020-12-12 22:21:03,RT @quenblackwell: men be like “it’s your fault i’m abusive): u made me angy /:”,b'RT @quenblackwell: men be like \xe2\x80\x9cit\xe2\x80\x99s your fault i\xe2\x80\x99m abusive): u made me angy /:\xe2\x80\x9d',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'quenblackwell', 'name': 'queen quen', 'id': 1587217921, 'id_str': '1587217921', 'indices': [3, 17]}], 'urls': []}",,en
