id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338630240315338752,2020-12-14 23:41:34,Did people think I was going to party hard for my birthday yesterday? I haven't received a single work email today which is atypical.,"b""Did people think I was going to party hard for my birthday yesterday? I haven't received a single work email today which is atypical.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338611684177547269,2020-12-14 22:27:50,@sleepisocialist I had/have both...,b'@sleepisocialist I had/have both...',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sleepisocialist', 'name': 'Savvy☭', 'id': 1072039672820494337, 'id_str': '1072039672820494337', 'indices': [0, 16]}], 'urls': []}",,en
1338299390121926656,2020-12-14 01:46:53,"I find everyone talking about using ""Dr"" in their names to be comforting. Tbh, I've only been called Dr. Sanderson a few times since I graduated. I'm still fighting with myself to accept that Dr. Sanderson is my name now. I have a hard time admitting to myself that I earned it.","b'I find everyone talking about using ""Dr"" in their names to be comforting. Tbh, I\'ve only been called Dr. Sanderson a few times since I graduated. I\'m still fighting with myself to accept that Dr. Sanderson is my name now. I have a hard time admitting to myself that I earned it.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338293972125552640,2020-12-14 01:25:21,@PhDinBaking Yes. One of my regrets from my PhD is not writing a painfully detailed acknowledgement section. I was just so burnt out that I made a table and called it a day.,b'@PhDinBaking Yes. One of my regrets from my PhD is not writing a painfully detailed acknowledgement section. I was just so burnt out that I made a table and called it a day.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhDinBaking', 'name': 'Dr. Ariel Nereson', 'id': 865397113, 'id_str': '865397113', 'indices': [0, 12]}], 'urls': []}",,en
1338157061926948864,2020-12-13 16:21:19,"RT @AdamMGrant: Women's qualifications are less likely to be mentioned by men.

Study of 300+ intros of MD/PhD presenters:

Men introduced…","b""RT @AdamMGrant: Women's qualifications are less likely to be mentioned by men.\n\nStudy of 300+ intros of MD/PhD presenters:\n\nMen introduced\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AdamMGrant', 'name': 'Mr. Adam Grant', 'id': 1059273780, 'id_str': '1059273780', 'indices': [3, 14]}], 'urls': []}",,en
1338110768538120192,2020-12-13 13:17:22,Happy Birthday to me. I made it to 29.,b'Happy Birthday to me. I made it to 29.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337163200673046532,2020-12-10 22:32:04,Feeling very incompetent after presenting in the lab meeting today.,b'Feeling very incompetent after presenting in the lab meeting today.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337154508913307648,2020-12-10 21:57:32,@LAHug_ @FinlayM,b'@LAHug_ @FinlayM',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LAHug_', 'name': 'Laura Hug', 'id': 1589244330, 'id_str': '1589244330', 'indices': [0, 7]}, {'screen_name': 'FinlayM', 'name': 'Finlay Maguire', 'id': 14221419, 'id_str': '14221419', 'indices': [8, 16]}], 'urls': []}",,und
1336115785857724416,2020-12-08 01:10:01,@FelixJBerrios @OpenAcademics I stumbled in the dark till I found something that stuck.,b'@FelixJBerrios @OpenAcademics I stumbled in the dark till I found something that stuck.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FelixJBerrios', 'name': 'Felix J Berrios 🏳️\u200d🌈✨', 'id': 1192922144642142209, 'id_str': '1192922144642142209', 'indices': [0, 14]}, {'screen_name': 'OpenAcademics', 'name': 'OpenAcademics', 'id': 1202683638308950017, 'id_str': '1202683638308950017', 'indices': [15, 29]}], 'urls': []}",,en
1335420758051475456,2020-12-06 03:08:14,"RT @maggiesmithpoet: Try to focus on what could happen in your life, not on some idea of what should happen. “Should” is heavy with obligat…","b'RT @maggiesmithpoet: Try to focus on what could happen in your life, not on some idea of what should happen. \xe2\x80\x9cShould\xe2\x80\x9d is heavy with obligat\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maggiesmithpoet', 'name': 'Maggie Smith', 'id': 2871627629, 'id_str': '2871627629', 'indices': [3, 19]}], 'urls': []}",,en
1335039915072090112,2020-12-05 01:54:54,CONGRATULATIONS @CatrioneLee ! https://t.co/wvkIP5UPnO,b'CONGRATULATIONS @CatrioneLee ! https://t.co/wvkIP5UPnO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CatrioneLee', 'name': 'Catrione Lee', 'id': 908173808195878912, 'id_str': '908173808195878912', 'indices': [16, 28]}], 'urls': [{'url': 'https://t.co/wvkIP5UPnO', 'expanded_url': 'https://twitter.com/ropolo/status/1335032711543541760', 'display_url': 'twitter.com/ropolo/status/…', 'indices': [31, 54]}]}",,en
1334273014838353920,2020-12-02 23:07:30,Yup. https://t.co/aN7tKBhD3B,b'Yup. https://t.co/aN7tKBhD3B',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aN7tKBhD3B', 'expanded_url': 'https://twitter.com/KYT_ThatsME/status/1334256921671503879', 'display_url': 'twitter.com/KYT_ThatsME/st…', 'indices': [5, 28]}]}",,und
1333736400995422209,2020-12-01 11:35:12,@KRBurgio Doctor who,b'@KRBurgio Doctor who',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KRBurgio', 'name': 'Kevin R Burgio PhD', 'id': 1732534783, 'id_str': '1732534783', 'indices': [0, 9]}], 'urls': []}",,en
1333566290229866496,2020-12-01 00:19:14,@getFANDOM They should just reboot the whole show from Netflix and just keep it going with the same actors.,b'@getFANDOM They should just reboot the whole show from Netflix and just keep it going with the same actors.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'getFANDOM', 'name': 'Fandom', 'id': 1332121, 'id_str': '1332121', 'indices': [0, 10]}], 'urls': []}",,en
