id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338662562297241600,2020-12-15 01:50:00,"@ThatTWLife Great show, except @RoobsC &amp; your terribly inaccurate assessment of your faces. Your faces are beautiful! 🙂","b'@ThatTWLife Great show, except @RoobsC &amp; your terribly inaccurate assessment of your faces. Your faces are beautiful! \xf0\x9f\x99\x82'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ThatTWLife', 'name': 'That Trophy Wife Life Podcast', 'id': 1176193054933303296, 'id_str': '1176193054933303296', 'indices': [0, 11]}, {'screen_name': 'RoobsC', 'name': 'Trophy Wife Christina 🏆', 'id': 1222291445131792384, 'id_str': '1222291445131792384', 'indices': [31, 38]}], 'urls': []}",,en
1338660569671462913,2020-12-15 01:42:05,"The NFL might as well say, ""if the pass is at least 30 yards downfield and the defender is within 1 yard of the receiver, pass interference will always be called.""","b'The NFL might as well say, ""if the pass is at least 30 yards downfield and the defender is within 1 yard of the receiver, pass interference will always be called.""'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338655915675967490,2020-12-15 01:23:35,"@WIMissScarlet The only argument against this being a Christmas movie is that it was released in July. Everything else about it is Christmas related. So yes, it's a Christmas movie.","b""@WIMissScarlet The only argument against this being a Christmas movie is that it was released in July. Everything else about it is Christmas related. So yes, it's a Christmas movie.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WIMissScarlet', 'name': 'Mistress Scarlet', 'id': 3313789492, 'id_str': '3313789492', 'indices': [0, 14]}], 'urls': []}",,en
1338525659002515458,2020-12-14 16:46:00,"@GageEHC @castrovince Why is Spiders horrible? I can see dreading the 1 billion overgrown teenagers that will wear Spider-Man costumes to games, and not wanting to associate with a team that lost 98% of its games when it was called Spiders before. Why else is it horrible?","b'@GageEHC @castrovince Why is Spiders horrible? I can see dreading the 1 billion overgrown teenagers that will wear Spider-Man costumes to games, and not wanting to associate with a team that lost 98% of its games when it was called Spiders before. Why else is it horrible?'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GageEHC', 'name': 'Gage', 'id': 2328095754, 'id_str': '2328095754', 'indices': [0, 8]}, {'screen_name': 'castrovince', 'name': 'Anthony Castrovince', 'id': 56743033, 'id_str': '56743033', 'indices': [9, 21]}], 'urls': []}",,en
1338321966055481344,2020-12-14 03:16:36,"This team from Buffalo,  NC is legit.","b'This team from Buffalo,  NC is legit.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338321034840256512,2020-12-14 03:12:54,@cahuntington Whatever. The vaccine is going to work &amp; we'll be back to abnormal before too long.,"b""@cahuntington Whatever. The vaccine is going to work &amp; we'll be back to abnormal before too long.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cahuntington', 'name': 'Courtney Huntington', 'id': 26098739, 'id_str': '26098739', 'indices': [0, 13]}], 'urls': []}",,en
1338320229114515456,2020-12-14 03:09:42,@GageEHC I assume Browns fans would root for a team of Communists &amp; terrorists if they were playing the Steelers.,b'@GageEHC I assume Browns fans would root for a team of Communists &amp; terrorists if they were playing the Steelers.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GageEHC', 'name': 'Gage', 'id': 2328095754, 'id_str': '2328095754', 'indices': [0, 8]}], 'urls': []}",,en
1338319539138916355,2020-12-14 03:06:57,"My Panthers will probably pick 6th (behind NYJ, JAX, CIN, LAC, &amp; DAL or PHI). One of the top-flight QBs will be there. Do we take him, or get the OL or DB we so desperately need?","b'My Panthers will probably pick 6th (behind NYJ, JAX, CIN, LAC, &amp; DAL or PHI). One of the top-flight QBs will be there. Do we take him, or get the OL or DB we so desperately need?'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338318031412453379,2020-12-14 03:00:58,"@lucasaofficial_ I disagree. I think PJ hasn't gotten in because the coaches really think Teddy can be a franchise QB. Of course most fans don't think that, but I'm sure the coaches do.","b""@lucasaofficial_ I disagree. I think PJ hasn't gotten in because the coaches really think Teddy can be a franchise QB. Of course most fans don't think that, but I'm sure the coaches do.""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lucasaofficial_', 'name': 'Lucas Sa (4-8) #ChinnDROY', 'id': 1254091547316011008, 'id_str': '1254091547316011008', 'indices': [0, 16]}], 'urls': []}",,en
1338316292315635714,2020-12-14 02:54:03,I'm rooting for Buffalo because of the 147 former Panthers in the org.,"b""I'm rooting for Buffalo because of the 147 former Panthers in the org.""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338301084633329665,2020-12-14 01:53:37,"Not a lot of offense from the teams from Pittsburgh,  PA and Buffalo, NC.","b'Not a lot of offense from the teams from Pittsburgh,  PA and Buffalo, NC.'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
