id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338638005377126400,2020-12-15 00:12:25,@maeegguk_ LUV U 🥺👋,b'@maeegguk_ LUV U \xf0\x9f\xa5\xba\xf0\x9f\x91\x8b',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maeegguk_', 'name': '𖧵haneyshu⁷生', 'id': 1305992704384405504, 'id_str': '1305992704384405504', 'indices': [0, 10]}], 'urls': []}",,en
1338637963698302984,2020-12-15 00:12:15,@maeegguk_ GOOD LUCK BUBBBB,b'@maeegguk_ GOOD LUCK BUBBBB',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maeegguk_', 'name': '𖧵haneyshu⁷生', 'id': 1305992704384405504, 'id_str': '1305992704384405504', 'indices': [0, 10]}], 'urls': []}",,en
1338632835633213441,2020-12-14 23:51:53,"@jenniemyloves1 i am good, same school is bothering me but it will be okay.","b'@jenniemyloves1 i am good, same school is bothering me but it will be okay.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenniemyloves1', 'name': 'G✨', 'id': 1306089326845915137, 'id_str': '1306089326845915137', 'indices': [0, 15]}], 'urls': []}",,en
1338632613888712708,2020-12-14 23:51:00,@jenniemyloves1 do u need someone 2 talk 2,b'@jenniemyloves1 do u need someone 2 talk 2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenniemyloves1', 'name': 'G✨', 'id': 1306089326845915137, 'id_str': '1306089326845915137', 'indices': [0, 15]}], 'urls': []}",,en
1338632482158239745,2020-12-14 23:50:28,@jenniemyloves1 @&amp;^@*&amp;# what happened,b'@jenniemyloves1 @&amp;^@*&amp;# what happened',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenniemyloves1', 'name': 'G✨', 'id': 1306089326845915137, 'id_str': '1306089326845915137', 'indices': [0, 15]}], 'urls': []}",,en
1338632325677125634,2020-12-14 23:49:51,@jenniemyloves1 🥺 kumusta,b'@jenniemyloves1 \xf0\x9f\xa5\xba kumusta',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenniemyloves1', 'name': 'G✨', 'id': 1306089326845915137, 'id_str': '1306089326845915137', 'indices': [0, 15]}], 'urls': []}",,tl
1338631856724520960,2020-12-14 23:47:59,@sonthecute 🧡🤍💜,b'@sonthecute \xf0\x9f\xa7\xa1\xf0\x9f\xa4\x8d\xf0\x9f\x92\x9c',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sonthecute', 'name': 'son', 'id': 1309830579244785664, 'id_str': '1309830579244785664', 'indices': [0, 11]}], 'urls': []}",,und
1338631568399740929,2020-12-14 23:46:51,@PR0MISEJ0NGH0 6teen / 7teen,b'@PR0MISEJ0NGH0 6teen / 7teen',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PR0MISEJ0NGH0', 'name': 'tazzy ☽ jongHOHOHO 🎄☃️', 'id': 1299771265948028933, 'id_str': '1299771265948028933', 'indices': [0, 14]}], 'urls': []}",,fi
1338631316301115393,2020-12-14 23:45:51,@jenniemyloves1 i have more filo moots than i thought 🏃‍♀️🤚,b'@jenniemyloves1 i have more filo moots than i thought \xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\x9a',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenniemyloves1', 'name': 'G✨', 'id': 1306089326845915137, 'id_str': '1306089326845915137', 'indices': [0, 15]}], 'urls': []}",,en
1338629564487131138,2020-12-14 23:38:53,@lustyyjeon YEAH https://t.co/Rzt1FiOgqV,b'@lustyyjeon YEAH https://t.co/Rzt1FiOgqV',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lustyyjeon', 'name': 'park jimin gf', 'id': 1173281391443943424, 'id_str': '1173281391443943424', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1338629544564170752, 'id_str': '1338629544564170752', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/media/EpPEenmXIAA78Vy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPEenmXIAA78Vy.jpg', 'url': 'https://t.co/Rzt1FiOgqV', 'display_url': 'pic.twitter.com/Rzt1FiOgqV', 'expanded_url': 'https://twitter.com/joonJPN/status/1338629564487131138/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 675, 'h': 675, 'resize': 'fit'}, 'small': {'w': 675, 'h': 675, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 675, 'resize': 'fit'}}}]}",,en
