id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338346035622588416,2020-12-14 04:52:14,the tension... https://t.co/vHLA4QfGJC,b'the tension... https://t.co/vHLA4QfGJC',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vHLA4QfGJC', 'expanded_url': 'https://twitter.com/vmipj/status/1337152939652247553', 'display_url': 'twitter.com/vmipj/status/1…', 'indices': [15, 38]}]}",,en
1338343872242601984,2020-12-14 04:43:39,hi,b'hi',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,und
1336702070594924544,2020-12-09 15:59:43,thank god ive got my shit https://t.co/wR0eTvIWPa,b'thank god ive got my shit https://t.co/wR0eTvIWPa',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1336702067709259776, 'id_str': '1336702067709259776', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EozrcsxXMAAKSXX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EozrcsxXMAAKSXX.jpg', 'url': 'https://t.co/wR0eTvIWPa', 'display_url': 'pic.twitter.com/wR0eTvIWPa', 'expanded_url': 'https://twitter.com/koobalen/status/1336702070594924544/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}",,en
1336546283163693058,2020-12-09 05:40:40,"RT @vocalskm: #jikookau「once upon a song 」

jeongguk dreams of a career as a singer but his cruel step siblings do everything they can to s…",b'RT @vocalskm: #jikookau\xe3\x80\x8conce upon a song \xe3\x80\x8d\n\njeongguk dreams of a career as a singer but his cruel step siblings do everything they can to s\xe2\x80\xa6',"{'hashtags': [{'text': 'jikookau', 'indices': [14, 23]}], 'symbols': [], 'user_mentions': [{'screen_name': 'vocalskm', 'name': 'dani ⁷ ★', 'id': 1309053162788184064, 'id_str': '1309053162788184064', 'indices': [3, 12]}], 'urls': []}",,en
1336532043589693443,2020-12-09 04:44:05,"RT @agoseternal: Just Friends? • Mini au Kookmin

Jk está harto de recibir cada noche a Jm en su puerta llorando por el imbécil de su novio…",b'RT @agoseternal: Just Friends? \xe2\x80\xa2 Mini au Kookmin\n\nJk est\xc3\xa1 harto de recibir cada noche a Jm en su puerta llorando por el imb\xc3\xa9cil de su novio\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'agoseternal', 'name': ""ᴮᴱkkyu | au's"", 'id': 1062540919625396224, 'id_str': '1062540919625396224', 'indices': [3, 15]}], 'urls': []}",,es
1336525388034568192,2020-12-09 04:17:38,oiii vooooss JAJjAJAJA https://t.co/91ZawsrRJT,b'oiii vooooss JAJjAJAJA https://t.co/91ZawsrRJT',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/91ZawsrRJT', 'expanded_url': 'https://twitter.com/agoseternal/status/1290116012205993984', 'display_url': 'twitter.com/agoseternal/st…', 'indices': [23, 46]}]}",,es
1336520031858008064,2020-12-09 03:56:21,soy taehyung XD https://t.co/KsXUcGcr7T,b'soy taehyung XD https://t.co/KsXUcGcr7T',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KsXUcGcr7T', 'expanded_url': 'https://twitter.com/cucukook/status/1266461503257018368', 'display_url': 'twitter.com/cucukook/statu…', 'indices': [16, 39]}]}",,tl
1336517408757067776,2020-12-09 03:45:56,@koogifs my soul is buried in this pic https://t.co/3eBQZz5vbO,b'@koogifs my soul is buried in this pic https://t.co/3eBQZz5vbO',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'koogifs', 'name': 'av', 'id': 888487108775518208, 'id_str': '888487108775518208', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 1336517405066059776, 'id_str': '1336517405066059776', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EoxDf60W4AAIeR_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EoxDf60W4AAIeR_.jpg', 'url': 'https://t.co/3eBQZz5vbO', 'display_url': 'pic.twitter.com/3eBQZz5vbO', 'expanded_url': 'https://twitter.com/koobalen/status/1336517408757067776/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",,en
1336515642657271810,2020-12-09 03:38:55,@vmipj yes,b'@vmipj yes',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vmipj', 'name': 'ً', 'id': 1087155645369982976, 'id_str': '1087155645369982976', 'indices': [0, 6]}], 'urls': []}",,und
1336174396172619777,2020-12-08 05:02:55,i just want chocomilk and bread but i dont have em in my house and i wouldnt let me eat i fucking hate myself sooo much,b'i just want chocomilk and bread but i dont have em in my house and i wouldnt let me eat i fucking hate myself sooo much',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
