id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338375654975401984,2020-12-14 06:49:56,"apparently a younger coworker of mine has a thing for asians. he keeps asking me weird relationship questions, asked if my sister was seeing anyone and has a crush on another asian coworker 🤦🏻‍♀️","b'apparently a younger coworker of mine has a thing for asians. he keeps asking me weird relationship questions, asked if my sister was seeing anyone and has a crush on another asian coworker \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337495433401262080,2020-12-11 20:32:15,unimportant but i’ve been a stay for 1218 days already 🥺,b'unimportant but i\xe2\x80\x99ve been a stay for 1218 days already \xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337491733370855424,2020-12-11 20:17:33,"my eyes-
my fucking eyes did not need to see that-
time to bleach with holy water",b'my eyes-\nmy fucking eyes did not need to see that-\ntime to bleach with holy water',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337476001014681600,2020-12-11 19:15:02,@lvndrwin we don’t talk a lot but happy birthday!!!!,b'@lvndrwin we don\xe2\x80\x99t talk a lot but happy birthday!!!!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lvndrwin', 'name': '☾♡ 𝐍𝐢𝐜𝐨𝐥𝐞 ♡☾ | BLM 🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', 'id': 1117840304, 'id_str': '1117840304', 'indices': [0, 9]}], 'urls': []}",,en
1336538431997014017,2020-12-09 05:09:28,damn i really tried to get a new phone and plan and my card declined :(((((,b'damn i really tried to get a new phone and plan and my card declined :(((((',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336487171474206720,2020-12-09 01:45:47,AYYYY MY KOREAN SKINCARE STUFF IS COMING,b'AYYYY MY KOREAN SKINCARE STUFF IS COMING',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336486694451892226,2020-12-09 01:43:53,MANAGERS DONT KNOW HOW TO SCHEDULE WTF,b'MANAGERS DONT KNOW HOW TO SCHEDULE WTF',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1336412593909600258,2020-12-08 20:49:26,love how i went from doing biological science as my major to double majoring in graphic design and theatre,b'love how i went from doing biological science as my major to double majoring in graphic design and theatre',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335814451270971392,2020-12-07 05:12:38,i love how i got the notif that skz season greetings was now being sold and the first thing i did was buy it for myself,b'i love how i got the notif that skz season greetings was now being sold and the first thing i did was buy it for myself',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1335805960275812352,2020-12-07 04:38:53,RT @hhyukhei: can 32 of my besties help me reach this goal please? 🥺 i get to win an album of my choice if i reach 500 likes and 600 rts so…,b'RT @hhyukhei: can 32 of my besties help me reach this goal please? \xf0\x9f\xa5\xba i get to win an album of my choice if i reach 500 likes and 600 rts so\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hhyukhei', 'name': 'isha *:･ﾟ✧ nsd 📌', 'id': 1297175197464662019, 'id_str': '1297175197464662019', 'indices': [3, 12]}], 'urls': []}",,en
