id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1336798176611864578,2020-12-09 22:21:36,@Rosie - 11 years ago today!!! https://t.co/luiW6dGALr,b'@Rosie - 11 years ago today!!! https://t.co/luiW6dGALr',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rosie', 'name': 'ROSIE', 'id': 25203361, 'id_str': '25203361', 'indices': [0, 6]}], 'urls': [], 'media': [{'id': 1336798173717737474, 'id_str': '1336798173717737474', 'indices': [31, 54], 'media_url': 'http://pbs.twimg.com/media/Eo1C2zjWMAIIwoY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo1C2zjWMAIIwoY.jpg', 'url': 'https://t.co/luiW6dGALr', 'display_url': 'pic.twitter.com/luiW6dGALr', 'expanded_url': 'https://twitter.com/lovinglife1957/status/1336798176611864578/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 604, 'h': 453, 'resize': 'fit'}, 'large': {'w': 604, 'h': 453, 'resize': 'fit'}, 'small': {'w': 604, 'h': 453, 'resize': 'fit'}}}]}",,en
1336787128357883911,2020-12-09 21:37:42,"@spudmonkey66 @Tennesseine @ATG_29 I love your reply!!!!!!  I’m an Independent. I’m more conservative than liberal and I voted for Joe because I think at this time and in this moment we need him. And for the record, if Trump was a Democrat- I would have voted for the Republican 😉","b'@spudmonkey66 @Tennesseine @ATG_29 I love your reply!!!!!!  I\xe2\x80\x99m an Independent. I\xe2\x80\x99m more conservative than liberal and I voted for Joe because I think at this time and in this moment we need him. And for the record, if Trump was a Democrat- I would have voted for the Republican \xf0\x9f\x98\x89'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'spudmonkey66', 'name': 'Spudmonkey: ""And his hair was perfect""', 'id': 14976142, 'id_str': '14976142', 'indices': [0, 13]}, {'screen_name': 'Tennesseine', 'name': 'Tennesseine', 'id': 220863206, 'id_str': '220863206', 'indices': [14, 26]}, {'screen_name': 'ATG_29', 'name': '💜Madi Quawsaunt', 'id': 2869019592, 'id_str': '2869019592', 'indices': [27, 34]}], 'urls': []}",,en
1336464208804917250,2020-12-09 00:14:32,@Tennesseine @ATG_29 Nice!!!!  We are considering anyplace close to The Smokey Mountains. We love the mountains.,b'@Tennesseine @ATG_29 Nice!!!!  We are considering anyplace close to The Smokey Mountains. We love the mountains.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tennesseine', 'name': 'Tennesseine', 'id': 220863206, 'id_str': '220863206', 'indices': [0, 12]}, {'screen_name': 'ATG_29', 'name': '💜Madi Quawsaunt', 'id': 2869019592, 'id_str': '2869019592', 'indices': [13, 20]}], 'urls': []}",,en
1336462820418916352,2020-12-09 00:09:01,@Jim_Jordan U mother fucking piece of shit. I can’t be with my daughter who is having a baby!!!!  Shut the fuck up. Do your job and stop tweeting,b'@Jim_Jordan U mother fucking piece of shit. I can\xe2\x80\x99t be with my daughter who is having a baby!!!!  Shut the fuck up. Do your job and stop tweeting',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': 18166778, 'id_str': '18166778', 'indices': [0, 11]}], 'urls': []}",,en
1336461615525486593,2020-12-09 00:04:14,@realDonaldTrump - my daughter is having a baby. I can’t be with her. This is on u. I despise you. U have wrecked havoc everywhere u go. Shame on u - and your disgusting sycophants. U were warned and u did NOTHING.,b'@realDonaldTrump - my daughter is having a baby. I can\xe2\x80\x99t be with her. This is on u. I despise you. U have wrecked havoc everywhere u go. Shame on u - and your disgusting sycophants. U were warned and u did NOTHING.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",,en
1336457911841787905,2020-12-08 23:49:31,@Tennesseine @ATG_29 Whooo hooooo. YES!!!!!!  Are u from Tennessee?  Cause I don’t want to be the only blue girl living in a red state,b'@Tennesseine @ATG_29 Whooo hooooo. YES!!!!!!  Are u from Tennessee?  Cause I don\xe2\x80\x99t want to be the only blue girl living in a red state',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tennesseine', 'name': 'Tennesseine', 'id': 220863206, 'id_str': '220863206', 'indices': [0, 12]}, {'screen_name': 'ATG_29', 'name': '💜Madi Quawsaunt', 'id': 2869019592, 'id_str': '2869019592', 'indices': [13, 20]}], 'urls': []}",,en
1336456098900021249,2020-12-08 23:42:18,@pozvibes4u How are u feeling?  I hope ur doing well,b'@pozvibes4u How are u feeling?  I hope ur doing well',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pozvibes4u', 'name': 'Michael Garcia', 'id': 3145310610, 'id_str': '3145310610', 'indices': [0, 11]}], 'urls': []}",,en
1336455441858121729,2020-12-08 23:39:42,@senatemajldr Shut your elfin mouth.,b'@senatemajldr Shut your elfin mouth.',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [0, 13]}], 'urls': []}",,en
1336454712875474947,2020-12-08 23:36:48,@RonGOPVet4Biden @GeoRebekah @gracepateras A true patriot,b'@RonGOPVet4Biden @GeoRebekah @gracepateras A true patriot',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RonGOPVet4Biden', 'name': 'Ron F.', 'id': 1298372735383605249, 'id_str': '1298372735383605249', 'indices': [0, 16]}, {'screen_name': 'GeoRebekah', 'name': 'Rebekah Jones', 'id': 2579571584, 'id_str': '2579571584', 'indices': [17, 28]}, {'screen_name': 'gracepateras', 'name': 'Grace Pateras', 'id': 231333405, 'id_str': '231333405', 'indices': [29, 42]}], 'urls': []}",,es
1336454142831833090,2020-12-08 23:34:32,@GeoRebekah Anyone have the name of the cop who pointed a gun at a child. Im@pretty sure Twitter would love to know his name,b'@GeoRebekah Anyone have the name of the cop who pointed a gun at a child. Im@pretty sure Twitter would love to know his name',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeoRebekah', 'name': 'Rebekah Jones', 'id': 2579571584, 'id_str': '2579571584', 'indices': [0, 11]}], 'urls': []}",,en
